"","EIX.Open","EIX.High","EIX.Low","EIX.Close","EIX.Volume","EIX.Adjusted"
"143",78.760002,79.25,78.410004,79.220001,1312500,66.74411
"144",78.879997,79.349998,78.129997,78.25,2742300,65.926872
"145",77.75,78.940002,77.75,78.68,1398500,66.289154
"146",78.879997,79.330002,78.620003,78.879997,1890800,66.457649
"147",78.519997,78.919998,78.139999,78.739998,1293200,66.339691
"148",78.580002,79.440002,78.379997,79.440002,1426500,66.929466
"149",79.18,79.360001,78.669998,79.290001,717100,66.803078
"150",79.239998,79.459999,78.940002,79.440002,733900,66.929466
"151",79.18,79.800003,79.18,79.790001,587200,67.22435
"152",79.989998,79.989998,79.339996,79.449997,1154400,66.937874
"153",79.43,79.830002,79.150002,79.669998,1118300,67.123245
"154",80.07,80.260002,79.25,79.529999,1239600,67.005287
"155",79.419998,80.610001,79.260002,80.519997,2111800,67.839386
"156",80.260002,81.330002,79.339996,79.919998,3617000,67.333885
"157",79.849998,80.120003,79.599998,79.769997,2082400,67.207489
"158",79.809998,80.07,78.699997,79.010002,2564500,66.567184
"159",79.089996,79.330002,78.830002,78.940002,3203800,66.508217
"160",78.970001,79.949997,78.910004,79.779999,1996800,67.215935
"161",79.739998,80.129997,79.709999,80.099998,1209800,67.485542
"162",80.150002,80.559998,80.040001,80.330002,1817700,67.679306
"163",80.279999,80.550003,80.110001,80.199997,1190000,67.569778
"164",80.580002,81.260002,80.580002,80.75,1605700,68.033165
"165",81,81.07,80.589996,80.860001,1014300,68.125832
"166",81,81.32,80.389999,80.449997,1333600,67.780396
"167",80.300003,80.550003,80.190002,80.300003,1047300,67.654037
"168",80.510002,80.639999,80.129997,80.18,1547400,67.552933
"169",80.389999,80.389999,79.540001,79.959999,1051600,67.367569
"170",80.059998,80.309998,79.550003,80.260002,1674800,67.620338
"171",80.300003,80.449997,79.400002,79.550003,2490500,67.022133
"172",79.769997,80.339996,79.559998,80.169998,1814100,67.544502
"173",80.110001,80.779999,79.800003,80.739998,1387100,68.024727
"174",80.75,81.57,80.440002,81.489998,1805000,68.656624
"175",81.300003,81.580002,80.339996,80.739998,2866600,68.024727
"176",80.68,81.32,80.43,80.980003,2941900,68.226936
"177",80.779999,81.190002,80.610001,81.029999,1931000,68.269081
"178",81.150002,81.529999,80.949997,81.199997,3039400,68.412292
"179",81.150002,81.410004,79.639999,80.550003,2455900,67.864655
"180",80.510002,80.650002,79.529999,79.709999,2506900,67.156944
"181",79.900002,80,78.779999,79.089996,1643700,66.634583
"182",79.050003,79.25,78.599998,78.660004,1686700,66.272301
"183",78.919998,78.949997,78.220001,78.279999,1275900,65.952148
"184",78.330002,79.279999,78.129997,79.269997,2080500,66.78624
"185",79.260002,79.449997,78.879997,79.150002,1203400,66.685143
"186",78.660004,79.050003,77.669998,78.080002,1764200,65.783646
"187",77.5,77.769997,76.93,77.57,1967700,65.811646
"188",77.449997,77.57,76.959999,77.169998,2030000,65.472275
"189",77.440002,77.730003,76.82,77,2148400,65.328041
"190",76.989998,77.120003,76.550003,77.010002,1758400,65.336517
"191",77.150002,77.879997,76.959999,77.849998,1429400,66.04921
"192",77.879997,77.879997,77.379997,77.68,975700,65.904961
"193",77.349998,77.690002,77.010002,77.620003,1340000,65.854065
"194",77.790001,77.879997,77.400002,77.550003,654900,65.79467
"195",77.559998,78.559998,77.389999,78.540001,1545000,66.634605
"196",78.419998,79.160004,78.25,78.419998,1934100,66.532806
"197",78.519997,79.68,78.43,79.660004,2836700,67.584831
"198",79.610001,79.879997,77.75,77.989998,2998300,66.167976
"199",77.900002,78.199997,77.389999,77.639999,1698100,65.871033
"200",77.580002,77.860001,76.93,77.599998,3760800,65.837097
"201",77.650002,78.360001,77.580002,77.849998,1975000,66.04921
"202",77.980003,79.470001,77.720001,79.470001,1321000,67.423653
"203",79.330002,79.830002,79.160004,79.599998,1795000,67.533936
"204",79.839996,80.199997,79.279999,80.010002,1217100,67.88179
"205",79.57,79.940002,79.309998,79.870003,1384700,67.763016
"206",79.410004,79.620003,78.550003,79.010002,1734400,67.033356
"207",79.580002,79.910004,78.709999,78.730003,1359600,66.795815
"208",78.599998,79.629997,78.589996,79.470001,966800,67.423653
"209",79.339996,79.790001,79.129997,79.589996,1751100,67.525436
"210",80.589996,80.639999,79.279999,79.949997,2026000,67.830879
"211",80.120003,80.120003,79,79.080002,1378300,67.092766
"212",79.230003,79.410004,78.629997,79.07,1851500,67.084282
"213",78.830002,80.050003,78.830002,79.519997,1185900,67.466049
"214",79.57,79.730003,78.830002,78.849998,927100,66.897614
"215",78.970001,79.690002,78.68,79.400002,1647100,67.364235
"216",79.290001,80.43,79.290001,80.199997,2393100,68.042976
"217",79.980003,80.360001,79.330002,80.339996,1377400,68.161751
"218",79.919998,80.239998,79.510002,80.059998,1232100,67.924194
"219",80.18,81.150002,80.160004,81.099998,1096100,68.806549
"220",80.970001,82.800003,80.720001,82.639999,2575500,70.113121
"221",82.879997,83.379997,81.68,81.839996,1554900,69.43438
"222",81.849998,82.010002,81.489998,81.75,1384300,69.358025
"223",81.470001,81.779999,80.760002,80.889999,1574300,68.628387
"224",80.839996,81.019997,80.389999,80.43,1342600,68.238106
"225",80.519997,80.650002,80.190002,80.220001,1464800,68.059959
"226",80.220001,80.440002,79.720001,80.150002,1158000,68.000565
"227",80.449997,81.139999,80.349998,80.550003,567600,68.33992
"228",80.620003,81.019997,80.339996,80.82,918200,68.568985
"229",81.050003,81.360001,80.860001,81.139999,1356600,68.8405
"230",80.970001,81.620003,80.690002,81.410004,1354800,69.069557
"231",81.360001,81.839996,81,81.269997,2391800,68.950775
"232",81.720001,81.959999,80.480003,80.760002,1600900,68.518105
"233",80.739998,81.190002,80.139999,80.260002,1608200,68.093887
"234",79.769997,79.769997,69.139999,70,17110000,59.389137
"235",68.459999,70,67.800003,68.720001,10027600,58.303165
"236",68.93,72.279999,68.260002,71.769997,7682400,60.890835
"237",71.910004,73.309998,71.239998,71.800003,5823900,60.916279
"238",71.690002,73.230003,71.650002,72.980003,3808000,61.917416
"239",69.68,70.169998,67.279999,68.580002,10717400,58.184391
"240",69.43,70.5,68.660004,69.800003,4615800,59.219456
"241",68.839996,69.660004,68.660004,69.290001,4087600,58.786766
"242",69.489998,70.400002,69.459999,69.709999,4531700,59.143097
"243",70.019997,70.980003,70.019997,70.949997,3687100,60.195126
"244",70.910004,71.110001,69.589996,69.849998,4518900,59.261868
"245",69.800003,70.080002,67.910004,68.300003,6041500,57.946827
"246",66.190002,66.5,62.669998,63.310001,9494500,53.713223
"247",63.91,65.379997,63.77,65.230003,4807700,55.342197
"248",65.25,65.300003,63.990002,64.040001,2666500,54.332573
"249",64.040001,64.849998,63.939999,64.400002,2085400,54.638
"250",64.110001,64.25,63.32,63.939999,1964400,54.762192
"251",64.099998,64.25,63.189999,63.240002,2125600,54.162663
"252",63.630001,63.630001,62.59,63.25,2387200,54.171234
"253",63.209999,63.73,62.349998,62.75,3595400,53.743004
"254",62.84,63.299999,62.189999,62.290001,3970900,53.349026
"255",62.630001,63.130001,62.029999,62.98,3719800,53.939987
"256",62.91,64.279999,62.75,64.199997,3473900,54.984871
"257",64.209999,64.339996,63.209999,63.52,5086100,54.402481
"258",63.610001,63.709999,62.509998,62.84,3587100,53.820076
"259",63.169998,63.419998,62,62.32,2945300,53.374722
"260",62.139999,62.880001,61.25,61.419998,3170600,52.603905
"261",61.509998,61.799999,60.639999,61.330002,5043900,52.526825
"262",61.599998,61.959999,61.169998,61.709999,3045500,52.85228
"263",61.669998,62.639999,61.59,61.919998,3359000,53.032135
"264",61.869999,62.59,61.439999,62.119999,3222100,53.20343
"265",62.349998,62.580002,61.799999,62.139999,2595200,53.220558
"266",62.169998,62.75,61.84,62.040001,2948800,53.134914
"267",62.119999,62.130001,61.52,61.700001,3296100,52.843712
"268",61.700001,62.48,61.630001,62.41,2682800,53.451813
"269",62.740002,62.84,61.580002,62.459999,2638300,53.494621
"270",62.169998,63.490002,61.900002,62.41,3377400,53.451813
"271",62.400002,62.98,62.200001,62.5,2668000,53.528885
"272",62.52,62.860001,61.279999,62.529999,8259700,53.554573
"273",62.450001,67.559998,61.529999,61.740002,8274400,52.877975
"274",61.459999,61.950001,61.16,61.599998,4418200,52.758064
"275",61.439999,61.959999,60.330002,60.509998,5521000,51.824528
"276",59.91,60.810001,58.759998,60.360001,4053800,51.69606
"277",60.139999,60.970001,59.549999,59.689999,3077500,51.122219
"278",59.5,59.619999,58.029999,58.07,3765700,49.734764
"279",58.48,59.279999,57.630001,58.939999,4457700,50.479881
"280",59.049999,60.380001,58.689999,60.060001,2853600,51.439114
"281",59.66,60.419998,59.380001,60.169998,2338300,51.533329
"282",59.82,60.02,59.169998,59.240002,2033400,50.736824
"283",59.73,60.119999,59.189999,60.09,2878700,51.464817
"284",60.040001,61.369999,60.040001,61.049999,4010100,52.287006
"285",60.810001,60.919998,59.860001,60.310001,2635600,51.653236
"286",60.349998,60.650002,59.049999,59.09,3382600,50.608353
"287",59.330002,60.189999,58.869999,59.740002,2882500,51.165051
"288",62,62.560001,60.900002,62.169998,3884400,53.246254
"289",62.07,62.16,61.299999,61.619999,2903000,52.7752
"290",61.59,62.619999,60.84,60.849998,3497700,52.115715
"291",61.119999,61.349998,60.349998,60.59,3906200,51.893044
"292",60.650002,61.639999,60.25,60.779999,3417100,52.055771
"293",60.709999,61.299999,59.040001,59.59,3112900,51.036587
"294",59.41,60.84,59.119999,60.669998,2790700,51.961555
"295",60.490002,60.610001,59.459999,60.07,2319700,51.447681
"296",60.209999,60.630001,58.799999,59.110001,2400400,50.625484
"297",59.02,59.849998,58.889999,59.560001,1716000,51.01088
"298",59.509998,59.610001,58.939999,59.380001,2594500,50.856731
"299",59.279999,60.400002,59.259998,60.200001,2155800,51.559017
"300",59.900002,62.939999,59.119999,62.060001,5551100,53.152042
"301",62.419998,64.68,62.419998,63.810001,7544100,54.650856
"302",63.82,64.699997,63.540001,64,5951900,54.81358
"303",64.169998,65.150002,63.75,65.150002,9180800,55.798504
"304",65.080002,65.269997,63.75,64.029999,3397000,54.839275
"305",64.099998,64.43,62.32,62.740002,4268900,53.734436
"306",62.779999,62.990002,61.77,61.93,1911500,53.040699
"307",61.889999,64.029999,61.889999,62.919998,3191400,53.888599
"308",63.060001,63.619999,62.060001,62.16,2949300,53.237686
"309",62.41,62.540001,61.470001,62.009998,2684000,53.109211
"310",62.009998,63.779999,61.720001,63.150002,2216600,54.08559
"311",63,63.400002,62.439999,63.07,2537600,54.539577
"312",63.040001,63.77,62.869999,63.66,2719200,55.049786
"313",63.790001,64.110001,62.630001,63.099998,2237100,54.565514
"314",63.029999,63.459999,62.09,63.110001,1403000,54.574165
"315",62.98,63.25,62.139999,63.09,1991500,54.556873
"316",63.16,63.880001,62.580002,63.66,1579400,55.049786
"317",63.700001,63.990002,63.240002,63.380001,2370000,54.807648
"318",63.23,63.860001,63.009998,63.459999,1413500,54.876827
"319",63.380001,63.709999,62.669998,62.869999,1813600,54.366631
"320",62.790001,63.290001,62.740002,63.110001,1230400,54.574165
"321",63.130001,63.580002,62.599998,62.84,2728000,54.340683
"322",63,63.799999,63,63.439999,3985700,54.859528
"323",63.630001,64.720001,63.299999,64.449997,1819800,55.732933
"324",64.629997,65.339996,63.990002,65.220001,3242300,56.398781
"325",65.290001,65.82,64.779999,64.790001,1765800,56.026943
"326",64.650002,64.709999,63.849998,64.620003,1686500,55.879936
"327",64.82,64.879997,63.889999,64.120003,1387500,55.447567
"328",64.169998,64.489998,63.73,64,1448600,55.343796
"329",64.269997,66.599998,63.919998,64.769997,2426800,56.009644
"330",64.720001,65.089996,64.199997,64.839996,1342700,56.070183
"331",64.889999,65.279999,64.25,65.220001,1155500,56.398781
"332",65.019997,65.900002,64.889999,65.790001,1428400,56.891689
"333",66,66.099998,65.43,65.519997,1153200,56.658199
"334",65.610001,65.809998,65.209999,65.519997,1389800,56.658199
"335",63.549999,65.160004,63.25,63.630001,2483800,55.023838
"336",63.459999,63.459999,62.540001,63.220001,2168700,54.669289
"337",63.43,64.059998,63.290001,63.689999,973500,55.075718
"338",63.549999,63.740002,62.98,63.09,1022300,54.556873
"339",62.77,62.889999,60.900002,61.110001,2383100,52.844677
"340",61.040001,61.169998,60.23,60.419998,1461700,52.247993
"341",60.990002,61.73,60.77,61.709999,1821400,53.363522
"342",61.939999,62.490002,61.700001,62.290001,1878900,53.865074
"343",62.18,62.509998,61.970001,62.330002,1864900,53.89967
"344",61.959999,62.240002,61.32,61.549999,1936200,53.225163
"345",61.68,61.830002,61.299999,61.419998,1601600,53.112743
"346",61.470001,61.82,61.07,61.220001,2092000,52.939796
"347",61.23,61.540001,60.490002,61.25,1868000,52.96574
"348",61.419998,61.650002,60.869999,61.57,1299200,53.242458
"349",61.619999,62.209999,61.509998,61.880001,1118000,53.510529
"350",61.970001,62.509998,61.810001,62.349998,1167600,53.916954
"351",62.18,62.779999,61.919998,62.619999,1269900,54.15044
"352",62.73,63.369999,62.48,62.98,1450500,54.461746
"353",62.610001,62.950001,61.98,62.290001,1621100,53.865074
"354",61.939999,62.369999,61.139999,62.27,2706600,53.847782
"355",62.299999,62.669998,61.830002,62.16,2303400,53.752659
"356",62.040001,62.040001,60.529999,60.84,2244800,52.611191
"357",61.09,61.610001,60.849998,60.990002,2044600,52.740906
"358",60.93,61.23,60.380001,60.599998,1745600,52.403652
"359",60.630001,60.630001,58.799999,58.900002,1828800,50.933582
"360",58.950001,60.57,58.91,59.720001,1895200,51.642677
"361",59.82,59.939999,59.369999,59.610001,1118800,51.54755
"362",58.889999,59.529999,58.599998,58.939999,1932200,50.96817
"363",58.950001,59.810001,58.900002,59.529999,2027300,51.478378
"364",59.540001,60.080002,59.25,59.490002,2109000,51.443783
"365",59.700001,60.330002,59.459999,60.200001,1417200,52.057747
"366",60.27,60.540001,59.639999,60.439999,2789800,52.265293
"367",60.189999,60.740002,60.040001,60.490002,1497400,52.308533
"368",60.490002,61.150002,60.09,60.57,1947900,52.377708
"369",60.799999,60.799999,60.279999,60.450001,999900,52.273937
"370",60.349998,60.990002,60.119999,60.669998,1721500,52.464188
"371",60.82,61.779999,60.5,61.700001,3907300,53.354874
"372",61.689999,62.459999,61.599998,62.310001,2263400,53.882374
"373",62.110001,62.849998,62.040001,62.619999,2514000,54.15044
"374",62.490002,63.07,62.34,62.91,1714400,54.401222
"375",63.07,63.720001,62.91,63.48,2298400,54.894127
"376",62.869999,63.599998,62.509998,63.27,1990000,55.238987
"377",63.240002,63.900002,62.860001,63.849998,1706100,55.745365
"378",63.830002,64.82,63.470001,64.379997,2407000,56.208084
"379",64.5,65.300003,64.110001,65.279999,1835400,56.993843
"380",65.330002,66.540001,65.290001,66.260002,2328100,57.849449
"381",66.260002,66.260002,64.300003,64.470001,2241000,56.286659
"382",63.860001,65.25,63.669998,64.989998,2331500,56.740662
"383",65.279999,65.809998,65.040001,65.68,1706400,57.343086
"384",65.639999,65.779999,65.029999,65.669998,1679700,57.334351
"385",65.720001,65.860001,65.269997,65.639999,1226900,57.308155
"386",65.419998,65.830002,65.07,65.660004,1158800,57.325619
"387",65.410004,65.809998,65.410004,65.550003,811900,57.229584
"388",65.489998,65.68,64.860001,65.190002,1329800,56.915276
"389",65.260002,66.32,65.260002,65.830002,1721700,57.474037
"390",65.540001,65.629997,64.650002,65.059998,1907800,56.801773
"391",65.150002,65.379997,64.5,65.050003,1169100,56.793049
"392",64.949997,66.690002,64.040001,66.059998,4306500,57.674835
"393",66.089996,67.389999,65.959999,66.830002,2486100,58.347111
"394",67.400002,68.43,66.980003,68.040001,1949500,59.403511
"395",67.57,68.239998,66.300003,66.510002,2351000,58.067722
"396",66.550003,66.550003,65.220001,65.68,1346300,57.343086
"397",66.010002,66.699997,65.669998,66.629997,2755200,58.172497
"398",66.120003,66.419998,64.900002,66.080002,2456800,57.692303
"399",66.050003,66.589996,65.709999,66.209999,1690100,57.805809
"400",66.370003,67.190002,66.169998,67.019997,1096000,58.512985
"401",67.120003,67.529999,67.019997,67.470001,1729700,58.905869
"402",67.540001,67.75,66.580002,67.529999,1830900,58.95826
"403",67.139999,67.589996,66.800003,67.290001,1445000,58.748711
"404",67.239998,67.580002,66.93,67.419998,2031800,58.862221
"405",67.389999,67.739998,66.580002,66.629997,1279100,58.172497
"406",66.629997,66.959999,66.379997,66.839996,1305600,58.355831
"407",66.589996,67.339996,66.589996,66.980003,842300,58.478065
"408",67.230003,68.349998,66.860001,68.150002,2019900,59.499561
