"","EQR.Open","EQR.High","EQR.Low","EQR.Close","EQR.Volume","EQR.Adjusted"
"199",67.410004,67.540001,66.900002,67.269997,1654000,58.722721
"200",67.059998,67.239998,66.510002,66.879997,1293600,58.38229
"201",66.760002,66.93,66.440002,66.720001,1757200,58.242603
"202",66.910004,66.910004,65.919998,66.059998,1728600,57.666473
"203",66.18,66.18,65.800003,66.139999,1067700,57.736301
"204",66.419998,66.709999,65.959999,66.669998,1143200,58.198971
"205",66.370003,66.559998,65.269997,65.790001,2009700,57.430775
"206",67.739998,67.739998,66.330002,66.879997,2108200,58.38229
"207",67.68,67.68,66.57,67.150002,1886800,58.617973
"208",66.900002,67.660004,66.709999,67.650002,1561700,59.054455
"209",67.599998,67.779999,66.959999,67.019997,1934300,58.504494
"210",66.889999,67.290001,66.660004,67.260002,1347300,58.713997
"211",67.32,68.040001,67.010002,67.809998,880700,59.194118
"212",68,68.160004,66.510002,66.849998,1241600,58.356083
"213",66.400002,68.269997,66.360001,68.209999,1754500,59.543289
"214",68.68,69.629997,68.360001,69.209999,1544300,60.416233
"215",69.389999,69.769997,69.209999,69.559998,1213700,60.721752
"216",69.639999,70.400002,69.639999,70.370003,1684300,61.428848
"217",70.099998,70.459999,69.879997,69.879997,1431900,61.001095
"218",69.57,70.029999,69.230003,69.25,1411000,60.451149
"219",69.150002,70.25,68.800003,70.150002,1377500,61.236805
"220",70.089996,70.349998,69.57,69.980003,1520100,61.088406
"221",69.970001,70.089996,68.900002,69.029999,1072900,60.259113
"222",69.07,69.419998,68.529999,69.220001,1025500,60.424969
"223",68.980003,69.300003,68.169998,68.32,1630400,59.63932
"224",68.269997,68.370003,67.720001,67.919998,1771100,59.290134
"225",68.220001,68.580002,68.029999,68.099998,2298000,59.447262
"226",67.989998,68.5,67.860001,68.139999,1318300,59.482182
"227",68.309998,68.480003,68.150002,68.209999,655800,59.543289
"228",68.129997,68.389999,67.599998,67.629997,1281000,59.036987
"229",67.550003,67.800003,66.650002,66.900002,2552700,58.399742
"230",66.779999,66.93,66.010002,66.739998,2073300,58.260078
"231",67.019997,67.129997,66.589996,66.82,2518300,58.329903
"232",67.019997,67.389999,66.290001,66.529999,1130200,58.076756
"233",66.720001,66.830002,66.050003,66.300003,1696000,57.875977
"234",66.300003,66.379997,65.470001,65.510002,1134000,57.186356
"235",65.550003,65.809998,65.150002,65.400002,1064600,57.090332
"236",65.5,65.5,64.959999,65.150002,2219200,56.872101
"237",65.360001,65.82,64.980003,65.809998,1356200,57.448227
"238",65.940002,66.089996,65.370003,65.919998,1083200,57.544262
"239",65.970001,66.410004,65.57,66.300003,1687400,57.875977
"240",66.449997,66.620003,65.540001,65.629997,1335600,57.291103
"241",65.550003,65.660004,65.32,65.400002,2811000,57.090332
"242",65.739998,66.099998,65.540001,65.660004,3601100,57.317299
"243",65.769997,65.93,65.459999,65.599998,1595700,57.264919
"244",65.540001,65.629997,63.740002,64.300003,2474500,56.1301
"245",64.199997,64.669998,63.740002,63.810001,2072000,55.702351
"246",64.059998,64.059998,63.200001,63.389999,1653000,55.335712
"247",63.619999,63.91,63.34,63.799999,1068600,55.693626
"248",63.970001,64.290001,63.68,64.099998,879000,55.955505
"249",64.269997,64.330002,63.799999,64.080002,1623200,55.938049
"250",64.099998,64.379997,63.740002,64.25,1765600,56.086445
"251",63.860001,64.169998,63.66,63.77,1752300,56.107559
"252",63.970001,64.019997,63.459999,63.509998,1238500,55.878807
"253",63.509998,63.880001,63.389999,63.84,1408200,56.169147
"254",63.759998,63.779999,62.630001,62.740002,1917000,55.201328
"255",62.689999,62.860001,62.52,62.689999,2226800,55.157337
"256",62.66,63.32,62.52,63.110001,1814100,55.526871
"257",63,63.040001,62.09,62.349998,1614200,54.858185
"258",62,62.009998,61.049999,61.459999,1781800,54.075123
"259",61.779999,62.049999,60.889999,60.959999,1677600,53.635201
"260",60.860001,60.990002,60.130001,60.419998,1459500,53.160091
"261",60.650002,61.759998,60.450001,60.669998,2277800,53.380051
"262",61.02,61.07,60.52,60.849998,1745400,53.538422
"263",60.59,60.779999,59.880001,60.450001,2043400,53.186489
"264",60.439999,60.689999,60.18,60.470001,1929200,53.204079
"265",60.529999,61.220001,60.400002,61.18,1692100,53.828773
"266",61.32,61.849998,61.279999,61.790001,1845100,54.365482
