"","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"841",154.070007,155.899994,150.350006,153.360001,996800,149.279892
"842",154.990005,158.679993,154.639999,155.990005,831300,152.716232
"843",158.789993,162.630005,157.639999,161,1487800,157.621094
"844",159.160004,160.119995,154.600006,158.380005,2037400,155.056076
"845",158.880005,159.850006,152.699997,152.710007,1667700,149.505066
"846",151.139999,152.419998,144.509995,146.789993,1892300,143.70932
"847",143.279999,151.100006,140.009995,151.070007,1462700,147.899506
"848",149.080002,156.520004,148.220001,153.289993,1380200,150.072906
"849",161.229996,166.729996,160.970001,165.139999,1432400,161.674179
"850",164.240005,169.240005,161,164.130005,1432200,160.68541
"851",167.130005,170.970001,167.070007,168.360001,875400,164.82663
"852",168.520004,171.050003,165.880005,166.729996,770300,163.230835
"853",167.580002,168.080002,163.860001,166.880005,705800,163.377686
"854",173.809998,180.990005,173.509995,179.630005,1908800,175.860092
"855",183.509995,185.470001,180.070007,183.690002,2149800,179.834885
"856",185.199997,185.570007,178.479996,178.820007,1961800,175.067108
"857",177.279999,182.080002,176.440002,179.970001,1770300,176.192963
"858",180.619995,184.729996,179.520004,182.960007,1110200,179.120209
"859",184.940002,185.610001,182.860001,185.149994,1379400,181.264236
"860",188.990005,196.619995,188.990005,196.300003,1676700,192.180252
"861",194.389999,198.320007,193.039993,196.860001,1766600,192.728485
"862",205.100006,209.399994,194.910004,195.449997,2669400,191.348068
"863",195.690002,203.559998,195.690002,202.139999,1302600,197.89769
"864",197.539993,199.279999,195.100006,195.179993,1062200,191.08374
"865",194.369995,194.660004,187.050003,187.190002,1800500,183.261459
"866",178.729996,180.119995,173.130005,173.419998,1424800,169.780411
"867",181.429993,182.350006,173.720001,180.160004,1464000,176.378983
"868",172.279999,184.179993,172.059998,183.639999,1179500,179.78595
"869",194,195.910004,184.699997,189.559998,1151700,185.581696
"870",190.679993,190.850006,184,184.479996,988500,180.608292
"871",183.350006,187.520004,182.820007,185.320007,713900,181.43071
"872",189.429993,189.669998,181.440002,182.940002,1561900,179.100616
"873",182.259995,183.630005,179.800003,182.570007,1008200,178.738403
"874",185.940002,186.210007,181.350006,181.570007,972200,177.759384
"875",179.5,179.699997,172.289993,173.720001,1764400,170.074127
"876",173.289993,176.820007,170.300003,176.619995,948200,172.913269
"877",175.990005,176.589996,171.580002,172.539993,1482500,168.918884
"878",174.779999,180.220001,173.600006,179.570007,841800,175.801361
"879",178.5,184.919998,178.110001,183.270004,1589900,179.423691
"880",183.259995,186.619995,179.789993,180.589996,1025600,176.799942
"881",183.809998,187.990005,181.270004,182.979996,809100,179.139786
"882",186.710007,188.860001,184.589996,186.5,685600,182.585922
"883",184.800003,185.779999,181.949997,182.339996,745700,178.513229
"884",182.889999,184.039993,177.899994,179.130005,1432900,175.37059
"885",178.929993,179.729996,174.070007,176.320007,1095800,172.619568
"886",176.75,176.910004,174.5,175.399994,1200000,171.718872
"887",177.690002,180.539993,175.399994,176,1464600,172.306259
"888",176.5,183.779999,174.880005,183.660004,1119500,179.805511
"889",188.190002,189,183.970001,186.820007,1614500,182.8992
"890",186.220001,186.279999,182.369995,184.460007,1027600,180.58873
"891",185.380005,186.330002,183.75,184.960007,628100,181.078262
"892",183.669998,184.309998,180.160004,181.309998,562700,177.504822
"893",182.600006,185.770004,182.25,183.210007,954700,179.36499
"894",182.919998,185.550003,182.300003,184.800003,621900,180.9216
"895",184.229996,185.789993,182.919998,184.059998,448400,180.197128
"896",184.009995,184.899994,182.029999,182.860001,423200,179.022339
"897",182.869995,186.119995,180.660004,185.649994,645200,181.753738
"898",184.960007,185.809998,180.350006,180.369995,470500,176.584564
"899",182.440002,183.580002,180.899994,183.539993,1476200,179.688034
"900",180.5,180.830002,175.020004,180.520004,807000,176.73143
"901",180.5,180.5,175.649994,178.919998,876300,175.165009
"902",179.649994,183.429993,178.679993,181.889999,656100,178.072662
"903",181.210007,182.699997,180.139999,181.259995,693100,177.455887
"904",183.470001,186.809998,183.020004,185.610001,1033100,181.7146
"905",186,194.720001,185.690002,193.029999,2048700,188.978867
"906",194.990005,198.039993,192.630005,197.600006,1130700,193.452988
"907",197.559998,204.630005,197.369995,204.470001,1093700,200.178772
"908",207.289993,213.860001,206.770004,208.529999,1966400,204.153564
"909",210.580002,211.259995,206.860001,209.559998,907100,205.161972
"910",207.5,209.289993,206.580002,207.899994,603600,203.536804
"911",206.059998,210.929993,205.869995,209.619995,552500,205.220703
"912",209.429993,211.330002,208.460007,208.729996,614800,204.349365
"913",208.25,209.160004,206.369995,206.720001,570400,202.381577
"914",206.449997,208.070007,205.210007,206.110001,512700,201.784348
"915",203.740005,206.210007,202.970001,204.869995,626200,200.570374
"916",204.759995,207.830002,204.630005,206.320007,893600,201.989944
"917",207.369995,210.289993,206.139999,209.770004,785600,205.367554
"918",210.869995,211.240005,207.889999,209.529999,769400,205.132599
"919",208.279999,210.589996,207.410004,209.779999,969800,205.377335
"920",210.75,211.690002,207.720001,207.789993,616600,204.286041
"921",209.110001,211.220001,208.389999,210.470001,854000,206.920853
"922",209.360001,209.960007,205.949997,206.009995,1027500,202.536072
"923",205,211.979996,203.570007,211.770004,996800,208.198944
"924",212.869995,215.210007,210.660004,214.330002,1011100,210.715775
"925",214,214.539993,204.410004,206.309998,998400,202.831009
"926",209.070007,210.570007,204.809998,207.300003,1399100,203.804306
"927",205.229996,207.350006,202.860001,203.110001,650100,199.684982
"928",205,208.800003,204.800003,207.089996,702100,203.597855
"929",207.970001,209.539993,203.520004,204.309998,624300,200.864731
"930",205.639999,209.960007,205.110001,209.130005,865800,205.60347
"931",211.160004,212.440002,209.419998,211.440002,988000,207.874512
"932",212.309998,214.25,209.770004,209.929993,524100,206.389969
"933",212.229996,217.589996,211.100006,214.330002,710100,210.715775
"934",211.710007,215.889999,208.460007,214.070007,685800,210.460159
"935",213.600006,215.449997,207.789993,208.410004,951000,204.895599
"936",202.850006,204.399994,194.419998,198.990005,1110000,195.63446
"937",198.899994,201.089996,197.350006,200.630005,557000,197.246796
"938",200,204.009995,195.119995,195.470001,902900,192.173798
"939",195.470001,198.970001,192.25,195.919998,593700,192.616226
"940",193.610001,201.360001,193.399994,199.979996,575000,196.607758
"941",203.139999,206.710007,202.449997,202.940002,529000,199.517822
"942",203.130005,204.639999,200.429993,202.179993,398900,198.77066
"943",203.410004,206.770004,199.889999,202.339996,961000,198.927948
"944",203.429993,205.100006,198.809998,200.729996,744500,197.345123
"945",198.130005,210.979996,196.979996,207.300003,941700,203.804306
"946",210.830002,214.039993,210.130005,213.139999,829700,209.545822
"947",213.380005,217,209.429993,209.839996,568900,206.301483
"948",212.979996,217.839996,212.800003,217.550003,636500,213.88147
"949",218.690002,218.770004,215.309998,217.910004,419800,214.235397
"950",220.190002,221.160004,217.729996,218.110001,579700,214.432037
"951",219.190002,219.5,216.630005,218.070007,656500,214.3927
