"","AAP.Open","AAP.High","AAP.Low","AAP.Close","AAP.Volume","AAP.Adjusted"
"511",157.789993,159.490005,156.690002,158.720001,1307700,155.495239
"512",158.619995,162.320007,158.029999,160.279999,1023700,157.02356
"513",160.889999,162.460007,159.029999,162.440002,1158000,159.139679
"514",161.990005,167.419998,161.5,166.279999,1455100,162.901657
"515",167.229996,168.779999,163.660004,167.610001,1777300,164.20462
"516",166.669998,168.419998,162.259995,164.130005,1384200,160.795334
"517",164.039993,166.600006,162.160004,164.330002,1207800,160.991257
"518",164.5,164.970001,155.639999,156.309998,1298000,153.134186
"519",156.830002,156.830002,150.240005,153.220001,1800700,150.107025
"520",151.649994,155.050003,150.050003,154.860001,1311500,151.713684
"521",154.149994,155.449997,151.75,155.389999,1076200,152.232895
"522",156.190002,160.199997,155.600006,159.039993,1016500,155.808731
"523",158.399994,160.110001,155.779999,159.199997,1586600,155.9655
"524",159.899994,161.679993,158.529999,159.039993,941500,155.808731
"525",159.630005,161.619995,157.759995,161.350006,665600,158.071838
"526",162.389999,162.979996,159.630005,161.460007,932600,158.179581
"527",161.380005,161.800003,156.699997,157.220001,1212000,154.025726
"528",160,163.259995,158,163.130005,1375900,159.815643
"529",161.990005,163.610001,161.119995,162.410004,740700,159.110245
"530",162.440002,165.350006,162.440002,165.130005,917500,161.774994
"531",165.869995,168.539993,165.479996,167.889999,1264300,164.478943
"532",168.679993,169.580002,165.630005,166.460007,1104700,163.077988
"533",165.919998,169.75,164.25,168.740005,720000,165.311676
"534",169.830002,170.830002,167.669998,169.990005,1379600,166.53627
"535",169.929993,178.690002,166.419998,167.139999,3369200,163.744156
"536",166,167.029999,162.589996,166,1990200,162.627335
"537",166.210007,166.210007,160.199997,161.309998,1616300,158.032593
"538",161.309998,161.880005,158.910004,161.470001,1158000,158.189377
"539",162.630005,163.320007,156.119995,157.710007,1787200,154.505783
"540",163,165.830002,161.479996,162.919998,2112600,159.609924
"541",162.589996,162.779999,156.679993,158.300003,1149800,155.08374
"542",156.720001,163.770004,156.720001,161.779999,1717600,158.493073
"543",162.25,163.25,158.050003,160.619995,1398300,157.356628
"544",161.919998,161.919998,156.919998,158.399994,1147200,155.181732
"545",158.509995,159.820007,157.270004,157.309998,863100,154.113861
"546",157.820007,159.130005,156.419998,157.970001,1067900,154.760498
"547",157.089996,157.309998,154.009995,154.130005,940700,150.998489
"548",152.850006,153.190002,150.5,151.770004,1138200,148.686432
"549",152.259995,155.779999,152.080002,155.460007,1047800,152.301498
"550",155.619995,155.619995,152.899994,154.869995,871900,151.723465
"551",155.25,155.800003,153.789993,154.699997,812400,151.556915
"552",155.059998,155.199997,153.039993,154,683400,150.871124
"553",153.639999,154.990005,151.039993,154.839996,1714100,151.694046
"554",155.220001,162.949997,155.080002,161.570007,2116100,158.287338
"555",161.440002,164.929993,161.169998,163.419998,1371600,160.099762
"556",164.509995,165.619995,162.589996,164.149994,875200,160.814896
"557",163.830002,169.169998,163.830002,169.070007,864700,165.695511
"558",168.330002,168.580002,164.720001,164.839996,941600,161.549942
"559",165.5,168.949997,164.289993,167.779999,841100,164.431274
"560",167.850006,168.899994,165.809998,168.270004,961700,164.911484
"561",167.960007,169.710007,166.699997,166.889999,998900,163.559036
"562",167.320007,168.919998,166.660004,168.75,643400,165.381912
"563",169.889999,171.570007,168.600006,170.529999,1856200,167.126373
"564",172.789993,174.179993,171.130005,173.630005,957500,170.164536
"565",173.539993,173.940002,170.929993,173.339996,670600,169.88028
"566",174.080002,174.800003,171.419998,171.690002,847200,168.263245
"567",172.139999,174.410004,171.580002,174,1213800,170.527145
"568",174.309998,176.830002,174.309998,176.779999,741300,173.251633
"569",175.779999,178.039993,173.830002,177.589996,830300,174.045471
"570",176.899994,177.720001,175.330002,175.649994,616200,172.14418
"571",176.699997,178.860001,174.25,178.800003,1079500,175.231323
"572",178.649994,181.020004,177.889999,180.960007,705300,177.348236
"573",180.960007,181.800003,179.740005,180.110001,922600,176.515152
"574",180.539993,181.779999,179.029999,181.429993,913200,177.808823
"575",182.559998,182.559998,179.509995,179.949997,676900,176.358368
"576",179.949997,180.050003,176.669998,176.809998,741500,173.281021
"577",176.559998,177.130005,174.110001,175.399994,1025300,171.89917
"578",174.449997,175.389999,169.729996,170.080002,878800,166.685349
