"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"750",139.910004,140.119995,139.240005,139.440002,472100,138.279648
"751",140.190002,141,139.570007,140.940002,978500,139.767166
"752",141.169998,141.839996,138.729996,139.809998,1401900,138.646561
"753",140.25,140.869995,138.020004,139.380005,3063000,138.220154
"754",138.660004,140.070007,138.25,138.869995,1142600,137.714386
"755",142.059998,144.389999,141.75,143.600006,3006500,142.405029
"756",140.850006,142.270004,139.940002,141.470001,1760500,140.292755
"757",139.199997,141.380005,139.050003,141.190002,1357900,140.015091
"758",140.820007,142.270004,140.149994,141.860001,1722100,140.679504
"759",140.839996,143.770004,140.289993,142.75,1176200,141.562103
"760",143.740005,143.869995,141.529999,142.149994,1203900,140.967087
"761",143.080002,148,141.850006,143.009995,2180600,141.819931
"762",143.850006,147.880005,143.5,147.210007,1817000,145.985001
"763",149.389999,150.740005,147.179993,150.029999,2227100,148.781525
"764",149.279999,150.770004,149.080002,150.029999,1913000,148.781525
"765",151,152.740005,150.660004,152.210007,1639700,150.94339
"766",152.690002,153.410004,150.720001,151.619995,2177600,150.358292
"767",143.139999,145.300003,140.380005,142.309998,5409700,141.125763
"768",144.240005,144.399994,139.139999,140.089996,2903600,138.92424
"769",134.759995,139.990005,133.5,139.110001,4867700,137.952393
"770",138.399994,138.440002,132.110001,134.75,3988400,133.628677
"771",122.919998,127.110001,121.099998,123.889999,5826500,122.859047
"772",125.739998,126.400002,121.830002,124.970001,4260400,123.930061
"773",125.300003,125.800003,123.07,123.849998,2321700,122.819374
"774",122.459999,126.809998,121.010002,126.620003,3611600,125.56633
"775",124.720001,126.620003,123.550003,126.160004,2379900,125.110161
"776",126.57,129.990005,126.57,128.580002,2503500,127.510017
"777",128.770004,134.880005,128.479996,132.699997,3969200,131.595734
"778",135,135.729996,131.199997,132.279999,2170600,131.17923
"779",133.600006,135.419998,132.940002,134.190002,2544300,133.073334
"780",129.050003,130.75,126.599998,126.910004,5616000,125.85392
"781",126,128.279999,125,127.879997,2908200,126.815842
"782",128.600006,133.830002,127.610001,131.990005,2948400,130.891647
"783",136.039993,137.279999,134.330002,136.820007,3640200,135.681458
"784",134.270004,135.559998,132.449997,133.619995,3013600,132.508072
"785",133.350006,133.470001,130.770004,132.139999,1496600,131.04039
"786",132.229996,134.080002,130.479996,133.460007,1578200,132.349411
"787",134.509995,137.580002,133.889999,136.169998,1781000,135.03685
"788",134.229996,135.710007,131.449997,133.330002,1849600,132.22049
"789",131.509995,132.229996,126.75,127.949997,2853200,126.885262
"790",121.290001,124.650002,120.019997,120.169998,4549100,119.169998
"791",121.150002,121.5,112.959999,113.889999,4285400,113.889999
"792",115.440002,117.860001,110.269997,110.75,4155400,110.75
"793",109.209999,115.910004,103.900002,111.160004,5670100,111.160004
"794",108,111.379997,106.290001,107.980003,5940200,107.980003
"795",107.949997,109.410004,104.349998,107.940002,4675300,107.940002
"796",107.900002,110.769997,101.57,102.440002,4346300,102.440002
"797",104.519997,106.449997,101.739998,105.660004,3137800,105.660004
"798",102.760002,102.949997,95.010002,95.580002,5576300,95.580002
"799",92,98,90,94.029999,5512300,94.029999
"800",84.5,87.900002,80.629997,81.93,5092100,81.93
"801",87.540001,90.379997,83.099998,90.169998,5037300,90.169998
"802",86.5,87.129997,80.160004,80.870003,5660300,80.870003
"803",71.32,77.879997,65,68.019997,9707800,68.019997
"804",74.779999,77.82,64.150002,72.519997,6976300,72.519997
"805",59.5,67.480003,54.630001,54.799999,7723200,54.799999
"806",56.709999,58,48.009998,54.380001,9050300,54.380001
"807",48.25,51.860001,35.84,43.02,10917800,43.02
"808",41.150002,52.900002,38.009998,46.580002,10369200,46.580002
"809",49.830002,60,49.009998,51.970001,11323900,51.970001
"810",53.509998,58.400002,51,57.57,9148200,57.57
"811",68.660004,71.389999,64.550003,66.559998,10793700,66.559998
"812",71.809998,79.699997,65.190002,75.059998,9420900,75.059998
"813",77.379997,83.870003,69.760002,71.510002,10883600,71.510002
"814",66.650002,67.300003,63.259998,63.310001,9510200,63.310001
