"","FAST.Open","FAST.High","FAST.Low","FAST.Close","FAST.Volume","FAST.Adjusted"
"634",29.870001,30.450001,29.440001,30.360001,17244000,28.376316
"635",30.360001,31.209999,30.1,30.950001,8463700,28.927765
"636",30.98,31.09,30.66,30.68,3408300,28.675409
"637",30.540001,31.389999,30.540001,31.280001,4699700,29.236208
"638",31.209999,31.299999,30.59,30.59,3618600,28.591286
"639",30.450001,30.540001,30.040001,30.299999,5789300,28.320236
"640",30.530001,30.91,30.34,30.370001,3201100,28.385668
"641",30.52,30.9,30.5,30.639999,5957700,28.63802
"642",30.700001,31.799999,30.700001,31.690001,4194000,29.619415
"643",31.219999,32,31.1,31.93,4233600,30.052364
"644",31.950001,32.080002,31.389999,31.440001,4185600,29.591185
"645",31.48,31.74,31.290001,31.629999,2826700,29.770006
"646",31.6,31.83,31.23,31.32,2637900,29.478241
"647",31.16,31.73,31.040001,31.610001,2526000,29.751183
"648",31.6,31.620001,30.52,30.799999,7474400,28.988819
"649",30.84,30.99,29.51,29.629999,7954000,27.887617
"650",29.379999,29.66,28.799999,29.620001,5787000,27.878206
"651",28.99,29,28.41,28.559999,5169800,26.880537
"652",28.639999,29.549999,28.57,29.200001,5753800,27.482904
"653",28.75,29.48,28.379999,29.26,5567700,27.539375
"654",29.379999,29.870001,29.379999,29.74,6160300,27.99115
"655",29.700001,29.870001,29.290001,29.74,3080300,27.99115
"656",29.51,29.65,29.24,29.389999,4540000,27.66173
"657",29.43,30.93,29.209999,29.959999,6533300,28.198212
"658",29.610001,29.67,29.01,29.16,3356100,27.445255
"659",29.290001,29.48,29.059999,29.280001,3692400,27.558203
"660",29.52,30.040001,29.309999,29.98,2860700,28.217035
"661",30.389999,30.73,30.280001,30.66,2596600,28.85705
"662",30.639999,30.84,30.41,30.48,4915500,28.687634
"663",30.799999,31.02,30.67,30.77,1798200,28.960581
"664",30.99,31.01,30.540001,30.73,1985600,28.922934
"665",30.559999,30.719999,29.440001,29.66,4100400,27.915855
"666",30.07,30.139999,29.450001,29.73,2208400,27.981735
"667",29.969999,29.98,29.440001,29.700001,3982400,27.953499
