"","HD.Open","HD.High","HD.Low","HD.Close","HD.Volume","HD.Adjusted"
"530",185,185.419998,182.75,182.919998,3729200,171.110504
"531",183.839996,186.399994,183.520004,185.520004,3773200,173.542648
"532",186.300003,188.679993,185.919998,188.410004,4146900,176.246078
"533",187.5,188.929993,186,187.710007,2600600,175.591278
"534",189.869995,192.619995,189.050003,192.389999,4997900,179.969116
"535",191.710007,193.190002,191.279999,192.330002,3828400,179.912994
"536",192.389999,192.399994,191.110001,191.850006,3970100,179.463989
"537",191.850006,192.369995,190.610001,191.820007,3094200,179.435928
"538",191.690002,192.539993,191.619995,192.389999,3321600,179.969116
"539",192.75,193.419998,189.960007,189.979996,6190700,177.714706
"540",185.589996,188.470001,182.800003,188.300003,13635100,176.143188
"541",187.899994,188.5,183.210007,183.669998,8766200,171.812088
"542",183.600006,185.190002,183.110001,185.139999,8060600,173.18718
"543",185.820007,186.559998,182.860001,185.169998,5481300,173.215225
"544",186.199997,186.240005,182.100006,183.809998,5046800,171.943024
"545",184.240005,185.119995,183.25,184,3691000,172.120789
"546",184.529999,184.970001,183.839996,184.449997,4460900,172.541718
"547",184.389999,184.619995,181.580002,182.509995,4122200,170.726959
"548",181.490005,181.910004,179.520004,181.229996,3867100,169.529602
"549",182,183.199997,181.199997,182.440002,3866200,170.661499
"550",183.429993,184.270004,182.330002,184,3777000,172.120789
"551",183.240005,183.779999,181.080002,181.139999,4528300,170.707169
"552",181.279999,181.740005,180.5,181.610001,4393000,171.150131
"553",182.300003,182.490005,179.570007,182.229996,8059100,171.734406
"554",182.529999,183.479996,182.330002,183.419998,4395800,172.85585
"555",184.190002,185.820007,183.479996,184.130005,4437100,173.524963
"556",184.300003,187.119995,183.429993,186.100006,4772600,175.3815
"557",185.5,190,185.5,189.970001,4755700,179.02861
"558",189.309998,192.050003,188.669998,188.75,5173600,177.87886
"559",188.75,191.710007,188.509995,189.679993,3845900,178.755295
"560",190.690002,192.190002,188.740005,189.339996,4143300,178.434875
"561",189.649994,191.610001,188.389999,189.25,4298400,178.350067
"562",189.910004,191.399994,189.160004,190.059998,3326100,179.113403
"563",190.850006,192.039993,190.139999,191.889999,4674100,180.838043
"564",192.990005,195.899994,192.850006,195.639999,5381400,184.37204
"565",195.5,195.5,194.020004,194.309998,2717800,183.118637
"566",194.979996,198.789993,194.110001,198.610001,4581500,187.170975
"567",199,200.490005,198.020004,200.449997,3138400,188.905014
"568",200.860001,203.130005,200.610001,202.059998,3615300,190.422241
"569",201.369995,203.789993,201.240005,203.550003,3040900,191.826462
"570",202.259995,202.710007,200.460007,200.899994,3721700,189.329086
"571",201.259995,201.600006,198.020004,199.429993,3587500,187.943741
"572",199.899994,201.5,199.029999,201.479996,2465100,189.875702
"573",202.130005,204.259995,202.130005,203.850006,3097900,192.109192
"574",204.160004,205.139999,203.399994,204.860001,3049900,193.061035
"575",205.25,205.990005,204.289993,204.470001,3271400,192.693481
"576",205.339996,206.839996,205.320007,206.550003,3271900,194.653702
"577",206.020004,207.779999,205.100006,205.660004,3162500,193.814941
"578",204.110001,206.25,204,204.779999,2593900,192.985611
