"","POOL.Open","POOL.High","POOL.Low","POOL.Close","POOL.Volume","POOL.Adjusted"
"288",144.110001,144.449997,141.690002,144.259995,174300,138.829819
"289",144.630005,144.899994,142.080002,142.529999,200900,137.164917
"290",143.259995,143.259995,140.100006,140.559998,240600,135.269119
"291",140.520004,141.520004,137.919998,138.029999,242500,132.834351
"292",137.649994,140.350006,136.580002,138.940002,191700,133.710083
"293",137.600006,143.050003,136.690002,142.460007,287500,137.097595
"294",141.710007,144.339996,139.220001,143.570007,229000,138.165833
"295",143.589996,147.770004,142.960007,147.610001,258000,142.053741
"296",146.399994,148.720001,143.729996,146.139999,221100,140.639053
"297",146.25,146.490005,144.419998,144.860001,138400,139.407242
"298",145.110001,147.759995,143.5,146.139999,201100,140.639053
"299",146.130005,147.539993,144.880005,146.020004,172100,140.52359
"300",146.410004,148.75,144.240005,144.350006,330900,138.916458
"301",144.649994,146,142.580002,144.169998,189900,138.743225
"302",143.759995,145.960007,140.690002,142.309998,191800,137.305634
"303",142.320007,144.75,141.800003,143.220001,496700,138.183624
"304",142.419998,143.940002,139.339996,143.440002,227900,138.395889
"305",143.360001,144.990005,143.360001,144.449997,126500,139.370392
"306",144.169998,147.149994,143.979996,144.720001,138700,139.630905
"307",143.589996,145.240005,142.600006,144.580002,295700,139.495789
"308",144.440002,144.440002,140.559998,142.5,305700,137.488953
"309",144.070007,144.179993,140.139999,143.5,187300,138.453751
"310",143.809998,145.759995,141.889999,143.5,218700,138.453751
"311",143.5,144.759995,142.570007,143.759995,200400,138.70459
"312",144,146.649994,142.610001,146.220001,212700,141.078079
"313",146.119995,147.789993,141.279999,143.520004,297500,138.473053
"314",143.889999,146.360001,141.690002,146.300003,275200,141.155304
"315",144.889999,148.419998,144.830002,147.990005,259200,142.785904
"316",148.929993,149.710007,146.539993,147.630005,304000,142.438568
"317",147.050003,148.779999,144.539993,146.119995,208700,140.981644
"318",146.639999,147.380005,145.25,145.479996,124000,140.364136
"319",146.970001,148.440002,146.100006,147.710007,193300,142.515717
"320",147.289993,148.059998,145.610001,146.100006,105300,140.962341
"321",146.740005,146.869995,144.630005,145.919998,122300,140.788666
"322",146.330002,146.330002,144.720001,145.479996,123600,140.364136
"323",146.339996,147.5,145.770004,146.710007,145900,141.550888
"324",147.679993,148.229996,146.380005,147.759995,231600,142.563965
"325",148.440002,148.729996,145.25,146.869995,333200,141.705261
"326",147.050003,148.960007,139.669998,144.699997,774000,139.611572
"327",144.5,144.5,139.649994,141.130005,509100,136.16713
"328",142.139999,142.139999,138.330002,139.720001,345000,134.806656
"329",140.720001,143.940002,137.080002,138.679993,345900,133.803253
