"","CHD.Open","CHD.High","CHD.Low","CHD.Close","CHD.Volume","CHD.Adjusted"
"1",44.25,44.529999,43.849998,44.34,3126600,41.409245
"2",44.52,44.970001,44.41,44.700001,1787300,41.745461
"3",44.709999,44.91,44.48,44.889999,1358300,41.922901
"4",44.869999,44.970001,44.450001,44.869999,1192000,41.904228
"5",44.650002,44.73,43.889999,44.299999,1441000,41.371895
"6",44.360001,44.43,43.389999,43.580002,1854900,40.699497
"7",43.549999,43.810001,43.380001,43.560001,1939000,40.680813
"8",43.580002,43.700001,43.259998,43.470001,1927900,40.596756
"9",43.549999,43.880001,43.48,43.779999,1187300,40.886276
"10",43.830002,44.75,43.790001,44.52,1556700,41.577358
"11",44.330002,44.869999,44.25,44.740002,2302600,41.782818
"12",44.59,44.98,44.450001,44.93,2514400,41.960255
"13",45,45.599998,44.990002,45.549999,3588400,42.539272
"14",45.369999,45.560001,45.009998,45.529999,2725600,42.520599
"15",45.490002,46.150002,45.32,46.09,1859000,43.043583
"16",46.150002,46.650002,46.02,46.23,3114500,43.174328
"17",46.16,46.259998,45.900002,46.099998,1788700,43.052921
"18",45.740002,45.77,44.970001,45.34,2792100,42.343155
"19",45.150002,45.5,45.110001,45.310001,1872800,42.315136
"20",45.380001,45.57,45.110001,45.220001,5847300,42.231087
"21",45.080002,45.52,44.959999,45.25,2070900,42.259102
"22",45.369999,45.740002,45.060001,45.529999,1674100,42.520599
"23",45.880001,46.119999,45.68,45.810001,1371900,42.782093
"24",45.73,45.919998,45.360001,45.450001,2663200,42.445889
"25",46.77,47.560001,46.380001,47.27,4338700,44.145588
"26",47.5,48.049999,47.290001,47.830002,3117900,44.668579
"27",47.830002,48.34,47.720001,48.07,2012400,44.892712
"28",48.040001,48.41,47.990002,48.240002,1826700,45.051472
"29",48.349998,48.650002,48.189999,48.419998,1516400,45.219582
"30",48.169998,48.57,48.040001,48.529999,1572600,45.322296
"31",48.650002,49.23,48.459999,48.790001,3144400,45.565125
"32",48.650002,48.959999,48.27,48.93,1558000,45.874516
"33",49.27,49.860001,49.200001,49.700001,3483500,46.596428
"34",49.650002,49.919998,49.509998,49.610001,2716000,46.512051
"35",49.580002,49.75,49.18,49.689999,2707600,46.587048
"36",49.82,50.09,49.549999,49.619999,1530600,46.521423
