"","ROL.Open","ROL.High","ROL.Low","ROL.Close","ROL.Volume","ROL.Adjusted"
"70",16.373333,16.4,16.182222,16.204445,895050,15.326272
"71",16.186666,16.271111,16.08,16.084444,909675,15.212775
"72",16.120001,16.35111,16.111111,16.346666,893475,15.460788
"73",16.302221,16.48889,16.213333,16.448889,1014300,15.557468
"74",16.484444,16.617779,16.471111,16.604445,868500,15.704596
"75",16.666668,16.955557,16.653334,16.866667,2131200,15.952608
"76",16.862223,16.911112,16.697779,16.799999,1064925,15.889549
"77",17.013332,17.071112,16.875557,16.991112,932625,16.070305
"78",17.022223,17.120001,16.951111,16.951111,1288350,16.032473
"79",16.902222,16.991112,16.555555,16.884443,2034675,15.96942
"80",16.942223,17.462221,16.848888,17.413334,2192850,16.469646
"81",17.413334,17.506666,17.226667,17.257778,1770975,16.322523
"82",17.342222,17.448889,17.177778,17.422222,1209375,16.478054
"83",17.422222,17.502222,17.32,17.391111,1208250,16.448631
"84",17.32,17.40889,17.24889,17.360001,1058400,16.419205
"85",17.422222,17.604445,17.386667,17.604445,924300,16.650396
"86",17.635555,17.84,17.582222,17.777779,1198575,16.814341
"87",17.777779,17.777779,17.551111,17.6,730800,16.694191
"88",17.662222,17.737778,17.564444,17.711111,790875,16.799585
"89",17.706667,17.862223,17.639999,17.844444,859950,16.926056
"90",17.799999,17.995556,17.715555,17.964443,1021725,17.039875
"91",17.928888,18.075556,17.893333,18.048889,1178775,17.11998
"92",18.102222,18.208889,18.057777,18.16,1551825,17.22537
"93",18.217777,18.222221,18.093332,18.151112,1417500,17.21694
"94",18.151112,18.177778,17.866667,18.08,2316600,17.149492
"95",18.08,18.257778,17.968889,18.142221,1035000,17.208511
"96",18.222221,18.471111,18.182222,18.453333,1880550,17.503609
"97",18.52,18.831112,18.453333,18.795555,1401750,17.82822
"98",18.804443,18.991112,18.728889,18.893333,1316700,17.920959
"99",19.008888,19.133333,18.973333,19.035557,1445625,18.05587
"100",19.088888,19.226667,19.066668,19.222221,1793700,18.232925
"101",19.222221,19.342222,19.088888,19.146667,1549800,18.161257
"102",19.111111,19.128889,18.48,18.813334,3523500,17.845081
"103",18.777779,19.302221,18.777779,19.142221,11903175,18.157043
"104",19.217777,19.231112,18.631111,18.902222,2487375,17.929399
"105",18.924444,19.266666,18.92,19.137777,1766475,18.152826
"106",19.137777,19.155556,19.022223,19.026667,1114650,18.04743
"107",18.933332,19.057777,18.853333,18.875557,1053000,17.904097
"108",18.902222,18.955557,18.737778,18.857779,1707075,17.887239
"109",18.875557,18.977777,18.684444,18.951111,932175,17.975769
"110",18.964443,18.982222,18.719999,18.875557,928800,17.904097
"111",18.893333,18.995556,18.875557,18.995556,1265850,18.017921
"112",19.031111,19.155556,18.968889,19.137777,1705725,18.152826
"113",19.213333,19.373333,19.128889,19.213333,1359450,18.224491
"114",19,19.257778,18.92,19.244444,1331100,18.254002
"115",19.075556,19.271111,19.075556,19.235556,2379825,18.245569
"116",19.311111,19.404444,19.257778,19.404444,968175,18.405767
"117",19.404444,19.444445,19.182222,19.226667,1226250,18.237144
"118",19.222221,19.231112,18.937778,18.973333,1137825,17.996841
"119",18.902222,18.942223,18.506666,18.56889,1953900,17.613214
"120",18.577778,18.737778,18.537779,18.67111,1495125,17.710178
"121",18.711111,18.711111,18.524445,18.595556,1023750,17.63851
"122",18.56889,18.59111,18.302221,18.302221,1284750,17.36027
"123",18.404444,18.417778,18.195557,18.24889,1615275,17.309683
