"","PKG.Open","PKG.High","PKG.Low","PKG.Close","PKG.Volume","PKG.Adjusted"
"647",101.610001,103.339996,100.43,103.040001,755000,96.309624
"648",102.970001,102.970001,100.32,100.970001,1319800,94.374832
"649",101.169998,102.480003,99.120003,100.080002,766100,93.542953
"650",99.980003,101.730003,98.370003,101.25,1092000,94.636543
"651",99.82,100.389999,99.029999,99.599998,1670900,93.094315
"652",100.269997,100.620003,99.379997,100.150002,905900,93.608391
"653",98.980003,100.510002,98.449997,100.5,706500,93.935524
"654",101,103.309998,100.980003,102.120003,1259500,95.449707
"655",101.809998,101.830002,99.769997,101.129997,532200,94.524368
"656",100.589996,100.720001,99.440002,99.650002,798900,93.14106
"657",100.139999,102.980003,99.220001,101.5,857900,94.870216
"658",99.940002,101.150002,99.019997,99.559998,1015600,93.056923
"659",99.849998,100.349998,99.010002,99.989998,673600,93.458832
"660",100.739998,102.239998,100.550003,101.279999,863500,94.664574
"661",102.349998,102.790001,101.489998,102.480003,577500,95.786194
"662",102.32,102.480003,100.620003,100.849998,773700,94.262657
"663",101.339996,101.849998,100.910004,101.25,678500,94.636543
"664",101.449997,101.839996,100.459999,101.120003,445200,94.51503
"665",100.410004,100.989998,97.620003,98.089996,690600,91.682945
"666",99,99.459999,98.129997,98.889999,574700,92.430687
"667",99.32,99.800003,97.18,97.660004,921000,91.281029
"668",97.230003,99,96.660004,98.5,539000,92.066162
"669",99.580002,100.480003,99.349998,100.080002,519700,93.542953
"670",100.800003,101.830002,100.199997,100.580002,617600,94.010315
"671",99.440002,99.629997,97.989998,98.5,476900,92.066162
"672",99.489998,100.160004,98.980003,100.139999,607300,93.599045
"673",100.959999,101.370003,100.279999,100.529999,848300,93.963547
"674",100.779999,101.080002,99.790001,100.610001,840200,94.038338
"675",101.339996,102.010002,100.190002,100.519997,898200,93.954216
"676",100.57,104.330002,100.57,104.199997,1011600,97.393837
"677",104.239998,108.629997,104.239998,108.089996,1341800,101.029755
"678",107.879997,108.050003,106.07,107.029999,788000,100.775536
"679",107.699997,109.370003,107.339996,108.370003,791000,102.037231
"680",107.540001,107.540001,105.650002,105.870003,603400,99.683334
"681",104.489998,105.290001,102.989998,105.019997,772200,98.882996
"682",104.730003,105.330002,103.57,104.68,621600,98.562866
"683",104.860001,105.139999,103.059998,103.330002,680400,97.291763
"684",103.589996,104.260002,102.43,102.839996,960100,96.830383
"685",102.25,104.120003,101.379997,103.730003,524300,97.668381
"686",104.379997,104.550003,102.900002,103.300003,615400,97.263504
"687",103.330002,105.529999,103.040001,105.309998,645900,99.156044
"688",105.449997,105.449997,103.559998,104.540001,477200,98.431046
"689",105.050003,106.099998,104.790001,105.599998,526100,99.4291
"690",105.260002,106.419998,105.260002,106.099998,588600,99.899879
"691",107,107.019997,102.669998,102.790001,521900,96.783302
"692",102.290001,103.18,101.639999,102.349998,1254800,96.369019
"693",101.970001,102.760002,100.540001,102.480003,790200,96.491425
"694",102.419998,103.879997,102.419998,103.330002,564700,97.291763
"695",103.010002,104.480003,102.940002,103.709999,652700,97.649551
"696",102.660004,103.019997,101.82,102.139999,792900,96.171303
"697",103.32,104.169998,103.080002,103.589996,697600,97.53656
"698",103.919998,106.290001,103.919998,106.029999,696500,99.833977
"699",107.43,110.349998,107.370003,109.32,1018400,102.931717
"700",109.260002,109.260002,107.220001,107.260002,785900,100.992104
"701",107.5,107.949997,107.040001,107.160004,472200,100.897942
"702",107.18,108.150002,106.599998,106.82,707800,100.577812
"703",106.989998,107.650002,106.010002,106.410004,677200,100.19178
"704",106.110001,108.589996,106.110001,108.220001,624700,101.896004
"705",109.220001,109.870003,108.300003,108.489998,731800,102.150215
"706",108.43,109.470001,107.910004,108.580002,637300,102.234962
"707",108.5,111.230003,108.5,110.059998,1272500,103.628471
"708",109.43,110.260002,105.519997,108.519997,1317000,102.178467
"709",108.459999,111.160004,108.459999,110.93,558300,104.447632
"710",111.360001,112.720001,111.360001,112.510002,849800,105.93531
"711",111.760002,112.699997,111.040001,111.580002,555200,105.059654
"712",111.349998,111.389999,109.360001,110.43,752600,103.976852
"713",110.279999,111.089996,108.389999,109.459999,618400,103.06353
"714",110.400002,111.360001,109.669998,111.309998,586600,104.80542
"715",111.980003,112.550003,110.790001,112.059998,946000,105.511604
"716",112.230003,113.68,111.93,113.230003,920500,106.613235
"717",113.129997,113.129997,111.400002,112.360001,556000,105.794067
"718",112.860001,113.440002,111.75,112.949997,642900,106.349594
"719",112.809998,113.949997,112.25,113.900002,683200,107.244072
"720",113.269997,114.120003,113.010002,113.650002,440500,107.00869
"721",113.669998,114.779999,112.879997,113.709999,437500,107.065186
"722",113.489998,113.720001,112.610001,112.769997,645800,106.180107
"723",112.489998,113.599998,112.150002,112.919998,570100,106.32135
"724",113.050003,113.349998,112.190002,112.650002,486000,106.067123
"725",113,113.760002,112.209999,113.669998,543400,107.027512
"726",113.790001,113.830002,112.839996,113.68,547600,107.036949
"727",113.440002,113.440002,111.610001,112.120003,483100,105.568108
"728",111.910004,112.110001,110.360001,110.669998,555700,104.202835
"729",111.230003,111.769997,110.230003,110.870003,451000,104.391151
"730",111.199997,112.839996,110.720001,111.860001,518900,105.323296
"731",111.010002,112.620003,110.559998,112.459999,1136800,105.888229
"732",112.760002,112.839996,111.519997,112.07,763000,105.521019
"733",112.18,112.260002,111.68,111.900002,297800,105.360954
"734",112.059998,112.559998,110.949997,111.029999,527000,104.541786
"735",109.980003,110.779999,108.580002,110.739998,696800,104.268745
"736",111.110001,112.809998,111.110001,111.18,761400,104.683029
"737",111.690002,112.540001,110.980003,112.360001,530900,105.794067
"738",113.330002,113.959999,113.059998,113.290001,496300,106.669731
"739",113.510002,113.779999,112.910004,113.540001,539800,106.905121
"740",111.550003,112.349998,111.160004,111.360001,720600,104.852509
"741",111.93,112.370003,111.489998,111.559998,569500,105.040825
"742",111.959999,113.410004,111.199997,112.18,854500,105.624588
"743",112.080002,112.529999,110.589996,111.040001,579300,104.551201
"744",112.120003,112.18,109.720001,110.010002,1105500,103.581406
"745",110.300003,112.720001,110.300003,112.309998,808500,105.746986
"746",112.139999,112.260002,111.300003,111.779999,526300,105.247955
"747",111.809998,112.629997,111.139999,111.669998,644100,105.892784
"748",112.139999,112.589996,111.629997,112.43,1990100,106.61348
"749",112.389999,113.059998,111.68,113.040001,442300,107.191902
"750",113.07,113.099998,111.970001,112.269997,153900,106.461739
"751",112.349998,112.349998,111.730003,112.230003,188000,106.42382
"752",112.510002,112.639999,111.599998,111.769997,323500,105.987595
"753",111.68,112.029999,111.07,111.720001,409300,105.940201
"754",111.599998,112.120003,111.239998,111.989998,367300,106.196228
"755",112.889999,112.889999,110.360001,110.720001,860800,104.991928
"756",109.480003,110.199997,109.010002,109.220001,844700,103.569534
"757",108.769997,109,105.900002,105.970001,1051500,100.487671
"758",104.940002,105.370003,103.550003,104.849998,1285200,99.425621
"759",104.93,106,104.129997,105.720001,691700,100.250603
"760",106.019997,106.459999,104.940002,105.029999,850500,99.596313
"761",105.400002,106.57,105.080002,105.68,688900,100.212669
"762",105.82,107.400002,105.449997,107.339996,957400,101.786797
"763",107.580002,108.980003,106.050003,106.650002,984100,101.1325
"764",106.260002,108.260002,105.879997,108.239998,739900,102.640228
"765",108.709999,109.93,107.989998,109.080002,577800,103.436775
"766",109.230003,109.980003,108.699997,109.040001,754000,103.398849
"767",106.790001,107.059998,103.650002,106.089996,1380700,100.601463
"768",106.639999,107.279999,106.160004,106.300003,585400,100.800606
"769",105.779999,107.470001,104.919998,107.059998,418000,101.521271
"770",106.709999,106.709999,104.900002,105.650002,756400,100.184227
"771",103.849998,104.779999,103.559998,104.040001,643000,98.657516
"772",104.760002,104.760002,103.419998,104.400002,784800,98.998894
"773",104.75,105.989998,103.93,104.940002,1113600,99.510956
"774",98.150002,102.389999,97.110001,99.620003,2457300,94.466194
"775",98.169998,98.220001,95,95.75,1763600,90.796394
"776",96.279999,97.610001,95.57,97.150002,1455800,92.12397
"777",98.440002,99.839996,98.110001,99.470001,1005200,94.323944
"778",101.099998,103.870003,101.099998,103.809998,1009700,98.439415
"779",104.410004,104.620003,103.32,104.330002,847000,98.932526
"780",103.68,103.82,101.239998,101.379997,528700,96.135139
