"","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"764",181.289993,182.440002,179.850006,180.729996,2600800,173.642899
"765",181.5,182.490005,180.789993,182.259995,2215400,175.11293
"766",182.860001,184.059998,182.529999,183.229996,2608000,176.044876
"767",183.039993,183.300003,180.470001,180.929993,2188600,173.835083
"768",181.559998,181.880005,179.809998,180.050003,1881700,172.989578
"769",179.809998,180.539993,179.029999,179.580002,2434000,172.53801
"770",179.919998,180.259995,176.490005,177.130005,2737000,170.184097
"771",174.270004,175.339996,173.470001,173.539993,2491500,166.734818
"772",174.119995,176.75,173.240005,175.460007,2178400,168.57959
"773",177,177.740005,175.630005,175.669998,2199000,168.781342
"774",173.800003,178.770004,173.800003,178.339996,3076100,171.346634
"775",177.910004,177.910004,171.339996,173.220001,5500000,166.427414
"776",174.460007,175.619995,170.669998,171.320007,3542700,164.601913
"777",174.080002,176.059998,174,175.210007,2992500,168.339386
"778",176.910004,177.630005,175.399994,176.899994,2818100,169.963074
"779",178,178,176.160004,176.350006,2427500,169.434677
"780",175.850006,176.720001,174.699997,175.279999,3254500,168.406601
"781",174.919998,177.119995,174.110001,176.949997,2399700,170.011139
"782",178.25,179.940002,177.199997,179.149994,2948500,172.124863
"783",179.479996,181.639999,179.050003,181.179993,2950800,174.075256
"784",180.330002,180.949997,178.690002,180.119995,1985700,173.056854
"785",180.509995,181.860001,179.979996,180.809998,2489000,173.719788
"786",180.100006,180.490005,178.949997,179.419998,1818600,172.384293
"787",179.830002,181.679993,179.5,180.860001,2464500,173.767822
"788",180.929993,182.210007,179.009995,180.699997,2336800,173.61409
"789",179.610001,180.990005,178.75,179.880005,1940400,172.826233
"790",174.440002,177.369995,173.460007,175.270004,3204300,168.397018
"791",175.639999,176.550003,166.830002,167.800003,4092200,161.21994
"792",168.589996,172.080002,166.770004,167.179993,3411700,160.624252
"793",163.009995,166.830002,159.520004,159.550003,3951300,154.123169
"794",153.75,162.169998,150.619995,162.169998,9558100,156.654053
"795",163.089996,165.479996,157.589996,164.240005,6744900,158.653656
"796",164.279999,168.179993,160.559998,161.889999,6108500,156.383575
"797",164.899994,171.929993,164.259995,171.190002,4532500,165.367264
"798",166.5,167.910004,163.220001,164.919998,5394700,159.310532
"799",158.809998,165.119995,157.580002,164.029999,5021600,158.45079
"800",152.5,157.259995,149.740005,152.860001,5849000,147.660706
"801",155.850006,161.940002,153.350006,161.690002,5477600,156.190384
"802",156.830002,157.479996,151.559998,153.389999,4826900,148.172668
"803",143.389999,145.479996,134.440002,134.850006,7170500,130.263306
"804",142.149994,149.679993,138.020004,149.410004,6324800,144.328064
"805",128,143.229996,124.010002,135.270004,5891000,130.669022
"806",136.229996,141.970001,130.190002,131.800003,8524800,127.31707
"807",121.919998,124.129997,101.099998,119.610001,7633900,115.541656
"808",117.75,122.419998,112.019997,118.959999,6814100,114.91378
"809",120.889999,121.160004,110.779999,112.5,6801200,108.673485
"810",107.489998,111.080002,101.080002,103.860001,8200400,100.327362
"811",110,119.529999,109.25,119.510002,5799100,115.445053
"812",120.290001,135.339996,119.800003,129.649994,7159100,125.240158
"813",131.830002,139.389999,131.160004,137.399994,5594400,132.726563
"814",131.419998,135.210007,128.139999,131.270004,3924900,126.805054
"815",130.75,133.759995,130.130005,131.75,5035700,127.268745
"816",131.839996,136.110001,130,133.789993,5296000,129.239349
"817",128.279999,131.279999,125.5,129.710007,4246100,125.298134
"818",128.600006,133.149994,127.139999,132.809998,3504200,128.292679
"819",132.5,132.839996,126.529999,127.449997,4031500,123.114998
"820",133.520004,135.369995,132.509995,134,4874300,129.442215
"821",140.639999,142.220001,135,135.240005,4051700,130.640045
"822",136.669998,140.380005,135.210007,139.25,3890600,134.513641
"823",140,146.300003,139.699997,143.429993,4365000,138.551453
"824",142.759995,143.210007,136.509995,137.940002,3016300,133.248184
"825",140.710007,143.729996,138.550003,140.589996,3486600,135.80806
"826",137.570007,137.970001,132.509995,134.839996,3252800,130.253632
"827",134.580002,135.300003,129.580002,132.330002,4016700,127.829025
"828",135.869995,140.199997,135.669998,138.320007,4750700,133.615295
"829",135.789993,138.190002,134.889999,135.699997,2529000,131.084366
"830",133.070007,134.020004,130.720001,132,2418100,127.510223
"831",134.220001,134.710007,131.75,133.029999,2629700,128.505203
"832",134.75,138.589996,134.160004,134.679993,2786400,130.099075
"833",135.699997,136.240005,132.360001,135.520004,2837900,130.910507
"834",136.529999,141.080002,135.779999,139.880005,3137700,135.122238
"835",143.320007,146.589996,142.119995,142.759995,3377900,137.904236
"836",145.5,147.869995,144.009995,146.160004,2651200,141.188614
"837",143.490005,143.990005,140.559998,141.899994,4492600,137.073486
"838",139.330002,139.5,134.169998,137.25,3681100,132.58168
"839",133.899994,136.360001,132.809998,135.199997,4123000,130.60141
"840",137.089996,137.089996,134.529999,134.869995,3122300,130.282623
"841",136.110001,136.110001,132.979996,133.039993,2349500,128.514862
"842",134.619995,135.649994,132.009995,132.789993,3096500,128.273361
"843",134.669998,137.320007,134.399994,136.910004,2740400,132.253235
"844",135.759995,135.919998,134.149994,134.279999,2356400,129.712692
"845",135.320007,136.029999,127.5,127.589996,4870400,123.250237
"846",127.129997,127.139999,121.879997,122.970001,5786200,118.787369
"847",120.269997,127.260002,117.110001,127.050003,5226200,123.633453
"848",125.370003,126.660004,123.730003,125.410004,4660300,122.037567
"849",130.5,137.589996,129.679993,136.039993,6402800,132.381683
"850",135.25,135.419998,131.940002,131.949997,4427800,128.401688
"851",134.550003,136.679993,134.259995,136.029999,2949700,132.371979
"852",137.529999,138.789993,136.289993,137.690002,2374300,133.987335
"853",137.470001,139.339996,136.449997,139.179993,2958000,135.437256
"854",143.770004,146.259995,143.410004,144.940002,4370200,141.042374
"855",148.360001,150.940002,146.869995,148.589996,4291700,144.594223
"856",150,151.210007,144.679993,147.559998,3481800,143.591919
"857",145.720001,149.899994,144.330002,145.850006,4135000,141.927902
"858",145.490005,147.789993,144.910004,146.179993,2071100,142.249008
"859",147.789993,148.729996,146.449997,148.350006,3625800,144.360672
"860",150.240005,154.380005,150.050003,153.350006,2992700,149.226227
"861",152.009995,156.179993,151.130005,155.910004,3768200,151.717392
"862",162.910004,165.720001,160.539993,161.369995,4524900,157.030563
"863",161.570007,164.300003,161.070007,162.919998,3573400,158.538864
"864",160.360001,161,157.539993,158.100006,3679100,153.848495
"865",157.720001,157.850006,153.429993,154.119995,3309800,149.975494
"866",148.660004,148.820007,143.089996,143.440002,4184900,139.582733
"867",148.210007,149,141.149994,144.509995,3612400,140.623947
