"","OKE.Open","OKE.High","OKE.Low","OKE.Close","OKE.Volume","OKE.Adjusted"
"688",73.32,73.669998,72.839996,73.489998,3012200,60.477104
"689",73.32,73.849998,73.040001,73.300003,1651600,60.320747
"690",73.099998,73.739998,73.099998,73.690002,1775300,60.641689
"691",73.949997,74.220001,72.690002,72.709999,1618600,59.835213
"692",72.360001,72.440002,71.57,71.629997,1873300,58.946457
"693",71.18,72.309998,70.660004,71.989998,1448100,59.242699
"694",71.989998,72.440002,71.629997,72.029999,1400900,59.275627
"695",72.050003,72.110001,70.720001,70.720001,1398600,58.197578
"696",70.199997,70.510002,68.080002,68.199997,2990000,56.123802
"697",68.900002,69.459999,68.5,68.610001,1902900,56.461201
"698",68.730003,69.339996,68.160004,68.970001,1697600,56.757458
"699",69.529999,70.059998,69.150002,69.510002,1960500,57.201847
"700",69.129997,69.32,68.330002,69.139999,1387400,56.897358
"701",69.059998,70.080002,69.040001,69.25,1844200,56.987881
"702",68.82,69.110001,68.199997,68.449997,1915300,56.32954
"703",68.510002,68.919998,68.07,68.669998,1324600,56.510578
"704",68.730003,69.580002,68.669998,69.199997,1772900,56.946728
"705",69.339996,69.669998,69.080002,69.599998,1314400,57.275906
"706",69.82,71.660004,69.709999,70.330002,2900600,57.876644
"707",70.040001,70.970001,69.529999,70.910004,1687800,58.353947
"708",71.470001,72.010002,71.080002,71.290001,1674900,58.666656
"709",71.330002,71.690002,70.75,71.550003,1287300,58.880623
"710",71.769997,72.470001,70.889999,71.18,1878000,58.576138
"711",70.949997,71.919998,70.660004,71.620003,2352000,58.938225
"712",71.339996,72.5,69.18,69.989998,2964500,57.596844
"713",69.690002,70.339996,69.07,69.830002,2631500,57.465183
"714",69.169998,70.309998,68.660004,70.25,1747300,58.578381
"715",71.360001,72.139999,70.959999,71.919998,2153800,59.970913
"716",72.260002,72.559998,71.18,71.839996,1613600,59.904205
"717",71.550003,72.029999,70.540001,70.760002,2005000,59.003643
"718",71.230003,71.389999,69.519997,69.769997,2083100,58.17812
"719",69.779999,70.5,69.309998,70.480003,1755000,58.770168
"720",69.720001,70.260002,69.529999,69.919998,1528500,58.303211
"721",70.059998,70.919998,69.940002,70.199997,1742900,58.536682
"722",70.139999,71.139999,69.709999,70.660004,1498200,58.920261
"723",70.940002,71.080002,69.900002,70.160004,1667400,58.503334
"724",70.540001,71.360001,70.480003,71.290001,1731500,59.445583
"725",71.040001,71.169998,70.550003,70.790001,1489800,59.028667
"726",70.470001,70.57,69.720001,69.760002,1756200,58.169792
"727",69.699997,71.099998,69.580002,70.790001,1738200,59.028667
"728",71.010002,71.459999,70.230003,71.419998,1661800,59.553982
"729",71.690002,72.230003,71.5,71.629997,1455600,59.729103
"730",71.730003,72.150002,71.589996,71.989998,1214300,60.029282
"731",71.989998,72.290001,71.330002,71.809998,2062700,59.879192
"732",71.949997,71.949997,70.410004,71.43,1740100,59.562325
"733",71.160004,71.529999,70.650002,71.050003,967400,59.245468
"734",71.32,71.790001,70.68,70.82,1913500,59.053669
"735",70.470001,70.5,69.790001,70.190002,1683200,58.528347
"736",70.599998,71.309998,70.400002,70.830002,1840700,59.062019
