"","COO.Open","COO.High","COO.Low","COO.Close","COO.Volume","COO.Adjusted"
"454",258.399994,259.100006,253.990005,254.210007,209100,254.072693
"455",255.050003,255.360001,252.869995,254.279999,158100,254.142624
"456",251.119995,255.839996,248.100006,253.779999,221100,253.642914
"457",253.889999,256.429993,248.100006,248.570007,195400,248.435745
"458",249.419998,252.649994,245.770004,250.550003,181400,250.414627
"459",247.830002,250.770004,243.850006,247.850006,217500,247.716095
"460",249.789993,252.429993,244.820007,247.699997,252000,247.566177
"461",249.139999,254.600006,248.710007,254.289993,231100,254.152618
"462",255.520004,262.570007,254.289993,258.309998,355800,258.170441
"463",259.679993,263.540009,258.309998,263.079987,235100,262.937866
"464",264.459991,265.98999,261.799988,263.429993,190500,263.287689
"465",264,265.559998,254.740005,258.25,315100,258.110504
"466",256.899994,260.440002,256.899994,259.640015,244900,259.499756
"467",261,268.399994,261,265.850006,244500,265.70639
"468",265.980011,268.269989,264.850006,267.630005,225400,267.485443
"469",267.5,270.339996,265.220001,267.799988,204600,267.655304
"470",267.829987,267.829987,260.549988,261.75,356700,261.608643
"471",261.600006,263.459991,254.160004,255,338200,254.862259
"472",257.049988,262.100006,251.75,254.059998,251200,253.922775
"473",252.479996,258.059998,250.460007,257.209991,284900,257.071045
"474",256.329987,265.709991,253.369995,265.029999,270000,264.886841
"475",265.570007,265.570007,255.100006,256.799988,291400,256.661285
"476",253.75,261.230011,252.360001,260.899994,311300,260.759094
"477",261.23999,267.809998,261.23999,265.920013,300400,265.776398
"478",264.609985,270.350006,264.609985,270.079987,154600,269.934082
"479",273,274.98999,270.959991,272.519989,380500,272.372772
"480",272.070007,274.299988,269.5,273.640015,291800,273.492188
"481",273.329987,273.920013,269.100006,273.380005,609600,273.232361
"482",272.26001,278.609985,272.26001,277.420013,355900,277.270172
"483",279.220001,281.75,275.920013,278.829987,511000,278.679352
"484",279.929993,283.179993,279.790009,281.660004,585400,281.507874
"485",282.380005,282.859985,273.940002,274.899994,530500,274.751495
"486",273.109985,277.890015,264.779999,277.029999,635300,276.880371
"487",263.48999,272,242.649994,243.009995,1253700,242.878723
"488",242.649994,254.699997,241.149994,253.080002,784600,252.943298
"489",256.089996,260.769989,249.199997,254.770004,476400,254.63237
"490",257.950012,260.899994,254.419998,254.729996,328300,254.592392
"491",257.720001,259.579987,254.449997,256.880005,335100,256.741211
"492",255.080002,255.080002,248.649994,249.970001,326700,249.834976
"493",247.470001,249.850006,241.809998,244.460007,416300,244.327957
"494",246.440002,249.050003,245.600006,247.220001,546400,247.086456
"495",247.960007,249.669998,241.949997,243.589996,435900,243.45842
"496",242.690002,244.149994,234.470001,236.779999,543700,236.6521
"497",234.429993,239.369995,234.429993,236.580002,721000,236.452194
"498",235.929993,235.929993,228.649994,232.699997,357000,232.57431
"499",233.960007,244.679993,231.860001,244.589996,454400,244.45787
"500",241.839996,252.740005,239.979996,252.179993,878800,252.043747
"501",252.949997,252.949997,246.330002,249.649994,452600,249.515121
"502",251.789993,255.619995,249.360001,254.5,290900,254.362518
