"","ALGN.Open","ALGN.High","ALGN.Low","ALGN.Close","ALGN.Volume","ALGN.Adjusted"
"189",187.160004,187.979996,185.050003,187.220001,705700,187.220001
"190",187.75,188.380005,185.199997,186.449997,558700,186.449997
"191",186.410004,186.869995,184.669998,185.979996,599900,185.979996
"192",185.440002,187.490005,185.210007,186.610001,641600,186.610001
"193",186.990005,191.779999,186.149994,187.039993,1104100,187.039993
"194",186.830002,189.279999,185.490005,188.130005,779800,188.130005
"195",188.529999,189.919998,188.130005,188.669998,665100,188.669998
"196",188.220001,193.190002,188.220001,192.460007,878700,192.460007
"197",192.789993,194.839996,192.199997,192.380005,736700,192.380005
"198",192.580002,193.940002,191.350006,192.809998,699800,192.809998
"199",193.009995,195.600006,192.210007,193.369995,1187500,193.369995
"200",193.460007,196.039993,192.649994,194.270004,805600,194.270004
"201",194.720001,196,193.619995,194.229996,775700,194.229996
"202",194.229996,196.889999,191.800003,196.850006,928100,196.850006
"203",196.669998,201.699997,196.669998,200.880005,2882500,200.880005
"204",205.449997,205.990005,202.460007,202.759995,1243700,202.759995
"205",202.759995,205.070007,198.440002,203.720001,1112200,203.720001
"206",203,203.889999,200.270004,201.75,1106000,201.75
"207",202.589996,207.649994,199.449997,202.979996,1933400,202.979996
"208",225.639999,239.830002,223.559998,235.940002,3295000,235.940002
"209",234.350006,243.270004,233.360001,235.570007,1407500,235.570007
"210",235.100006,240.660004,235.050003,238.979996,951700,238.979996
"211",243,244.600006,232.309998,234.949997,1441600,234.949997
"212",235.380005,237.949997,233,233.470001,1036800,233.470001
"213",233.850006,242.550003,233.850006,241.350006,1034900,241.350006
"214",244.020004,246.830002,238.589996,244.5,1063600,244.5
"215",245,246.839996,243.660004,246.460007,613000,246.460007
"216",246,253.649994,246,252.740005,1080500,252.740005
"217",251.800003,254.190002,245.529999,249.630005,1314700,249.630005
"218",249.380005,251.020004,246.259995,249.460007,927600,249.460007
"219",249.289993,257.600006,248.289993,253.729996,952400,253.729996
"220",251.779999,256.100006,251,254.020004,948300,254.020004
"221",252.240005,253.639999,243,249.190002,1465100,249.190002
