"","OTIS.Open","OTIS.High","OTIS.Low","OTIS.Close","OTIS.Volume","OTIS.Adjusted"
"52",54.16,54.75,53.290001,54.150002,2638100,53.34301
"53",55,55.580002,54.549999,55.470001,4134500,54.643337
"54",55.299999,56.66,54.689999,55.400002,3281300,54.574383
"55",57.830002,58.709,56,58.57,4615100,57.697136
"56",58.68,61.32,58.360001,61.259998,5966500,60.347042
"57",60.400002,61.459999,59.240002,60.650002,4610200,59.746143
"58",60.610001,60.959999,59.02,59.029999,2658300,58.15028
"59",56,58.07,55.705002,56.25,3293900,55.411709
"60",57.73,58.98,55.099998,56.040001,4313000,55.204838
"61",54.509998,57.799999,53.830002,57.669998,4464300,56.810547
"62",59.5,59.799999,57.375,57.849998,3510300,56.987862
"63",58.119999,58.189999,56.459999,56.740002,2441500,55.894409
"64",56.439999,57.68,56.240002,57.490002,2137500,56.633236
"65",58.959999,58.959999,55.950001,57,7096100,56.150536
"66",56.880001,58.18,56.639999,57.060001,2027000,56.209641
"67",57.689999,57.869999,56.59,56.799999,2386900,55.95351
"68",56.150002,56.970001,55.25,55.540001,3022000,54.712296
"69",55.049999,56.5,54.759998,56.200001,2942900,55.362453
"70",56.23,56.48,54.442001,55.790001,6634300,54.958565
"71",55.889999,56.799999,55.330002,56.57,2257300,55.72694
"72",55.970001,57.099998,55.509998,56.860001,2518100,56.012615
"73",57,57,55.75,55.779999,2400200,54.948715
"74",56.43,57.240002,55.77,56.5,3162900,55.657986
"75",57.380001,57.580002,56.43,56.860001,1999100,56.012615
"76",56.43,57.310001,56.119999,56.82,2537900,55.973217
"77",57.029999,57.150002,56.27,56.919998,6694900,56.071724
"78",56.860001,57.939999,56.07,56.110001,2424200,55.2738
"79",56.23,57.310001,56.040001,56.98,2137300,56.130833
"80",56.560001,57.939999,56.465,56.889999,2882500,56.042175
"81",56.220001,57.450001,56.029999,57.369999,2755100,56.515018
"82",58.009998,59,57.860001,58.200001,2358400,57.332649
"83",58,58.560001,57.658001,58.32,2628800,57.450867
"84",58.73,59.029999,58.150002,58.549999,2983100,57.677437
"85",58.419998,59.650002,57.990002,58.560001,2407800,57.68729
"86",58.380001,58.939999,58.099998,58.439999,2314000,57.569073
"87",57.959999,58.93,57.68,58.48,2034300,57.608479
"88",58.5,59.467999,58.34,59.060001,2566500,58.17984
"89",59.18,59.195,57.630001,58.130001,3142100,57.263695
"90",57.860001,58.439999,57.599998,58.32,2670300,57.450867
"91",59.82,61.830002,59.700001,60.279999,4473600,59.381653
"92",60.959999,64.360001,60.959999,64.300003,4885400,63.341747
"93",63.439999,64.519997,63.150002,63.389999,2307000,62.445301
"94",63.439999,63.439999,62.18,62.740002,3156100,61.804993
"95",63.02,63.82,62.740002,63.209999,3200500,62.267986
"96",62.580002,62.900002,61.970001,62.610001,1739400,61.676933
"97",62.740002,63.650002,62.34,63.09,2645000,62.149769
"98",62.889999,63.52,62.865002,63.48,1557400,62.533958
"99",63.16,64.470001,63.16,64.410004,1169100,63.450108
"100",64.290001,65.300003,64.290001,65.209999,1572700,64.238182
"101",65.519997,65.949997,64.330002,64.370003,2787700,63.410698
"102",64.970001,65.470001,64.220001,64.900002,1496600,63.932804
"103",64.959999,64.959999,63.830002,64,1436200,63.046215
"104",63.709999,64.510002,63.599998,64.07,1633900,63.115166
"105",64.459999,64.529999,63.709999,63.959999,1785500,63.006805
"106",63.849998,64.400002,63.375,63.450001,1680200,62.50441
"107",63.48,63.59,62.59,62.919998,1549000,61.982304
"108",62.16,63.25,61.810001,62.970001,1291500,62.229366
"109",63.029999,63.740002,62.59,63.630001,2649500,62.881603
"110",63.610001,64.230003,63.040001,63.799999,3199900,63.049603
"111",64.410004,64.809998,63.904999,64.290001,1604100,63.533848
"112",64.279999,64.790001,63.748001,64.18,1161900,63.425137
"113",64.470001,64.904999,63.169998,63.23,1341700,62.486309
"114",63.27,63.630001,62.650002,63.59,1129900,62.842075
"115",63.610001,63.84,62.84,62.900002,1736400,62.160191
"116",62.52,64.279999,62.325001,64.050003,2334100,63.296669
"117",63.73,65.559998,63.650002,65.339996,1827200,64.571487
"118",64.879997,65.449997,61.060001,61.849998,3096800,61.12254
"119",62.5,62.599998,60.43,61.490002,2697000,60.766777
"120",61.43,61.75,60.459999,60.630001,2137900,59.916893
"121",61.029999,62.529999,61,62.080002,1888500,61.349838
"122",61.98,61.98,59.73,59.900002,3828900,59.19548
"123",60.259998,60.709999,59.775002,60.139999,2273400,59.432652
"124",60.57,60.57,59.067001,59.990002,2420100,59.284424
"125",60.029999,61.619999,60.029999,60.299999,1629400,59.590771
"126",60.860001,61.009998,59.400002,59.790001,2457000,59.086769
"127",58.75,61.09,58.040001,61.040001,2219900,60.322071
"128",61.16,62.639999,60.389999,60.880001,3806500,60.163956
"129",60,60.220001,58.669998,59.41,2512100,58.711239
"130",58.939999,61.119999,58.860001,60.990002,1841500,60.272659
"131",60.77,61.77,60.200001,60.41,1733700,59.699474
"132",60.849998,62.75,60.459999,62.080002,2374800,61.349838
"133",61.610001,62.349998,61.189999,61.549999,1557600,60.826073
"134",62.27,62.880001,61.900002,62.509998,1233900,61.77478
"135",62.419998,62.759998,61.880001,62.41,1435400,61.675957
"136",62.709999,63.599998,61.950001,62.419998,2494000,61.685837
"137",62.869999,64.220001,61.759998,62.369999,2342500,61.636425
"138",61.619999,63.439999,61.509998,63.16,1447800,62.417133
"139",63.740002,64.629997,63.235001,64.540001,1447700,63.780899
"140",64.43,65,63.485001,63.830002,2107000,63.079254
"141",64.629997,65.620003,64.375,65.050003,1648100,64.284912
"142",64.790001,65.510002,64.480003,64.709999,1213200,63.948902
"143",65.019997,65.669998,64.300003,65.349998,1187000,64.581375
"144",65.849998,65.985001,65.169998,65.690002,1185800,64.917381
"145",65.160004,65.800003,64.615997,65.129997,1415900,64.363968
"146",65.5,66,64.529999,65.610001,1633600,64.838326
"147",64.669998,65.434998,64.010002,65.199997,982100,64.433136
"148",65.300003,65.809998,64.809998,65.029999,1047500,64.265137
"149",64.900002,65.440002,64.080002,64.360001,910500,63.603016
"150",64.68,65.739998,64.339996,64.389999,720000,63.632668
"151",64.25,64.830002,63.709999,63.720001,1082600,62.970547
"152",63.990002,63.990002,62.98,63.240002,4980300,62.496193
"153",63.470001,64.019997,63.119999,63.450001,2308600,62.703724
"154",63.84,63.889999,61.369999,63.209999,3026000,62.466549
"155",62.91,63.240002,61.860001,61.970001,1973200,61.241135
"156",61.009998,61.259998,58.77,58.990002,2570900,58.296185
"157",58.889999,61.189999,58.799999,60.790001,2122600,60.075012
"158",60.349998,61.299999,59.799999,61.279999,2036100,60.559246
"159",62.189999,62.77,61.09,62.139999,1819100,61.409134
"160",62.93,63.849998,62.080002,62.709999,1545600,61.972431
"161",62.68,63.645,61.950001,62.299999,2042700,61.567249
"162",63.32,63.950001,62.59,62.630001,1495700,61.893372
"163",62.970001,63.810001,62.669998,63.580002,1145800,62.832195
"164",67,67.290001,63.43,63.5,2420100,62.753136
"165",63.380001,65.917999,63.32,65.739998,2174600,64.966789
"166",65.860001,66.330002,64.739998,66.120003,1319500,65.342323
"167",66.18,66.459999,65.419998,65.989998,1774700,65.213844
"168",66.239998,66.739998,65.230003,65.57,1438500,64.798782
"169",66.220001,67.639999,65.68,67.389999,2338900,66.597389
"170",67.160004,67.949997,66.305,67.199997,1465000,66.409615
"171",67.309998,67.980003,66.510002,66.629997,2182800,65.846321
"172",66.629997,67.190002,65.599998,66.160004,1809900,65.578697
"173",66.089996,66.739998,66,66.32,1811200,65.737282
"174",66.639999,67.529999,66.550003,67.25,1885500,66.659119
"175",68.040001,68.040001,66.879997,67.400002,4738800,66.8078
"176",67.440002,67.470001,66.419998,67.379997,1125400,66.787971
"177",67.550003,68.209999,66.900002,67.339996,1645000,66.748322
"178",66.839996,67.699997,66.379997,66.940002,1831000,66.351845
"179",67.419998,68.160004,66.769997,66.830002,2928100,66.242805
"180",66.919998,67.269997,65.559998,65.690002,1379600,65.112823
"181",65.769997,66.849998,65.360001,65.489998,1061900,64.914574
"182",65.650002,66.042999,64.879997,65.160004,2054300,64.587479
"183",64.980003,65.309998,64.010002,64.849998,1917600,64.280197
"184",64.779999,66.150002,64.68,66.110001,2641500,65.529137
"185",65.75,66.209999,65.190002,65.489998,1668600,64.914574
"186",65.209999,66.139999,63.849998,64,2056600,63.437672
"187",63.330002,63.880001,62.950001,63.73,2023900,63.17004
"188",64.489998,64.489998,62.52,62.779999,1377800,62.228394
"189",63.110001,65.589996,62.959999,64.730003,2041100,64.161263
"190",64.93,65.330002,64.339996,65.239998,1760600,64.666771
"191",65.75,66.32,65.5,65.790001,1873700,65.211945
"192",65.989998,66.199997,64.540001,65.610001,4028700,65.033531
"193",64.940002,66.480003,64.599998,66.150002,2201300,65.568779
"194",65.839996,65.989998,65.095001,65.410004,1151500,64.835289
"195",65.489998,66.239998,65.300003,65.629997,972500,65.053352
"196",65.449997,65.980003,65.290001,65.790001,992100,65.211945
"197",66.18,66.599998,65.540001,66,786400,65.420097
"198",66.309998,66.599998,65.129997,65.690002,1008400,65.112823
"199",65.790001,66.830002,65.790001,66.720001,1082200,66.133774
"200",66.860001,67.690002,66.57,67.550003,1238200,66.956482
