"","DFS.Open","DFS.High","DFS.Low","DFS.Close","DFS.Volume","DFS.Adjusted"
"235",72.75,73.349998,72.699997,72.940002,2309500,67.008865
"236",72.529999,73.830002,72.25,73.449997,1605900,67.477371
"237",73.690002,73.800003,73.110001,73.800003,1851300,67.79892
"238",74.129997,74.68,73.739998,74.349998,2368800,68.304184
"239",74.660004,75.510002,74.550003,75.089996,2196900,68.984016
"240",74.839996,75.099998,73.730003,73.82,2213100,67.817276
"241",73.980003,74.389999,73.43,73.669998,1316300,67.679489
"242",74.019997,75.160004,73.849998,74.589996,5182600,68.524666
"243",75.489998,76.879997,75.279999,75.959999,3157800,69.783272
"244",76.349998,76.720001,75.830002,75.949997,2403700,69.774078
"245",76.519997,76.519997,75.660004,75.739998,1920200,69.581161
"246",76.150002,76.510002,75.75,76.040001,2073400,69.856766
"247",76.190002,77.25,76.099998,77.129997,2224300,70.858109
"248",77.029999,77.519997,76.970001,77.260002,1073500,70.977577
"249",77.150002,77.150002,76.519997,76.959999,2108300,70.701965
"250",77,77.540001,76.980003,77.5,1909700,71.198059
"251",77.790001,77.790001,76.919998,76.919998,1481300,70.665207
"252",77.239998,77.470001,76.379997,76.910004,3122500,70.656036
"253",77.110001,77.660004,77.110001,77.480003,1921200,71.179688
"254",78,78.830002,77.809998,78.25,1994700,71.887062
"255",78.529999,78.529999,77.339996,78.160004,1642600,71.804375
"256",78.160004,78.190002,77.440002,77.57,1762300,71.262352
"257",77.830002,78.419998,77.410004,78.239998,2306000,71.877861
"258",78.410004,79.910004,78.379997,79.470001,2490900,73.007866
"259",79.75,80.379997,79.440002,80.360001,1951100,73.825485
"260",80.860001,81,80.220001,80.510002,2078400,73.96328
"261",81,81.230003,78.559998,78.940002,1985000,72.52095
"262",79.300003,79.300003,78.370003,78.93,2441200,72.511765
"263",79.07,79.139999,78.120003,78.220001,1701000,71.859505
"264",78.18,78.389999,77.120003,78.32,4342400,71.951378
"265",78.089996,78.910004,77.830002,78.870003,1817800,72.45665
"266",78.529999,78.959999,77.599998,78.720001,2866700,72.318848
"267",78.970001,79.529999,78.339996,78.739998,3210900,72.337219
"268",78.279999,81.25,78.050003,80.300003,3049200,73.770386
"269",80.510002,80.989998,79.440002,80.980003,2365400,74.395081
"270",80.75,81.93,80.75,81.309998,2015400,74.698227
"271",81.440002,81.440002,79.720001,79.720001,1775500,73.237526
"272",80.32,80.690002,79.690002,79.800003,1700900,73.31102
"273",79.510002,80.800003,79.309998,80.620003,2120700,74.064339
"274",80.449997,80.839996,78.849998,78.970001,2176100,72.548523
"275",77.790001,79.330002,74.5,74.879997,2659300,68.791077
"276",73.07,76.339996,71.309998,76.139999,3309300,69.948647
"277",75.669998,77.57,75.669998,76.629997,1854600,70.398804
"278",76.720001,76.720001,72.330002,72.400002,2845900,66.512756
"279",73.269997,74.739998,71.599998,74.110001,3052200,68.08371
"280",74.900002,76.839996,74.580002,75.949997,2100300,69.774078
"281",75.620003,76.529999,75.269997,76.5,1764500,70.279366
"282",76.260002,77.739998,76.129997,77.610001,1847400,71.299095
"283",78.330002,79.269997,78.099998,78.57,2180100,72.181046
"284",78.349998,80.089996,78.349998,79.529999,2138200,73.062981
"285",79.110001,80.220001,79.010002,79.629997,2271600,73.154839
"286",79.080002,80.449997,78.519997,78.589996,2667600,72.518143
"287",79,79.169998,77.599998,77.75,2223200,71.743065
"288",78.32,79.449997,78.129997,79.419998,1307200,73.284019
"289",79.470001,80.489998,78.949997,80.43,2055700,74.215996
"290",80.5,81.339996,79.559998,79.559998,2021600,73.413216
"291",80,80.760002,78.809998,78.830002,2172100,72.739601
"292",78.639999,79.339996,74.629997,75.209999,4146100,69.399284
"293",74.809998,75.959999,74.239998,75.839996,2470400,69.980606
"294",75.370003,77.379997,74.900002,77.07,1829100,71.115578
"295",77.18,77.440002,75.779999,76.809998,1708500,70.875679
"296",75.790001,76.760002,75.519997,76.629997,1633400,70.709587
"297",76.910004,77.290001,76.010002,77.099998,1324100,71.143257
"298",77.769997,78.489998,77.199997,78.419998,2943200,72.361282
"299",78.620003,78.82,78.040001,78.150002,1640400,72.11216
"300",78.650002,78.650002,77.019997,77.330002,2283200,71.355507
"301",77.779999,77.82,76.139999,76.459999,1999300,70.552727
"302",76.730003,76.879997,74.879997,75.370003,2480300,69.546944
"303",75.720001,77.010002,75.379997,76.540001,3233500,70.626526
"304",76.400002,76.739998,75.169998,76.040001,2021300,70.165161
"305",76.260002,76.480003,75.300003,75.360001,2218100,69.537697
"306",75.379997,76.040001,74.830002,74.860001,2992200,69.076324
"307",74.279999,74.769997,71.75,71.889999,2602300,66.335793
"308",72.139999,72.360001,69.980003,70.07,2715500,64.656403
"309",71.019997,72.010002,70.260002,71.790001,1809700,66.243538
"310",72.190002,72.510002,69.669998,70.230003,2403900,64.804054
"311",70.290001,71.089996,69.550003,70.279999,2811800,64.850174
"312",70.400002,72.080002,70.110001,71.93,2655400,66.372711
"313",71.410004,71.529999,68.559998,69.580002,2496400,64.204254
"314",69.980003,70.639999,69.089996,70.599998,2394400,65.14547
"315",69.269997,71.879997,69.099998,71.690002,2139100,66.151245
"316",72.089996,72.629997,71.550003,72.129997,1836800,66.557251
"317",71.309998,71.800003,69.68,70.339996,1509700,64.90554
"318",71.190002,72.32,70.580002,70.669998,1374000,65.21006
"319",71.809998,72.269997,71.279999,71.900002,1689200,66.345024
"320",70.970001,71.849998,70.730003,70.900002,1294000,65.422295
"321",71.400002,72.25,71.300003,71.610001,1508200,66.077423
"322",72.260002,72.510002,70.220001,70.540001,1886800,65.090096
"323",70.900002,72.190002,70.639999,71.559998,2005800,66.031281
"324",72.379997,72.620003,71.690002,71.919998,2097200,66.363487
"325",72.209999,72.800003,72.040001,72.089996,1429300,66.520332
"326",72.330002,73.519997,72.300003,73.290001,1687900,67.627632
"327",73.57,74.07,72.93,73.32,2463900,67.655304
"328",73.550003,73.730003,72.800003,73.309998,1475800,67.646072
"329",73.800003,74.389999,72.489998,72.900002,2413200,67.267776
"330",72.589996,73.050003,71.5,71.860001,4104400,66.308105
"331",71.889999,72.760002,71.5,72.370003,2550700,66.778732
"332",72.349998,72.739998,70.510002,71.220001,3097800,65.717552
"333",71.629997,72.059998,71.239998,71.25,2392800,65.745239
"334",71.089996,71.239998,70.07,70.519997,2228300,65.07164
"335",70.5,71.620003,70.169998,70.5,2249000,65.053185
"336",70.190002,70.190002,68.730003,69.599998,2081800,64.222717
"337",69.160004,71.410004,68.480003,70.870003,1845100,65.3946
"338",71.519997,72.449997,70.980003,71.839996,2617600,66.289642
"339",72.379997,73.5,72.190002,72.870003,2417700,67.240089
"340",73.25,74.550003,73.139999,74.120003,2101000,68.393509
"341",74.120003,75.160004,73.910004,74.879997,1662600,69.09478
"342",75.050003,75.800003,74.68,75.370003,1794900,69.546944
"343",75.580002,75.989998,75.300003,75.449997,1787500,69.620743
"344",75.300003,76.980003,75.300003,76.309998,2371900,70.414307
"345",76.18,77.449997,76.099998,77.43,2050400,71.447777
"346",77.389999,78.059998,76.660004,77.830002,1682300,71.816872
"347",77.639999,77.860001,77.190002,77.230003,1389300,71.263214
"348",77.800003,78.370003,77.550003,77.830002,1069100,71.816872
"349",78.110001,78.970001,78.010002,78.220001,1375800,72.176743
"350",77.5,77.660004,76.290001,77.120003,1832900,71.481583
"351",76.860001,77.040001,75.690002,76.919998,1586500,71.296196
"352",76.889999,76.889999,75.57,76,1682200,70.443451
"353",75,75.110001,72,72.809998,3294600,67.486694
"354",73.540001,74.279999,73.239998,73.980003,2114500,68.571152
"355",73.949997,74.559998,73.32,73.860001,2610900,68.459923
"356",74.580002,74.699997,73.699997,74.010002,1731800,68.598953
"357",74.330002,75.089996,74.089996,74.959999,1477300,69.479515
