"","PNW.Open","PNW.High","PNW.Low","PNW.Close","PNW.Volume","PNW.Adjusted"
"782",98.68,99.330002,98.449997,98.610001,689600,91.637878
"783",98.32,98.830002,98.07,98.650002,649300,91.675049
"784",98.760002,100.220001,98.709999,100.220001,685100,93.134041
"785",100.400002,100.739998,99.879997,100.43,715000,93.329201
"786",100.720001,102.169998,100.449997,101.809998,1066900,94.611626
"787",101.660004,101.980003,101.120003,101.540001,894700,94.360718
"788",101.160004,101.739998,101.019997,101.089996,1309400,93.942535
"789",100.709999,105.510002,100.379997,103.599998,2333700,96.275063
"790",103.309998,103.309998,100.940002,100.940002,1312600,93.803139
"791",100.940002,101.330002,98.339996,98.400002,975000,91.442734
"792",98.760002,99.300003,97.160004,97.199997,978400,90.327568
"793",96.779999,97.620003,93.540001,93.610001,1451900,86.991402
"794",91.379997,91.910004,88.599998,89.489998,1847900,83.162712
"795",90,94.989998,89.589996,94.910004,1534600,88.199493
"796",94.690002,97.529999,94.099998,94.489998,1527000,87.809181
"797",95.68,100.730003,95.68,100.260002,1217500,93.171211
"798",98.389999,100.339996,98.050003,99.669998,989000,92.62294
"799",96.879997,99.709999,95.349998,99.309998,1995700,92.288383
"800",95.790001,97.949997,93.110001,95.370003,1251000,88.626968
"801",96.389999,98.290001,92.309998,96.190002,997200,89.388985
"802",94.110001,94.139999,88.150002,89.550003,1454200,83.218468
"803",81.510002,83.440002,77.830002,80.099998,2171900,74.436607
"804",83.830002,84.379997,76.879997,81.57,1233400,75.802689
"805",75.5,78.260002,67.610001,68.110001,1342800,63.294357
"806",69.970001,74.980003,67.269997,74.830002,1861800,69.539223
"807",70.510002,70.830002,60.049999,65.57,2921200,60.933945
"808",65.260002,72.169998,61.73,68.360001,1860900,63.526676
"809",69.25,72.110001,65.269997,65.550003,1976300,60.915356
"810",64.010002,66.449997,61.220001,62.91,1412400,58.462013
"811",65.699997,71.75,65.080002,71.040001,1116700,66.017197
"812",70.809998,75.879997,67.75,72.660004,1112900,67.522659
"813",72.860001,80.309998,72.32,79.339996,1217500,73.730339
"814",76.260002,79.93,75.129997,77.629997,1084000,72.141251
"815",78.440002,80.209999,76.629997,78.360001,902600,72.819633
