"","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume","ABBV.Adjusted"
"639",68.57,68.949997,68,68.25,8573300,60.823067
"640",68.139999,68.82,68.099998,68.540001,9806900,61.081524
"641",68.5,68.75,67.839996,68,9961800,60.600277
"642",68,68.440002,67.599998,67.730003,8025300,60.359673
"643",67.769997,67.889999,66.760002,67.459999,12595300,60.119045
"644",67.459999,67.870003,66.5,66.660004,12403500,59.406105
"645",67.639999,69.139999,67.370003,67.760002,12259300,60.386398
"646",67.870003,68.410004,66.879997,67.18,10117300,59.869511
"647",66.919998,67.529999,66.260002,67.18,8143700,59.869511
"648",66.910004,67.379997,65.629997,66.620003,11300000,59.370457
"649",66.93,67.199997,65.110001,65.800003,13106700,58.639687
"650",65.5,65.790001,65.029999,65.349998,9653900,58.238647
"651",64.980003,66.120003,64.540001,65.230003,11618800,58.131714
"652",65.269997,65.839996,64.290001,64.769997,10248700,57.721764
"653",64.379997,64.900002,63.310001,64.459999,10532100,57.445499
"654",64.790001,65.449997,64.330002,65.449997,7427400,58.32777
"655",65.370003,66.870003,64.290001,65.580002,10893500,58.44363
"656",65.239998,65.480003,64.080002,64.529999,5258900,57.507885
"657",64.860001,65.93,64.639999,65.010002,7082500,57.935658
"658",64.5,64.989998,63.5,63.5,9373300,56.589973
"659",64.120003,64.239998,62.66,62.98,9195700,56.126549
"660",63.509998,64.809998,63.07,64.43,8348100,57.418766
"661",65.040001,66.879997,64.970001,66.559998,9826300,59.316975
"662",67.379997,68.459999,66.330002,66.410004,12037900,59.183311
"663",67.339996,67.919998,66.599998,67.540001,7615700,60.190338
"664",67.870003,68.029999,66.809998,67.519997,6495700,60.172516
"665",67.279999,67.790001,65.480003,65.970001,8904700,58.791183
"666",66.43,66.93,66.080002,66.459999,4841100,59.227859
"667",66.669998,66.980003,65.489998,65.669998,7591200,58.523834
"668",65.57,66.379997,65.400002,66.07,6872800,58.880306
"669",66.730003,67.029999,65.959999,66.220001,6011900,59.013988
"670",66.400002,66.43,65.489998,65.739998,6415100,58.586212
"671",65.779999,65.800003,64.93,65.400002,7915700,58.283207
"672",65.669998,66.419998,64.440002,66.379997,9618300,59.15657
"673",66.639999,67.300003,66.43,67.029999,5602400,59.73584
"674",67.260002,68.120003,67,67.620003,7502500,60.261635
"675",67.959999,68,66.309998,66.699997,10310900,59.441742
"676",66.07,68.18,65.650002,68.18,12155700,60.760693
"677",68.379997,69.739998,68.059998,69.489998,8369100,61.928143
"678",70.760002,71.169998,70.190002,70.830002,9560100,63.12233
"679",71.150002,71.510002,70.480003,70.510002,8135600,62.837139
"680",70.370003,70.959999,69.720001,70.580002,5992000,62.89954
"681",70.510002,72.089996,70.360001,71.599998,9013500,63.808533
"682",71.68,71.82,70.809998,71.269997,6252600,63.514431
"683",71.400002,71.910004,71.209999,71.669998,5541200,63.870911
"684",72,73,72,72.389999,12968700,64.512558
"685",72.330002,73.779999,72.050003,72.93,8092300,64.993805
