"","TYL.Open","TYL.High","TYL.Low","TYL.Close","TYL.Volume","TYL.Adjusted"
"312",207.020004,211.850006,206.169998,210.960007,140700,210.960007
"313",210.570007,212,203.179993,204.330002,293000,204.330002
"314",205.800003,206.669998,202.25,206.229996,252800,206.229996
"315",203.289993,209.759995,201.910004,209.039993,344400,209.039993
"316",209.830002,211.059998,207.679993,208.800003,261900,208.800003
"317",207.809998,209.559998,205.339996,206.660004,132500,206.660004
"318",207.809998,211.559998,207.460007,209.089996,155600,209.089996
"319",211.259995,213.550003,209.630005,212.759995,172300,212.759995
"320",210.929993,215.369995,210.929993,214.419998,137000,214.419998
"321",215,216.75,210.240005,214.639999,140300,214.639999
"322",215.220001,215.449997,213,214.210007,125700,214.210007
"323",216,219.119995,214.589996,218.899994,337200,218.899994
"324",219.979996,224,219.300003,224,384300,224
"325",224.059998,226.759995,222.139999,225.589996,314400,225.589996
"326",225.889999,226.589996,224.279999,226,473300,226
"327",226.199997,227.100006,224.850006,226.529999,220500,226.529999
"328",227.330002,227.589996,225.25,227.5,462800,227.5
"329",228.970001,230.820007,222.050003,223.050003,220900,223.050003
"330",222.75,222.75,218.550003,220.860001,232000,220.860001
"331",221.889999,222.970001,221.550003,221.809998,206000,221.809998
"332",222.839996,223.919998,220.729996,221.889999,240500,221.889999
"333",223.259995,227.5,218.639999,218.919998,360400,218.919998
"334",219.520004,220.020004,217.479996,220.020004,248000,220.020004
"335",220.029999,222.839996,218.949997,219.179993,264400,219.179993
"336",216.979996,220.690002,214.259995,219.559998,220300,219.559998
"337",218.089996,223.210007,217.259995,222.139999,109300,222.139999
"338",221.940002,224.490005,221,222.139999,283000,222.139999
"339",221.619995,224.020004,220.589996,223.880005,216700,223.880005
"340",224.960007,227.899994,223.899994,227.520004,165900,227.520004
"341",228.479996,229.720001,227.139999,229.5,205700,229.5
"342",229,232.119995,227.009995,231.009995,174500,231.009995
"343",231.679993,232.479996,228.729996,229.070007,272800,229.070007
"344",227.5,228.850006,224.270004,226.630005,244900,226.630005
"345",226.300003,228.820007,225.580002,226.919998,170200,226.919998
"346",226.970001,227.880005,225.570007,227.229996,128000,227.229996
"347",227.619995,228.949997,226.380005,227.75,299100,227.75
"348",228.5,229.529999,224.380005,225.720001,164900,225.720001
"349",225.949997,226.729996,223.660004,224.119995,121000,224.119995
"350",222.970001,226.389999,222.970001,226.389999,176900,226.389999
"351",226.279999,229.229996,225.119995,228.210007,95200,228.210007
"352",227.5,230.160004,225.949997,227.990005,95100,227.990005
"353",226.449997,228.649994,226.029999,227.190002,179900,227.190002
"354",228.190002,231.889999,228.190002,230.940002,218700,230.940002
"355",230.910004,232.139999,229.889999,231.619995,179500,231.619995
"356",232.169998,232.649994,230.949997,231.679993,137500,231.679993
"357",232.130005,236.029999,231.610001,234.970001,225900,234.970001
"358",235.570007,237.800003,235.380005,235.720001,184300,235.720001
"359",236.910004,236.910004,232.619995,235.710007,168500,235.710007
"360",235.5,236.429993,225.850006,228.070007,269400,228.070007
"361",228.070007,231.860001,227.529999,231.699997,214900,231.699997
"362",231.979996,233.050003,231.729996,232.179993,147900,232.179993
"363",232.440002,236.740005,231.070007,236.270004,180600,236.270004
"364",236.270004,237.229996,234.369995,235.740005,158100,235.740005
"365",236.559998,237.490005,235.550003,237,189200,237
"366",236.100006,237.320007,234.610001,236.669998,402200,236.669998
"367",235.110001,237.899994,235.110001,237.880005,192500,237.880005
"368",236.210007,238.570007,232.460007,238.160004,160200,238.160004
"369",238.029999,240.350006,238.029999,239.160004,133500,239.160004
"370",239.179993,239.979996,234.179993,234.539993,121200,234.539993
"371",235.949997,235.949997,230.100006,230.339996,299700,230.339996
"372",230.649994,230.649994,222.690002,224.559998,256100,224.559998
"373",225.559998,227.899994,222.070007,222.830002,333700,222.830002
"374",223.300003,225.389999,217.669998,217.929993,205100,217.929993
"375",217.669998,221.300003,217.449997,220.679993,330000,220.679993
"376",222.210007,223.240005,219.949997,222.100006,258400,222.100006
"377",220.490005,226.869995,219.589996,226.279999,196200,226.279999
"378",227.050003,227.929993,225.289993,225.759995,107300,225.759995
"379",226,226.339996,223.240005,224.779999,283700,224.779999
"380",225.130005,227.589996,225.130005,227.369995,182600,227.369995
"381",228.100006,231.619995,227.110001,231.410004,127500,231.410004
"382",232.119995,233.710007,230.029999,231.050003,101200,231.050003
"383",229.729996,232.979996,229.429993,231.300003,104600,231.300003
"384",233.699997,237.369995,233.380005,236.889999,108500,236.889999
"385",237.220001,237.740005,235.039993,235.839996,94400,235.839996
"386",236.110001,237.259995,234.850006,236.139999,69700,236.139999
"387",235.289993,238.119995,234.5,237.490005,85700,237.490005
"388",237.520004,238.279999,236.449997,237.740005,108500,237.740005
"389",238.630005,239.149994,237.720001,238.440002,108800,238.440002
"390",239.25,240.899994,237.970001,238.449997,136000,238.449997
"391",237.539993,240.979996,236.350006,240.729996,95900,240.729996
"392",241.539993,242.699997,234.759995,236.919998,126400,236.919998
"393",237.610001,239.639999,236.479996,238.339996,136500,238.339996
"394",237.759995,238.419998,235,237.839996,150100,237.839996
"395",243.529999,248.25,229.300003,231.410004,281500,231.410004
"396",230.039993,232.360001,221.360001,224.169998,266700,224.169998
"397",226.139999,229,220.529999,224.990005,160400,224.990005
"398",225.789993,228.229996,224.710007,226.779999,148900,226.779999
"399",225.949997,229.820007,225.949997,228.050003,135100,228.050003
"400",228.389999,228.600006,224.800003,226.690002,113700,226.690002
"401",226.889999,231.630005,226.100006,231.529999,90200,231.529999
"402",232.479996,234.059998,231.029999,233.529999,90600,233.529999
"403",233.130005,235.050003,232.309998,234.179993,75100,234.179993
"404",234.330002,236.979996,233.100006,233.490005,81200,233.490005
"405",232.539993,234.309998,232.460007,233.300003,83400,233.300003
"406",233.460007,234.699997,230.869995,231.389999,101100,231.389999
"407",232.399994,235.119995,230.600006,234.220001,96500,234.220001
"408",233.539993,234.320007,229.419998,232.089996,135300,232.089996
"409",233.389999,235.559998,233.089996,234.399994,120700,234.399994
"410",234.070007,235.039993,233.110001,234.509995,144800,234.509995
"411",235.039993,235.669998,232.639999,234.789993,81300,234.789993
"412",235.229996,239.610001,235.229996,236.360001,118600,236.360001
"413",236.570007,239.199997,235.330002,237.100006,75100,237.100006
"414",237.169998,239.75,236.690002,237.270004,123400,237.270004
"415",238.369995,242.589996,238.369995,242.149994,136400,242.149994
"416",243.490005,244.119995,241.470001,242.380005,109000,242.380005
"417",243.679993,243.919998,242.020004,243.350006,142400,243.350006
"418",243.75,245.410004,243.360001,245.240005,150800,245.240005
"419",245.169998,247.570007,243.360001,245.429993,101500,245.429993
"420",245.050003,248.399994,243.009995,246.949997,134900,246.949997
"421",247.149994,251.729996,246.279999,250.800003,159100,250.800003
"422",249.720001,249.720001,242.679993,246.190002,145100,246.190002
"423",245.929993,249.050003,245.190002,248.330002,203500,248.330002
"424",247.270004,249,245.059998,246.089996,171800,246.089996
"425",248.380005,248.449997,246.880005,247.440002,169800,247.440002
"426",246.470001,252.470001,246.470001,249.929993,150600,249.929993
"427",250,251.399994,246.839996,250.289993,222400,250.289993
"428",251.5,252.179993,246.529999,247.929993,183000,247.929993
"429",248.330002,250.440002,248.070007,249.270004,200900,249.270004
"430",248.570007,248.570007,239.639999,240.169998,234200,240.169998
"431",240.639999,243.820007,240.300003,242.729996,277600,242.729996
"432",242.380005,242.380005,237.449997,239.699997,166700,239.699997
"433",241.210007,242.460007,239.649994,242.100006,214300,242.100006
"434",242.300003,243.449997,239.809998,241.350006,725900,241.350006
"435",240.860001,246.070007,238.380005,245.860001,155800,245.860001
"436",245.729996,248.440002,243.970001,244.169998,205200,244.169998
"437",244.860001,246.550003,242.949997,244.210007,144500,244.210007
"438",244.800003,247.970001,244.309998,244.429993,161700,244.429993
"439",244.229996,246.639999,243.259995,245.059998,176100,245.059998
"440",246.619995,246.619995,239.029999,239.800003,107800,239.800003
"441",240.360001,242.979996,234.759995,236,152900,236
"442",236.960007,238.199997,235.130005,237.229996,86300,237.229996
"443",237.020004,237.289993,228.300003,229.759995,150000,229.759995
"444",229.919998,232,224.270004,225.360001,260300,225.360001
"445",224.449997,224.449997,216.110001,219.970001,186700,219.970001
"446",219.070007,221.190002,217,219.820007,233300,219.820007
"447",218.660004,218.660004,211.210007,212.809998,346400,212.809998
"448",211.380005,215.279999,209,210.800003,265000,210.800003
"449",215.130005,216.910004,210.130005,213.639999,226500,213.639999
"450",213.570007,216.020004,210.550003,213.899994,171800,213.899994
"451",216.970001,224.220001,215.5,223.740005,274300,223.740005
"452",222.789993,222.789993,218.960007,220.380005,129900,220.380005
"453",219.089996,220.070007,214.039993,215.720001,108700,215.720001
"454",216.850006,218.139999,211.100006,212.529999,155600,212.529999
"455",213.869995,215,211.039993,211.119995,334700,211.119995
"456",207.720001,214.25,205.910004,213.279999,186800,213.279999
"457",212.550003,213.279999,206,206.100006,246700,206.100006
"458",208.5,211.889999,206.75,210.559998,207200,210.559998
"459",205.869995,211.149994,205.410004,206.210007,163700,206.210007
"460",209.600006,212.460007,202.169998,205.440002,202300,205.440002
"461",205.130005,211.149994,203.330002,208.210007,195900,208.210007
"462",211.059998,215.929993,210.720001,211.660004,257600,211.660004
"463",209.559998,211.669998,191.910004,195,734700,195
"464",196,198.559998,194.070007,194.899994,408100,194.899994
"465",194.389999,195.649994,187.860001,188,1011200,188
"466",187.279999,189.919998,187,187.300003,970300,187.300003
"467",189.539993,191.169998,187.449997,187.5,1370900,187.5
"468",187.850006,190.009995,184.580002,187.75,909500,187.75
"469",186.440002,191.190002,186.089996,188.479996,383900,188.479996
"470",187.460007,189.050003,184.669998,187.020004,400200,187.020004
"471",187.960007,190.039993,185.759995,187.270004,357200,187.270004
"472",188.5,190.449997,186.529999,187.080002,520200,187.080002
"473",186.300003,190.539993,186.300003,190.179993,337500,190.179993
"474",188.979996,190.350006,187.889999,188.690002,243400,188.690002
"475",188.309998,189.330002,180.630005,181,266000,181
"476",177.809998,184.789993,176.550003,182.399994,304500,182.399994
"477",184.119995,185.919998,182.770004,184.910004,197700,184.910004
"478",183.110001,186.789993,183.110001,186.179993,99900,186.179993
"479",188.529999,189.199997,186.910004,189.110001,191400,189.110001
"480",188.529999,188.910004,187.029999,187.789993,291300,187.789993
"481",189.139999,191.389999,187.539993,190.669998,299100,190.669998
"482",189.350006,192.610001,188.850006,191.070007,355200,191.070007
"483",191.690002,193.940002,190.470001,192.759995,255200,192.759995
"484",195.199997,196.699997,192.160004,193.440002,240500,193.440002
"485",192.070007,193.740005,187.240005,187.330002,224000,187.330002
"486",183.550003,186.240005,181.740005,185.509995,339200,185.509995
"487",185.860001,188.380005,181.110001,182.279999,288700,182.279999
"488",182,188.179993,182,187.059998,314000,187.059998
"489",189.119995,190.339996,183.110001,184.080002,171400,184.080002
"490",186.559998,188.759995,185.149994,187.160004,240000,187.160004
"491",187.589996,188.059998,185.009995,186.350006,131900,186.350006
"492",184.289993,187.220001,184.289993,186.279999,307200,186.279999
"493",185.830002,186.419998,180.5,180.919998,326100,180.919998
"494",182.770004,184.350006,180.800003,183.149994,289200,183.149994
"495",182.710007,187.029999,180.779999,182.690002,253700,182.690002
"496",182.100006,183.5,176.490005,180.139999,357100,180.139999
"497",180.710007,182.710007,176.860001,177.179993,445600,177.179993
"498",176.009995,178,173.259995,173.850006,168700,173.850006
"499",175,181.139999,173.699997,181.119995,179500,181.119995
"500",178.339996,182.880005,177.350006,182.880005,230100,182.880005
"501",183.110001,185.020004,180.380005,181.509995,218700,181.509995
"502",182.820007,186.059998,181.490005,185.820007,311600,185.820007
"503",183.419998,186.940002,181.229996,182.240005,306500,182.240005
"504",181.100006,181.350006,176.270004,176.630005,230700,176.630005
"505",178.839996,182.520004,178.059998,180.160004,455300,180.160004
"506",180.690002,184.869995,177.850006,182.839996,174100,182.839996
"507",184.550003,186.470001,183.259995,185.110001,251700,185.110001
"508",185.580002,186.360001,183.679993,185.440002,205000,185.440002
"509",184.190002,185.949997,183.080002,185.460007,211400,185.460007
"510",184.789993,185.470001,182.910004,183.960007,180400,183.960007
"511",182.850006,184.050003,181.270004,182.649994,165200,182.649994
"512",182.669998,185.699997,181.220001,184.720001,208000,184.720001
"513",185.25,185.949997,183.669998,185.100006,176200,185.100006
"514",184.880005,186.75,184.199997,184.889999,362000,184.889999
"515",186.539993,190.830002,184.770004,189.449997,248200,189.449997
"516",188.419998,189.220001,183.139999,184.210007,250400,184.210007
"517",183.940002,186.369995,183.690002,185.949997,180500,185.949997
"518",185.649994,188.149994,185.539993,187.839996,171400,187.839996
"519",189.839996,191.479996,189.369995,189.759995,256900,189.759995
"520",188.809998,191.410004,188.550003,190.639999,150800,190.639999
"521",190.619995,190.619995,187.649994,188.259995,153800,188.259995
"522",189,190,187.639999,189.460007,134800,189.460007
"523",188.979996,192.479996,188.820007,189.190002,231900,189.190002
"524",190.100006,197.300003,190.009995,196.669998,318700,196.669998
"525",197.080002,200.770004,195.830002,200.589996,523900,200.589996
"526",201.75,205.899994,201.550003,205.679993,346600,205.679993
"527",206.199997,206.399994,202.229996,204.270004,198700,204.270004
"528",202.300003,205.220001,200.710007,203.910004,250400,203.910004
"529",203.139999,208.830002,203.139999,208.199997,238400,208.199997
"530",208.929993,210.75,206.850006,207.529999,295400,207.529999
"531",209.110001,209.779999,206.570007,209.639999,266600,209.639999
"532",209.660004,214,209.660004,213.289993,455800,213.289993
"533",212.520004,216.869995,212.460007,215.75,494500,215.75
"534",216.559998,217.889999,214.580002,216.039993,411100,216.039993
"535",215.399994,216.990005,214.149994,215.839996,212400,215.839996
"536",215.399994,215.520004,211.550003,213.190002,299900,213.190002
"537",208.869995,211.210007,201.199997,208.699997,756700,208.699997
"538",206.479996,209.210007,205.910004,207.550003,478900,207.550003
"539",208.570007,209,205.380005,205.5,353800,205.5
"540",204.610001,206.039993,203.529999,204.380005,367000,204.380005
"541",204,206.779999,203.809998,206.039993,303400,206.039993
"542",205.419998,207.199997,204.729996,204.789993,388800,204.789993
"543",206.910004,207.320007,203.389999,206.279999,267600,206.279999
"544",206.610001,206.679993,199.699997,201.529999,366400,201.529999
"545",201.949997,203.039993,200.589996,200.589996,230800,200.589996
"546",200.279999,201.600006,198.550003,199.410004,208000,199.410004
"547",200.020004,202.029999,198.479996,199.910004,186400,199.910004
