"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"400",138.199997,138.600006,137.070007,138.509995,3594100,127.266602
"401",138.520004,140.669998,137.970001,139.479996,3125200,128.157867
"402",140.610001,143.320007,140.300003,142.380005,4813000,130.822479
"403",142.320007,142.399994,139.259995,139.710007,3435100,128.369202
"404",140.100006,140.899994,138.25,138.520004,3338500,127.275826
"405",137.520004,137.520004,134.729996,135.919998,6268600,124.886871
"406",135.919998,136.729996,134.720001,135.020004,3879400,124.059921
"407",135.600006,136.449997,134.669998,134.919998,3537900,123.968056
"408",133.25,133.25,129.429993,132.020004,5682200,121.303429
"409",133.720001,136.550003,133.649994,136.259995,5539400,125.199257
"410",135.649994,140.210007,135.440002,139.339996,6611700,128.029251
"411",139.820007,140.550003,138.559998,138.669998,3311100,127.41362
"412",139.070007,140.960007,139.070007,139.990005,3021400,128.626495
"413",140.320007,140.699997,139.360001,139.630005,2209500,128.295715
"414",139.050003,139.169998,136.419998,136.789993,3905300,125.686218
"415",137.820007,138.550003,136.889999,138.210007,2565400,126.99099
"416",139.399994,142.380005,139.300003,142.039993,4770900,130.510056
"417",143.419998,143.770004,141.490005,142,3234000,130.473312
"418",142.429993,142.589996,141.289993,141.860001,3369900,130.344681
"419",141.029999,141.470001,138.449997,139.059998,4773300,127.771965
"420",138.520004,140.220001,138.380005,138.850006,4552200,127.579033
"421",137.860001,139,136.929993,138.240005,3955600,127.018539
"422",138.330002,141.100006,137.679993,140.589996,4579400,129.17778
"423",140.339996,141.869995,140.059998,141.570007,4588100,130.078262
"424",140.729996,142.139999,140.050003,141.320007,4173400,129.848526
"425",141.770004,142.509995,141.690002,142.050003,3069100,130.519272
"426",140.610001,142.449997,140.369995,142.029999,2583200,130.5009
"427",141.580002,144.75,140.619995,144.279999,5630600,132.568222
"428",145.050003,146.460007,144.520004,145.539993,3670700,133.726013
"429",145.630005,147.199997,143.229996,144.899994,4699600,133.137909
"430",144.850006,148.059998,144.550003,146.220001,3827100,134.350739
"431",147,149.279999,146.270004,149.070007,4496400,136.969437
"432",149.759995,153.110001,149.369995,152.759995,6000100,140.359863
"433",155.410004,157.720001,154.460007,156,6774100,143.336853
"434",156.630005,157.289993,154.800003,156.380005,5932100,143.68605
"435",156,156.100006,153.770004,154,3844500,141.499222
"436",154.119995,154.5,152.809998,154.089996,3454600,141.581924
"437",153.949997,155.149994,152.889999,153.169998,3096100,140.736618
"438",153.020004,154.050003,151.199997,152.470001,2674100,140.093414
"439",152,152.910004,150.559998,152.490005,3599900,140.111786
"440",153.610001,154.5,151.679993,152.279999,3736300,139.918869
"441",152.289993,155.380005,151.5,154.820007,4344000,142.252701
"442",156,159.369995,155.789993,158.220001,6043300,145.376663
"443",158.029999,158.550003,155.199997,156.75,4130800,144.025986
"444",156.509995,156.809998,151.610001,153.309998,4955100,140.86525
"445",151.949997,153.660004,150.880005,153.350006,3463200,140.902023
"446",152.610001,152.610001,149.080002,149.460007,4996900,137.327774
"447",148.699997,149.169998,143.720001,143.720001,9419300,132.053696
"448",142.949997,145.889999,139.839996,140.970001,7608300,129.526932
"449",144.020004,144.399994,139.75,142.070007,5596200,130.537643
"450",142,143.179993,141.119995,141.800003,3741700,130.289566
"451",143.350006,143.889999,141.270004,143.710007,3573400,132.044495
"452",143.080002,143.520004,141.110001,141.339996,4807500,129.866928
"453",140.160004,140.800003,134.470001,135.800003,10250200,124.776619
"454",136.190002,136.929993,131.270004,131.320007,7055100,121.42926
"455",132.679993,133.130005,128.660004,128.710007,7858900,119.015831
"456",119.68,122.5,115.620003,118.980003,24113300,110.018692
"457",120,121.639999,112.25,112.339996,15304200,103.878792
"458",114.830002,117.089996,112.5,115.629997,13568900,106.920982
"459",114.099998,116.43,112.360001,115.050003,10820400,106.384682
"460",116.879997,118.349998,112.059998,113.980003,8069600,105.395264
