"","APTV.Open","APTV.High","APTV.Low","APTV.Close","APTV.Volume","APTV.Adjusted"
"424",84.699997,85.019997,83.440002,84.330002,2119400,83.229897
"425",84.919998,85.620003,84.889999,85.519997,1491100,84.404373
"426",85.150002,85.360001,84.339996,84.959999,1237400,83.851677
"427",84.650002,85.870003,84.190002,84.860001,1926000,83.752983
"428",85.43,86.599998,85.43,86.07,2343600,84.947189
"429",86.239998,87.459999,85.910004,86.879997,1601800,85.746635
"430",86.959999,87.139999,85.339996,85.449997,1081500,84.335289
"431",85.25,86.110001,84.629997,86.010002,1699300,84.887978
"432",86.309998,88.089996,86.309998,87.300003,1656000,86.161156
"433",88.089996,90.089996,88,89.769997,2324000,88.59893
"434",90.690002,92.980003,89.379997,90.269997,5277700,89.092407
"435",89.440002,89.5,86.669998,87.989998,2054400,86.842148
"436",87.720001,87.720001,84.5,84.809998,2790700,83.703629
"437",84.730003,86.029999,84.529999,84.68,2196100,83.575333
"438",84.980003,84.980003,83.870003,84.139999,1171600,83.042374
"439",83.860001,84.529999,83.040001,83.900002,1530300,82.805511
"440",85.25,85.379997,84.040001,84.089996,1901100,82.993027
"441",84.43,85.330002,83.919998,84.940002,1667900,83.831932
"442",85.699997,86.769997,85.089996,85.129997,1607300,84.019463
"443",84.75,85.050003,82.510002,82.830002,2252600,81.749474
"444",82.110001,82.349998,78.550003,79.010002,4249500,77.979294
"445",78.529999,80.059998,78.43,79.699997,2934600,78.660301
"446",79.769997,79.959999,76.120003,76.559998,3782800,75.561256
"447",76.099998,76.949997,74.82,75.629997,4880100,74.643387
"448",75.07,76.760002,72.870003,73.919998,3143700,72.955696
"449",75,75.720001,72.519997,74.019997,2674800,73.05439
"450",73.870003,74.669998,73.449997,73.650002,1625400,72.689224
"451",74.580002,74.720001,73.620003,74.279999,2012200,73.310997
"452",74.07,74.419998,72.790001,73.980003,3565500,73.014915
"453",73.779999,74.620003,72.82,74.209999,5341900,73.241913
"454",73.5,75.089996,72.82,74.290001,3269800,73.320877
"455",74.82,75.089996,73.720001,74.279999,2326700,73.310997
"456",72.919998,76.730003,72.080002,76.330002,3542300,75.334259
"457",75.839996,76.370003,72.75,72.879997,3569900,71.92926
"458",73.860001,74.449997,72.730003,74.129997,3054700,73.162956
"459",72.389999,74.690002,71.660004,73.730003,2716100,72.768173
"460",76.919998,79.980003,75.139999,76.220001,4431700,75.2257
"461",76.190002,76.889999,72.959999,74.169998,5574200,73.202431
"462",76.599998,78.419998,75.709999,76.800003,4506500,75.798119
"463",77.260002,77.690002,75.610001,77.440002,2775300,76.429779
"464",78.129997,79.839996,77.830002,79.459999,3739800,78.423424
"465",79.029999,79.120003,75.730003,76.099998,2428100,75.107254
"466",75.699997,77.089996,75.699997,76.370003,1687200,75.373741
"467",76.639999,78.440002,75.459999,78.349998,2223500,77.327904
"468",77.610001,78.959999,77.349998,77.68,2028100,76.666641
"469",76.830002,76.830002,74.879997,75.620003,3060900,74.633522
"470",75.739998,76.400002,74.169998,74.5,2072200,73.52813
"471",74.669998,76.440002,74.57,75,1557900,74.021606
"472",75.209999,76.199997,74.860001,75,1629700,74.021606
"473",74.519997,75.330002,72.489998,75.150002,1947200,74.169647
"474",74.589996,75.209999,73.620003,74.18,1749700,73.212303
"475",74.160004,74.330002,71.650002,72.239998,2119100,71.297607
"476",71.580002,71.900002,70.410004,71.059998,2680000,70.133003
"477",71.980003,73.870003,70.610001,73.300003,2244900,72.343788
"478",72.529999,74.129997,72.470001,72.989998,1015700,72.037834
"479",73.669998,74.480003,72.959999,74.440002,1770400,73.468918
"480",73.650002,74.199997,70.730003,71.089996,1978900,70.162605
"481",71.220001,72.620003,70.559998,72.550003,1572000,71.603577
"482",72.419998,72.720001,71.440002,71.5,1534400,70.567276
"483",71.339996,72.199997,71.080002,71.900002,2424100,70.962051
"484",74.489998,76.650002,74.489998,74.709999,2547900,73.735397
"485",74.209999,75.019997,70.980003,71.580002,2465300,70.646225
"486",70.120003,70.32,69,69.870003,2857200,68.958527
"487",69.690002,70.900002,66.940002,67.089996,1715500,66.214798
"488",66.790001,67.32,64.889999,65.330002,2519300,64.47776
"489",67.440002,68.519997,66.300003,66.760002,2890600,65.889107
"490",67.790001,68.480003,66.910004,67.370003,2143000,66.491142
"491",67.660004,68.059998,66.32,66.690002,1527300,65.82003
"492",66.029999,67.400002,65.739998,65.949997,1753300,65.089661
"493",65.080002,66.690002,63.869999,64.440002,2413600,63.599369
"494",64.769997,65.529999,63.150002,63.389999,2323400,62.563068
"495",63.23,65.18,61.77,62,2391200,61.191193
"496",61.82,63.450001,61.700001,62.360001,3460700,61.546501
"497",62.189999,63.919998,61.439999,61.439999,3820000,60.6385
"498",61.25,62.029999,59.98,60.080002,1140000,59.296246
"499",60.389999,61.740002,58.799999,61.740002,1681500,60.934589
"500",60.389999,61.959999,59.279999,61.959999,1781400,61.151718
"501",62,62.209999,60.740002,61.380001,1634500,60.579288
"502",61.5,61.669998,60.32,61.57,1519900,60.766804
"503",60.349998,61.799999,59.209999,61.150002,2146000,60.352283
"504",60.919998,61.080002,58.91,60.419998,2717900,59.631809
"505",60.900002,63.009998,60.889999,62.619999,2152000,61.803104
"506",62.799999,63.91,62.18,63.57,1818700,62.740715
"507",64.730003,67.029999,64.730003,67.010002,3054900,66.135849
"508",67.760002,70.919998,67.760002,69.540001,4290600,68.632835
"509",69.25,70.300003,68.800003,70.230003,2095400,69.313843
"510",70.230003,70.330002,68.919998,69.43,1685200,68.524269
"511",69.120003,70.75,68.709999,70.370003,1668400,69.452003
"512",70.330002,70.800003,68.480003,69.82,2790400,68.90918
"513",69.309998,71.099998,69.089996,70.349998,1802800,69.432274
"514",69.949997,71.150002,69.589996,71.139999,1850200,70.211967
"515",71.589996,73.470001,70.919998,72.93,2241300,71.978615
"516",72.379997,72.610001,71.160004,71.720001,1538000,70.784401
"517",71.709999,71.709999,69.360001,70.25,1492200,69.333572
"518",70.5,71.959999,70.339996,71.82,1126900,70.883095
"519",72,73.489998,71.839996,73,2447300,72.047691
"520",72.419998,73.190002,71.82,73.029999,1604700,72.077301
"521",72.559998,72.959999,71.860001,72.43,1989200,71.48513
"522",72.580002,73.989998,71.919998,73.790001,1971200,72.827393
