"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"842",291.059998,292.290009,284.519989,285,3162300,278.601318
"843",289.48999,290,285.660004,287,3200000,280.556427
"844",285.559998,290.100006,285.26001,288.690002,3490700,282.208435
"845",291.769989,293.149994,287.700012,287.700012,4214300,281.240753
"846",284.48999,286.399994,275.559998,278,5474100,271.758484
"847",275.929993,292.450012,275.640015,290.609985,5704600,284.085388
"848",292.410004,300,290.720001,290.959991,12182800,284.427521
"849",298.480011,299.720001,292.019989,293.359985,4015100,286.773621
"850",290.73999,294.630005,288.880005,289.049988,3059400,282.560425
"851",292.899994,292.899994,286.700012,287.98999,3200600,281.524231
"852",286.040009,290.130005,284.929993,286.910004,3604900,280.468445
"853",287.299988,290.23999,284.790009,289.940002,2922800,283.43045
"854",296.5,297.029999,292.5,294.890015,4567800,288.269318
"855",297.420013,303.799988,290.799988,303.769989,5618900,296.949921
"856",305.950012,309.660004,303.290009,303.970001,4387700,297.145386
"857",304.720001,308.369995,300.850006,304.850006,6251500,298.005707
"858",304.019989,305.980011,300.559998,305.929993,2894000,299.061432
"859",305.579987,308.100006,301.730011,306.309998,2756800,299.432922
"860",307.850006,310.119995,302.73999,305.350006,4360000,298.494476
"861",303.179993,304.470001,294.290009,298.079987,4374300,291.387634
"862",304,314.279999,300.5,311.850006,5554300,304.848511
"863",308.640015,315.839996,307.929993,309.480011,4635500,302.531738
"864",309.899994,312.649994,307.329987,309.209991,3061500,302.267761
"865",308.940002,310.309998,302.859985,305.75,3296100,298.885468
"866",303.359985,303.359985,280.799988,283.730011,6638900,277.359863
"867",290.649994,294.100006,278.700012,285.149994,5416800,278.747986
"868",278.019989,287,273.709991,286.279999,4494600,279.8526
"869",295.440002,297.570007,287.440002,293,4245400,286.421722
"870",295.100006,295.100006,291.230011,292.600006,2538000,286.030731
"871",290.429993,291.779999,286.600006,291.480011,2926600,284.935852
"872",294.429993,296.519989,290.910004,291.23999,5172800,285.927399
"873",289.790009,293,286.26001,292.670013,2174100,287.33136
"874",294.01001,299.279999,291.070007,297.600006,4023400,292.171417
"875",293.98999,297.100006,285.570007,289.179993,3399900,283.904968
"876",288.279999,296.779999,286.059998,296.220001,3112500,290.816589
"877",295.140015,296.579987,285.820007,286.880005,5043200,281.646942
"878",288.450012,292.279999,286.619995,289.76001,2356700,284.474396
"879",288.570007,296.450012,287.660004,294.950012,2932900,289.569763
"880",295.829987,300.399994,295.23999,297.730011,2303800,292.299042
"881",300.5,303.079987,297.179993,298.26001,1971700,292.819397
"882",303,303.48999,299.329987,302.809998,2395000,297.286377
"883",300.660004,303.559998,295.950012,296.649994,2075700,291.238708
"884",297.350006,300.869995,295.679993,298.359985,1987400,292.917511
"885",295.100006,298.549988,287.5,291.160004,3061700,285.848877
"886",294.23999,294.23999,287.100006,291.230011,2391600,285.917603
"887",292.089996,304.519989,291.769989,299.709991,4263300,294.24292
"888",297.809998,309.73999,296.709991,308.519989,4234900,302.892181
"889",301.119995,310.690002,298.660004,304.070007,5116900,298.523407
"890",305.01001,310.850006,303.160004,307.149994,3844500,301.547211
"891",309.089996,310.970001,306.25,306.529999,3016500,300.938538
"892",306.790009,308.600006,302.380005,303.459991,2375500,297.9245
"893",305.029999,307,303.109985,305.109985,2340200,299.544434
"894",304.859985,306.910004,301.809998,306.709991,1935800,301.115204
"895",308.200012,308.5,301.269989,302.970001,2367700,297.44342
"896",303.329987,304.279999,299.230011,300.790009,2415700,295.303253
"897",298.429993,302.130005,297.369995,298.600006,2060500,293.153168
"898",297.890015,301.399994,297.209991,299.929993,2257400,294.458923
"899",301.459991,309.75,300,306.679993,2672700,301.085754
"900",301.679993,306.459991,298.890015,305.230011,2205300,299.662231
"901",303.440002,303.73999,298.049988,302.779999,3913500,297.256927
"902",303.589996,304.910004,299.200012,303.609985,2628500,298.071777
"903",301.910004,308.859985,300.070007,304.5,3594900,298.945526
"904",306.829987,312.959991,305.019989,312.470001,2982200,306.770203
"905",312,316.23999,310.399994,314.059998,3305300,308.331177
"906",313.339996,319,313.339996,317.029999,2600800,311.246979
"907",317,320.470001,315.579987,319.100006,2563600,313.279205
"908",322.920013,324.570007,314.660004,315.549988,3018200,309.793976
"909",318,323.290009,317.640015,322.269989,2915800,316.391388
"910",320.679993,321.869995,317.839996,321.519989,2159500,315.65506
"911",320.540009,323.929993,318.730011,323.700012,1787200,317.795319
"912",321.450012,323.799988,319.350006,320.51001,2772500,314.663513
"913",321.980011,322.670013,315.709991,316.809998,2520000,311.031006
"914",316.769989,319.48999,315.179993,315.399994,2066700,309.646729
"915",314.829987,315.279999,312.01001,313.329987,2245600,307.614441
"916",311.279999,315.279999,310.089996,314.140015,2488500,308.409729
"917",316.809998,316.899994,306.48999,308.839996,2922200,303.20636
"918",312.200012,312.359985,307.799988,312.220001,1879300,306.524689
"919",310.980011,311.359985,303.609985,308.820007,3178900,303.186768
"920",310.410004,314.769989,305.48999,311.670013,2321000,305.984772
"921",312.339996,315.820007,308.970001,314.369995,2883500,308.635468
"922",314.890015,319.559998,312.540009,312.549988,4341600,306.848694
"923",310.160004,314.720001,310,312.829987,2487100,307.123566
"924",312.559998,321.279999,312.559998,320.23999,2846500,314.398407
"925",322,323.820007,313.730011,316.230011,3872500,310.461609
"926",316.480011,317.829987,306.630005,312,2901000,306.308746
"927",311.029999,311.459991,303.829987,307.25,2594500,301.645355
"928",309.679993,315.320007,308.420013,312.019989,2195600,306.328369
"929",312.730011,314.440002,303.720001,304.600006,2421200,299.043732
"930",305.070007,306.459991,297.290009,301.480011,3085900,297.200256
