"","HII.Open","HII.High","HII.Low","HII.Close","HII.Volume","HII.Adjusted"
"281",233.369995,238.279999,232.449997,237.460007,746500,221.552261
"282",236.669998,242.470001,236.360001,241.399994,492100,225.228287
"283",244.059998,255.479996,244.059998,255.389999,1055700,238.281113
"284",258.529999,267.230011,258.529999,265.700012,980900,247.900467
"285",265.329987,269.880005,261.730011,266.109985,782400,248.28299
"286",266.549988,276.690002,265.73999,270.880005,848500,252.733429
"287",271.309998,272.049988,261.790009,262.829987,514100,245.876236
"288",263.660004,265.220001,259.700012,265.019989,503200,247.924957
"289",267.140015,267.890015,264.089996,266.170013,757800,249.000793
"290",266.660004,270.559998,262.459991,262.76001,539500,245.810791
"291",263.880005,266.529999,261.910004,262.01001,1095900,245.109161
"292",262.959991,266.799988,258.549988,260.309998,631500,243.518768
"293",258.799988,262.440002,255.190002,260.850006,478000,244.023972
"294",260.130005,261.269989,253.369995,260.079987,597100,243.303604
"295",260.350006,261.540009,257.339996,258.619995,435200,241.93782
"296",255.929993,260.130005,253.910004,259.549988,516300,242.807785
"297",261.170013,262.160004,258.119995,260.950012,393800,244.117523
"298",262,264.390015,260.579987,264.029999,309200,246.998795
"299",264.019989,264.26001,257.480011,258.160004,513100,241.507446
"300",260.01001,260.700012,257.679993,258.670013,481900,241.984573
"301",259.339996,259.98999,254.679993,255.509995,671600,239.028412
"302",256.220001,256.25,252.559998,253.869995,510900,237.494202
"303",253.160004,255.830002,252.029999,254.089996,1103600,237.699997
"304",254,255.199997,252.089996,254,476700,237.615799
"305",254.100006,258.040009,254.100006,256.519989,734300,239.973267
"306",257.200012,259.839996,255.529999,255.669998,316900,239.17807
"307",253.380005,254.970001,248.740005,249.149994,370200,233.078629
"308",249.649994,258.959991,249.110001,253.979996,529300,237.597092
"309",259.01001,262.799988,256.809998,262.23999,470700,245.32428
"310",263.790009,264.529999,253.110001,254.779999,587000,238.34549
"311",255.889999,256.630005,251.289993,253.179993,479400,236.848694
"312",255.649994,259.329987,253.960007,257.76001,368800,241.13327
"313",257.880005,258.290009,250.149994,253.410004,512600,237.063873
"314",253.789993,259.269989,253.789993,259.130005,476700,242.414902
"315",254.800003,260.119995,253.300003,259.910004,418400,243.144562
"316",261.179993,263.100006,259,260.98999,284200,244.154938
"317",258.359985,260.630005,254.399994,256.309998,595000,239.776794
"318",257.899994,260.390015,256.570007,257.140015,256800,240.553268
"319",260,260.450012,254.460007,254.800003,349800,238.364197
"320",253.850006,257.48999,253.429993,254.520004,290000,238.102295
"321",255.729996,259.670013,254.869995,257.209991,362700,240.618759
"322",258.579987,258.579987,254.610001,256.670013,414500,240.113586
"323",258.320007,259.640015,257.209991,258.700012,211800,242.012634
"324",259.850006,263.649994,259.850006,260.98999,338900,244.154938
"325",262.700012,264.5,262.089996,263.799988,281700,246.783646
"326",263.869995,266.339996,262.290009,265.589996,258400,248.45813
"327",265.910004,266.059998,261.799988,263.559998,215800,246.559128
"328",263.910004,265.5,262.890015,264.970001,190100,247.878204
"329",266.549988,267.730011,252.779999,255.779999,290300,239.280975
"330",255.779999,256.899994,248.419998,252.5,357200,236.21257
"331",252.850006,253.350006,249.369995,251.5,226100,235.277069
"332",251.619995,252.259995,244.75,245.770004,469300,229.916687
"333",245.410004,247.199997,243.130005,243.210007,386300,227.52179
"334",242.669998,243.419998,229.589996,234.720001,726000,219.579453
"335",233.770004,237.809998,230.369995,231.759995,591500,216.810379
"336",228.389999,228.389999,206.270004,207.330002,1436400,193.956223
"337",206.910004,210.960007,201.910004,210.660004,1250600,197.071442
"338",210.429993,217.279999,210.320007,215.839996,789700,201.917297
"339",215.770004,221.929993,215.270004,221.809998,909900,207.502197
"340",224.009995,224.580002,220.889999,221.539993,1001500,207.249603
"341",221.490005,224.800003,221.289993,222.399994,488300,208.054169
"342",222.509995,223.429993,219.229996,220.169998,470500,205.968002
"343",220,220.610001,213.259995,218.449997,838300,204.358932
"344",218.130005,219.220001,217.160004,218.320007,418000,204.237335
"345",218.580002,222.029999,218.580002,220.589996,416400,206.360855
"346",220.020004,222.729996,219.589996,220.880005,432200,206.632202
"347",220.940002,222.5,220.460007,221.669998,333000,207.371246
"348",223.309998,225.970001,222.259995,222.75,348900,208.381561
"349",223.649994,223.649994,219.380005,220.740005,307800,206.501221
"350",218.639999,223.199997,218.600006,222.460007,315800,208.110275
"351",222.300003,228.110001,222.300003,227.490005,466900,213.506866
"352",226.410004,226.509995,223.199997,224.729996,340000,210.916504
"353",222.259995,224,218.479996,219.440002,580800,205.95163
"354",220.559998,223.899994,218.529999,222.690002,294700,209.001892
"355",223.059998,223.809998,220.559998,221.070007,333500,207.481476
"356",222.020004,224.679993,222.020004,223.259995,499500,209.53685
"357",224.330002,226.020004,223.289993,224.279999,878700,210.494141
"358",224.800003,225.690002,222.580002,222.710007,406800,209.020676
"359",222.710007,225.539993,222.630005,225.179993,408400,211.338837
"360",225.589996,226.710007,219.990005,222.550003,466100,208.870499
"361",222.130005,226.619995,220.899994,226.350006,459700,212.436905
"362",226,227.309998,225.399994,225.809998,193900,211.930099
"363",224.889999,225.449997,221.100006,221.789993,297300,208.157196
"364",221.940002,222.820007,220.160004,220.660004,363600,207.096695
"365",222,222.440002,218.820007,219.949997,269100,206.430313
"366",220.350006,220.770004,217.139999,220.520004,672700,206.965271
"367",218.160004,222.440002,218.149994,221.75,273000,208.119659
"368",219.940002,219.940002,213.610001,214.529999,367700,201.34343
"369",215.889999,216.119995,213.630005,213.910004,340100,200.761566
"370",212.850006,214.25,210.550003,211.690002,423000,198.678024
"371",213.520004,213.919998,211.009995,212.960007,351700,199.86998
"372",211.029999,215.210007,210.470001,214.020004,325800,200.864807
"373",214.199997,216.020004,212,214.089996,504400,200.930511
"374",214.639999,217.550003,212.649994,212.660004,318300,199.588394
"375",212.660004,216.509995,212,215.800003,290200,202.53537
"376",215.850006,219.279999,214.059998,216.789993,522200,203.464523
"377",215.089996,218.350006,213.419998,217.339996,448000,203.980743
"378",218.660004,218.919998,216.259995,216.779999,137100,203.455154
"379",218.089996,218.089996,213.910004,217.559998,293400,204.187225
"380",217.460007,219.479996,215.529999,217.639999,163800,204.262299
"381",218.899994,223.740005,218.899994,222.889999,330400,209.189621
"382",223.360001,225.460007,221.259995,223.5,269000,209.762115
"383",221.190002,223.720001,220.529999,221.889999,250200,208.251053
"384",223.669998,224.25,221.720001,222.880005,300400,209.180191
"385",222.699997,225.990005,222.580002,224.979996,223100,211.151108
"386",225.550003,228.220001,225.550003,226.949997,229400,213.000015
"387",226.410004,228.199997,226.270004,227.600006,257200,213.610092
"388",227.860001,230,226.770004,228.639999,418800,214.586166
"389",227.990005,229.740005,225.830002,227.389999,226700,213.41304
"390",226.639999,228.509995,226.429993,227.330002,208700,213.356674
"391",227.529999,228.839996,225.910004,226.779999,267700,212.8405
"392",228.130005,229.690002,225.309998,226.979996,235300,213.028168
"393",225.850006,227.970001,222.070007,227.350006,273600,213.375458
"394",227.139999,232.080002,225.880005,231.179993,440400,216.970032
"395",231.759995,234.449997,230.729996,231.729996,199600,217.486267
"396",231.720001,233.160004,227.429993,227.990005,203600,213.976135
"397",229.380005,234.470001,228.429993,233.050003,403000,218.725098
"398",233.330002,234.660004,229.330002,229.490005,457200,215.383896
"399",230.649994,241.360001,228.509995,240.759995,534400,225.961182
"400",242.270004,242.669998,235.779999,235.960007,795400,221.456238
"401",236.179993,238.130005,231.669998,233.559998,297600,219.203735
"402",233.289993,234.509995,232.860001,233.699997,261600,219.335175
