"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume","HUM.Adjusted"
"166",254.130005,255.910004,253.460007,255.669998,1025300,248.180695
"167",255.649994,255.649994,253.259995,254.240005,617200,246.792587
"168",254.990005,257.73999,254.610001,257.619995,1017200,250.073593
"169",257.980011,259.459991,257.049988,258.75,521300,251.170456
"170",258,259.470001,256.630005,257.549988,762100,250.00563
"171",258,258.809998,255,256.880005,682400,249.355301
"172",256.940002,258.380005,255.979996,256.529999,692200,249.015533
"173",256.399994,257.290009,255.679993,256.559998,837000,249.044632
"174",258.290009,259.76001,257.160004,257.209991,671200,249.675629
"175",257.109985,257.720001,253.960007,255.100006,742100,247.627411
"176",255.179993,257.73999,251.520004,251.539993,1322400,244.171692
"177",251.600006,251.880005,249.770004,250.649994,1050900,243.307755
"178",250,250.960007,249.149994,249.279999,1228400,241.97789
"179",250.009995,250.490005,247.839996,248.449997,1112400,241.172226
"180",248.800003,249.5,239.610001,240.039993,1725300,233.008575
"181",240.080002,241.979996,237.550003,239.679993,1824200,232.659119
"182",240.059998,240.059998,237.830002,238.639999,1177900,231.649551
"183",238.910004,244.429993,235.220001,239.089996,1343100,232.086426
"184",239.550003,241.639999,236.970001,237.210007,1098400,230.261444
"185",237.839996,241.789993,237.839996,239.210007,1348800,232.202911
"186",239.479996,240.240005,235.149994,238.869995,1361600,231.872833
"187",238.330002,244.869995,237.910004,242.75,1083900,236.034454
"188",243.039993,243.710007,240.800003,243.630005,1541100,236.890091
"189",244.410004,245.979996,244,245,1099400,238.222168
"190",245.070007,247.399994,244.669998,247.389999,720800,240.546082
"191",247.389999,248.410004,246.330002,246.509995,712000,239.690384
"192",246.75,247.300003,244.880005,245.360001,1059600,238.572235
"193",246.119995,248.330002,245.630005,246.899994,1152600,240.069641
"194",242,244.110001,239.839996,240.410004,929400,233.759186
"195",240.449997,241.789993,239.509995,240.490005,1235100,233.836975
"196",240,242.990005,240,240.380005,821300,233.730011
"197",240.990005,242.339996,239.580002,241.440002,727900,234.760666
"198",237.919998,240.699997,235.699997,237.729996,812000,231.153305
"199",236.779999,238.380005,235.740005,237.169998,1121700,230.608826
"200",239.399994,242.419998,237.669998,240.429993,1692000,233.778595
"201",241.179993,245.600006,241.179993,241.309998,1099800,234.634247
"202",241.350006,243.009995,238.580002,242.690002,796700,235.976074
"203",243.899994,246.889999,243.270004,245.809998,742200,239.009811
"204",246.149994,248.899994,244.179993,246.130005,729500,239.320923
"205",245.440002,247.539993,243.100006,246.490005,648400,239.670975
"206",247.070007,249.070007,245.910004,248.360001,744600,241.489243
"207",249.940002,254.279999,248.320007,251.520004,1142100,244.561798
"208",252.460007,264.559998,251.229996,258.970001,1892200,251.805679
"209",258.920013,260.309998,255.369995,255.660004,1374100,248.587326
"210",255.669998,256.850006,253.169998,255.350006,796100,248.285873
"211",256.25,258.48999,254.25,255.479996,604900,248.412247
"212",254.919998,257.910004,253.919998,256.350006,656300,249.258179
"213",255.910004,258.529999,253.940002,256.690002,688600,249.588821
