"","URI.Open","URI.High","URI.Low","URI.Close","URI.Volume","URI.Adjusted"
"218",144.949997,146.979996,144.949997,146.309998,743300,146.309998
"219",145.190002,145.720001,143.580002,144.610001,1313900,144.610001
"220",143.75,146.169998,143.75,144.869995,1112900,144.869995
"221",143.970001,144.850006,141.360001,143.380005,1058600,143.380005
"222",145,148.559998,143.649994,148.360001,1648900,148.360001
"223",147.75,151.149994,147.429993,150.089996,1607300,150.089996
"224",149.75,152.759995,149.75,151.5,1026900,151.5
"225",152.100006,155,152,153.690002,1318800,153.690002
"226",154.610001,154.960007,152.5,153.270004,1053300,153.270004
"227",153.610001,155.449997,152.160004,153.160004,768100,153.160004
"228",152.880005,154.740005,152.369995,153.360001,1004900,153.360001
"229",154.020004,156.800003,153.179993,156.600006,863000,156.600006
"230",156,158.679993,155.190002,157.839996,1184000,157.839996
"231",158.479996,161.350006,158.039993,159.479996,1467000,159.479996
"232",159.070007,159.449997,151.300003,157.089996,1735800,157.089996
"233",160.220001,163.919998,159.729996,159.75,1312800,159.75
"234",159.75,161.580002,158.199997,159.190002,918200,159.190002
"235",158.190002,159.630005,156.850006,158.279999,606400,158.279999
"236",158.220001,163.160004,157.860001,162.380005,966100,162.380005
"237",163.740005,165.179993,162.770004,164,1094800,164
"238",164.529999,165.649994,163.119995,163.820007,949400,163.820007
"239",164,165.850006,163.160004,163.649994,832300,163.649994
"240",162.990005,165.699997,160.369995,163.809998,948200,163.809998
"241",163.820007,165.300003,160.949997,161.169998,990400,161.169998
"242",162.800003,165.600006,162.339996,164.289993,1225900,164.289993
"243",165.979996,169.050003,165.559998,168.570007,1292000,168.570007
"244",169.369995,170.330002,165.020004,166.380005,1390100,166.380005
"245",167.990005,169.020004,165.729996,168.300003,1419100,168.300003
"246",169.690002,170.740005,167.649994,170.470001,1090300,170.470001
"247",170.470001,171.320007,168.220001,169.490005,575000,169.490005
"248",169,171.830002,168.990005,170.610001,749700,170.610001
"249",170.470001,172.220001,170.020004,171.470001,611000,171.470001
"250",172.380005,173.470001,171.029999,173.330002,801600,173.330002
"251",173.789993,174.399994,171.779999,171.910004,624500,171.910004
"252",172.919998,173.960007,171.699997,173.580002,813300,173.580002
"253",174.449997,175.740005,173.399994,175.190002,844100,175.190002
"254",175.850006,176.619995,169.630005,172,1331000,172
"255",173,173.320007,169.5,171.380005,1078600,171.380005
"256",171.289993,172.669998,169.429993,172.449997,1623600,172.449997
"257",172.75,173.529999,170.699997,172.429993,981500,172.429993
"258",171.729996,174.929993,171.5,173.199997,1100500,173.199997
"259",174.809998,179.990005,174.639999,179.990005,1533900,179.990005
"260",180.600006,182.860001,179.520004,180.889999,882600,180.889999
"261",181.949997,184,176.679993,178.970001,1083800,178.970001
"262",178.759995,180.679993,177.520004,180.169998,693800,180.169998
"263",180.330002,181.789993,179.770004,181.240005,814400,181.240005
"264",181.699997,184.25,180.820007,183.669998,1208300,183.669998
