"","SBAC.Open","SBAC.High","SBAC.Low","SBAC.Close","SBAC.Volume","SBAC.Adjusted"
"910",302.720001,308.920013,302.720001,304.630005,316700,301.362976
"911",303.01001,307.459991,301.130005,303.170013,271200,299.918671
"912",303.029999,308.100006,302.299988,307.73999,357700,304.439606
"913",309.01001,310.720001,306.51001,307.470001,359000,304.172485
"914",308.269989,308.269989,296.359985,298.220001,587800,295.021698
"915",297.470001,303.820007,297.170013,299.809998,249300,296.594666
"916",308.769989,308.769989,299.839996,305.440002,423600,302.164276
"917",303.670013,303.869995,296.5,301.519989,406700,298.741089
"918",300.179993,305.100006,298.079987,304.470001,359700,301.66394
"919",300.619995,303.790009,299.160004,303.459991,373400,300.663239
"920",306.679993,307.459991,303.179993,305.929993,419600,303.110474
"921",305.959991,306.230011,302.049988,306.190002,313000,303.368103
"922",305.670013,307.320007,304.100006,306.070007,483100,303.249176
"923",305.619995,309.910004,303.220001,306.619995,308400,303.794098
"924",309.929993,315.369995,304.880005,314.170013,548400,311.274536
"925",312.820007,314.959991,303.01001,306.769989,509300,303.942719
"926",305.480011,308.170013,296.149994,300.290009,480400,297.522461
"927",299.790009,308.25,294.350006,305.790009,729800,302.971771
"928",307.380005,319.320007,307.380005,313.359985,908800,310.471954
"929",312.579987,312.579987,303.26001,303.380005,562400,300.583984
"930",304.170013,307.26001,302.890015,304.570007,344900,301.763
"931",305.940002,311.579987,305.940002,309.690002,389400,306.835846
"932",312.660004,324.640015,312.320007,323.350006,558900,320.369934
"933",320.839996,328.369995,320.839996,322.140015,577900,319.171082
"934",321.450012,322.649994,308.399994,312.350006,483800,309.471313
"935",309.380005,313.73999,306.48999,308.700012,703700,305.85495
"936",306.5,309.850006,302.369995,305.059998,655000,302.248505
"937",303.359985,314.420013,303.01001,313.200012,506700,310.313477
"938",313.040009,313.040009,304.350006,305.130005,537000,302.317871
"939",304.980011,311.380005,304.660004,306.269989,633200,303.447327
"940",303.940002,315.329987,303.940002,314.019989,650800,311.125916
"941",316.940002,317.829987,309.290009,310.480011,649200,307.618561
"942",312,314.880005,309.619995,313.869995,403600,310.977295
"943",314.920013,319.220001,313.049988,318.480011,627900,315.5448
"944",320.450012,322.089996,313.320007,315.179993,873800,312.275238
"945",314.049988,320.589996,311.140015,318.119995,661300,315.188141
"946",317.709991,322.01001,312.869995,321.929993,573800,318.963043
"947",322.570007,322.570007,313.679993,315.040009,469100,312.136536
"948",315.980011,315.980011,309.709991,313.309998,360600,310.422455
"949",320.579987,320.579987,313.140015,315.320007,499800,312.413971
"950",315.480011,316.290009,312.230011,314.630005,420600,311.730316
"951",313.890015,315.790009,311.100006,313.929993,556600,311.036713
"952",313.970001,316.75,306.579987,308.820007,730300,305.973877
"953",310.079987,312.200012,306.209991,306.600006,323100,303.774292
"954",304.609985,311.799988,304.609985,310.540009,402700,307.677979
"955",311.730011,313.880005,308.600006,310.25,300700,307.390656
"956",311.929993,313.970001,305.369995,307.779999,364800,304.94342
"957",309.01001,310.190002,305.700012,306.609985,318000,303.78421
"958",304.350006,309.279999,304.329987,307.269989,324000,304.43811
"959",308.190002,308.190002,293.679993,294.01001,951500,291.300354
"960",294.089996,302.5,292.700012,302.109985,632200,299.325653
"961",300.869995,305.420013,299.109985,303.329987,435600,300.534424
"962",303.440002,306.200012,299.769989,301.829987,448500,299.048248
"963",298.720001,302.359985,294.690002,295.420013,648600,292.697357
"964",295.589996,299.940002,293.649994,295.019989,591000,292.300995
"965",292.829987,295.339996,286.48999,290.369995,518300,287.693878
"966",295.600006,296.950012,288.369995,293.519989,548700,290.81488
"967",297,298.040009,288.079987,291.01001,1102300,288.328003
"968",293.170013,307.26001,292.559998,302.019989,545100,299.236481
"969",303.269989,306.98999,302.100006,305.820007,437100,303.001526
"970",308.279999,308.679993,302.019989,306.619995,503900,303.794098
"971",309.589996,312.130005,296.450012,297.470001,940400,294.728455
"972",297.540009,297.540009,286.420013,290.640015,793100,287.961426
"973",293.279999,305.25,290.970001,298.589996,767300,295.838135
"974",298.970001,304.950012,293.730011,296.970001,547400,294.233032
"975",298.769989,304.820007,297.269989,304,408500,301.198273
"976",303.589996,307.070007,294.790009,295.410004,571000,292.687439
"977",294.5,301.140015,294.179993,298.779999,418500,296.026367
"978",296.899994,302.75,295.450012,298.519989,503500,296.229797
"979",297.579987,300.380005,293.480011,297.76001,460000,295.475647
"980",298.820007,298.820007,289.089996,290.100006,662500,287.87442
"981",290.179993,291.070007,285.519989,286.269989,608100,284.073761
"982",286.269989,290,279,279.890015,1184100,277.742737
"983",281.170013,285.26001,280.029999,282.609985,986600,280.441833
"984",289.98999,289.98999,283.910004,285.730011,400800,283.537933
"985",285.589996,287.410004,282.649994,287.179993,1164000,284.976807
"986",289.140015,289.640015,285.809998,288.779999,913000,286.564514
"987",287.690002,289.459991,281.220001,284.480011,571300,282.297516
"988",284.640015,287.899994,283.059998,286.399994,526300,284.202789
"989",286.720001,289.309998,284.209991,286.450012,447500,284.252411
"990",283.709991,289.679993,281.929993,283.790009,560300,281.612823
"991",282.790009,284.369995,278.350006,280.850006,484000,278.695374
"992",278.920013,280.019989,274.570007,275.880005,648300,273.763519
"993",276.089996,278.850006,274.079987,275.600006,594100,273.485657
"994",276.019989,276.589996,272.359985,275.619995,653300,273.505493
"995",277.679993,279.48999,273.619995,274.170013,588200,272.06662
"996",276.109985,277.160004,273.959991,276.290009,495900,274.17038
"997",277.959991,279.459991,274.959991,275.76001,586600,273.644409
"998",276.799988,283.160004,276.76001,282.040009,694400,279.876251
"999",283.170013,283.23999,275.359985,276.929993,1621300,274.80542
"1000",273.549988,278.5,273.549988,274.920013,566600,272.810852
"1001",272.130005,276.230011,272.01001,275.920013,510300,273.803192
"1002",276.019989,279.450012,272.459991,272.980011,527800,270.885742
"1003",272.540009,275.48999,272.540009,275.019989,182800,272.910095
"1004",275.76001,276.549988,273,276.25,450700,274.130676
"1005",278.700012,279.690002,275.769989,276,443500,273.882599
"1006",276.98999,278.309998,273.049988,274.559998,365200,272.453583
"1007",275.359985,282.359985,273.899994,282.130005,709500,279.965546
