"","AMT.Open","AMT.High","AMT.Low","AMT.Close","AMT.Volume","AMT.Adjusted"
"1",106.730003,106.879997,105.339996,106.150002,2240900,96.751099
"2",106.410004,106.940002,106.199997,106.339996,1720700,96.924278
"3",106,106.43,105.389999,105.970001,1919900,96.587036
"4",105.93,106.300003,105.18,105.269997,1995300,95.94899
"5",105.5,105.82,104.949997,105.019997,2278900,95.72113
"6",105.239998,105.25,103.169998,103.5,2267500,94.335732
"7",103.480003,104.169998,102.510002,103.830002,2631700,94.63649
"8",103.690002,104.260002,103.120003,104.199997,1568800,94.97374
"9",104.220001,104.760002,102.870003,103.449997,2058900,94.290154
"10",103.580002,105.190002,103.410004,105.169998,2055500,95.857864
"11",105.260002,106.419998,105.040001,105.669998,2078100,96.313606
"12",105.669998,105.669998,103.860001,104.440002,1747600,95.19249
"13",104.839996,105.419998,103.970001,104.199997,2598800,94.97374
"14",104.5,105.190002,104.260002,104.779999,2223000,95.502403
"15",104.970001,104.970001,104.029999,104.57,1823700,95.310997
"16",104.82,104.889999,103.690002,103.919998,2053900,94.718529
"17",104.139999,105.139999,103.75,104.300003,1272600,95.064903
"18",104.410004,104.779999,103.660004,103.82,1207100,94.62738
"19",104.050003,104.050003,102.730003,103.010002,1509900,93.889122
"20",103.540001,104,103.160004,103.5,1376300,94.335732
"21",103.599998,103.839996,103.019997,103.279999,1906700,94.135201
"22",103.279999,104.32,103.07,104.110001,1322200,94.891739
"23",104.830002,105.650002,104.760002,105.25,2988100,95.930786
"24",105.059998,105.400002,103.07,103.639999,2141200,94.463341
"25",103.660004,103.93,102.910004,103.470001,1344100,94.308395
"26",103.57,104.43,103.360001,104.300003,1301900,95.064903
"27",104.199997,106,103.470001,105.779999,2525100,96.413826
"28",105.5,105.760002,104.730003,105.489998,1228100,96.149529
"29",105.690002,107.68,105.599998,107.550003,1975500,98.02713
"30",107.639999,107.639999,105.82,106.779999,1580600,97.325302
"31",107.089996,107.370003,106.010002,107.110001,1362500,97.626099
"32",106.949997,107.970001,106.849998,107.709999,1321800,98.172951
"33",107.889999,109.800003,107.660004,108.110001,4991400,98.537544
"34",108.110001,111.220001,108.019997,111.18,3012600,101.335709
"35",111.360001,111.830002,110.599998,111.019997,2207400,101.189873
"36",111.169998,112.25,111.139999,112.199997,2233300,102.265404
"37",112.07,113.209999,111.769997,112.889999,2589400,102.894302
"38",114.010002,114.860001,112.790001,113.339996,2895100,103.304466
"39",113.139999,115.690002,113.089996,114.790001,3001200,104.626068
"40",114.779999,114.870003,113.080002,113.839996,2799100,103.760193
"41",113.809998,115.239998,112.959999,114.809998,2592100,104.644302
"42",114.580002,115.760002,114.349998,115.669998,1395100,105.428154
"43",115.379997,115.529999,114.279999,114.709999,1809800,104.553154
"44",114.330002,115.239998,113.93,114.699997,2404400,104.544029
"45",114.050003,114.699997,113.169998,113.239998,2010200,103.213318
"46",113.419998,113.699997,112.779999,113,2015400,102.994568
"47",113,114.199997,113,113.580002,1509500,103.523209
"48",113.699997,114.519997,113.209999,114.260002,1597200,104.142998
"49",113.900002,114.730003,113.660004,114.019997,1416100,103.924248
"50",114.129997,116.050003,113.949997,115.279999,2112400,105.072693
"51",115.720001,115.989998,114.769997,115.089996,1814200,104.899506
"52",115.360001,116.279999,115.07,116.010002,3237500,105.738052
"53",116.029999,116.860001,115.739998,115.980003,2033400,105.710724
"54",116.550003,118.540001,116.32,116.739998,2854000,106.403412
"55",117.529999,118.599998,116.790001,118.309998,2851000,107.834389
"56",118.43,119.5,118.07,118.949997,2624400,108.417732
"57",119.190002,119.760002,118.879997,119.32,2475800,108.754951
"58",118.720001,120.25,118.550003,120.010002,3023500,109.383873
"59",120.010002,120.720001,119.519997,120.389999,2259200,109.730232
"60",120.190002,121.330002,120.160004,121.040001,2266000,110.322693
"61",120.779999,121.089996,120.169998,120.910004,1795300,110.204201
"62",120.639999,121.849998,120.470001,121.540001,2713700,110.778404
"63",121.43,121.900002,120.449997,121.150002,2071800,110.422928
"64",120.910004,121.589996,120.510002,120.739998,1710200,110.049248
"65",120.870003,121.739998,120.57,120.639999,2020800,109.958115
"66",120.720001,122.080002,120.440002,121.949997,1859300,111.152115
"67",121.970001,122.690002,121.690002,122.120003,1974600,111.307053
"68",121.639999,122.620003,121.57,122.480003,2030600,112.204834
"69",123.050003,124.400002,122.419998,122.760002,2465200,112.461349
"70",122.43,122.949997,122.089996,122.370003,2435500,112.10408
"71",122.75,123.309998,122.25,122.599998,1902300,112.314774
"72",123.07,124.290001,123,124.25,1873500,113.82634
"73",124.050003,125.089996,123.82,124.860001,2440200,114.38517
"74",125.160004,125.419998,124.360001,124.669998,2331600,114.211105
"75",124.709999,124.93,123.980003,124.300003,3566100,113.872169
