"","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume","ACN.Adjusted"
"799",177.449997,180.309998,173.919998,178.75,3284400,174.449677
"800",165.399994,170.880005,160.100006,164.110001,5112200,160.16188
"801",171.080002,174.740005,166.039993,174.559998,4349500,170.360474
"802",169.320007,171.169998,162.649994,165.110001,5188300,161.137848
"803",153,158.75,147.080002,152.529999,6357900,148.860458
"804",160.619995,166.710007,152.929993,166.509995,5742800,162.50415
"805",148.289993,166.509995,143.509995,152.539993,5324900,148.870209
"806",154,160.660004,152.479996,157.710007,6081100,153.915863
"807",151.570007,159.800003,142,151.149994,5860200,147.513672
"808",151.360001,177.800003,151.360001,158.5,6338300,154.686859
"809",157.529999,159.470001,147.419998,149.940002,6449700,146.332779
"810",148.009995,148.009995,137.149994,143.690002,6173700,140.233154
"811",152.259995,157.630005,149.490005,156.850006,4685100,153.076553
"812",156.440002,159.690002,148.110001,151.820007,4795500,148.167557
"813",153.399994,171.600006,150,171.339996,5194500,167.217941
"814",165,169.289993,160.610001,162.880005,3802500,158.961487
"815",164.119995,170.369995,163.779999,169.820007,2731300,165.734528
"816",167.429993,169.880005,162.160004,163.259995,2963000,159.332321
"817",158.570007,160.820007,152.580002,154.679993,2973100,150.958725
"818",154.050003,160.5,153.550003,156.270004,3030000,152.510498
"819",155.600006,158.720001,148.279999,152.149994,3766600,148.489609
"820",158.979996,166.75,157.039993,166.050003,3090000,162.055206
"821",171.080002,171.490005,163.929993,164.119995,3002500,160.171646
"822",166.580002,172.690002,165.070007,171.729996,2466200,167.598557
"823",173.229996,179.869995,172.509995,177.919998,3743700,173.639633
"824",176.179993,177.009995,169.559998,172.570007,1918500,168.41835
"825",177,178.889999,176.020004,178.100006,2875000,173.815308
"826",174.300003,174.309998,168.889999,169.449997,2504700,166.119583
"827",171.259995,172.050003,167.520004,167.949997,3051800,164.649078
"828",172.520004,175.160004,172.050003,175.089996,4759100,171.648758
"829",172.589996,176.899994,171.759995,174.740005,2511700,171.305634
"830",170.820007,172.800003,165.710007,166.240005,2711400,162.972702
"831",170.039993,173.339996,169.210007,172.309998,1921200,168.923386
"832",173.360001,175.320007,172.139999,172.899994,3027900,169.501785
