"","MRNA.Open","MRNA.High","MRNA.Low","MRNA.Close","MRNA.Volume","MRNA.Adjusted"
"128",16.110001,16.360001,15.62,16.299999,2042400,16.299999
"129",16.42,17.59,16.049999,16.16,1607300,16.16
"130",16.25,16.674999,15.32,15.4,2080000,15.4
"131",15.54,15.85,15.28,15.77,1220400,15.77
"132",15.9,16.190001,15.578,15.74,1120200,15.74
"133",15.75,16.302,15.37,15.5,2831100,15.5
"134",15.85,15.935,14.86,15.18,1605400,15.18
"135",15.2,15.32,14.5,14.7,2115700,14.7
"136",14.41,14.691,14.02,14.04,1327300,14.04
"137",14.11,14.25,13.65,13.77,1935300,13.77
"138",13.92,14.18,13.65,13.7,1112800,13.7
"139",13.5,14.405,13.5,14.34,1724400,14.34
"140",14.41,14.64,14.11,14.64,1657000,14.64
"141",14.86,15.08,14.47,14.73,1134400,14.73
"142",14.71,14.71,14,14.4,1202100,14.4
"143",14.5,15.33,14.4,15.31,954500,15.31
"144",15.47,15.47,14.83,14.96,970600,14.96
"145",14.89,14.9,14.14,14.29,938300,14.29
"146",14.31,14.85,14.15,14.85,739700,14.85
"147",14.94,15.22,14.05,14.48,1770200,14.48
"148",14.56,14.7,14.12,14.44,1135100,14.44
"149",14.27,14.48,14.06,14.2,1084300,14.2
"150",14.28,14.46,14,14.32,727600,14.32
"151",14.32,14.475,14,14.14,1111000,14.14
"152",14.17,14.59,14,14.03,1202300,14.03
"153",14.09,14.28,13.9,14.26,756800,14.26
"154",14.29,14.4,14.01,14.11,1042600,14.11
"155",14.22,14.32,13.91,14.05,1058900,14.05
"156",14.06,14.13,13.12,13.6,2053300,13.6
"157",13.75,14.52,13.473,14.47,1167300,14.47
"158",14.51,14.65,13.5,13.51,895500,13.51
"159",13.59,14.18,13.36,14.12,669000,14.12
"160",14.17,14.33,13.56,13.69,1049600,13.69
"161",13.61,13.76,13.29,13.4,929500,13.4
"162",13.42,13.51,13.04,13.1,1087500,13.1
"163",13.2,13.4,12.71,13.01,1502100,13.01
"164",13,13.037,12.4,12.73,1180300,12.73
"165",12.55,12.69,12.2,12.26,1038200,12.26
"166",12.5,12.868,11.9,12.29,2007700,12.29
"167",12.26,14.5,11.54,12.85,3003000,12.85
"168",12.91,13.3,12.3,13.19,1500900,13.19
"169",13.14,13.55,12.97,13.33,744900,13.33
"170",13.42,13.68,12.984,13.02,780300,13.02
"171",13,13.395,12.76,13.3,559000,13.3
"172",13.08,13.22,12.5,12.74,1362700,12.74
"173",12.72,12.95,12.47,12.67,1162800,12.67
"174",12.85,13.24,12.79,13.16,1105100,13.16
"175",13.25,13.5,13.02,13.4,1914300,13.4
"176",13.87,14.65,13.6,14.15,3366900,14.15
"177",14.25,14.41,13.76,14.29,1416100,14.29
"178",14.37,14.43,14.04,14.16,1022400,14.16
"179",14.08,14.36,13.83,13.88,1501000,13.88
"180",14.01,15.38,14,14.97,3153400,14.97
"181",15.17,15.5,14.12,14.51,2720200,14.51
"182",14.51,15.04,14.38,14.82,1451700,14.82
"183",14.91,15.2,14.61,15.18,1684000,15.18
"184",15.3,15.75,15.2,15.73,1601300,15.73
"185",16.1,16.5,14.35,14.88,2508800,14.88
"186",15.11,15.59,14.8,15.42,1555700,15.42
"187",15.65,16.129999,15.02,15.53,1394500,15.53
"188",15.56,16.18,15.14,15.88,2042500,15.88
"189",15.98,16.23,15.36,16.030001,2311800,16.030001
"190",16.059999,17.34,15.97,17.09,3077200,17.09
"191",17.34,17.59,15.89,15.92,3590700,15.92
"192",16.23,18.459999,16.200001,16.4,8290900,16.4
"193",16.450001,17.040001,16.059999,16.709999,3162200,16.709999
"194",16.73,17.309999,16.690001,17.049999,3053900,17.049999
"195",17.459999,17.950001,17.190001,17.66,5239600,17.66
"196",17.77,18,17.35,17.780001,5834500,17.780001
"197",17.709999,18.42,17.617001,17.9,5866800,17.9
"198",18.139999,18.389999,17.75,18.07,24387400,18.07
"199",18.24,18.48,17.559999,17.83,4847400,17.83
"200",17.83,17.99,17.25,17.82,5213300,17.82
"201",17.709999,17.709999,17.1,17.18,3044600,17.18
"202",17.41,17.51,16.145,16.34,4448900,16.34
"203",16.290001,16.540001,15.675,15.9,2305200,15.9
"204",15.79,16.27,15.67,15.92,1532200,15.92
"205",15.87,16.059999,14.8,14.81,1544900,14.81
"206",14.78,15.01,14.42,14.86,1783300,14.86
"207",15.24,15.24,14.41,15.07,1464200,15.07
"208",15.05,15.57,14.89,15.51,1021400,15.51
"209",15.45,15.63,15.07,15.47,1373900,15.47
"210",15.36,15.48,15.01,15.31,1226200,15.31
"211",15.33,15.55,14.18,14.2,2386100,14.2
"212",14.13,14.41,13.87,14.16,1343300,14.16
"213",14.24,14.7,13.99,14.055,934900,14.055
"214",14.19,14.27,13.67,13.93,954300,13.93
"215",13.93,14.45,13.53,14.33,1153500,14.33
"216",14.27,14.32,14.02,14.15,914100,14.15
"217",14.23,14.72,14.15,14.54,1033900,14.54
"218",14.5,14.85,14.07,14.81,1596400,14.81
"219",14.9,15.59,14.66,15.5,930900,15.5
"220",15.56,16.09,15.55,15.92,588500,15.92
"221",16.16,17.01,16.09,16.9,1512000,16.9
"222",16.92,17.030001,16.049999,16.59,1112100,16.59
"223",16.73,17.1,16.43,17.01,737000,17.01
"224",17.01,17.15,16.809,17.030001,652400,17.030001
"225",16.959999,17.155001,16.66,16.99,751700,16.99
"226",16.950001,17.24,16.52,17.139999,958700,17.139999
"227",17.030001,17.15,16.49,16.75,1007300,16.75
"228",16.799999,16.893999,15.52,15.66,1600600,15.66
"229",15.9,16.799999,15.83,16.799999,1330000,16.799999
"230",16.940001,17.719999,16.709999,16.889999,1741300,16.889999
"231",16.83,17.49,16.049999,16.129999,1575400,16.129999
"232",16.33,17.608,16.280001,17.5,2043600,17.5
