"","ADBE.Open","ADBE.High","ADBE.Low","ADBE.Close","ADBE.Volume","ADBE.Adjusted"
"252",175.850006,177.800003,175.259995,177.699997,2432800,177.699997
"253",178,181.889999,177.699997,181.039993,2561200,181.039993
"254",181.929993,184.059998,181.639999,183.220001,2211400,183.220001
"255",185,185.899994,183.539993,185.339996,2376500,185.339996
"256",184.949997,185.600006,183.830002,185.039993,2088000,185.039993
"257",185.570007,186.970001,183.929993,186.699997,1804300,186.699997
"258",185.210007,187.270004,185.070007,187.110001,1664300,187.110001
"259",187.289993,188.940002,186.190002,188.919998,1600100,188.919998
"260",189.089996,195.5,188.990005,195.050003,4246000,195.050003
"261",195.919998,198.210007,191.710007,192.460007,4595600,192.460007
"262",194.020004,197.119995,192.770004,196.490005,2969500,196.490005
"263",196.210007,196.589996,194.059998,196.199997,2539400,196.199997
"264",196.240005,196.630005,194.649994,195.729996,2343000,195.729996
"265",195.699997,198,194.419998,197.839996,1701300,197.839996
"266",202.289993,204.449997,199.440002,200.089996,3981000,200.089996
"267",201.820007,202.300003,196.520004,197.779999,3250500,197.779999
"268",198.080002,199.240005,196.070007,197.509995,2574200,197.509995
"269",198.5,201.550003,198.25,201.300003,2338100,201.300003
"270",200.110001,200.860001,197.869995,198.229996,1939000,198.229996
"271",197.25,197.729996,194.889999,196.899994,3343300,196.899994
"272",197.130005,200.960007,196.75,199.759995,2747600,199.759995
"273",199.119995,201.75,198.080002,199.380005,2366100,199.380005
"274",197.330002,199.399994,195.440002,195.639999,2813800,195.639999
"275",194.059998,198.460007,188,190.270004,3801300,190.270004
"276",186.589996,194.820007,182.100006,194.470001,4480000,194.470001
"277",193.869995,196.240005,192.020004,192.339996,2988000,192.339996
"278",192.839996,192.970001,185.020004,185.160004,3978700,185.160004
"279",187.330002,189.710007,179.339996,187.990005,3818800,187.990005
"280",189,192.990005,188.559998,192.149994,2824700,192.149994
"281",190.850006,194.309998,190.389999,193.479996,1961300,193.479996
"282",192.479996,197.5,191.949997,197.130005,2542400,197.130005
"283",198.970001,203.279999,197.130005,202.970001,2233300,202.970001
"284",202.520004,203.899994,200.740005,201.559998,2172600,201.559998
"285",200.460007,205.119995,199.179993,202.979996,2722700,202.979996
"286",204.449997,206.830002,202.020004,202.089996,2043500,202.089996
"287",203.070007,204.220001,201.679993,202.610001,1541500,202.610001
"288",204.220001,209.779999,203.309998,209.740005,2349300,209.740005
"289",211.289993,212.350006,209.259995,212.149994,2418700,212.149994
"290",211.990005,212.759995,208.25,208.820007,2330800,208.820007
"291",210.690002,213.440002,209.100006,209.130005,2356900,209.130005
"292",210.320007,210.679993,204.449997,206.029999,2632200,206.029999
"293",203.960007,210.210007,201.759995,209.789993,2624700,209.789993
"294",208.75,212,206.919998,211.160004,2111800,211.160004
"295",212.440002,212.740005,209.880005,212.009995,2169000,212.009995
"296",211.330002,217.440002,211,216.860001,2795100,216.860001
"297",218.029999,219.710007,214.860001,216.399994,2284400,216.399994
"298",218,221.270004,217.190002,221.110001,2642300,221.110001
"299",222.970001,223.110001,220.339996,220.940002,3216900,220.940002
"300",223,224.899994,218.429993,219.759995,4732000,219.759995
"301",220.75,221.460007,217.600006,218.440002,3357600,218.440002
"302",220,221.470001,218.059998,218.869995,4457000,218.869995
"303",227.179993,228.880005,224,225.550003,8783000,225.550003
"304",224.479996,226.589996,218.679993,222.179993,4029300,222.179993
"305",223.190002,231.339996,223,229.75,5019300,229.75
"306",228.759995,229.25,225.610001,226.850006,3971800,226.850006
"307",223.860001,225.869995,220.259995,220.520004,3008700,220.520004
"308",219.520004,222.460007,214.779999,215.020004,4297200,215.020004
"309",218.830002,229.149994,218.5,228.910004,4485400,228.910004
"310",229.899994,230.979996,212.25,213.800003,5468100,213.800003
"311",213.720001,217.149994,209.039993,212.539993,4503200,212.539993
"312",213.350006,219.589996,210.270004,216.080002,3757400,216.080002
"313",214.809998,216.5,207.220001,212.279999,3494900,212.279999
"314",214.779999,217.850006,212.279999,215.929993,3017800,215.929993
"315",210.710007,226.279999,210.5,225.050003,4474400,225.050003
"316",227.940002,228.800003,221.610001,223.539993,4084900,223.539993
"317",221.889999,224.460007,216.75,218.610001,2964500,218.610001
"318",220.080002,224.440002,218.820007,219.169998,2536100,219.169998
"319",222.610001,225.160004,221.179993,224.529999,2823200,224.529999
"320",222.929993,226.619995,222.539993,223.630005,1851100,223.630005
"321",225.720001,228.389999,225.119995,226.960007,2084100,226.960007
"322",228.850006,228.949997,222.550003,224.059998,2029300,224.059998
"323",226.080002,227.229996,222.949997,226.520004,2130700,226.520004
"324",228.559998,232.210007,228.070007,231.160004,3404400,231.160004
"325",231.699997,233.169998,228.619995,231.100006,2261600,231.100006
"326",230.110001,230.429993,226.279999,227.619995,2620100,227.619995
"327",227,227.600006,223.050003,225.240005,2403700,225.240005
"328",226.389999,229.149994,224.75,225.300003,2138000,225.300003
"329",227,228.300003,215.779999,217.889999,3450800,217.889999
"330",218.160004,219.399994,213.25,217.320007,2946100,217.320007
"331",219.770004,223.190002,218.850006,221.910004,2235900,221.910004
"332",223.080002,224.179993,219.679993,221.899994,1503100,221.899994
"333",223.270004,224.139999,219.539993,221.600006,1766300,221.600006
"334",220.770004,224.490005,219.380005,224.080002,1792900,224.080002
"335",224.300003,224.5,220.550003,221.100006,2202900,221.100006
"336",220.009995,227.369995,218.740005,226.050003,2507900,226.050003
"337",223.889999,229.389999,223.389999,228.509995,1663700,228.509995
"338",229.539993,232.360001,229.020004,230.990005,1808300,230.990005
"339",229.740005,235,228.75,234.559998,2244600,234.559998
"340",235,240.149994,233.529999,239.740005,3091600,239.740005
"341",240.460007,241.759995,238.240005,241.149994,1941400,241.149994
"342",241.029999,241.929993,238.789993,241.880005,2261700,241.880005
"343",242,243.339996,237.240005,238.369995,2670800,238.369995
"344",235.639999,237.350006,233,236.600006,2130100,236.600006
"345",236.589996,238.119995,235.839996,237.389999,1843700,237.389999
"346",237.320007,239.669998,234.830002,236.850006,1690600,236.850006
"347",236.240005,239.279999,235.259995,238.089996,1888200,238.089996
"348",239.850006,240.779999,237.110001,238.100006,1757900,238.100006
"349",241.149994,243.490005,237.759995,238.789993,2950200,238.789993
"350",236.320007,244.089996,236,243.910004,2757600,243.910004
"351",243.789993,245.899994,240.720001,245.149994,2779600,245.149994
"352",245,245.789993,242.869995,243.559998,2152900,243.559998
"353",242.990005,243.389999,240.380005,242.190002,2093400,242.190002
"354",244.399994,248.559998,244.389999,247.399994,2319300,247.399994
"355",247.110001,251.520004,246.580002,249.279999,3838400,249.279999
"356",250.550003,251.830002,248.850006,251.309998,2773200,251.309998
"357",252.850006,254.720001,251.100006,253.339996,3058700,253.339996
"358",254,254.059998,251.110001,252.699997,2677400,252.699997
"359",253.75,254.070007,251.5,253.949997,3963600,253.949997
"360",253.240005,254.050003,244.029999,247.509995,4169200,247.509995
"361",246.860001,251.660004,245.830002,251.210007,2880600,251.210007
"362",251.759995,253.479996,250.130005,251,2868200,251
"363",252.649994,254.800003,251.130005,252.589996,3513300,252.589996
"364",253.699997,257.899994,253.649994,256.130005,3590700,256.130005
"365",257.149994,258.910004,256.579987,258.100006,5618300,258.100006
"366",251.279999,253.869995,247.520004,251.820007,9052800,251.820007
"367",250.520004,256.769989,249.800003,255.690002,3764300,255.690002
"368",251.830002,253.649994,247.899994,251.740005,3532500,251.740005
"369",253.5,254.800003,250.979996,251.240005,2577500,251.240005
"370",252,252.720001,247.570007,248.830002,2639700,248.830002
"371",248.110001,248.800003,243.259995,243.630005,4124500,243.630005
"372",240.149994,241.960007,235.869995,239.679993,4575400,239.679993
"373",240.669998,244.229996,239.660004,242.25,2998300,242.25
"374",243.460007,244.979996,237.509995,237.679993,3499500,237.679993
"375",236.589996,241.820007,236.440002,239.809998,2217200,239.809998
"376",241.880005,245.490005,241.5,243.809998,3774700,243.809998
"377",241.050003,243.330002,239.600006,243.259995,4127400,243.259995
"378",244.720001,245.940002,241.669998,242.009995,1307700,242.009995
"379",243.039993,244.619995,242.139999,244.179993,1863400,244.179993
"380",244.479996,248.720001,243.220001,248.190002,1889700,248.190002
"381",249.899994,250.660004,246.369995,249.770004,2170700,249.770004
"382",250.470001,250.850006,248.210007,248.630005,2012400,248.630005
"383",246.649994,249.740005,245.850006,248.119995,1730600,248.119995
"384",249.940002,255.050003,249.380005,254.869995,2761600,254.869995
"385",254.639999,259.51001,253.490005,258.589996,3934100,258.589996
"386",258.630005,259.040009,253.830002,254.679993,2165100,254.679993
"387",252.679993,258.679993,250.710007,258.309998,2552000,258.309998
"388",257.859985,260.940002,256.540009,259.779999,2637000,259.779999
"389",258,259.600006,256.359985,257.679993,1980200,257.679993
"390",258.170013,259.450012,256.73999,257.540009,2221800,257.540009
"391",257.660004,260.140015,256.380005,259.470001,1935700,259.470001
"392",261.040009,262.730011,255.929993,257.48999,2433300,257.48999
"393",258.350006,263.5,257.829987,263.170013,2270300,263.170013
"394",261.920013,263.829987,258.48999,261.929993,2265800,261.929993
"395",262.049988,262.859985,253.050003,254.809998,3030900,254.809998
"396",254.419998,254.759995,240.100006,242.320007,5496800,242.320007
