"","ABC.Open","ABC.High","ABC.Low","ABC.Close","ABC.Volume","ABC.Adjusted"
"690",81,83.410004,81,82.330002,1141900,79.300537
"691",82.480003,84.209999,82.07,82.120003,1298200,79.098274
"692",81.32,81.779999,80.449997,80.980003,1366400,78.000221
"693",80.809998,81.57,79.75,81.339996,760500,78.346962
"694",81.300003,81.879997,80.269997,81.849998,767300,78.838203
"695",81.389999,82.690002,80.739998,81.860001,1212300,78.847832
"696",81.260002,81.870003,80.129997,80.169998,1345000,77.220024
"697",80.830002,81.18,80.290001,80.370003,657500,77.412666
"698",80.550003,81.57,79.839996,80.82,741800,77.8461
"699",81.800003,83.150002,81.160004,81.959999,958100,78.94416
"700",81.790001,82.150002,81.379997,81.580002,506000,78.57814
"701",82.209999,83.610001,81.860001,83.199997,777800,80.138527
"702",84.110001,88.690002,84.019997,86.050003,2691700,82.883659
"703",86.110001,89.830002,86.110001,89.5,3243000,86.206711
"704",89.510002,90,88.339996,89.639999,1550400,86.34156
"705",88.199997,89,84.370003,86.660004,2337600,83.471222
"706",86.809998,87.110001,85.589996,86.059998,847100,82.893295
"707",85.730003,86.029999,84.809998,85.650002,778800,82.49839
"708",85.959999,86.290001,84.839996,85.980003,732800,82.816238
"709",85.910004,87.220001,85.309998,86.800003,416400,83.606064
"710",87.199997,88.199997,86.800003,87.389999,450400,84.174347
"711",87.419998,88.879997,87.129997,88.870003,927500,85.599899
"712",88,88,84.830002,85.849998,1382200,82.691017
"713",85.449997,85.769997,84.519997,85.379997,957100,82.238319
"714",85.919998,87.419998,85.540001,86.870003,1232000,83.673477
"715",87.199997,87.730003,85.459999,87.5,883300,84.280312
"716",87.900002,88.779999,83.800003,86.129997,2029600,82.960709
"717",86.639999,86.949997,84.580002,84.709999,1454000,81.592957
"718",86.339996,87.769997,83.860001,84.080002,1941700,80.986153
"719",83.629997,86.150002,83.059998,86.07,983700,82.902924
"720",84.839996,85.099998,82.099998,84.040001,1846200,80.947609
"721",84.5,86.489998,84.110001,85.540001,1105700,82.392433
"722",85.139999,86.730003,84.730003,86.089996,712000,82.922203
"723",86.839996,87.120003,85.790001,86.129997,1002400,82.960709
"724",86,87.739998,85.449997,87.300003,1100000,84.480011
"725",87.040001,88.199997,87.040001,87.769997,676500,84.934822
"726",87.57,88.139999,87,87.809998,640900,84.973526
"727",87.440002,88.349998,86.879997,87.550003,1176200,84.721931
"728",87.57,88.709999,87.010002,88.309998,992800,85.45739
"729",89.099998,90.519997,88.669998,90.260002,1194300,87.344398
"730",90.519997,90.809998,89.870003,90.639999,890000,87.712105
"731",90.720001,90.720001,86.790001,87.849998,1885200,85.012238
"732",87.5,88.550003,86.879997,88.510002,629700,85.650917
"733",87.959999,88.75,87.779999,87.910004,355800,85.070305
"734",87.870003,88.599998,86.940002,87.830002,1109600,84.992889
"735",87.190002,87.559998,86.540001,87.43,902100,84.605804
"736",87.639999,88.970001,87.559998,88.360001,743000,85.505768
"737",88.089996,88.889999,87.230003,87.82,997200,84.9832
"738",88.25,89.209999,87.889999,88.239998,723000,85.389633
"739",88.239998,88.239998,86.279999,86.389999,1076200,83.599388
"740",86.370003,87.050003,84.900002,86.760002,1767800,83.957458
"741",86.43,87.040001,85.93,86.660004,984400,83.86068
"742",87.099998,87.809998,86.129997,86.790001,507500,83.986481
"743",86.809998,87.610001,84.760002,84.849998,977000,82.109146
"744",85.43,86.660004,85.040001,85.959999,970800,83.183281
"745",85.959999,86.089996,82.980003,83.150002,1947200,80.46405
"746",82.669998,84.849998,82.57,83.550003,1527600,80.851135
"747",83.580002,84.209999,83.110001,83.800003,1444200,81.093063
"748",84.519997,85.760002,83.800003,85.669998,1666800,82.902649
"749",86.019997,86.110001,84.980003,85.599998,865400,82.834915
"750",86.040001,86.300003,85.279999,85.419998,283400,82.660721
"751",85.540001,85.669998,84.940002,85.050003,487200,82.302681
"752",85.129997,85.489998,84.830002,84.910004,388400,82.167206
"753",84.949997,85.230003,83.580002,83.639999,592400,80.938225
"754",83.379997,85.029999,83.220001,85.019997,1002000,82.273651
"755",85.639999,85.800003,84.339996,85.080002,817600,82.331718
"756",83.809998,85.07,83.269997,84.010002,801500,81.29628
"757",83.68,85.309998,83.010002,85.239998,765000,82.486542
"758",84.760002,85.25,84.190002,84.629997,845300,81.89624
"759",84.559998,85.82,84.529999,85.449997,1182000,82.689758
"760",85.620003,86.730003,84.82,86.660004,795400,83.86068
"761",87.040001,87.389999,86.599998,87.040001,965100,84.228394
"762",86.970001,87.25,85.5,86.150002,1026200,83.367149
