"","ENPH.Open","ENPH.High","ENPH.Low","ENPH.Close","ENPH.Volume","ENPH.Adjusted"
"184",1.38,1.45,1.29,1.36,819500,1.36
"185",1.34,1.39,1.32,1.37,270500,1.37
"186",1.37,1.5,1.35,1.45,411100,1.45
"187",1.45,1.56,1.41,1.51,517100,1.51
"188",1.49,1.58,1.47,1.52,350800,1.52
"189",1.53,1.57,1.48,1.53,249300,1.53
"190",1.53,1.63,1.53,1.59,1181600,1.59
"191",1.6,1.61,1.52,1.52,387900,1.52
"192",1.5,1.55,1.43,1.53,485400,1.53
"193",1.51,1.53,1.45,1.49,281600,1.49
"194",1.5,1.51,1.43,1.43,529200,1.43
"195",1.41,1.43,1.33,1.38,1004400,1.38
"196",1.37,1.43,1.36,1.4,276400,1.4
"197",1.4,1.5,1.38,1.41,532500,1.41
"198",1.4,1.43,1.35,1.39,311100,1.39
"199",1.4,1.44,1.38,1.41,249000,1.41
"200",1.43,1.43,1.33,1.37,492500,1.37
"201",1.38,1.39,1.25,1.26,602900,1.26
"202",1.28,1.29,1.24,1.29,383800,1.29
"203",1.29,1.37,1.29,1.37,311800,1.37
"204",1.37,1.38,1.3,1.32,245500,1.32
"205",1.33,1.42,1.32,1.33,658000,1.33
"206",1.32,1.37,1.26,1.27,300100,1.27
"207",1.28,1.32,1.28,1.32,118000,1.32
"208",1.32,1.41,1.32,1.36,598200,1.36
"209",1.42,1.5,1.4,1.49,951900,1.49
"210",1.5,1.55,1.45,1.53,519100,1.53
"211",1.53,1.53,1.38,1.4,406100,1.4
"212",1.4,1.47,1.37,1.45,390300,1.45
"213",1.44,1.5,1.4,1.48,292700,1.48
"214",1.5,1.53,1.47,1.49,533000,1.49
"215",1.51,1.52,1.41,1.46,839200,1.46
"216",1.61,1.82,1.56,1.75,3199400,1.75
"217",1.69,1.87,1.69,1.83,1385600,1.83
"218",1.84,2.1,1.81,1.97,1900200,1.97
"219",1.98,2.36,1.96,2.32,2173200,2.32
"220",2.32,2.44,2.28,2.37,1056000,2.37
"221",2.37,2.72,2.31,2.61,1911200,2.61
"222",2.6,2.98,2.32,2.78,2203500,2.78
"223",2.8,3.19,2.76,2.77,2961400,2.77
"224",2.83,2.87,2.27,2.56,1621100,2.56
"225",2.57,2.81,2.56,2.78,1041500,2.78
"226",2.82,2.97,2.73,2.81,842600,2.81
"227",2.85,2.85,2.63,2.66,530400,2.66
"228",2.72,3.03,2.7,3,2485000,3
"229",3.01,3.27,2.85,3.14,1763800,3.14
"230",3.1,3.45,2.83,2.87,3172200,2.87
"231",2.89,3.18,2.85,2.9,1483200,2.9
"232",2.88,3.01,2.81,2.9,976900,2.9
"233",2.94,3,2.55,2.65,1430900,2.65
"234",2.65,2.88,2.65,2.76,811100,2.76
"235",2.73,2.87,2.7,2.7,666600,2.7
"236",2.72,2.93,2.72,2.8,1100000,2.8
"237",2.84,2.84,2.72,2.77,414900,2.77
"238",2.78,2.85,2.68,2.7,672400,2.7
"239",2.71,2.77,2.67,2.72,606300,2.72
"240",2.7,2.73,2.65,2.66,810500,2.66
"241",2.68,2.75,2.66,2.7,528600,2.7
"242",2.7,2.88,2.67,2.8,809300,2.8
"243",2.82,2.87,2.55,2.56,1247000,2.56
"244",2.56,2.64,2.45,2.47,1128400,2.47
"245",2.47,2.61,2.45,2.52,719700,2.52
"246",2.5,2.57,2.46,2.55,616500,2.55
"247",2.6,2.62,2.51,2.53,457900,2.53
"248",2.47,2.5,2.39,2.42,741500,2.42
"249",2.43,2.53,2.42,2.45,224800,2.45
"250",2.46,2.51,2.4,2.49,508100,2.49
"251",2.49,2.5,2.33,2.41,474300,2.41
"252",2.39,2.66,2.38,2.6,852700,2.6
"253",2.62,2.64,2.55,2.58,434100,2.58
"254",2.62,2.62,2.43,2.5,547500,2.5
"255",2.52,2.53,2.42,2.47,512100,2.47
"256",2.46,2.49,2.34,2.41,953000,2.41
"257",2.4,2.45,2.35,2.38,948000,2.38
"258",2.38,2.38,2.23,2.26,757400,2.26
"259",2.23,2.43,2.15,2.4,1242800,2.4
"260",2.4,2.4,2.17,2.24,810800,2.24
"261",2.21,2.23,2,2.09,1372800,2.09
"262",2.07,2.15,2.06,2.1,410300,2.1
"263",2.08,2.09,1.94,1.94,877300,1.94
"264",1.93,1.97,1.83,1.95,1313400,1.95
"265",1.9,2.07,1.87,1.97,864600,1.97
"266",2.07,2.3,2.06,2.06,1893200,2.06
"267",2.1,2.1,1.95,2.02,762900,2.02
"268",2.03,2.11,1.99,2.09,482200,2.09
"269",2.1,2.23,2.1,2.14,1045400,2.14
"270",2.14,2.15,1.95,2.03,716900,2.03
"271",2.03,2.06,1.95,2.03,409000,2.03
"272",2.05,2.2,2.04,2.2,642300,2.2
"273",2.18,2.18,2.07,2.17,557000,2.17
"274",2.16,2.17,2.01,2.07,563300,2.07
"275",2,2.42,2,2.3,2087500,2.3
"276",2.21,2.37,2.2,2.31,975900,2.31
"277",2.33,2.54,2.26,2.53,1067000,2.53
"278",2.52,2.59,2.26,2.28,999500,2.28
"279",2.3,2.39,2.1,2.29,1156400,2.29
"280",2.32,2.75,2.32,2.66,1834300,2.66
"281",2.64,2.87,2.55,2.85,1095800,2.85
"282",2.83,2.86,2.66,2.67,996300,2.67
"283",2.73,2.85,2.65,2.76,1085900,2.76
"284",2.75,2.88,2.67,2.82,878000,2.82
"285",2.78,2.8,2.53,2.55,1174600,2.55
"286",2.58,2.67,2.57,2.63,720400,2.63
"287",2.63,2.63,2.4,2.43,743000,2.43
"288",2.45,2.49,2.37,2.47,453500,2.47
"289",2.5,2.69,2.4,2.68,850800,2.68
"290",2.67,2.92,2.59,2.79,2744000,2.79
"291",3.2,3.45,3.07,3.32,4834300,3.32
"292",3.32,3.49,3.21,3.31,3206400,3.31
"293",3.27,3.48,3.14,3.43,2685400,3.43
"294",3.45,3.88,3.31,3.71,3536300,3.71
"295",3.77,3.98,3.7,3.85,2418100,3.85
"296",3.82,3.98,3.71,3.92,1676700,3.92
"297",3.95,3.97,3.62,3.79,1564900,3.79
"298",3.8,3.9,3.73,3.87,1226200,3.87
"299",3.89,4.25,3.77,4.05,2481300,4.05
"300",4.06,4.14,3.81,3.98,1045900,3.98
"301",3.98,4.44,3.96,4.25,2891900,4.25
"302",4.28,4.48,4.13,4.41,1358500,4.41
"303",4.42,4.74,4.38,4.72,3552600,4.72
"304",4.7,4.8,4.6,4.74,1572100,4.74
"305",4.76,4.97,4.72,4.76,2310900,4.76
"306",4.8,4.9,4.52,4.71,2366700,4.71
"307",4.69,4.9,4.51,4.73,1949100,4.73
"308",4.77,4.97,4.66,4.83,1296500,4.83
"309",4.95,4.97,4.62,4.92,1892200,4.92
"310",4.97,5.58,4.95,5.08,4006300,5.08
"311",5.08,5.27,4.26,4.59,3758200,4.59
"312",4.59,4.83,4.51,4.57,1656100,4.57
"313",4.58,4.65,4.32,4.51,1449200,4.51
"314",4.51,4.53,3.81,4.24,3199400,4.24
"315",4.18,4.49,3.9,4.42,2375200,4.42
"316",4.39,4.52,4.3,4.36,1147900,4.36
"317",4.34,4.41,4.1,4.14,1583100,4.14
"318",4.16,4.31,4.04,4.15,976300,4.15
"319",4.18,4.3,3.91,4,1250200,4
"320",4.03,4.12,3.9,3.96,940400,3.96
"321",3.97,4.26,3.97,4.07,1070300,4.07
"322",4.1,4.12,3.9,3.94,1011700,3.94
"323",4,4.24,3.95,3.96,1580400,3.96
"324",3.99,4.3,3.99,4.26,1497100,4.26
"325",4.27,4.42,4.18,4.25,1065800,4.25
"326",4.37,4.71,4.33,4.58,1799900,4.58
"327",4.63,4.91,4.63,4.91,1942400,4.91
"328",4.87,5.2,4.83,4.96,2907100,4.96
"329",5.04,5.12,4.4,4.46,2809000,4.46
"330",4.41,4.66,4.31,4.39,1189300,4.39
"331",4.38,4.51,4.31,4.38,1033900,4.38
"332",4.41,4.46,4.21,4.26,936900,4.26
"333",4.3,4.44,4.02,4.15,1528800,4.15
"334",4.12,4.19,3.95,4.06,1752100,4.06
"335",4.3,4.84,4.21,4.63,3267000,4.63
"336",4.63,4.63,4.32,4.5,1925600,4.5
"337",4.52,4.56,4.28,4.3,1237100,4.3
"338",4.36,4.6,4.32,4.59,1528600,4.59
"339",4.59,4.64,4.39,4.49,1214400,4.49
"340",4.52,4.72,4.39,4.68,1490100,4.68
"341",4.72,5.41,4.7,5.21,4707200,5.21
"342",5.21,5.21,4.88,5.09,1765300,5.09
"343",5.15,5.33,5.13,5.18,1508500,5.18
"344",5.15,5.33,5.15,5.3,1580600,5.3
"345",5.41,6.04,5.32,5.6,5209200,5.6
"346",5.7,5.85,5.35,5.53,3105100,5.53
"347",5.56,5.57,5.21,5.34,1932300,5.34
"348",5.49,5.64,5.42,5.5,1168300,5.5
"349",5.48,5.57,5.33,5.54,1628500,5.54
"350",5.54,6.12,5.54,5.65,3641000,5.65
"351",5.7,5.83,5.54,5.8,2304100,5.8
"352",5.77,5.8,5.52,5.61,1785600,5.61
"353",5.69,5.9,5.53,5.85,1813600,5.85
"354",5.88,6.3,5.73,6.23,3743400,6.23
"355",6.3,6.37,5.66,5.73,3371700,5.73
"356",5.85,5.99,5.71,5.78,2002300,5.78
"357",5.82,5.89,5,5.79,4502900,5.79
"358",5.81,5.9,5.42,5.62,2460900,5.62
"359",5.54,5.61,5.16,5.3,2858500,5.3
"360",5.24,5.37,5.08,5.32,2124200,5.32
"361",5.33,5.34,5.02,5.03,1711900,5.03
"362",5.05,5.17,4.57,4.62,4889900,4.62
"363",4.58,4.74,4.42,4.5,5323400,4.5
"364",6.1,6.23,5.76,5.98,20284000,5.98
"365",6.02,6.54,5.94,6.44,8563400,6.44
"366",6.44,6.47,5.6,5.69,8122500,5.69
"367",5.73,6.14,5.63,6.1,3319500,6.1
"368",5.96,6.21,5.93,6.2,3702500,6.2
"369",6.27,6.39,6.15,6.16,2415800,6.16
"370",6.21,6.33,6.12,6.22,2759400,6.22
"371",6.25,6.8,6.21,6.62,15059400,6.62
"372",6.72,6.99,6.46,6.98,5549100,6.98
"373",6.95,7.35,6.67,7.3,7362500,7.3
"374",7.22,7.55,6.77,6.81,5129400,6.81
"375",6.83,7.09,6.61,6.95,3220000,6.95
"376",6.96,7.2,6.61,6.73,4340000,6.73
"377",6.73,7.19,6.52,7.14,3088600,7.14
"378",7.13,7.17,6.86,7.03,1392800,7.03
"379",7.08,7.24,7,7.01,2267300,7.01
"380",6.97,7.11,6.91,7.03,2310100,7.03
"381",7.03,7.48,7,7.4,2773900,7.4
"382",7.39,7.6,7.32,7.48,2813300,7.48
"383",7.27,7.3,6.86,7.04,4152100,7.04
"384",7.08,7.24,6.88,7.02,2447300,7.02
"385",6.98,7.1,6.89,7.04,1519200,7.04
"386",7,7.2,6.65,6.73,2812500,6.73
"387",6.74,6.86,6.62,6.63,2506200,6.63
"388",6.7,6.77,6.57,6.69,1923200,6.69
"389",6.61,7.15,6.6,7.02,2872500,7.02
"390",7.06,7.27,6.76,6.76,2760800,6.76
"391",6.77,6.99,6.7,6.72,2312700,6.72
"392",6.9,6.99,6.58,6.62,2705600,6.62
"393",6.25,6.57,6,6.48,7796000,6.48
"394",6.34,6.48,5.82,6.18,6491100,6.18
"395",6.15,6.17,5.24,5.59,8746600,5.59
"396",5.48,5.99,5.4,5.68,4485600,5.68
"397",5.8,6.17,5.66,5.95,6094200,5.95
"398",5.47,5.62,5.03,5.59,7718200,5.59
"399",5.53,5.8,5.43,5.7,2575000,5.7
"400",5.73,5.73,5.21,5.36,3690700,5.36
"401",5.39,5.78,5.22,5.76,2607700,5.76
"402",5.68,5.96,5.66,5.87,2282100,5.87
"403",5.83,5.87,5.68,5.75,2009600,5.75
"404",5.77,6.09,5.63,5.68,2825400,5.68
"405",5.64,5.73,5.46,5.71,1816700,5.71
"406",5.68,5.69,5.36,5.37,2338100,5.37
"407",5.36,5.41,4.98,5.05,4345200,5.05
"408",4.6,4.93,4.4,4.89,11269400,4.89
"409",4.84,5.03,4.74,4.98,3796000,4.98
"410",4.85,4.94,4.55,4.77,4666900,4.77
"411",4.76,5.1,4.68,4.97,3199900,4.97
"412",4.97,5.21,4.78,4.91,3388300,4.91
"413",4.91,5.04,4.89,4.94,2016400,4.94
"414",4.96,5.05,4.79,4.9,2543200,4.9
"415",4.94,5,4.87,4.91,1749400,4.91
"416",4.89,4.93,4.7,4.79,2097300,4.79
"417",4.81,5.04,4.77,5.01,1824600,5.01
"418",4.96,5.36,4.95,5.21,3908500,5.21
"419",5.28,5.35,4.7,4.71,4266400,4.71
"420",4.69,4.91,4.61,4.89,1743500,4.89
"421",4.86,4.96,4.76,4.89,1898300,4.89
"422",4.89,4.89,4.53,4.61,2269800,4.61
"423",4.61,4.68,4.38,4.43,1808400,4.43
"424",4.4,4.68,4.35,4.45,2173100,4.45
"425",4.46,4.51,4.38,4.42,1904200,4.42
"426",4.42,4.58,4.41,4.47,1151700,4.47
"427",4.49,4.52,4.33,4.41,1885400,4.41
"428",4.39,4.5,4.07,4.1,3476800,4.1
"429",4.11,4.24,3.97,4.03,2876000,4.03
"430",4.01,4.03,3.7,3.89,4584400,3.89
"431",3.89,4.42,3.88,4.36,3921500,4.36
"432",4.42,4.46,4.05,4.23,4044700,4.23
"433",4.25,4.5,4.13,4.42,2111200,4.42
"434",4.42,4.54,4.23,4.4,3172200,4.4
"435",4.37,4.44,4.18,4.21,1970900,4.21
"436",4.24,4.84,4.19,4.62,3478300,4.62
"437",4.67,4.78,4.52,4.54,2954500,4.54
"438",4.59,5.21,4.45,4.94,6265200,4.94
"439",5.15,5.16,4.76,4.85,4393900,4.85
"440",5.01,5.01,4.79,4.96,2052000,4.96
"441",4.95,5.14,4.91,4.99,2401300,4.99
"442",5.03,5.11,4.86,4.93,2063200,4.93
"443",4.87,4.93,4.6,4.64,1957800,4.64
"444",4.64,4.73,4.34,4.51,2675100,4.51
"445",4.46,4.66,4.35,4.63,1679000,4.63
"446",4.63,4.78,4.49,4.54,1248700,4.54
"447",4.5,4.52,4.3,4.33,1794100,4.33
"448",4.3,4.64,4.26,4.5,1705900,4.5
"449",4.56,4.63,4.45,4.6,1360900,4.6
"450",4.7,5,4.64,4.94,2230900,4.94
"451",4.99,4.99,4.76,4.89,1431000,4.89
"452",4.9,4.94,4.75,4.92,1109200,4.92
"453",4.89,5.11,4.83,4.87,2186600,4.87
"454",4.88,4.99,4.6,4.74,1453400,4.74
"455",4.78,4.87,4.65,4.7,798700,4.7
"456",4.57,4.64,4.39,4.51,1383100,4.51
"457",4.52,4.65,4.26,4.26,1205400,4.26
"458",4.31,4.46,4.23,4.4,1599300,4.4
"459",4.3,4.34,4.07,4.19,1546600,4.19
"460",4.33,4.4,4.06,4.15,1346000,4.15
"461",4.13,4.33,4.1,4.24,1377100,4.24
"462",4.36,4.58,4.21,4.54,2094400,4.54
"463",4.55,4.95,4.51,4.91,2357800,4.91
"464",4.94,5.21,4.91,5.15,3441100,5.15
"465",5.22,5.43,5.14,5.39,2438200,5.39
"466",5.44,5.6,5.04,5.15,2665500,5.15
"467",4.93,5.75,4.6,5.64,2999800,5.64
"468",5.65,5.81,5.47,5.81,1761600,5.81
"469",5.8,5.81,5.4,5.56,1316200,5.56
"470",5.53,5.64,5.28,5.43,1200300,5.43
"471",5.48,5.68,5.38,5.44,1105800,5.44
"472",5.49,5.54,5.31,5.4,1016800,5.4
"473",5.36,5.58,5.2,5.54,1320900,5.54
"474",5.46,5.55,5.24,5.45,1483000,5.45
"475",5.43,5.44,5.21,5.29,1327100,5.29
"476",5.17,5.28,4.81,4.92,2079800,4.92
"477",4.98,5.14,4.89,5.08,1060500,5.08
"478",4.99,5.22,4.96,5.21,639800,5.21
"479",5.28,5.37,5.22,5.3,1231400,5.3
"480",5.25,5.35,5.21,5.32,663600,5.32
"481",5.34,5.59,5.31,5.57,1632000,5.57
"482",5.57,5.57,5.4,5.42,914200,5.42
"483",5.38,5.48,5.27,5.4,1270900,5.4
"484",5.58,5.81,5.56,5.78,2631100,5.78
"485",5.67,6.34,5.6,5.66,3300900,5.66
"486",5.45,6.14,5.41,5.87,2710100,5.87
"487",5.89,5.99,5.65,5.68,1480600,5.68
"488",5.68,5.77,5.52,5.68,1447600,5.68
"489",5.75,6.03,5.67,5.7,1579300,5.7
"490",5.84,5.9,5.66,5.8,1366000,5.8
"491",5.8,5.98,5.75,5.76,1315900,5.76
"492",5.68,5.85,5.62,5.68,1275100,5.68
"493",5.64,5.7,5.49,5.53,1732100,5.53
"494",5.57,5.62,5.13,5.25,1844300,5.25
"495",5.26,5.4,5.12,5.19,1208600,5.19
"496",5.11,5.26,4.72,5,2122000,5
"497",5.04,5.05,4.53,4.74,4174800,4.74
"498",4.65,4.77,4.56,4.64,716700,4.64
"499",4.64,5.07,4.6,4.99,1366500,4.99
"500",4.87,4.92,4.71,4.9,788200,4.9
"501",4.95,5.01,4.77,4.83,1558500,4.83
"502",4.84,4.89,4.56,4.73,1145800,4.73
"503",4.63,4.93,4.61,4.92,756500,4.92
"504",4.86,4.98,4.74,4.76,1305300,4.76
"505",4.86,5.11,4.83,5.08,1814400,5.08
"506",5.12,5.39,4.9,5.26,1458700,5.26
"507",5.33,5.48,5.21,5.35,1222600,5.35
"508",5.41,5.77,5.41,5.63,1326300,5.63
"509",5.54,5.77,5.44,5.63,1056100,5.63
"510",5.6,5.7,5.57,5.68,812100,5.68
"511",5.64,5.84,5.48,5.82,1444200,5.82
"512",5.9,6.18,5.82,6.15,2436600,6.15
"513",6.13,6.74,6.1,6.68,3826000,6.68
"514",6.78,7.2,6.75,6.82,3367400,6.82
"515",6.85,6.98,6.43,6.53,2219200,6.53
"516",6.48,6.77,6.41,6.59,1621900,6.59
"517",6.61,6.66,6.39,6.51,1083400,6.51
"518",6.5,6.68,6.44,6.66,1550200,6.66
"519",6.72,6.83,6.52,6.72,1550100,6.72
"520",6.64,7.09,6.64,6.9,1563500,6.9
"521",6.99,7.19,6.94,7.1,1696200,7.1
"522",7.14,7.29,7.04,7.16,1515800,7.16
"523",7.16,7.58,7.1,7.23,3743400,7.23
"524",7.26,7.35,6.6,7,4422100,7
