"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"351",78.169998,79.260002,77.550003,79.110001,6090000,68.294975
"352",77.900002,77.970001,75.93,77,6419000,66.473427
"353",77.010002,78.839996,76.529999,77.610001,6145500,67.000031
"354",78.769997,80.470001,77.959999,79.550003,6100600,68.674805
"355",79.400002,82.690002,79.029999,79.029999,8272100,68.225906
"356",79.779999,82.029999,79,81.919998,6979800,70.72081
"357",82.300003,83.330002,81.550003,81.93,6655300,70.729454
"358",81.900002,82.199997,79.730003,80.330002,4851800,69.348183
"359",80.050003,80.150002,77.550003,78.760002,6320300,67.992805
"360",79.519997,79.610001,78.349998,79.150002,4197600,68.329514
"361",78.839996,79.339996,78.029999,78.989998,4058800,68.191376
"362",78.940002,78.940002,76.839996,77.769997,5268200,67.138161
"363",77.889999,78.309998,75.220001,75.459999,7553200,65.143959
"364",75.610001,75.790001,74.440002,74.879997,4645600,64.643242
"365",75.610001,76.190002,75.080002,75.190002,4880500,64.910881
"366",74.709999,75.459999,73.269997,73.559998,8448900,63.503696
"367",73.639999,75.230003,73.25,74.790001,4517800,64.565536
"368",74.010002,75.150002,73.709999,74.519997,3828100,64.332458
"369",74.5,74.910004,73.300003,73.82,3217200,63.728146
"370",73.459999,73.800003,72.230003,72.480003,4776300,62.571346
"371",74.029999,74.18,72.559998,72.620003,11180200,62.6922
"372",72.830002,72.900002,69.279999,69.970001,7899400,60.404499
"373",70.07,71.230003,70.050003,70.540001,4478800,60.896557
"374",71.019997,71.690002,69.029999,69.199997,5758900,59.73975
"375",69.470001,70.480003,69.059998,69.489998,4546300,59.990105
"376",69.910004,71.269997,69.709999,70.160004,5576800,60.568516
"377",69.690002,70.400002,69.199997,70.269997,5351000,60.663467
"378",70.550003,72.620003,70.279999,70.82,6832100,61.13829
"379",71.410004,72.459999,68.18,69.599998,8436100,60.085064
"380",69.209999,70.980003,69.120003,70.199997,4055100,60.603043
"381",70.440002,72.169998,70.400002,71.82,5463300,62.001575
"382",71.889999,73.18,71.779999,71.870003,3965500,62.044735
"383",70.959999,71.690002,69.300003,69.959999,4441200,60.395863
"384",70.529999,70.669998,69.269997,70.510002,3951200,60.870667
"385",70.870003,71.980003,70.480003,71.739998,4884600,61.93251
"386",71.050003,71.900002,70.790001,71.419998,3077100,61.656254
"387",71.379997,72.650002,70.830002,71.699997,3110700,61.897972
"388",71.470001,72.75,70.610001,72.559998,5089500,62.640411
"389",72.889999,73.449997,72.599998,72.860001,3148700,62.899399
"390",72.650002,73.260002,72.099998,72.519997,4231700,62.605888
"391",73.059998,73.389999,72.309998,73,3605800,63.020267
"392",73.43,74.559998,73.040001,73.739998,4223600,63.659088
"393",73.860001,74.860001,73.360001,74.720001,5236300,64.505119
"394",75.889999,80.629997,75.410004,80.160004,11435400,69.201424
"395",80.620003,81.900002,79.699997,80.989998,5450900,69.917953
"396",81.660004,82.269997,81.190002,81.5,4166200,70.358231
"397",81.620003,82.610001,80.720001,80.830002,4686700,69.779839
"398",80.25,81.07,79.849998,80.760002,4279400,69.719398
"399",80.279999,80.300003,79.220001,79.730003,3785000,68.8302
"400",79.720001,80.339996,78.410004,79.089996,3075100,68.27771
"401",79.400002,79.93,78.809998,79.839996,3837100,68.925171
"402",80.400002,81.93,80.110001,81.269997,4145800,70.159668
"403",80.739998,81.989998,80.18,81.690002,3171200,70.522255
"404",81.849998,82.18,80.449997,80.75,3027600,69.71077
"405",80.339996,81.239998,80.330002,80.93,2708400,69.866165
"406",81.129997,81.739998,80.029999,80.089996,2307800,69.140991
"407",80.709999,80.860001,79.279999,80.110001,3413800,69.158249
"408",79.019997,79.32,76.809998,77.18,6162800,67.013611
"409",77.529999,78.43,76.580002,76.690002,4075600,66.588165
