"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume","ETR.Adjusted"
"945",100.5,104.220001,100.169998,103.650002,2321000,98.984856
"946",103.419998,105.059998,102.339996,104.809998,1145200,100.092651
"947",105.25,107.860001,104.650002,106.050003,1541100,101.27684
"948",106.900002,107,104.25,104.699997,1572600,99.987602
"949",105.110001,107.379997,104.93,107.209999,885900,102.384636
"950",107.300003,107.360001,105.139999,105.849998,948000,101.085846
"951",105.970001,106.730003,105.410004,106.199997,1186100,101.420082
"952",105.449997,106.849998,105.089996,106.480003,1312500,101.687492
"953",106.540001,107.370003,104.830002,105.760002,1103800,100.999893
"954",104.75,106.269997,104.269997,105.32,844900,100.579704
"955",105.43,107.059998,104.800003,106.669998,1107000,101.868935
"956",106.330002,107.330002,105.120003,105.339996,1162900,100.598785
"957",105.919998,106.980003,105.169998,106.220001,1131200,101.439194
"958",105.720001,108.209999,105.709999,106.860001,1186500,102.050385
"959",107.010002,108.339996,106.050003,108.040001,983300,103.177277
"960",108.75,109.459999,107.809998,108.949997,1124100,104.046318
"961",107.889999,109.349998,107.349998,109.010002,1092900,104.103622
"962",108.739998,109.230003,107,107.559998,1180200,102.71888
"963",105.879997,107.269997,102.589996,102.809998,1863300,98.182671
"964",102.339996,102.730003,100.760002,101.480003,1517300,96.912537
"965",101.120003,101.82,99.059998,101.220001,1511600,96.664238
"966",102.779999,105.529999,101.309998,105.339996,1169900,100.598785
"967",106.760002,108.919998,106.059998,108.190002,1943300,103.320526
"968",107.349998,109.099998,105.510002,105.75,992300,100.990341
"969",106.519997,108.589996,106.480003,106.82,725900,102.012192
"970",106.629997,107.559998,104.519997,104.910004,790400,100.188156
"971",109.730003,112.709999,108.940002,109.150002,1073800,104.23732
"972",108.68,110.279999,108.150002,109.230003,947800,105.229599
"973",109.809998,110.129997,108.370003,109.830002,909100,105.807617
"974",109.080002,109.639999,106.860001,107.75,912200,103.803795
"975",108.150002,109.669998,108.150002,109.18,1229800,105.181427
"976",112.089996,112.870003,110.269997,112.769997,1275300,108.639946
"977",112.269997,113.110001,111.690002,111.959999,1239800,107.859612
"978",112.610001,113.360001,110.099998,110.190002,1323000,106.154434
"979",110.220001,110.220001,108.360001,108.970001,1049000,104.979111
"980",108.860001,109.889999,108.370003,108.980003,1407200,104.988747
"981",109.32,110.220001,108.480003,109.720001,1125900,105.701637
"982",110.849998,110.860001,109.739998,110.599998,1230800,106.549416
"983",110.800003,112.449997,109.690002,112.25,1169200,108.138992
"984",112.370003,112.370003,110.489998,111.510002,812700,107.426102
"985",110.980003,110.980003,108.230003,108.849998,2379400,104.863503
"986",109.68,111.080002,108.720001,108.849998,1092700,104.863503
"987",108.269997,108.779999,106.300003,108.610001,1641300,104.632294
"988",108.019997,108.379997,106.18,106.639999,1175600,102.734444
"989",106.949997,107.389999,105.639999,106.730003,924100,102.821159
"990",105.839996,107.699997,105.389999,106.610001,922600,102.705544
"991",105.739998,106.75,105.269997,105.290001,1058900,101.433884
"992",105.730003,106.139999,103.75,104.459999,1644400,100.634293
"993",104.459999,105.099998,102.970001,103.260002,1480000,99.478241
"994",102.940002,103.43,102.099998,102.779999,1130600,99.015816
"995",103.190002,104.410004,101.269997,101.410004,1032000,97.695992
"996",101.760002,103.050003,100.449997,102.580002,1640200,98.823143
"997",102.379997,103.43,100.43,100.5,1533600,96.819328
"998",100.980003,101.980003,100.300003,100.559998,1185800,96.877113
"999",100.510002,100.879997,99.370003,100.019997,2211500,96.356888
"1000",99.089996,99.139999,96.580002,97.019997,1284100,93.466766
"1001",97.209999,97.209999,95.480003,96.010002,1222400,92.493767
"1002",96.599998,97.360001,95.440002,95.470001,1307400,91.973534
"1003",95.599998,95.75,94.699997,95.349998,616100,91.857933
"1004",95.650002,96.220001,95.150002,95.660004,1271800,92.15657
"1005",96.220001,97.190002,96.199997,96.739998,2265000,93.197021
"1006",96.620003,98.949997,96.379997,98.639999,1269300,95.027435
"1007",98.349998,99.970001,97.669998,99.839996,992300,96.183487
