"","LIN.Open","LIN.High","LIN.Low","LIN.Close","LIN.Volume","LIN.Adjusted"
"313",144.020004,144.860001,140.610001,142.100006,2028000,133.495163
"314",141.970001,144.240005,141.399994,143.639999,1079000,134.941925
"315",141.119995,145.300003,140,145.020004,1132800,136.238342
"316",146,147.830002,145.330002,146.710007,988100,137.826004
"317",145.389999,146.520004,142.339996,143.179993,1188600,134.50975
"318",144.050003,145.940002,142.809998,143.949997,1231700,135.233124
"319",146.149994,148.190002,145.089996,146.690002,1089400,137.80719
"320",145.240005,145.669998,144.100006,144.600006,890700,135.843811
"321",145.410004,147.669998,144.789993,146.919998,1001200,138.023315
"322",147.350006,147.759995,145.809998,146.529999,716500,137.656906
"323",148,151.199997,147.009995,151.199997,2211500,142.044144
"324",151.949997,155.160004,150.710007,154.919998,2268500,145.538849
"325",154.809998,154.940002,153.039993,153.25,971000,143.969971
"326",152.850006,152.850006,150.419998,151.559998,839000,142.382309
"327",151.259995,151.360001,149.649994,150.679993,974700,141.555603
"328",149.539993,150.729996,149.089996,150.360001,865900,141.254974
"329",150.669998,151.240005,144.899994,146.779999,1221000,137.891785
"330",152.440002,153.169998,148.580002,149.75,2062400,140.681931
"331",151.440002,156.679993,150.080002,155.990005,3037100,146.544052
"332",156,156.220001,151.779999,153.229996,1734000,143.951218
"333",153.850006,153.850006,151.949997,152.520004,1411300,143.28418
"334",152.050003,153.380005,151.059998,153.300003,985100,144.016953
"335",153.889999,154.020004,150.789993,151.240005,1591800,142.08168
"336",151.320007,154.220001,150.460007,152.839996,1537900,143.584808
"337",151.619995,155.210007,151.330002,154.570007,1066500,145.210068
"338",155.850006,157.050003,154.649994,155.259995,897100,145.858246
"339",154.449997,155,153.320007,154,1041200,144.674606
"340",154.979996,156.289993,153.240005,155.509995,1365000,146.093109
"341",156.100006,157.990005,155.880005,157.050003,1250200,147.539871
"342",156.929993,158.990005,156.520004,157.630005,1166100,148.084778
"343",158.25,158.779999,157.389999,158.449997,1150300,148.855057
"344",157.929993,158.649994,157.130005,158.580002,1344600,148.977234
"345",158.460007,159.809998,158.130005,159,1273400,149.371765
"346",159.009995,160.169998,158.520004,159.860001,1520500,150.179718
"347",159.270004,160.360001,159.139999,159.539993,1882500,149.879089
"348",160.550003,161.259995,160,160.470001,746800,150.752792
"349",160.720001,161.690002,159.070007,159.210007,1044300,149.569046
"350",158.259995,158.970001,157.100006,158.669998,1375900,149.061768
"351",159.179993,159.270004,156.75,157.5,1282400,147.962631
"352",156.869995,157.449997,155.550003,157.070007,1094600,147.558655
"353",155.919998,156.550003,153.25,153.309998,1318000,144.026321
"354",154.470001,156.660004,154.080002,156.490005,1223300,147.013809
"355",156.809998,157.149994,155.460007,156.259995,2504700,146.797729
"356",157.600006,158.529999,156.610001,157.800003,1025200,148.244446
"357",158.5,158.919998,157.270004,157.529999,641200,147.990799
"358",158.869995,160.229996,158.699997,159.509995,1179300,149.850906
"359",159,162.529999,157.839996,162.270004,1555000,153.236328
"360",160.889999,161.270004,159.25,159.770004,1227000,150.875488
"361",159,160.089996,158.380005,159.830002,1079700,150.93219
"362",159.970001,161.25,159.220001,160.570007,1289000,151.630951
"363",160.990005,162.919998,160.449997,161.339996,1179000,152.358093
"364",162,162.259995,160.210007,160.470001,1048700,151.536545
"365",161.850006,162.589996,161.169998,161.550003,1169000,152.556427
"366",161.080002,161.080002,159.029999,160.259995,2856700,151.338211
"367",158.330002,158.669998,157.570007,158.470001,972900,149.647888
"368",156.300003,156.369995,154.809998,155.309998,1141300,146.663803
"369",155.509995,155.710007,154.220001,155.020004,1173600,146.389954
"370",155.279999,156.389999,155.130005,155.869995,2217100,147.192627
"371",156.820007,158.979996,156.710007,158.139999,1341000,149.336243
"372",157.600006,157.600006,153.309998,154.800003,1434500,146.182175
"373",155.009995,155.320007,153.520004,154.190002,1026100,145.60614
"374",155.309998,157.259995,155.029999,155.539993,1399300,146.881012
"375",155.880005,156.690002,154.350006,156.679993,1349500,147.95752
"376",157.330002,159.770004,157.149994,158.149994,1391000,149.345688
"377",157,158.699997,156.550003,158.279999,1291900,149.468414
"378",158.699997,159.470001,157.050003,157.179993,640000,148.429688
"379",162,163.169998,161.070007,161.880005,1547900,152.868042
"380",161.990005,165.5,161.520004,164.039993,1642500,154.907791
"381",165.080002,166.289993,164.809998,164.809998,1293700,155.634933
"382",165.110001,166.710007,164.630005,166.470001,2150100,157.202499
"383",163.179993,164.570007,162.619995,164.059998,1518200,154.926666
"384",164.669998,166.169998,163.089996,165.889999,1913100,156.65477
"385",165.149994,167.720001,164.809998,166.800003,1501800,157.51413
"386",168.029999,168.539993,166.740005,167.039993,1399500,157.740768
"387",167.050003,167.490005,166.300003,166.860001,1854200,157.570816
"388",166.229996,167.050003,164.25,165.029999,1641300,155.842667
"389",163.949997,165.330002,162.690002,165.259995,1553400,156.059875
"390",163.179993,166.350006,163.149994,165.580002,1326500,156.362045
"391",164.419998,164.809998,161.75,161.899994,1745200,152.886902
"392",162.619995,164,162.410004,163.339996,1685100,154.24678
"393",164.830002,166,162.960007,165.809998,1562100,156.579239
