"","XYL.Open","XYL.High","XYL.Low","XYL.Close","XYL.Volume","XYL.Adjusted"
"467",70.629997,71.559998,69.580002,71.5,1198400,69.17395
"468",71.25,72.18,71.080002,71.559998,920500,69.23201
"469",71.260002,71.309998,69.919998,70.879997,1040000,68.57412
"470",71.019997,71.419998,68.860001,68.989998,1244600,66.745598
"471",69.169998,70.129997,68.309998,68.779999,794200,66.542435
"472",69.349998,70.010002,67.580002,68.139999,1115000,65.923256
"473",67.599998,70.699997,67.300003,70.449997,814300,68.158112
"474",70.230003,71.510002,70.010002,70.870003,1000500,68.564453
"475",70.589996,70.919998,69.160004,69.449997,673600,67.190636
"476",68.610001,69.050003,67.169998,67.220001,1625100,65.033188
"477",67.599998,69.099998,67.599998,68.269997,1398900,66.049011
"478",67.739998,68.540001,67.730003,68.019997,375900,65.807152
"479",68.809998,69.580002,68.400002,69.57,1087700,67.306732
"480",69.169998,69.830002,68.529999,69.510002,1038100,67.24868
"481",69.839996,71.129997,68.870003,71.129997,744200,68.815979
"482",70.959999,71.610001,70.220001,71.300003,790100,68.980461
"483",71.360001,73.089996,70.959999,72.980003,1547800,70.605804
"484",74.809998,75.089996,72.120003,72.300003,1421600,69.947922
"485",72.080002,72.419998,67.959999,68.040001,1286100,65.826508
"486",66.809998,66.910004,65.010002,66.830002,1954700,64.655876
"487",67,68.230003,65.040001,65.690002,1102400,63.552959
"488",65.690002,66.169998,64.660004,65.900002,713300,63.756138
"489",67.160004,67.57,65.010002,65.419998,726000,63.29174
"490",66.669998,67.300003,65.559998,65.629997,700600,63.494919
"491",65.919998,66.209999,65.099998,65.589996,792600,63.456211
"492",64.800003,66.129997,64.610001,65.440002,983900,63.311089
"493",65.220001,66.239998,64.010002,64.300003,1356200,62.208187
"494",64.75,65.650002,63.759998,64.389999,1164900,62.295242
"495",65.68,66.970001,64.400002,65.129997,1390200,63.011177
"496",64.669998,65.139999,62.650002,63.860001,1835100,61.782497
"497",63.939999,65.099998,62.860001,63.439999,2237100,61.376156
"498",62.98,63.16,61.330002,61.380001,542800,59.383175
"499",61.689999,64.300003,60.650002,64.269997,806200,62.179153
"500",62.880001,65.349998,62.549999,65.349998,790800,63.224014
"501",65.599998,66.32,65,65.300003,782800,63.175652
"502",65.519997,66.730003,65.43,66.720001,663800,64.549469
"503",65.709999,66.68,64.440002,66.510002,990900,64.346283
"504",66.190002,66.349998,63.779999,64.230003,1243100,62.140457
"505",65.470001,67.029999,65.150002,66.940002,970900,64.762299
"506",66.839996,67.260002,65.650002,65.949997,1341600,63.804482
"507",66.860001,66.860001,65.550003,66.57,912800,64.404327
"508",66.989998,68.269997,66.769997,67.650002,1164400,65.449196
"509",67.339996,69.019997,67.169998,68.910004,826900,66.668221
"510",68.300003,69.529999,68.230003,69.32,736400,67.06488
"511",68.860001,69.419998,68.660004,69.160004,705800,66.91008
"512",69.370003,69.550003,68.339996,68.849998,607300,66.610153
"513",68.860001,69.540001,68.379997,68.970001,607400,66.726257
"514",68.510002,70.559998,68.389999,70.150002,594100,67.867874
"515",70.730003,72.139999,70.660004,71.209999,1062700,68.893379
"516",70.18,70.510002,68.639999,69.269997,1441700,67.016487
"517",69.510002,69.580002,67.709999,68.389999,1095100,66.165123
"518",68.57,69.199997,68.129997,68.629997,1195400,66.397301
"519",69.599998,70.43,69.419998,69.860001,948900,67.587296
"520",69.169998,69.489998,68.43,69.349998,684000,67.093903
"521",69.610001,70.709999,69.610001,70.489998,992400,68.196808
"522",71,72.129997,69.959999,71.989998,1368800,69.64801
"523",73.010002,73.129997,69.169998,71.260002,1682100,68.941757
"524",71.620003,71.949997,69.650002,70.150002,1294800,67.867874
"525",69.800003,70.43,69.57,70.32,998100,68.032326
"526",70.32,70.760002,69.870003,70.739998,1044400,68.438675
"527",70.660004,71.779999,70.589996,71.559998,992500,69.23201
"528",70.82,71.199997,69.980003,70.370003,794800,68.080711
"529",69.940002,70.599998,69.709999,70.589996,979500,68.293549
"530",70.839996,71.730003,70.839996,71.410004,719400,69.086868
"531",72,73.529999,71.989998,72.900002,1123400,70.528404
"532",72.989998,73.620003,72.610001,72.68,1024000,70.547821
"533",72.309998,72.879997,72.150002,72.480003,1149600,70.353683
"534",73.139999,73.989998,73.110001,73.93,934900,71.761147
"535",73.559998,73.889999,73.220001,73.260002,868900,71.110802
"536",73.330002,74.080002,73.199997,74.07,619900,71.897041
"537",73.720001,74.470001,73.510002,74.32,1000100,72.139702
"538",74.629997,74.889999,74.239998,74.800003,625400,72.605644
