"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"533",184.050003,184.509995,182.169998,183.759995,1136100,159.477646
"534",184.380005,184.380005,181.899994,183.360001,1727800,159.130508
"535",183.470001,184.059998,181.710007,182.229996,1555700,158.149826
"536",181.759995,181.949997,178.300003,179.220001,1727100,155.537567
"537",178.690002,182.179993,178.509995,182.149994,1617700,158.080399
"538",182.610001,185.220001,182.199997,183.630005,1259100,159.364822
"539",184.369995,184.539993,182.520004,183.300003,1234600,159.078445
"540",183.559998,183.949997,182.429993,183.279999,907300,159.061081
"541",182.589996,182.899994,180.789993,181.240005,1244200,157.290634
"542",181.160004,183.699997,180.210007,181.160004,2336300,157.221222
"543",181.160004,181.490005,173.910004,175.570007,2587600,152.369888
"544",177.380005,177.380005,173.160004,175.309998,1827500,152.144257
"545",175.449997,177.169998,174.979996,176.399994,1259800,153.09021
"546",176.479996,178.110001,176.089996,176.380005,1572400,153.072876
"547",176.169998,177.619995,174.75,175.389999,1567700,152.213699
"548",175,176.220001,173.380005,174.220001,1440500,151.198273
"549",175,176,173.110001,175.880005,1351500,152.638931
"550",176.279999,178.25,176.009995,177.919998,1094700,154.409378
"551",179.039993,179.460007,178.050003,178.139999,1111000,154.600281
"552",178.259995,179.979996,177.429993,179.789993,1691700,156.032257
"553",179.369995,180.039993,175.240005,176.089996,2628600,152.821182
"554",176.240005,176.570007,173.559998,174.330002,1345900,151.293747
"555",174.289993,174.929993,172.899994,173.399994,1316200,150.486633
"556",173.550003,175.25,172.020004,173.940002,1396300,150.955307
"557",173.619995,178.240005,172.220001,178.179993,1445300,154.634995
"558",178.25,179.970001,177.520004,177.600006,1480100,154.131653
"559",178.190002,178.770004,176.669998,177.979996,739200,154.461411
"560",178.839996,181.380005,177.889999,181.240005,1106400,157.290634
"561",180.440002,181.699997,179.690002,181.110001,1448500,157.177826
"562",181.350006,183.389999,180.639999,183.360001,1249400,159.130508
"563",183.779999,183.919998,181.539993,182.210007,1613400,158.132462
"564",182.679993,183.130005,180.970001,182.929993,1578700,158.757324
"565",182.800003,183.479996,179.960007,183.289993,1253800,159.069748
"566",183.470001,184.210007,181.380005,182.970001,861200,158.792053
"567",183.539993,183.910004,182.369995,183.850006,813600,159.555771
"568",183.860001,185.419998,183.199997,184.800003,762300,160.380249
"569",185.009995,185.589996,183.009995,183.470001,623800,159.225967
