"","BBY.Open","BBY.High","BBY.Low","BBY.Close","BBY.Volume","BBY.Adjusted"
"392",77.099998,77.620003,74.860001,75.25,2418100,69.013542
"393",75.199997,75.440002,74.400002,75.32,2267600,69.077744
"394",75.620003,76.879997,75.5,76.010002,2129200,69.710564
"395",75.900002,76.5,74.360001,74.68,2450100,68.490791
"396",74.559998,74.860001,73.779999,74.440002,3126600,68.270676
"397",74.57,75.489998,74.400002,75.029999,2195200,68.811768
"398",75.190002,76.459999,74.720001,74.879997,2306900,68.67421
"399",74.379997,76.059998,74.309998,75.919998,1523900,69.628021
"400",76.110001,77.220001,75.690002,76.080002,1426100,69.77475
"401",76.029999,76.629997,75.879997,76.419998,1385800,70.086578
"402",76.620003,77.639999,76.529999,77.290001,1660700,70.884483
"403",76.879997,77.519997,76.629997,77.290001,1529200,70.884483
"404",78.059998,79.050003,77.779999,78.68,2240300,72.159271
"405",78.239998,79.25,78,78.709999,1740000,72.186783
"406",78.949997,79.230003,77.019997,77.07,2098600,70.682709
"407",77.449997,79.010002,77.300003,78.529999,2982000,72.021706
"408",78.260002,78.260002,75.739998,76.379997,3631800,70.049889
"409",78.129997,78.370003,76.480003,76.910004,3702800,70.535973
"410",76.919998,78.699997,76.690002,78.480003,1824200,71.975861
"411",78.540001,79.720001,78.279999,79.379997,2472800,72.801262
"412",79.400002,81.82,79.169998,81.43,4696300,74.681374
"413",81.900002,84.370003,80.629997,80.949997,4080500,74.24115
"414",80.989998,82.730003,80.989998,82.599998,3394500,75.754379
"415",83.050003,83.099998,80.919998,82.080002,4144800,75.277496
"416",83.040001,83.199997,81.419998,81.660004,5293300,74.892319
"417",77.5,79.25,74.760002,77.57,18462100,71.141273
"418",77.790001,77.989998,76.620003,77.629997,5435900,71.196297
"419",77.599998,78.5,77.190002,78.010002,3228200,71.544807
"420",77.949997,79.639999,77.620003,79.559998,5222200,72.966331
"421",79.510002,80.980003,79.160004,80.68,3640300,73.993523
"422",80.440002,81.239998,78.730003,79.07,3617800,72.51696
"423",79.5,79.970001,78.970001,79.230003,3218800,72.663712
"424",78.949997,79.57,77.860001,78.190002,3026100,71.709885
"425",78.639999,78.739998,76.919998,77.309998,3211300,70.902809
"426",77.169998,77.949997,76.68,77.57,2582900,71.141273
"427",77.559998,78.32,77.050003,78.25,2847500,71.764931
"428",78.260002,79.190002,77.870003,78.559998,2702200,72.049225
"429",78.610001,79.059998,77.629997,78.389999,3041700,71.893311
"430",78.25,78.900002,76.910004,77.040001,2830500,71.063141
"431",76.529999,77.910004,76.440002,77.699997,3301700,71.671913
"432",77.790001,78.18,77.120003,77.739998,2311900,71.708824
"433",77.889999,79.699997,77.699997,79.559998,3429200,73.387627
"434",79.800003,81.529999,79.790001,80.639999,5208100,74.383842
"435",80.970001,81.660004,79.279999,79.419998,3651800,73.258492
"436",79.32,79.989998,77.239998,77.860001,2633400,71.819527
"437",78.410004,80.419998,78.199997,79.629997,2497500,73.452187
"438",79.529999,79.809998,78.07,78.260002,2726500,72.188484
"439",77.959999,80.139999,77.959999,79.360001,3341600,73.203148
"440",79.57,79.82,78.279999,79.010002,2130400,72.88031
"441",79,79.07,75.080002,75.199997,3946200,69.365898
"442",75.389999,75.730003,74.370003,75.010002,3263800,69.19062
"443",75.010002,75.209999,73.010002,73.150002,3675400,67.474937
"444",72.580002,74.599998,71.669998,72.550003,3022400,66.921486
"445",72.190002,72.650002,70.169998,71.379997,3795700,65.842247
"446",70.900002,72.940002,70.769997,71.339996,4040600,65.805351
