"","PCAR.Open","PCAR.High","PCAR.Low","PCAR.Close","PCAR.Volume","PCAR.Adjusted"
"964",84.650002,86.580002,84.220001,85.669998,1261700,83.428429
"965",85.050003,85.879997,84.370003,85.379997,1357800,83.146004
"966",86.650002,88.910004,86.379997,88.830002,1498700,86.505737
"967",90.089996,92.330002,89.529999,91.779999,1640900,89.378548
"968",92.720001,93.300003,88.610001,88.75,1521400,86.427834
"969",89.199997,91.309998,88.089996,90.610001,1218500,88.239182
"970",91.629997,91.629997,89.669998,90.089996,1131200,87.73278
"971",95,95.82,90.43,90.599998,2453700,88.543945
"972",89.889999,92.610001,89.690002,91.120003,2024800,89.052139
"973",91.739998,91.889999,89.620003,90.169998,1495100,88.123688
"974",89.75,90.150002,88.419998,88.989998,1322800,86.970474
"975",89.830002,90.18,89.029999,89.910004,1271100,87.869598
"976",90.599998,91.260002,88,89.919998,1385900,87.879379
"977",89.389999,89.389999,88.029999,88.82,1070500,86.804344
"978",89.440002,90.949997,88.389999,89.839996,1033000,87.801186
"979",89.279999,90.230003,88.019997,90.040001,1022200,87.996643
"980",88.150002,89.800003,87.760002,88.779999,1660300,86.765236
"981",90.730003,90.730003,88.5,89.559998,1144200,87.527542
"982",88.830002,90.82,88.830002,90.410004,1978100,88.358253
"983",90.589996,90.769997,88.550003,88.82,1304700,86.804344
"984",88.849998,89.68,87.57,87.739998,590400,85.74884
"985",87.239998,87.900002,86.370003,87.059998,2093100,85.084274
"986",87.949997,88.879997,87.260002,87.279999,1420000,85.299286
"987",87,88,86.519997,87.150002,1260800,85.172234
"988",87.089996,87.550003,86.080002,86.25,2070300,84.292656
"989",86.330002,87.389999,85.699997,86.699997,2042700,84.732437
"990",86.410004,86.809998,85.75,86.309998,1571900,84.351295
"991",86.160004,86.860001,86.110001,86.410004,885200,84.449028
"992",86.410004,87.589996,86.110001,87.379997,1717600,85.397011
"993",86.739998,87.139999,85.510002,85.75,1035800,83.804001
"994",84.919998,85.93,84.68,85.459999,1131800,83.520584
"995",85.669998,86.43,84.379997,84.459999,1089400,82.543282
"996",86.160004,87.519997,85.639999,87.290001,1727900,85.309052
"997",86.919998,87.580002,86.599998,86.889999,1412700,84.918137
"998",86.480003,86.870003,85.160004,85.769997,1704300,84.504333
"999",86.269997,86.57,85,86.010002,3717700,84.740799
"1000",84.699997,86.18,84.07,85.849998,1190800,84.583153
"1001",85.690002,85.699997,84.660004,84.870003,917000,83.617615
"1002",85.019997,85.5,84.68,85.089996,951400,83.834358
"1003",85.400002,86.199997,85,86.110001,373000,84.839317
"1004",86.739998,86.980003,85.379997,85.580002,586800,84.317139
"1005",86.010002,86.400002,84.300003,85.32,850900,84.060966
"1006",85.580002,86.080002,85.169998,85.870003,561600,84.602859
"1007",85.550003,86.349998,85.330002,86.279999,879800,85.006805
