"","NOC.Open","NOC.High","NOC.Low","NOC.Close","NOC.Volume","NOC.Adjusted"
"293",336.679993,344.690002,334.399994,343.049988,1147300,323.664978
"294",340.950012,345.390015,337.549988,344.790009,1387100,325.30658
"295",345.440002,346.209991,340.820007,341.869995,908300,322.551605
"296",337.98999,347.429993,336.359985,346.820007,869800,327.221893
"297",348.100006,348.220001,344.269989,346.359985,654600,326.787842
"298",347.23999,349.869995,344.01001,349.640015,782500,329.882538
"299",352.829987,352.829987,342.640015,344.720001,938600,325.24057
"300",346.269989,348.640015,342.850006,344.329987,947100,324.872528
"301",346.690002,346.75,338.059998,340.100006,811200,320.881592
"302",340.899994,342.540009,338.519989,340.820007,1061000,321.560913
"303",340.670013,343.200012,338.200012,338.630005,1268900,319.49472
"304",338.179993,345.540009,336.899994,344.929993,1004200,325.43866
"305",345.299988,349.75,344.630005,347.579987,634100,327.938904
"306",347.929993,350.619995,345.899994,347.220001,607000,327.599274
"307",344.809998,346.049988,338.100006,338.829987,770400,319.68338
"308",340.709991,356.970001,340.709991,345.769989,1587100,326.231201
"309",350,355.839996,349.440002,355.230011,1005100,335.156647
"310",356.01001,358.5,347.279999,349.290009,1137800,329.552307
"311",350.51001,350.670013,341.720001,344.709991,923400,325.231079
"312",345.980011,351.329987,344.799988,349.119995,1077200,329.391876
"313",349.25,350.440002,338.730011,345.519989,1041600,325.995392
"314",346.339996,347.640015,340.649994,346.040009,1023600,326.485992
"315",340.190002,353.559998,338.01001,353.440002,949100,333.467743
"316",355.01001,360.880005,352.549988,360.029999,1133400,339.685394
"317",356.700012,359.600006,349.470001,351.720001,1079500,331.844971
"318",353.609985,355,346.700012,347.589996,961700,327.948395
"319",352.320007,352.899994,343.880005,346.73999,1035000,327.146423
"320",345.649994,351.290009,345.049988,346.649994,794700,327.061493
"321",349.029999,353.559998,348.850006,352.049988,696700,332.156342
"322",353.579987,353.980011,348.720001,350.600006,722600,330.78833
"323",353.149994,353.98999,350.700012,351.75,841400,331.873291
"324",352.859985,356.01001,349.950012,355.040009,1245400,334.977417
"325",357.119995,359.450012,354.100006,357.700012,626200,337.487061
"326",357.790009,359.880005,356.190002,358.019989,676900,337.788971
"327",359.480011,359.480011,354.630005,355.920013,653200,335.807678
"328",356.670013,358.869995,353.089996,356.119995,886300,335.996307
"329",358.130005,359.350006,332.660004,341.519989,1885000,322.221375
"330",337,340.670013,318.01001,332.619995,2144800,313.824341
"331",335,339.880005,327.75,333.959991,1367200,315.088531
"332",333,333.369995,320.829987,321.850006,1474100,303.662903
"333",323.059998,326.51001,321.350006,322.040009,1100100,303.842163
"334",322.209991,322.73999,302.350006,307.220001,3286300,289.859589
"335",307.220001,315.619995,305.220001,307.160004,2165000,289.802979
"336",305.899994,319.619995,304.029999,315.679993,1988900,297.841522
"337",313.429993,315.230011,311.540009,313.850006,993600,296.11496
"338",315.619995,319.369995,314.279999,317.130005,1173200,299.209625
"339",319.359985,330.220001,318.269989,329.269989,2055500,310.663574
"340",330.190002,331.630005,326.200012,327.589996,1169400,309.078491
"341",329.600006,330.48999,325.799988,326.410004,1230000,307.96524
"342",326.649994,326.950012,324.380005,325.299988,826800,306.917908
"343",325.160004,325.600006,318.079987,318.720001,1192600,300.709778
"344",317.350006,323.350006,316.369995,319.970001,1249500,301.88913
"345",321.820007,324.920013,320.200012,321.160004,982500,303.011871
"346",321.140015,325.73999,320.660004,324.519989,1013500,306.182037
"347",325.149994,330.290009,325.01001,329.019989,1185500,310.427734
"348",330.709991,332.929993,328.929993,331.359985,735000,312.635529
"349",330.149994,330.149994,323.190002,324.5,1557200,306.163116
"350",323.089996,328.359985,322.179993,328.230011,825300,309.682434
"351",328,333.549988,327.089996,332.809998,1388500,314.00351
"352",333,333.929993,330.170013,331.929993,1047100,313.17334
"353",330.140015,331.519989,323.720001,326.480011,1062500,308.031281
"354",328.070007,332,325.700012,331.570007,733100,312.833649
"355",330.140015,331.790009,326.600006,327.25,2126400,308.757721
"356",327.640015,330.190002,327.640015,329.98999,883800,312.4888
"357",330,333.170013,329.290009,332.809998,684700,315.15921
"358",333.329987,333.429993,328.429993,329.190002,867900,311.731232
"359",332.410004,337.25,332.410004,335.220001,1358800,317.441437
"360",336.670013,340.140015,336.350006,338.070007,748600,320.140289
"361",338.970001,339.200012,336.140015,338.630005,848900,320.670563
"362",338.5,339.839996,333.820007,334.359985,863500,316.626984
"363",335.910004,335.910004,327.190002,329.350006,1223800,311.882782
"364",329.170013,331.25,326.660004,327.820007,928900,310.433929
"365",328.019989,330,321.51001,322.559998,1135400,305.45282
"366",322.559998,323.920013,318.809998,321.519989,1540200,304.468018
"367",320.799988,323.440002,320.059998,322.420013,932700,305.320313
"368",318.820007,320.720001,313.019989,313.839996,1118000,297.195313
"369",314.329987,315.100006,311.559998,312.079987,999900,295.528656
"370",310.950012,313.890015,307.26001,313.450012,1650800,296.82608
"371",315,316.470001,311.399994,312.059998,900800,295.509705
"372",309.390015,314.929993,309.01001,313.720001,1240800,297.081696
"373",314.170013,315.140015,309.029999,309.339996,1127100,292.93399
"374",309.929993,313.23999,306.480011,306.589996,1053400,290.329803
"375",306.730011,309.730011,303.019989,307.720001,879900,291.399841
"376",308.459991,312.880005,307.440002,307.700012,688700,291.381012
"377",306.440002,310.980011,304.619995,308.869995,636700,292.488892
"378",309.910004,312.100006,307.779999,308.839996,336000,292.46048
"379",309.540009,310.51001,305.549988,308.25,677800,291.901733
"380",307.369995,310.089996,305.130005,307.359985,689600,291.05899
"381",308.48999,315.339996,308.119995,313.700012,864300,297.062744
"382",313.75,315.5,312.570007,315.119995,801100,298.40744
"383",313.109985,314.579987,311.049988,311.769989,720900,295.235046
"384",315.679993,322.51001,314.040009,322.130005,1216400,305.045654
"385",319.950012,322.309998,316.279999,321.730011,1417500,304.66684
"386",322.790009,324.470001,320.079987,320.329987,607600,303.341125
"387",320.950012,322.529999,319.690002,321.200012,762800,304.164948
"388",322.170013,324.410004,320.519989,323.709991,921200,306.541809
"389",322.950012,324.410004,321.019989,324.160004,856300,306.967957
"390",322.730011,325.279999,321.420013,323.929993,678000,306.750183
"391",324.679993,324.679993,316.350006,316.670013,787600,299.875244
"392",320.149994,323.779999,310.549988,316.170013,1926500,299.401733
"393",310,312.869995,293.269989,295.5,4482900,279.827942
"394",293.5,295.51001,287.089996,295.309998,3206500,279.64801
"395",295.98999,302.570007,295.98999,301.649994,2140700,285.651794
"396",300.670013,301.640015,294.160004,294.829987,1272800,279.193481
"397",296.700012,302.559998,294.720001,300.48999,1724000,284.553345
"398",300,301.459991,297.730011,300.899994,1476600,284.941589
"399",297.700012,300.119995,296.720001,298.690002,924300,282.848816
"400",298.429993,298.670013,295,297.25,703900,281.485107
"401",296.51001,297.040009,292.380005,295.429993,997000,279.761688
"402",295.690002,297.820007,293.019989,295.26001,1082000,279.600769
"403",295.390015,295.799988,293.25,294.950012,674900,279.307159
"404",295.700012,295.720001,289.859985,291.429993,1654800,275.973877
"405",290.829987,294.700012,289.299988,291.320007,987700,275.86969
"406",291.230011,293.420013,290.290009,292.019989,894600,276.532623
"407",292.980011,296.299988,292.029999,293.859985,949500,278.274963
"408",292.570007,293.190002,290,291.51001,1056100,276.049622
"409",292.26001,293.730011,291.269989,291.98999,935000,276.504181
"410",291.23999,295.799988,290.769989,294.390015,1127400,278.776855
"411",295,298.600006,294.299988,297.5,1170200,281.721893
"412",296.790009,298.73999,296.630005,298.179993,1653100,282.365784
"413",297.089996,299.190002,296.700012,297.23999,984800,281.475677
"414",296.609985,299.660004,295.73999,297.579987,1409400,281.797699
"415",296.359985,299.850006,296.359985,298.040009,975500,283.376038
"416",299.179993,300.890015,298.149994,300.130005,636200,285.363159
"417",300.440002,300.76001,298.109985,300.410004,797600,285.629395
"418",299.309998,300.600006,296.320007,297.109985,1233400,282.491791
"419",297.029999,299.5,296.179993,298.690002,1012500,283.994049
"420",297.549988,299.25,296.929993,298.48999,1040800,283.803894
"421",297.679993,298.709991,296.220001,297.649994,1099600,283.005219
"422",296.950012,298.149994,295.76001,296.75,646600,282.149475
"423",297.040009,302.179993,297.040009,301.690002,1171000,286.846405
"424",301.220001,301.350006,298.420013,300.519989,740700,285.733948
"425",300.880005,304.019989,298.570007,303.940002,1775900,288.985748
"426",302.899994,305.429993,301.799988,302.970001,1253100,288.063477
"427",302.049988,304.420013,301.459991,303.529999,899500,288.595856
"428",303.5,308.040009,300.029999,303.410004,1192000,288.481812
"429",303.799988,307.730011,303.01001,307.339996,838000,292.218414
"430",307.440002,311.5,307.01001,311.019989,1115400,295.717377
"431",311.429993,318.059998,311.429993,317.630005,1310200,302.002136
"432",317.660004,319.100006,310.970001,312.26001,1823300,296.896362
"433",311.799988,312.850006,296.660004,301.410004,2468000,286.58017
"434",303,307.929993,302.76001,306.690002,1692800,291.600403
"435",306.660004,307.100006,304.100006,306.109985,815900,291.048889
"436",306.679993,314.73999,306.109985,314.410004,1167400,298.940613
"437",315.48999,316.540009,313.059998,314.579987,1495700,299.102173
"438",314.279999,316.850006,312.48999,316.769989,1285200,301.184479
"439",316.410004,317.630005,315.100006,317.369995,1015900,301.754852
"440",318.049988,319.440002,316.100006,318.5,829900,302.829315
"441",319.100006,319.660004,317.850006,318.769989,757400,303.08606
"442",320,321.720001,317.5,317.630005,877500,302.002136
"443",317.76001,318.390015,315.609985,318.089996,787600,302.439514
"444",318.579987,321.339996,316.589996,320.339996,1086300,304.578827
"445",318.679993,320.899994,316.609985,319,776000,303.304718
"446",317.890015,318.140015,314.070007,314.200012,873600,298.740936
"447",313.23999,313.790009,306.869995,309.049988,1451200,293.844238
"448",307.079987,308.51001,296.209991,297.619995,1375600,282.976654
"449",300.869995,302.859985,294.959991,302.369995,1370700,287.49295
"450",303.100006,307.890015,302.73999,305.600006,896700,290.564026
"451",306.450012,312.339996,305.079987,312.089996,1185000,296.73465
"452",311.570007,312.619995,309.119995,309.5,1098100,294.272186
"453",307.959991,310.25,304.230011,308.200012,976200,293.036102
"454",307.75,310.23999,306.549988,307.670013,1398000,292.532227
"455",308.529999,308.529999,305.339996,306.75,764400,291.657471
"456",302.73999,309.720001,299.579987,304.119995,1336800,289.156891
"457",310.380005,311,285.149994,285.859985,2415600,271.795227
"458",286.230011,286.98999,268.51001,269.980011,2738500,256.696564
"459",267.109985,271.929993,263.540009,269.839996,1971600,256.563538
"460",273.390015,273.899994,253.119995,256.299988,2520700,243.689621
"461",254.880005,261.25,251.660004,261.100006,2453000,248.253525
"462",263.73999,266.820007,261.660004,261.950012,1550700,249.061691
"463",263.470001,273.649994,263.200012,273.149994,1808900,259.710632
"464",274.529999,277.839996,272.220001,273.799988,1835100,260.328613
"465",275.369995,280.26001,274.730011,279.440002,1296400,265.691162
