"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"351",115.639999,119.389999,115.5,117.019997,2659100,99.149025
"352",115.800003,116.220001,113.050003,113.760002,2545300,96.386887
"353",112.68,114.470001,110.970001,111.449997,2548000,94.429657
"354",112.419998,114.139999,111.75,113.879997,1866400,96.488564
"355",113.830002,113.830002,111.889999,112.120003,2126900,94.99736
"356",114.419998,115.260002,112.449997,113.120003,1667300,95.844627
"357",113.580002,114.349998,113.07,113.389999,1377500,96.073387
"358",112.980003,115.730003,112.980003,115.440002,1851000,97.810333
"359",116.510002,118.07,115.559998,118.040001,2368100,100.013275
"360",118.010002,118.849998,117.400002,118.540001,2256900,100.436897
"361",117.099998,118.300003,116.510002,118.089996,1837900,100.906853
"362",118.480003,118.709999,116.949997,117.529999,1508400,100.42836
"363",117.599998,117.730003,116.690002,117.669998,989300,100.547974
"364",117.599998,117.639999,115.419998,115.529999,2296900,98.719368
"365",115.940002,115.940002,113.889999,114.150002,1490800,97.540169
"366",117.32,117.849998,114.190002,115.32,3493600,98.53994
"367",114.139999,115.540001,114.139999,114.709999,1637100,98.018684
"368",112.970001,113.410004,110.349998,111.25,2403400,95.062141
"369",111.589996,111.589996,109.040001,110,2978300,93.994034
"370",110.050003,110.089996,107.629997,108.019997,2810000,92.302147
"371",109.949997,111.75,109.360001,111.019997,2510800,94.865616
"372",110.75,110.849998,106.910004,107.620003,1814500,91.960342
"373",108.050003,108.809998,107.150002,108.300003,1896900,92.541397
"374",109.199997,111.75,108.480003,109.040001,2279100,93.173744
"375",108.949997,109.550003,107.639999,109.349998,1619200,93.438606
"376",110,112.089996,109.589996,109.849998,2003600,93.865868
"377",108.989998,109.230003,107.260002,107.550003,2360800,91.900536
"378",108.470001,108.910004,106.639999,106.760002,878800,91.225494
"379",107.209999,108.169998,106.949997,107.830002,1430400,92.139786
"380",107.440002,108.989998,106.709999,108.57,1967600,92.772118
"381",109.269997,110.779999,108.589996,110.529999,2444900,94.44693
"382",110.919998,111.839996,109.400002,110.190002,1981600,94.156403
"383",109,109,105.410004,106.68,3300600,91.157127
"384",107.5,107.629997,105.660004,106.720001,2094600,91.191299
"385",106.860001,107.879997,106.410004,107.379997,1694500,91.755272
"386",106.849998,107.660004,105.82,106.220001,2232100,90.764076
"387",106.290001,108.389999,106.290001,108.110001,1709400,92.379044
"388",107.879997,109.239998,107.660004,108.610001,1514100,92.806297
"389",108.510002,109.029999,107.860001,108.559998,1378700,92.763565
"390",108.139999,108.610001,107.529999,107.93,1283300,92.22525
"391",108.410004,108.510002,107.050003,107.580002,1460700,91.926186
"392",107.57,109.400002,107.57,108.370003,2452900,92.601219
"393",108.25,109.610001,107.57,109.419998,1408400,93.498436
"394",109.379997,111.199997,109.379997,110.949997,1642000,94.805794
"395",111.190002,111.25,108.980003,109.489998,1098000,93.55825
"396",109.510002,110.25,109.010002,109.110001,1282500,93.233536
"397",109.610001,110.970001,109.18,110.790001,1872400,94.669083
"398",110.769997,111.5,110.029999,110.110001,1511000,94.088043
"399",108.75,109.040001,107.57,108.470001,1874000,92.686676
"400",110.610001,112.790001,108.650002,112.150002,2851100,95.8312
"401",112.080002,113.620003,111.5,113.010002,1713300,96.566055
"402",113.730003,114.379997,112.809998,113.400002,1179400,96.899307
"403",113,113.43,111.870003,113.07,1469000,96.617325
"404",113.330002,114.449997,113.220001,113.379997,1119300,96.882225
"405",112.550003,113.010002,111.910004,112.57,1766500,96.190079
"406",113.18,114.339996,111.540001,111.580002,1997200,95.344139
"407",112.400002,113.849998,112.169998,113.190002,1319800,96.719864
"408",111.690002,111.889999,108.800003,110.760002,2469600,94.643456
"409",111.550003,112.660004,111.510002,111.949997,1642300,95.660294
"410",111.879997,113.370003,111.610001,113.099998,1769000,96.64296
"411",113.849998,114.949997,113.440002,113.989998,1405000,97.403458
"412",114.209999,115.940002,114.209999,114.940002,1486000,98.21524
"413",115.739998,116.139999,114.470001,114.769997,1151700,98.069954
"414",114.889999,114.889999,113.300003,114.029999,1132100,97.437622
"415",114.809998,115.400002,113.75,115.120003,1091700,98.369034
"416",115.290001,116.629997,114.68,115.949997,1693800,99.078262
"417",116.059998,116.540001,114.059998,114.970001,1875100,98.240875
"418",115.199997,115.360001,113.93,114.980003,1305700,98.249405
"419",114.510002,114.519997,112.540001,113.650002,1983600,97.112938
"420",113.360001,113.769997,112.339996,112.779999,1651800,96.369522
"421",111.949997,112.25,110.540001,111.010002,2010900,95.705681
"422",110.5,111.75,110.040001,111.669998,2652800,96.274696
"423",112,113.239998,111.360001,112.239998,2136900,96.766106
"424",110.68,110.720001,107.559998,108.629997,2708800,93.653801
"425",109.589996,110.690002,106.660004,106.879997,3232700,92.145065
"426",106.110001,107.169998,104.900002,106.540001,2638600,91.851952
"427",106.389999,107.419998,106.040001,106.089996,3217300,91.463982
"428",107.040001,107.489998,104.93,104.959999,2654500,90.489769
"429",105.029999,106.059998,103.849998,105.309998,3381600,90.791496
"430",104.059998,105.029999,103.089996,103.459999,3579400,89.196556
"431",103.150002,103.599998,100.730003,102.099998,3874500,88.024055
"432",99.68,102.93,99.110001,102.709999,4317900,88.54995
"433",104.040001,105.360001,103.75,104.489998,3520800,90.084549
"434",105,105.639999,104.75,105.209999,4733800,90.705284
"435",105.379997,105.480003,103.330002,104.349998,1752900,89.963875
"436",104.25,105.080002,103.779999,104.800003,2078400,90.35183
"437",104.449997,105.449997,104,104.290001,2375400,89.91214
"438",103.830002,104.389999,102.599998,102.779999,1900700,88.610306
"439",102.260002,102.839996,100.93,102.510002,2441100,88.377533
"440",102.949997,104.989998,102.949997,104.040001,2411900,89.696594
"441",104.410004,106.32,104.290001,105.730003,2443000,91.153603
"442",105.959999,106.610001,104.580002,105.779999,2321600,91.196716
"443",105.959999,105.959999,103.129997,103.919998,2641600,89.593155
"444",103.949997,104.610001,103.18,103.5,2565500,89.231041
"445",102.889999,104.75,102.550003,104.220001,1929700,89.851784
"446",103.75,103.830002,99.510002,99.709999,3310000,85.963554
"447",100.489998,100.489998,97.489998,97.620003,5274500,84.16169
"448",97.550003,99.650002,96.809998,97.029999,3704400,83.653015
"449",98.099998,99.239998,97.029999,97.5,3335100,84.058228
"450",97.519997,98.370003,96.93,96.940002,2051000,83.575432
"451",97.370003,97.870003,97.029999,97.629997,2636900,84.170296
"452",97.639999,98.330002,95.889999,96.220001,2408400,82.954704
"453",96.050003,97.339996,94.209999,94.790001,3205700,81.72184
"454",95.449997,96,92.879997,93.589996,3203000,80.687279
"455",94.269997,94.489998,91.25,91.940002,3513700,79.264763
"456",90.080002,90.730003,88.910004,90,3388000,77.592216
"457",90.419998,90.639999,86.410004,86.57,3708100,74.635078
"458",87.639999,90.080002,87.580002,89.199997,3399100,76.902496
"459",88.129997,90.519997,87.5,89.230003,3358800,76.92836
"460",90.730003,91.419998,88.190002,88.449997,3172900,76.255898
"461",89.07,90,85.599998,88.82,5161400,76.574883
"462",90.029999,91.169998,88.68,89.269997,4470200,76.962852
"463",91.190002,92.919998,90.110001,92.529999,3317500,79.773407
"464",93.779999,94.279999,92.25,93.099998,3815800,80.264839
"465",93.540001,93.970001,92.629997,93.489998,1882300,80.601051
"466",94.220001,95.550003,94.010002,95.080002,2539400,81.971863
"467",95.580002,96.940002,94.529999,96.849998,3615800,83.497841
"468",95.860001,96.589996,94.900002,96.529999,3906500,83.221962
"469",95.269997,96.510002,94.900002,96.059998,3141600,82.816757
"470",96.160004,96.849998,94.989998,95.239998,3014800,82.10981
"471",95.089996,96.050003,91.779999,92.07,4514000,79.376846
"472",92.190002,93.860001,90.970001,91.879997,4797300,79.213028
"473",91.879997,94.040001,91.720001,93.440002,3332700,80.557961
"474",93.190002,96.309998,92.860001,95.43,3096400,82.273605
"475",94.620003,94.900002,92.550003,92.779999,2780300,79.988953
"476",92.5,93.269997,91.07,91.400002,3156200,78.799202
"477",92.080002,93.68,91.739998,92.379997,2158000,79.644089
"478",91.019997,91.809998,90.610001,90.839996,1079200,78.316406
"479",91.629997,92.5,91.309998,92.099998,1946300,79.402702
"480",91.330002,92.169998,90.220001,91.18,2359700,78.609535
"481",91.5,92.080002,89.529999,92.019997,2074700,79.333725
"482",92.440002,93.870003,91.93,93.019997,2503700,80.195862
"483",92.239998,93.519997,91.519997,93.309998,3189400,80.445877
"484",95.989998,96.769997,93.010002,94.32,3184800,81.316635
"485",94.07,94.519997,89.309998,90.57,4164800,78.083633
"486",88.790001,88.860001,86.370003,88.230003,3870600,76.066246
"487",88.279999,89.970001,84.169998,84.370003,3944400,73.572258
"488",84.129997,84.949997,82.410004,84.43,3363700,73.624588
"489",86.160004,86.75,84.089996,84.82,2536000,73.964661
"490",86.93,87.150002,85.239998,85.440002,2577700,74.505318
"491",85.339996,85.800003,83.260002,83.68,2501500,72.970573
"492",82.779999,84.440002,81.949997,82.339996,2396200,71.802048
"493",81.5,84.279999,81.050003,82.190002,2719800,71.671257
"494",82.989998,84.239998,82.019997,82.459999,2675800,71.906693
"495",82.419998,84.370003,80.220001,80.660004,2872900,70.337067
"496",80.129997,81.830002,78.32,79.57,3778900,69.386566
"497",79.480003,81.300003,78.809998,79.010002,4470400,68.898239
"498",78.919998,80.610001,77.889999,78.519997,1634400,68.470932
"499",78.629997,81.470001,77.519997,81.419998,2786000,70.999802
"500",80.089996,83.43,79.629997,83.43,2097800,72.752563
"501",83.68,84.129997,81.980003,82.379997,1865600,71.836937
"502",82.650002,83.699997,82.059998,83.160004,1699900,72.517105
"503",81.709999,84.650002,81.660004,83.889999,1557200,73.153694
"504",83.669998,84.389999,81.900002,82.260002,2205600,71.732292
"505",86.279999,87.389999,84.129997,86.699997,3721000,75.604057
"506",86.550003,88,85.360001,86.940002,2283500,75.813339
"507",87.709999,89.029999,87.510002,88.610001,1962500,77.269623
"508",88.900002,89.230003,87.589996,88.110001,2299200,76.833603
"509",87.349998,87.699997,86.410004,87.400002,2400000,76.214478
"510",87.160004,87.160004,85.790001,86,2614900,74.993645
"511",85.199997,86.459999,84.919998,85.709999,2403700,74.740753
"512",85.650002,85.959999,84.129997,84.580002,2032100,73.755386
"513",84.379997,85.540001,84.300003,84.779999,2671100,73.929787
"514",84.110001,85.959999,84.110001,85.849998,3378400,74.862839
"515",86.830002,88.260002,86.330002,87.860001,2885400,76.615608
"516",86.989998,87.459999,85.199997,85.800003,2512800,74.819237
"517",85.809998,86.260002,83.839996,84.43,2142100,73.624588
"518",84.349998,84.839996,83.57,83.959999,2487400,73.214722
"519",85.099998,86.739998,85.099998,86.209999,2603300,75.176773
"520",85.519997,86.349998,84.739998,86.139999,2383200,75.11573
"521",86.279999,87.599998,85.730003,87.089996,1655100,75.944145
"522",87.75,88.739998,86.459999,88.220001,2579400,76.929543
"523",86.5,87.080002,85.260002,86.970001,4201100,75.839508
"524",85.260002,88.989998,85.089996,88.889999,4596600,77.513786
"525",88.279999,88.349998,86.300003,87.690002,3331900,76.467361
"526",87.379997,88.349998,86.870003,87.57,2745100,76.362709
"527",87.620003,88.120003,86.230003,87.199997,2004000,76.040062
"528",86.900002,87.339996,84.220001,84.589996,2329600,73.764099
"529",84.220001,85.459999,83.760002,84.580002,2293300,73.755386
"530",84.629997,84.900002,83.480003,83.910004,3317200,73.171135
"531",84.639999,86.400002,84.349998,85.459999,3759400,74.522766
"532",85.870003,86.519997,84.900002,86.050003,2539700,75.037247
"533",85.599998,87.510002,85.279999,86.32,2172400,75.27269
"534",87.25,88.440002,86.980003,87.639999,1893200,76.423752
"535",87.059998,88.129997,86.32,87.480003,2321000,76.284248
"536",87.349998,89.739998,87.269997,89.160004,2368800,77.749229
"537",89.32,89.699997,87.889999,88.5,2165600,77.173698
"538",89.410004,89.550003,88.620003,89.139999,2143200,77.731781
"539",89.269997,89.489998,88.480003,88.589996,2341400,77.252174
"540",88.480003,88.660004,86.790001,86.860001,2669000,75.743576
"541",86.790001,87.059998,86,86.690002,1760600,75.595352
"542",86.660004,86.709999,85.120003,85.519997,2290600,74.575073
"543",85.43,86.870003,84.339996,85.050003,2816700,75.042717
"544",86.940002,86.940002,84.019997,85.099998,1723200,75.086838
"545",84.919998,85.220001,84.019997,84.120003,3336600,74.222145
"546",86.540001,89.769997,85.589996,89.260002,4048500,78.757347
"547",88.889999,89,86.230003,87.110001,3067500,76.860336
"548",86.199997,87.370003,85.389999,87.139999,2307800,76.886795
"549",87.68,88.959999,87.419998,88.699997,2089100,78.26326
"550",88.900002,90.360001,88.82,89.279999,3080800,78.774994
"551",89.330002,90.279999,88.790001,88.879997,2112800,78.422058
"552",88.580002,89.010002,87.419998,87.440002,2334000,77.151505
"553",87.580002,88.540001,86.809998,87,4340200,76.763275
"554",87.449997,87.449997,85.940002,87.269997,1885800,77.001503
"555",88.07,88.150002,86.32,86.959999,2492000,76.727966
"556",86.809998,87.199997,85.900002,86.330002,2245400,76.172096
"557",86.25,89.709999,86.099998,88.309998,2534400,77.919113
"558",87.519997,87.720001,84.959999,85.07,2473000,75.060364
"559",85.120003,85.540001,83.199997,83.470001,2237600,73.648636
"560",84.470001,84.919998,83.32,84.309998,2071400,74.389778
"561",84.599998,85,82.849998,83.489998,2373100,73.666267
"562",83.919998,84.309998,83.110001,83.860001,2250500,73.992729
"563",83.550003,84.309998,83.169998,84.080002,2184500,74.186852
"564",85.059998,87.269997,85,87.169998,2244700,76.913269
"565",87.169998,89.800003,86.57,89.360001,3851600,78.845589
"566",90.419998,91.900002,89.919998,90.580002,3408600,79.922028
"567",90.309998,92.660004,90.150002,92.199997,2563200,81.351418
"568",92.529999,93.230003,90.489998,91.059998,4842500,80.345551
"569",91.260002,91.940002,90.760002,91.330002,1726300,80.583794
"570",90.779999,91.059998,89.769997,90.25,1329100,79.630852
"571",90.650002,90.849998,88.790001,89.559998,2170200,79.022057
"572",89.809998,90.800003,89.559998,90.510002,1820900,79.860275
"573",92.940002,95.190002,91.209999,92.290001,4059000,81.430832
"574",93.209999,93.82,92.199997,92.220001,3238600,81.36908
"575",92.400002,92.400002,90.989998,92.169998,1848500,81.324951
"576",92.68,93.279999,91.739998,91.760002,1546500,80.963196
"577",91.849998,92.07,90.480003,91.790001,2124800,80.98967
"578",92.209999,92.849998,91.550003,91.989998,1459900,81.166138
"579",91.879997,92.459999,91.389999,92.010002,2094000,81.183784
"580",92.139999,92.150002,90.160004,90.589996,2292400,79.930855
"581",90.639999,90.68,88.110001,88.660004,2506300,78.227959
"582",87.660004,88.959999,86.769997,88.010002,3376800,77.654442
"583",87.879997,89.540001,87.160004,89.089996,2855000,78.607346
"584",89.260002,89.82,87.370003,88.230003,3103000,77.848549
"585",88.290001,89.139999,86.360001,86.470001,2479200,76.295624
"586",86.160004,87.809998,85.019997,85.959999,3105000,75.845642
"587",86.489998,87.199997,86.099998,87.019997,1249900,76.780907
"588",85.510002,85.68,84.580002,85.209999,1706800,75.183891
"589",84.010002,84.449997,82.760002,83.25,2522300,73.454506
"590",83.160004,83.779999,82.940002,82.989998,2312000,73.22509
"591",82.089996,82.169998,80.510002,81.980003,2168600,72.333946
"592",82.050003,83.040001,81.160004,82.660004,1817700,72.933914
"593",81.059998,81.330002,78.919998,79.900002,2740500,70.49868
"594",80.160004,81.099998,80.160004,80.519997,1844400,71.045723
"595",80.010002,81.120003,79.370003,80.739998,1691900,71.239845
"596",81.510002,82.220001,81.230003,81.800003,2199600,72.175125
"597",80.800003,81.269997,79.790001,80.150002,1727500,70.719276
"598",79.5,80.650002,79.400002,79.860001,1812500,70.463387
"599",80.410004,81.989998,80.139999,81.580002,2201500,71.981018
"600",81.209999,81.209999,80.169998,80.650002,1746500,71.160439
"601",79.160004,79.809998,78.489998,78.650002,2226900,69.395767
"602",79.43,79.519997,77.239998,77.93,3127600,68.760468
"603",78.139999,78.410004,76.82,76.989998,3613000,67.931091
"604",76.139999,77.959999,76.07,77.779999,1966500,68.628143
"605",77.989998,78.470001,77.32,77.410004,1788500,68.301674
"606",76.559998,77.019997,73.940002,74.25,3502100,65.513481
"607",74.440002,77.730003,74.300003,77.690002,3602800,68.548721
"608",81.089996,83.75,79.529999,82.050003,5669900,72.395706
"609",82.120003,82.32,80.059998,80.980003,3289800,71.451614
"610",80.919998,80.959999,78.839996,80.360001,3788000,70.904564
"611",79.900002,79.940002,78.82,79.220001,2824300,70.824081
"612",83.360001,84.480003,82.559998,83.650002,5315700,74.784599
"613",84.779999,85.580002,84.220001,84.510002,4841100,75.553452
"614",84.769997,85.849998,84.360001,85.389999,3385100,76.340179
"615",85.870003,86.68,85.599998,86.389999,3959300,77.2342
"616",86.169998,86.889999,85.629997,86.5,2409500,77.332542
"617",85.110001,86.269997,84.760002,85.709999,3514300,76.626266
"618",86.559998,86.860001,85.830002,86.550003,3223900,77.377235
"619",87,87.080002,85.870003,86.209999,2037400,77.07328
"620",87.25,87.360001,86.129997,86.589996,3600600,77.413002
"621",86.080002,87.309998,85.989998,86.459999,5262100,77.296776
"622",86.199997,87.32,86.099998,86.959999,2564100,77.74379
"623",86.940002,87.199997,86.220001,86.57,2509500,77.395126
"624",86.5,87.269997,86.239998,86.269997,3556400,77.126915
"625",86.5,87.199997,86.360001,86.639999,2986500,77.45771
"626",86.739998,87.050003,86.120003,86.129997,6872900,77.001747
"627",86.900002,87.699997,86.669998,87.279999,2734100,78.029861
"628",87.32,87.459999,86.550003,87.080002,5112900,77.851074
"629",87.120003,87.5,86.989998,87.349998,2584100,78.092468
