"","ANSS.Open","ANSS.High","ANSS.Low","ANSS.Close","ANSS.Volume","ANSS.Adjusted"
"387",178.529999,181.100006,177.860001,180.639999,296200,180.639999
"388",180.919998,181.490005,179.770004,180.880005,323100,180.880005
"389",180.339996,182,179.809998,180.350006,259500,180.350006
"390",180.240005,180.979996,178.740005,178.919998,353400,178.919998
"391",179.119995,179.419998,176.979996,177.630005,957600,177.630005
"392",173.380005,179.389999,173.380005,175.259995,668300,175.259995
"393",175.910004,177.740005,175.580002,177.509995,434300,177.509995
"394",176.449997,178.029999,176.039993,176.990005,388000,176.990005
"395",179.100006,179.100006,173.460007,174.160004,480300,174.160004
"396",174.110001,174.330002,168.139999,168.5,366100,168.5
"397",169.740005,170.410004,167.5,168.880005,629100,168.880005
"398",168.5,171.089996,168.5,170.350006,511800,170.350006
"399",170.350006,173.199997,170.199997,173.149994,470400,173.149994
"400",170.350006,173.509995,170.350006,173.270004,401400,173.270004
"401",172.720001,175.919998,170,175.660004,574500,175.660004
"402",174.800003,176.839996,170,172.779999,577700,172.779999
"403",173.380005,174.740005,170.960007,172.869995,578700,172.869995
"404",173.300003,174.320007,171.690002,172.009995,348600,172.009995
"405",171.160004,171.949997,170.059998,171.529999,393800,171.529999
"406",171.820007,172.820007,170.130005,171.029999,337200,171.029999
"407",172.050003,173.759995,171.199997,173.520004,304600,173.520004
"408",172.240005,173.25,169.720001,171.389999,402800,171.389999
"409",172.440002,173.479996,171.729996,172.110001,361500,172.110001
"410",172.039993,172.539993,170.350006,172.25,298700,172.25
"411",172.949997,173.729996,171.570007,172.529999,404500,172.529999
"412",172.539993,174.869995,172.490005,173.949997,390100,173.949997
"413",173.759995,175.729996,172.75,175.080002,309800,175.080002
"414",175.149994,177.490005,175.149994,175.679993,333300,175.679993
"415",176.679993,178.419998,176.059998,178.100006,231300,178.100006
"416",179.110001,182.779999,178.080002,180.270004,720000,180.270004
"417",180,184.850006,179.940002,184.100006,540300,184.100006
"418",184.029999,186.059998,183.630005,185.619995,424400,185.619995
"419",184.320007,185.860001,184.320007,185.369995,322900,185.369995
"420",185.449997,187.119995,185.360001,185.979996,487800,185.979996
"421",185.660004,187.910004,184.520004,187.320007,475900,187.320007
"422",186.779999,187.449997,183.100006,184.309998,552200,184.309998
"423",184.380005,186.339996,182.779999,185.169998,377200,185.169998
"424",184.169998,186.850006,182.729996,185.449997,356200,185.449997
"425",186.380005,186.5,185.149994,185.570007,350300,185.570007
"426",185.809998,187.380005,184.869995,186.789993,319900,186.789993
"427",186.199997,187.899994,184.300003,187.5,282000,187.5
"428",187.990005,189.660004,187.589996,188.5,246300,188.5
"429",189.089996,190.449997,187.699997,189.509995,350600,189.509995
"430",189.619995,189.619995,183.740005,183.850006,344000,183.850006
"431",184.649994,186.869995,183.990005,184.830002,616300,184.830002
"432",184.740005,185.960007,182.720001,184.270004,353000,184.270004
"433",184.600006,184.809998,183.070007,183.75,618200,183.75
"434",184.419998,186.509995,182.25,182.479996,1009500,182.479996
"435",181.839996,183.490005,180.419998,183.369995,346200,183.369995
"436",183.440002,185.429993,183.440002,184.990005,379500,184.990005
"437",185.539993,186.589996,184.279999,184.979996,434600,184.979996
"438",185.5,187.240005,185.5,186.399994,443400,186.399994
"439",185.919998,187.520004,180.990005,186.679993,412300,186.679993
"440",187.020004,189.649994,185.410004,186,326200,186
"441",185.809998,185.949997,181.820007,182.210007,324800,182.210007
"442",182.910004,183.720001,181.830002,182.220001,318800,182.220001
"443",181.600006,181.919998,174.130005,175.380005,459700,175.380005
"444",175.389999,176.679993,172,173.75,476700,173.75
"445",173.320007,173.979996,166.259995,168.270004,428000,168.270004
"446",167.490005,170.449997,164.649994,165.839996,771800,165.839996
"447",165.509995,165.509995,155.559998,155.710007,882900,155.710007
"448",154.539993,158.490005,153.110001,153.509995,979700,153.509995
"449",157.149994,159.330002,155.479996,158.899994,1153800,158.899994
"450",158.419998,159.220001,156.279999,156.509995,688100,156.509995
"451",158.380005,161.119995,158.210007,159,1105600,159
"452",158.889999,159.660004,157.619995,158.850006,596900,158.850006
"453",156.800003,159.100006,153.679993,153.809998,884100,153.809998
"454",154.630005,155.960007,150.550003,150.580002,807800,150.580002
"455",151.309998,155.100006,150.020004,152.889999,928600,152.889999
"456",149.160004,152.169998,147.710007,150.729996,1525600,150.729996
"457",150.649994,151.830002,143.690002,144,796200,144
"458",145.580002,147.929993,144.130005,146.830002,650800,146.830002
"459",143.639999,146,140.779999,143.509995,672400,143.509995
"460",147.669998,149.339996,141.240005,143.809998,909700,143.809998
"461",144.020004,147.169998,143.520004,146.199997,602700,146.199997
"462",148.190002,152.190002,148.100006,149.550003,763700,149.550003
"463",150.009995,153.410004,149.119995,153.139999,819500,153.139999
"464",160.539993,160.539993,154.410004,155.279999,867600,155.279999
"465",156.440002,156.550003,151.910004,153.210007,725300,153.210007
"466",152.899994,154.300003,151.320007,152.910004,686400,152.910004
"467",154.139999,160.509995,154.139999,159.800003,869200,159.800003
"468",165.389999,170.729996,165.389999,169.679993,1355500,169.679993
"469",168.75,169.669998,163.490005,165.860001,803800,165.860001
"470",165.240005,166.440002,158.880005,159.089996,674000,159.089996
"471",160.119995,161.850006,157.649994,159.270004,433900,159.270004
"472",160.429993,162.25,155.320007,155.75,557400,155.75
"473",155.279999,160.589996,153.929993,160.240005,634500,160.240005
"474",158.089996,159.479996,154.080002,158.25,488600,158.25
"475",158.130005,158.699997,148.380005,149.710007,756900,149.710007
"476",147.360001,152.089996,145.580002,149.449997,808700,149.449997
"477",152.520004,155.259995,150.490005,152.009995,732600,152.009995
"478",150.339996,151.699997,149.190002,150.440002,305100,150.440002
"479",152.889999,154.339996,150.789993,154.210007,656200,154.210007
"480",153.330002,153.619995,150.910004,151.75,609100,151.75
"481",153.770004,160.490005,152.639999,160.490005,719300,160.490005
"482",159.529999,160.580002,157.399994,159.399994,714300,159.399994
"483",159.300003,162.020004,158.130005,162.020004,2111400,162.020004
"484",166.169998,169.820007,162.229996,163.419998,930800,163.419998
"485",161.809998,163.190002,156.020004,156.639999,731700,156.639999
"486",154.080002,158.240005,152.070007,158.190002,909900,158.190002
"487",157.539993,161.869995,151.169998,152.369995,622600,152.369995
"488",152.350006,155.460007,151.720001,154.380005,439500,154.380005
"489",157.440002,161.399994,152.830002,153.789993,527000,153.789993
"490",157.119995,159.330002,155.059998,156.960007,485500,156.960007
"491",157.720001,158.350006,153.509995,154.660004,661500,154.660004
"492",153,154.240005,149.550003,149.710007,458400,149.710007
"493",148.710007,149.910004,145.309998,146.419998,610500,146.419998
"494",148.919998,150.679993,147.949997,150.089996,746200,150.089996
"495",149.619995,152.509995,144.770004,146.220001,656000,146.220001
"496",144.679993,147.399994,140.960007,143.800003,634200,143.800003
"497",143.940002,145.630005,139.990005,140.190002,933500,140.190002
"498",139.610001,141.119995,136.800003,136.809998,333900,136.809998
"499",137.919998,142.929993,137.509995,142.850006,655400,142.850006
"500",140.759995,144.160004,138.759995,144.160004,555200,144.160004
"501",145,145.460007,140.789993,142.990005,471700,142.990005
"502",143.919998,144.869995,142.169998,142.940002,959800,142.940002
"503",140.190002,143.679993,137.139999,143.009995,711000,143.009995
"504",141.160004,142.380005,137.440002,137.639999,725800,137.639999
"505",139.490005,144.699997,138.460007,143.660004,632400,143.660004
"506",144,148.589996,143.350006,147.320007,486200,147.320007
"507",148.529999,150.710007,146.580002,148.050003,533600,148.050003
"508",148.759995,151.919998,148.259995,150.639999,379100,150.639999
"509",151.009995,152.919998,150.550003,152.600006,439900,152.600006
"510",151.820007,154.830002,151.009995,154.75,594400,154.75
"511",153.339996,154.070007,151.630005,153.600006,380800,153.600006
"512",153.860001,156.460007,153.669998,156.160004,441500,156.160004
"513",156.270004,157.410004,155.509995,157.130005,379400,157.130005
"514",156.240005,158.630005,155.529999,158.309998,381700,158.309998
"515",159.550003,162.240005,158.600006,161.710007,511200,161.710007
"516",161.130005,163.169998,157.410004,161.029999,479700,161.029999
"517",161.570007,162.910004,157.649994,158.630005,349000,158.630005
"518",158.589996,159.240005,157.009995,158.100006,445800,158.100006
"519",160.25,162,159.869995,161.649994,340200,161.649994
"520",160.25,161.259995,158.869995,160.699997,219500,160.699997
"521",159.960007,160.820007,158.270004,158.860001,229400,158.860001
"522",160.25,163.479996,159.039993,162.990005,321700,162.990005
"523",162.669998,165.039993,161.309998,164.350006,567400,164.350006
"524",164.440002,168.059998,161.240005,167.550003,505600,167.550003
"525",167.539993,169.580002,166.570007,169.050003,328400,169.050003
"526",169.5,170.610001,168.880005,170.220001,212600,170.220001
"527",169.690002,171.309998,166.009995,170.779999,435400,170.779999
"528",169.169998,170.720001,168.809998,169.550003,353800,169.550003
"529",168.460007,171.740005,167.289993,171.729996,257300,171.729996
"530",172.490005,173.110001,170.990005,171.229996,388900,171.229996
"531",172.940002,175.619995,171.660004,175.009995,411000,175.009995
"532",175.610001,175.979996,173,173.110001,404900,173.110001
"533",172.199997,174.220001,171.369995,173.199997,299400,173.199997
"534",174.449997,174.559998,173.009995,174.490005,338200,174.490005
"535",174.240005,175.919998,173.309998,174.460007,323700,174.460007
"536",174.5,175.869995,173.5,174.660004,242000,174.660004
"537",174.550003,175.589996,172.960007,174.490005,242700,174.490005
"538",175.300003,177.160004,174.75,175.479996,329900,175.479996
"539",177.389999,177.389999,174.919998,175.009995,483000,175.009995
"540",174.660004,176.300003,173.190002,174.830002,327600,174.830002
"541",173.940002,176.949997,173.270004,176.830002,553200,176.830002
"542",186,186.149994,176.919998,177.259995,976800,177.259995
"543",179.649994,182.860001,178.339996,182.229996,677000,182.229996
"544",182.380005,183.789993,177.550003,180.130005,666200,180.130005
"545",179.740005,182.039993,178.729996,178.75,567200,178.75
"546",178.520004,179.789993,177.199997,178.679993,420900,178.679993
"547",177.869995,180.020004,177.429993,178.789993,446800,178.789993
"548",177.020004,178.399994,174.550003,177.429993,635600,177.429993
"549",177.869995,180.160004,177.869995,178.729996,474000,178.729996
"550",179.050003,181.970001,178.149994,180.960007,491200,180.960007
