"","WST.Open","WST.High","WST.Low","WST.Close","WST.Volume","WST.Adjusted"
"582",122.620003,124.099998,120.5,123.68,459200,122.756935
"583",123.160004,123.809998,121.709999,122.309998,368100,121.397148
"584",122.150002,123.940002,122.150002,123.790001,226500,122.866104
"585",121.449997,123.199997,120.269997,120.589996,426100,119.689987
"586",120.199997,122.010002,119.699997,121.839996,208700,120.930649
"587",122.419998,123.190002,122.010002,122.849998,433500,121.933121
"588",120.970001,123.059998,120.970001,122.779999,444000,121.863647
"589",121.720001,122.540001,120.300003,121.400002,279700,120.493958
"590",121.559998,121.919998,120.379997,120.440002,307900,119.541115
"591",119.230003,121.019997,118.349998,120.449997,180800,119.551041
"592",119.860001,120.849998,117.709999,120.410004,192200,119.511353
"593",118.370003,118.839996,117.089996,117.550003,201700,116.672684
"594",117.650002,117.809998,115.699997,116.32,470300,115.451859
"595",115.790001,117.150002,115.360001,116.400002,214100,115.531265
"596",116.830002,118.580002,116.830002,117.169998,349000,116.295532
"597",116.489998,117.379997,116.019997,116.410004,176200,115.541191
"598",116,117.519997,115.080002,117.440002,354400,116.563522
"599",118.239998,119.68,117.809998,118.529999,241400,117.64537
"600",118.459999,119,117.540001,118.199997,132300,117.317825
"601",117.599998,117.790001,115.779999,116.059998,196100,115.19381
"602",116.839996,118.029999,115.959999,116.290001,154700,115.422096
"603",116.309998,117.580002,115.269997,115.660004,141500,114.796799
"604",115.029999,115.550003,114.169998,115.370003,161600,114.508957
"605",115.519997,116.660004,115.349998,115.839996,124400,114.975441
"606",114.150002,115.150002,113.040001,114.599998,212200,113.74469
"607",114.599998,115.470001,113.989998,114.699997,279000,113.843941
"608",115.860001,116.720001,114.919998,116.300003,185200,115.432014
"609",116.989998,117.870003,116.370003,117.440002,244800,116.563522
"610",117.360001,118.32,116.769997,118.080002,182000,117.198723
"611",118.589996,119.720001,118.190002,119.309998,251600,118.41954
"612",119.910004,121.050003,119.720001,119.959999,243500,119.064705
"613",120.839996,121.220001,119.68,120.690002,168600,119.789253
"614",120.739998,122.599998,120.129997,122.190002,190700,121.278053
"615",122.25,123.440002,121.410004,121.900002,258800,120.990227
"616",122.010002,122.790001,120.620003,120.68,170000,119.779343
"617",120.75,121.959999,119.760002,120.660004,245600,119.759468
"618",121.279999,122.330002,120.739998,121.349998,191300,120.444321
"619",121.580002,122.059998,120.959999,121.830002,200400,120.920738
"620",122.949997,123.18,121.620003,122.220001,158700,121.307831
"621",121.57,122.389999,120.860001,122.040001,382700,121.129173
"622",121.75,123.540001,121.449997,122.190002,178300,121.278053
"623",122.309998,123.459999,121.669998,122.589996,256800,121.675072
"624",122.830002,123.07,120.110001,121.720001,263900,120.811569
"625",122.519997,123.82,122.059998,123.580002,248400,122.657677
"626",123.550003,125.860001,123.550003,125.150002,1071700,124.215965
"627",126,127.059998,123.709999,124.730003,261700,123.799103
"628",124.610001,124.610001,122.199997,123.580002,258600,122.657677
"629",124.029999,124.220001,122.82,123.919998,239100,122.99514
"630",123.489998,124.07,122.150002,124,174700,123.074547
"631",123.489998,123.510002,122.07,122.889999,193000,121.972832
"632",121.970001,124.160004,121.82,124.059998,198300,123.134094
"633",124.559998,125.449997,123.480003,123.839996,221700,122.915749
"634",124.379997,124.629997,123.260002,124.489998,143000,123.560875
"635",124.589996,125.300003,123.32,124.43,188800,123.501328
"636",124.440002,124.93,123.410004,124.379997,258700,123.451706
"637",124.480003,124.669998,123.160004,123.220001,151800,122.300369
"638",123.220001,123.279999,121.690002,121.910004,249100,121.000145
"639",121.800003,122.599998,120.440002,122.07,359500,121.158943
"640",122.279999,122.279999,120.82,121.410004,292100,120.503883
"641",121.730003,123.220001,121.730003,123.010002,330300,122.091934
"642",123.099998,124.239998,122.699997,123.269997,238200,122.499367
"643",122.230003,123.019997,120.120003,122.269997,431500,121.505615
"644",130.369995,135.470001,127.839996,132.860001,1148600,132.029419
"645",134.300003,139.229996,132.360001,136.910004,657700,136.054092
"646",137.600006,138.669998,136.080002,138.369995,512600,137.504944
"647",137.910004,138.220001,136.259995,137.479996,559500,136.620544
"648",137.050003,138.809998,135.729996,137.270004,472200,136.411835
"649",137.589996,139.589996,136.580002,137.279999,332600,136.421768
"650",136.720001,136.800003,135.169998,135.559998,322900,134.712524
"651",133.630005,135.779999,132.699997,133.639999,547400,132.80455
"652",134.610001,138.479996,134.449997,138.419998,353400,137.554657
"653",137.199997,140.160004,136.119995,139.649994,321600,138.776962
"654",140.580002,143.5,140.279999,143.089996,423900,142.19545
"655",142.669998,144.820007,142.669998,143.919998,320900,143.020264
"656",142.910004,144.190002,141.759995,142.289993,165200,141.400467
"657",143.029999,145.139999,141.979996,145.070007,287500,144.163086
"658",143.479996,144.289993,142.020004,142.350006,268200,141.460083
"659",143,144.020004,142.100006,142.880005,143900,141.986786
"660",143.789993,145.169998,143.089996,145.059998,161100,144.153137
"661",146.369995,146.369995,145.089996,145.779999,171600,144.868637
"662",145.759995,146.289993,145.009995,145.119995,164500,144.212753
"663",145.649994,147.149994,145.020004,145.929993,216000,145.017715
"664",146.729996,147.190002,144.979996,145.860001,188800,144.94812
"665",145.759995,146.899994,143.029999,143.330002,203000,142.433945
"666",144.520004,145.5,143.5,145.350006,175100,144.44133
"667",146.339996,146.960007,145.190002,146.270004,212700,145.35556
"668",145.759995,146.699997,145.199997,146.190002,146600,145.276093
"669",146.75,147.690002,146.490005,147.139999,153200,146.220123
"670",147.300003,147.369995,144.919998,145.460007,259400,144.550629
"671",144.5,145.520004,143.169998,144.869995,291800,143.964325
"672",145.059998,148.160004,144.960007,147.929993,339200,147.005203
"673",149.309998,150.380005,148.029999,150.020004,226400,149.082138
"674",150.240005,152.100006,149.460007,149.699997,252400,148.76413
"675",149.869995,150.119995,144.770004,145.449997,504500,144.540741
"676",144.809998,145.490005,138.889999,141.059998,600900,140.178146
"677",141.619995,145.679993,141.429993,144.720001,436600,143.815262
"678",145.490005,146.589996,144.330002,146.089996,207000,145.176697
"679",145.429993,147.039993,143.830002,144.199997,325900,143.298538
"680",143.429993,144.050003,141.669998,142.130005,389900,141.241486
"681",142.210007,144.279999,141.759995,143.300003,317600,142.404144
"682",143.350006,143.759995,139.830002,141.320007,290200,140.436539
"683",141.899994,143.630005,141.429993,143.330002,270700,142.433945
