"","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume","IBM.Adjusted"
"311",145.382416,147.093689,145.210327,145.812622,3833381,121.611237
"312",146.338425,147.122375,144.435944,146.682602,3577320,122.336838
"313",146.596558,146.634796,141.902481,143.470367,5387318,119.657753
"314",144.168259,144.359467,141.778198,143.26004,4325942,119.482338
"315",141.38623,147.676865,140.965576,147.342255,5026344,122.886986
"316",147.648178,148.107071,146.596558,147.25621,3331928,122.815247
"317",146.711288,147.179733,142.963669,143.94838,3841853,120.056419
"318",145.124283,147.858505,145.066925,145.975143,4616207,121.746796
"319",148.212234,149.713196,147.94455,148.556412,3981494,123.899643
"320",147.581268,148.92926,147.112808,148.527725,3458599,123.875702
"321",149.856598,151.988525,149.780121,151.118546,5898812,126.03653
"322",151.692154,152.217972,149.053543,149.818359,4243727,124.952126
"323",151.042068,152.141495,150.736145,150.946457,4379393,125.892982
"324",151.835571,154.875717,151.5392,153.833649,10677045,128.30098
"325",145.449326,145.917786,141.73996,142.246658,21319258,118.637131
"326",142.629059,142.648178,140.172089,141.20459,8458061,117.768066
"327",141.395798,141.462708,138.154877,138.527725,8645818,115.535469
"328",138.652008,139.541107,137.982788,139.445511,5560118,116.300934
"329",140.066925,140.822174,138.173996,139.158707,5142659,116.061737
"330",139.378586,139.961761,137.772461,139.521988,7663414,116.3647
"331",140.152969,140.879547,139.770554,140.267685,4462027,116.986633
"332",140.382416,140.774384,139.254303,140.038239,3352953,116.795273
"333",140.401535,140.898666,138.585083,138.585083,4618613,115.583321
"334",138.288712,138.642441,137.160614,138.623322,4637336,115.615204
"335",138.107071,138.451248,135.822174,136.185471,5433865,113.581978
"336",135.879547,135.975143,133.747604,135.745697,5249456,113.215187
"337",134.894836,138.001907,134.110901,137.581268,4604701,114.746109
"338",137.667297,137.973236,136.367111,136.9216,3825222,114.195923
"339",136.711288,137.198853,135.812622,136.711288,5616079,114.0205
"340",135.659653,136.730408,135.066925,136.338425,4389016,114.971809
"341",136.854691,137.982788,136.72084,137.896744,3898024,116.285942
"342",137.772461,138.479919,137.265778,137.801147,3214567,116.205307
"343",138.116638,138.738052,137.801147,137.954117,3364041,116.334305
"344",137.189301,137.657745,136.634796,137.418732,4277512,115.882835
"345",137.380493,138.652008,136.969406,138.269592,3314460,116.600304
"346",138.145309,138.804977,137.447418,138.145309,3292494,116.495529
"347",138.116638,138.565964,137.657745,137.74379,2805581,116.156914
"348",138.575531,139.617584,138.317398,139.091782,3027856,117.293678
"349",139.120453,139.770554,138.623322,138.709366,2389064,116.971176
"350",138.001907,138.336517,137.170166,138.307846,3618846,116.632584
"351",138.040146,138.12619,136.663483,137.734222,3555040,116.148865
"352",137.571701,138.212234,137.151047,137.323135,5140358,115.802223
"353",136.261948,136.606125,134.043976,135.009567,4746330,113.851227
"354",135.659653,136.806885,135.583176,136.347992,5353951,114.979874
"355",136.529633,136.529633,134.847031,135.095596,7144494,113.923767
"356",136.166351,136.558319,135.391968,135.707458,4034945,114.439735
"357",136.042068,136.87381,135.927338,136.749527,3174924,115.318489
"358",136.759079,137.74379,136.749527,137.380493,2966456,115.850563
"359",137.992355,138.355637,137.227539,138.346085,3368225,116.664841
"360",138.623322,140.248566,138.556412,138.967499,4515059,117.188881
"361",138.623322,139.990433,138.021027,139.713196,5450183,117.817688
"362",140.172089,140.927338,139.713196,140.13385,3409960,118.172417
"363",140.630981,141.032501,140.172089,140.411087,2761963,118.406212
"364",140.33461,140.984711,139.770554,139.913956,3104737,117.987
"365",140.20076,140.516251,138.709366,138.814529,3479310,117.059891
