"","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
"426",180.649994,183.563339,180.463333,182.133331,1193400,182.133331
"427",183.143326,183.589996,180.300003,183.186661,1030800,183.186661
"428",184.453339,186.323334,182.910004,186.273331,1361100,186.273331
"429",186.666672,190.986664,186.566666,189.453339,2554800,189.453339
"430",188.983337,188.983337,185.106674,186.21666,1638900,186.21666
"431",186.199997,189.166672,186.169998,188.273331,1469400,188.273331
"432",187.21666,187.520004,184.210007,185.490005,1515900,185.490005
"433",186.546661,187.323334,185.610001,187.059998,1353900,187.059998
"434",187.42334,188.289993,185.490005,185.589996,3215400,185.589996
"435",185.453339,189.896667,184.360001,189.756668,1241700,189.756668
"436",189.756668,191.803329,188.756668,191.396667,1557000,191.396667
"437",191.333328,191.759995,188.490005,189.846664,1746600,189.846664
"438",190,190.740005,189.333328,189.896667,1611900,189.896667
"439",190,191.479996,189.729996,191.333328,2063400,191.333328
"440",191.71666,193.706665,190.656662,191.580002,2231700,191.580002
"441",191.46666,191.883331,188.426666,190.493332,2352900,190.493332
"442",190.956665,191.383331,187.020004,187.156662,1516500,187.156662
"443",187.156662,187.403336,183.666672,184.813339,2307600,184.813339
"444",184.676666,186.559998,180.110001,182.903336,2384100,182.903336
"445",182.143326,182.666672,171.053329,175.490005,4074300,175.490005
"446",175.893326,179.330002,174.570007,177.070007,3027900,177.070007
"447",178.330002,179.166672,170.426666,170.736664,3671100,170.736664
"448",169.833328,173.419998,166.666672,169.406662,3923100,169.406662
"449",174.003326,179.146667,173.733337,177.339996,3099300,177.339996
"450",176.356674,176.356674,172.479996,173.096664,2217900,173.096664
"451",175.169998,181.460007,175.169998,180.970001,2184000,180.970001
"452",181.343338,182.703339,179.46666,180.970001,2388300,180.970001
"453",181.57666,181.956665,173.33667,174.096664,4508100,174.096664
"454",179.619995,179.993332,167.460007,168.08667,6433800,168.08667
"455",168.21666,171.193329,167.403336,170.470001,2618100,170.470001
"456",166.306671,169.683334,161.816666,168.976669,4132200,168.976669
"457",168.583328,169.903336,160.720001,161.036667,2889600,161.036667
"458",163.096664,166.100006,160.919998,164.306671,3432000,164.306671
"459",160.666672,164.683334,158.479996,162.296661,3407100,162.296661
"460",165.126663,166,155.690002,159.286667,2713800,159.286667
"461",159.013336,163.903336,157.490005,163.606674,3394500,163.606674
"462",171.286667,175.443329,169.333328,173.726669,4845600,173.726669
"463",174.276672,174.5,168.220001,172.869995,3097500,172.869995
"464",173.333328,176.333328,170.196671,172.073334,1976100,172.073334
"465",172.273331,173.330002,167.626663,169.133331,2377500,169.133331
"466",168.883331,173.496674,168.669998,173.229996,2297400,173.229996
"467",174.456665,182.020004,174.433334,181.893326,3885900,181.893326
"468",180.78334,181.66333,178.770004,180.006668,1607400,180.006668
"469",178.223328,178.546661,175,177.520004,1909800,177.520004
"470",177.100006,177.660004,167.83667,168,2505900,168
"471",168.833328,172.333328,166.679993,167.813339,1783800,167.813339
"472",169.333328,170.006668,164.426666,166.213333,1822500,166.213333
"473",165.699997,171.46666,161.82666,171.213333,2317500,171.213333
"474",169.346664,174.683334,169.036667,172.846664,2391000,172.846664
"475",172.493332,173.153336,160.006668,160.889999,3343800,160.889999
"476",156.666672,164.289993,154.003326,161.746674,3134100,161.746674
"477",164.083328,166.286667,161.83667,163.873337,1796700,163.873337
"478",162.736664,164.46666,162.546661,163.190002,739800,163.190002
"479",165.313339,167.949997,163,167.759995,1921500,167.759995
"480",166.08667,166.693329,164.350006,165.619995,1743000,165.619995
"481",166.46666,174.089996,166.346664,173.96666,2871000,173.96666
"482",171.963333,173.970001,170.296661,173.656662,1615800,173.656662
"483",173.656662,178,172.463333,176.956665,2964300,176.956665
