"","NCLH.Open","NCLH.High","NCLH.Low","NCLH.Close","NCLH.Volume","NCLH.Adjusted"
"495",46.950001,47.779999,44.939999,45.169998,3833500,45.169998
"496",43.720001,44.599998,41.709999,42.299999,4627400,42.299999
"497",42.220001,42.630001,40.540001,40.790001,4771100,40.790001
"498",40.360001,40.720001,39.540001,39.549999,1190400,39.549999
"499",39.75,41.939999,39.360001,41.939999,2278300,41.939999
"500",41.099998,41.560001,39.84,41.560001,1868200,41.560001
"501",41.82,42.41,41.299999,41.98,1715000,41.98
"502",42.290001,42.470001,41.509998,42.389999,2119900,42.389999
"503",41.880001,42.84,41.52,42.380001,1917400,42.380001
"504",41.869999,42.119999,40.5,40.709999,2654500,40.709999
"505",41.52,43.34,41.41,43.029999,2318700,43.029999
"506",43,44.130001,42.810001,43.709999,1519500,43.709999
"507",44.98,45.68,44.5,45.029999,2224900,45.029999
"508",45.630001,46.049999,45.029999,45.740002,1882600,45.740002
"509",45.349998,46.240002,44.970001,46.169998,1700900,46.169998
"510",45.990002,46.41,45.779999,46.189999,1611700,46.189999
"511",45.700001,46.099998,45.419998,45.540001,1276300,45.540001
"512",45.540001,46.16,45.459999,46.029999,1562800,46.029999
"513",45.93,46.34,45.48,45.849998,1884600,45.849998
"514",45.669998,46.990002,45.59,46.790001,1695500,46.790001
"515",47.049999,47.610001,46.91,47.529999,2390700,47.529999
"516",47.18,47.369999,46.25,46.599998,1844700,46.599998
"517",46.779999,47.080002,46.080002,46.720001,1317100,46.720001
"518",46.860001,47.32,46.720001,46.990002,966600,46.990002
"519",47.689999,47.990002,47.349998,47.93,1192300,47.93
"520",47.290001,48.59,47.25,48.369999,3226700,48.369999
"521",48.439999,48.93,48.049999,48.720001,3060800,48.720001
"522",49.73,51.16,49.32,50.849998,6069300,50.849998
"523",50.57,51.799999,50.43,51.43,3760900,51.43
"524",51.400002,51.970001,51.290001,51.470001,2196800,51.470001
"525",51.330002,52.110001,51.330002,52.080002,2140600,52.080002
"526",52.200001,52.459999,51.549999,51.810001,1631600,51.810001
"527",53.040001,53.18,52.189999,52.619999,1911000,52.619999
"528",52.09,52.099998,50.66,51.349998,1766000,51.349998
"529",50.84,51.450001,50.84,51.310001,1324200,51.310001
"530",51.549999,52.02,51.349998,51.880001,828400,51.880001
"531",52.23,52.450001,51.599998,51.82,1477800,51.82
"532",52.5,52.900002,52.07,52.540001,1416900,52.540001
"533",52.139999,52.389999,51.700001,52.189999,909400,52.189999
"534",52.599998,53.029999,52.110001,53.029999,1943400,53.029999
"535",53.77,53.779999,52.959999,53.380001,2145800,53.380001
"536",53.23,53.900002,53.119999,53.700001,2155600,53.700001
"537",54.75,55.93,54.75,55.52,3847200,55.52
"538",55.700001,55.970001,55.16,55.349998,3815300,55.349998
"539",56.259998,56.43,55.330002,55.939999,3708800,55.939999
"540",55.970001,56.099998,55.439999,55.57,3056300,55.57
"541",55.369999,55.599998,54.619999,54.919998,3125200,54.919998
"542",54.779999,55.91,54.540001,55.529999,3249800,55.529999
"543",55.959999,56.299999,55.049999,55.27,1663600,55.27
"544",55.290001,55.619999,54.299999,54.599998,1790000,54.599998
"545",54.639999,55.639999,54.580002,55.450001,2581600,55.450001
"546",55.540001,55.639999,54.970001,55.119999,2545100,55.119999
"547",54.869999,55.07,54.299999,54.66,2682900,54.66
"548",54.23,55.040001,54.040001,55.009998,1857600,55.009998
"549",55.060001,55.799999,55.029999,55.459999,2049600,55.459999
"550",55.52,55.709999,54.799999,55.349998,1685400,55.349998
"551",55.599998,55.959999,54.799999,55.080002,1646200,55.080002
