"","VLO.Open","VLO.High","VLO.Low","VLO.Close","VLO.Volume","VLO.Adjusted"
"992",60,61.32,57.720001,58.799999,4383200,55.664028
"993",58.220001,61.470001,58.209999,59.869999,3878200,56.676964
"994",60.580002,60.580002,58.279999,59.029999,3768700,55.88176
"995",59.919998,60.049999,56.240002,56.389999,4008400,53.382561
"996",57.169998,58.330002,56.169998,57.48,3524100,54.414429
"997",57.029999,57.869999,56.299999,56.919998,5016200,53.884293
"998",57.369999,57.450001,55.799999,56.34,4719500,53.335232
"999",56.009998,56.32,54.34,54.77,10658500,51.848961
"1000",52.450001,55.049999,51.900002,54.049999,5343900,51.167366
"1001",53.639999,54.740002,53.549999,53.700001,4594200,50.836033
"1002",54.25,55.970001,54.099998,55.790001,3282800,52.814564
"1003",55.540001,55.75,54.560001,55.68,1352000,52.71043
"1004",56.23,56.93,54.880001,55.09,2450600,52.151894
"1005",55.41,55.880001,54.529999,55.450001,2470800,52.492695
"1006",55.610001,56.849998,55.400002,56.720001,2732100,53.694965
"1007",56.580002,57.139999,55.959999,56.57,2537700,53.552959
