"","WAT.Open","WAT.High","WAT.Low","WAT.Close","WAT.Volume","WAT.Adjusted"
"328",208.960007,211.779999,208.210007,209.600006,607300,209.600006
"329",192.490005,197.369995,189.350006,193.179993,2426600,193.179993
"330",193.490005,195.300003,188.75,191.660004,1269600,191.660004
"331",192.320007,193.229996,190.580002,191.169998,746000,191.169998
"332",191.050003,191.330002,189.699997,190.5,537200,190.5
"333",191.119995,192.25,188.360001,188.410004,629200,188.410004
"334",188.360001,189.699997,187.279999,188.720001,745500,188.720001
"335",187.809998,191.429993,187.470001,189.190002,592000,189.190002
"336",188.570007,190.660004,187.539993,190.039993,768700,190.039993
"337",188.75,192.899994,187.710007,191.580002,402400,191.580002
"338",192.089996,195.070007,192.089996,192.610001,464500,192.610001
"339",192.229996,192.970001,191.100006,192.270004,563700,192.270004
"340",193.369995,194.839996,191.399994,193.380005,603200,193.380005
"341",194.369995,196.350006,193.509995,196.169998,376700,196.169998
"342",196.419998,197.729996,195.149994,196.520004,446900,196.520004
"343",196.639999,197.389999,195.470001,196.960007,593900,196.960007
"344",195,195,189.869995,190,1068600,190
"345",190,191.399994,189.210007,190.649994,836300,190.649994
"346",190.509995,191.619995,189.919998,190.479996,383500,190.479996
"347",191.110001,195.350006,191.070007,194.160004,611900,194.160004
"348",194.949997,196.960007,194.369995,196.300003,290500,196.300003
"349",196.919998,197.229996,195.610001,195.979996,459400,195.979996
"350",194.850006,195.449997,193.110001,194.149994,490300,194.149994
"351",193.789993,195.199997,192.699997,194.139999,492600,194.139999
"352",193.410004,193.869995,189.5,190.649994,469200,190.649994
"353",189.149994,191.220001,187.690002,190.929993,577100,190.929993
"354",192.320007,195.529999,192.190002,193.669998,464300,193.669998
"355",193.470001,194.550003,191.820007,192.619995,820600,192.619995
"356",194.110001,195.850006,193.979996,195.199997,436100,195.199997
"357",195.759995,196.229996,194.619995,194.919998,552200,194.919998
"358",195.210007,196.770004,194.149994,196.220001,406800,196.220001
"359",196.610001,202,195.669998,201.600006,753800,201.600006
"360",201.869995,203.470001,199.699997,202.990005,873300,202.990005
"361",202.410004,205.699997,202.350006,205.320007,521300,205.320007
"362",205.399994,207.440002,204.369995,206.660004,539100,206.660004
"363",206.940002,209.059998,205.470001,208.949997,499600,208.949997
"364",209.039993,210.020004,208,209.75,711000,209.75
"365",205.270004,206,197.699997,200.270004,2038700,200.270004
"366",200,201.369995,197.600006,201.25,1283900,201.25
"367",199.410004,199.410004,197.119995,198.690002,780600,198.690002
"368",196.520004,197.300003,193.699997,195.020004,752000,195.020004
"369",195.440002,195.570007,192.779999,192.940002,364000,192.940002
"370",192.710007,193.389999,191.479996,192.990005,677100,192.990005
"371",193.899994,194.580002,192.279999,193.869995,510500,193.869995
"372",193.029999,193.029999,191,192.350006,781300,192.350006
"373",192.330002,192.970001,191.449997,192.119995,441800,192.119995
"374",192.679993,194.809998,192.110001,192.119995,711500,192.119995
"375",191.570007,193.940002,190.350006,193.800003,387200,193.800003
"376",194.559998,195.419998,193.490005,193.589996,583500,193.589996
"377",192.25,194.139999,191.520004,193.779999,381900,193.779999
"378",194.740005,194.740005,192.229996,192.559998,207600,192.559998
