"","BMY.Open","BMY.High","BMY.Low","BMY.Close","BMY.Volume","BMY.Adjusted"
"164",58.290001,58.669998,58.18,58.369999,4070300,51.359203
"165",58.639999,58.889999,58.450001,58.580002,3292300,51.543995
"166",58.349998,59.02,58.18,58.860001,3983700,51.790363
"167",58.869999,59.700001,58.82,59.380001,5327800,52.247902
"168",59.630001,60.75,59.610001,60.48,9716900,53.215778
"169",60.360001,60.650002,59.720001,59.900002,6283700,52.705444
"170",59.540001,60.220001,59.389999,59.810001,4310400,52.626255
"171",60,60.290001,59.77,59.869999,5389300,52.679043
"172",60.5,63.470001,60.490002,62.84,17301900,55.292324
"173",62.740002,63.18,62.23,62.619999,6579300,55.098747
"174",62.619999,63.139999,62.139999,62.720001,6086500,55.186737
"175",62.439999,63.09,62.419998,63.02,4780700,55.450703
"176",62.880001,63.080002,62.23,62.48,4357000,54.975559
"177",62.380001,63.110001,62.32,62.689999,5347100,55.160343
"178",62.900002,63.380001,62.310001,62.48,10407600,54.975559
"179",62.490002,63.209999,62.27,62.700001,6975900,55.169144
"180",62.700001,63.130001,62.59,62.93,4844300,55.371513
"181",62.919998,63.720001,62.720001,63.490002,5561300,55.864254
"182",63.349998,63.740002,63.029999,63.330002,5250100,55.723473
"183",63.330002,63.549999,63.040001,63.360001,3667700,55.74987
"184",63.330002,63.689999,63.060001,63.189999,5959000,55.600288
"185",63.119999,63.599998,62.810001,62.93,3497900,55.371513
"186",62.779999,63.150002,62.57,62.950001,4674200,55.389111
"187",62.790001,63.459999,62.59,63.009998,5842500,55.441902
"188",63.16,63.75,63.060001,63.740002,5404300,56.084225
"189",63.799999,64.779999,63.639999,64.559998,5991700,56.80574
"190",64.410004,64.790001,64.169998,64.290001,5056200,56.568172
"191",64.470001,64.790001,64.379997,64.739998,4583800,56.964115
"192",64.220001,64.339996,63.73,63.799999,6091800,56.477242
"193",63.889999,65.029999,63.830002,64.809998,6161400,57.371311
"194",64.760002,64.860001,64.080002,64.150002,3267700,56.787071
"195",64.239998,65.260002,64.160004,65.129997,5008500,57.654587
"196",65.129997,65.5,64.93,65.110001,3875600,57.63689
"197",65.150002,65.730003,64.900002,65.349998,5339700,57.849342
"198",65.510002,66.099998,65.139999,65.290001,6209100,57.796227
"199",64.540001,65.040001,63.310001,63.650002,6692600,56.344463
"200",63.630001,64.370003,63.41,64.18,5030800,56.813633
"201",64.25,64.699997,63.549999,63.700001,5594900,56.388725
"202",63.82,64.690002,63.68,64.669998,4918800,57.247383
"203",64.790001,64.989998,64.209999,64.419998,5227400,57.026081
"204",64.620003,64.690002,63.689999,63.75,5990200,56.432987
"205",63.75,64.050003,63.360001,63.650002,6197600,56.344463
"206",63.459999,64.559998,63.41,64,6202900,56.654293
"207",62.509998,63.25,60.400002,60.950001,13116300,53.954361
"208",60.98,61.689999,59.790001,59.939999,9539900,53.060284
"209",61.09,61.529999,60.279999,60.84,8443700,53.856987
"210",60.939999,61.900002,60.68,61.66,8234200,54.582863
"211",61.860001,62.349998,61.490002,62.16,4713300,55.025478
"212",62.150002,62.869999,61.73,62.23,4058200,55.087448
"213",62.080002,62.25,61.799999,62.220001,3327100,55.078594
"214",62.240002,62.27,61.279999,61.68,4222600,54.600571
"215",61.580002,62.43,61.450001,61.91,4047200,54.804176
"216",61.630001,62.82,61.630001,62.580002,4535400,55.397274
"217",62.209999,62.349998,61.759998,61.990002,3671400,54.874992
"218",61.75,61.75,60.34,60.860001,5592100,53.874691
"219",60.700001,61.209999,60.5,60.990002,4222600,53.98978
"220",60.959999,61.650002,60.669998,61.25,3986900,54.219925
"221",61.259998,61.279999,60.529999,61.07,3349200,54.060585
"222",61.25,61.970001,61.009998,61.869999,4286200,54.768753
"223",61.560001,61.900002,60.990002,61.32,4147900,54.281895
"224",61.169998,61.220001,60.150002,60.799999,4902700,53.821575
"225",61.200001,61.740002,60.98,61.240002,3968000,54.211079
"226",61.279999,61.77,61,61.139999,3192200,54.122559
"227",61.150002,61.610001,61.029999,61.43,1985700,54.379265
"228",61.529999,61.84,61.34,61.610001,3032600,54.538609
"229",61.720001,62.959999,61.610001,62.52,8515700,55.344166
"230",62.43,63.389999,61.900002,62.900002,5064200,55.680538
"231",63.09,63.799999,62.529999,63.189999,8050700,55.93726
"232",63.16,63.619999,62.439999,63.240002,4186200,55.981525
"233",63.169998,63.869999,62.439999,62.470001,4893900,55.299892
"234",62.66,63,61.630001,62.02,4828800,54.901543
"235",62.09,62.290001,60.830002,60.970001,4758700,53.972069
"236",60.959999,61.889999,60.959999,61.84,5140500,54.74221
"237",61.82,62.720001,61.68,62.419998,5310000,55.255638
"238",62.220001,63.41,62.09,63.02,4502900,55.78677
"239",63.189999,63.650002,63.189999,63.279999,4832400,56.016926
"240",63.139999,63.970001,63,63.470001,4352400,56.18512
"241",63.48,63.52,61.720001,62.130001,5507900,54.99892
"242",62.57,62.84,61.970001,62.41,8856800,55.24678
"243",62.580002,62.75,62.18,62.400002,5608900,55.237934
"244",62.639999,62.759998,61.52,61.560001,5546000,54.494347
"245",61.57,61.75,60.59,61.200001,6980300,54.175659
