"","WAB.Open","WAB.High","WAB.Low","WAB.Close","WAB.Volume","WAB.Adjusted"
"345",93.220001,95.160004,93.220001,94.57,689600,92.541183
"346",94.419998,94.949997,93.620003,94.150002,594100,92.130203
"347",94.349998,95.389999,94.349998,95.190002,412200,93.147881
"348",95.279999,100.279999,95,98.550003,3241100,96.435814
"349",99.050003,99.790001,97.300003,97.470001,1222000,95.378967
"350",96.900002,97.059998,95.209999,96.660004,770500,94.586372
"351",96.440002,97.440002,96.260002,97,451600,94.91906
"352",96.309998,98.529999,96.309998,97.339996,561100,95.251762
"353",97.230003,97.550003,96.040001,96.860001,707600,94.782066
"354",97.419998,98.970001,97.239998,98.370003,705100,96.259674
"355",98.410004,98.459999,96.849998,97.510002,696400,95.418106
"356",98.559998,100.040001,98.040001,99.910004,848000,97.766632
"357",100.160004,100.959999,98.779999,99.059998,593900,96.934853
"358",99.199997,100.089996,98.739998,100.019997,724800,97.87426
"359",100.5,101.900002,100.199997,101.589996,716100,99.410576
"360",101.68,102.110001,101.010002,101.879997,418400,99.694351
"361",101.949997,102.989998,101.720001,102.690002,825000,100.486992
"362",102.610001,102.980003,101.830002,102.790001,353500,100.584831
"363",102.639999,104.209999,102.349998,102.970001,447400,100.760971
"364",103.010002,103.120003,100.910004,101.029999,698500,98.862602
"365",101.25,102.110001,100.900002,102.010002,500300,99.821587
"366",101.089996,102.889999,100.480003,102.470001,843200,100.271683
"367",101.730003,103.040001,101.019997,102.599998,522300,100.398903
"368",101.389999,102.349998,100.919998,102.029999,671900,99.841156
"369",102.43,102.769997,102.010002,102.610001,516600,100.408707
"370",102.349998,102.839996,100.139999,100.43,553300,98.275475
"371",101.309998,101.82,100.169998,100.699997,904700,98.53968
"372",100.410004,100.489998,98.120003,98.669998,812500,96.553215
"373",99.089996,99.32,98.209999,98.410004,525800,96.298813
"374",99.029999,100.190002,98.349998,98.400002,759600,96.28904
"375",98.209999,98.980003,97.470001,98.150002,746600,96.044373
"376",98.279999,99.529999,97.779999,98.580002,949800,96.465172
"377",98.129997,99.510002,97.389999,99.139999,580000,97.013145
"378",99.660004,100.330002,99.07,99.290001,209600,97.159935
"379",100.290001,100.330002,98.82,99.800003,811300,97.658997
"380",99.709999,100.68,99.550003,100.099998,566200,97.952545
"381",100.730003,102.07,100.470001,101.660004,768700,99.479088
"382",101.580002,102.279999,100.82,101.870003,835800,99.684586
"383",100.760002,102.339996,100.57,102.18,581100,99.987923
"384",102.809998,103.760002,101.330002,103.68,722000,101.45575
"385",103.550003,105.099998,103.550003,104.07,696600,101.837387
"386",104.389999,104.489998,102.739998,102.75,610200,100.545692
"387",102.589996,103.230003,101.93,102.389999,613800,100.193428
"388",102.68,103.900002,102.040001,103.849998,716300,101.622101
"389",103.260002,105.040001,103.260002,104.790001,827700,102.541924
"390",104.919998,105.449997,104.110001,104.720001,697200,102.47345
"391",104.139999,105.290001,103.230003,105.290001,1269100,103.031219
"392",104.089996,107.190002,102.550003,107.050003,1658100,104.753456
"393",107.410004,109.82,107.410004,109.669998,1525200,107.317245
"394",109.639999,111.730003,108.779999,108.879997,1890500,106.544182
"395",109.440002,109.440002,107.010002,108.360001,901600,106.035347
"396",108.889999,110.660004,108.519997,108.900002,998800,106.563766
"397",109.43,111.379997,109.400002,110.32,1001100,107.953293
"398",109.75,110.779999,107.839996,110.620003,702900,108.246872
"399",109.879997,112.400002,109.720001,112.050003,576700,109.646194
"400",111.919998,113.379997,111.620003,113.220001,573600,110.791092
"401",113.5,114.529999,112.75,113.540001,626800,111.10421
"402",114.07,114.849998,113.470001,113.739998,574500,111.299927
"403",113.849998,114.139999,113,113.010002,649300,110.585602
"404",113.029999,113.559998,111.449997,111.5,537900,109.223953
"405",111.029999,111.5,110.290001,110.5,552000,108.244377
"406",111.459999,113.43,110.769997,111.18,1486200,108.9105
"407",111.190002,112.5,111.190002,111.660004,721200,109.380699
"408",110.889999,111.480003,108.779999,109.669998,754600,107.431313
"409",110.220001,111.290001,109.839996,110.620003,556400,108.361931
"410",109.379997,110.510002,107.730003,109.970001,719300,107.725197
"411",110.089996,110.459999,109.739998,110.220001,513900,107.970093
"412",110.5,110.75,110.330002,110.410004,774400,108.156227
"413",110.169998,110.589996,109.669998,110.099998,451600,107.852531
"414",109.959999,109.959999,108.68,108.82,385700,106.598679
"415",109.040001,109.529999,108.57,109.239998,662200,107.010086
"416",109.639999,110.760002,109.639999,110.540001,489600,108.283562
"417",110.919998,110.919998,109.989998,110.059998,529300,107.813362
"418",110.510002,110.510002,108.989998,108.989998,529600,106.765198
"419",108.519997,109.160004,108.129997,108.5,521700,106.28521
"420",108,108.620003,107.43,108.32,475600,106.108887
"421",108.529999,109.849998,108.139999,109.57,758100,107.333366
"422",109.809998,112.589996,109.68,112.57,967300,110.272125
"423",112.57,113.260002,112.080002,113,787800,110.693344
"424",112.739998,114.690002,112.419998,114.510002,718000,112.172516
"425",114.879997,115.400002,112.449997,112.610001,822300,110.31131
"426",111.919998,113.720001,110.589996,113.720001,697000,111.398643
"427",113.629997,114.07,112.279999,112.870003,510700,110.566002
"428",113.239998,113.239998,111.599998,112.120003,443100,109.831314
"429",111.82,112,96.559998,98.209999,6583800,96.205269
"430",100.07,105.290001,99.32,105.099998,2447600,102.95462
"431",105.529999,106.5,103.559998,105.379997,1732800,103.228882
"432",106,106,104.809998,105.370003,1303700,103.219109
"433",105.779999,106.550003,104.57,105.360001,715700,103.209312
"434",105.040001,106.389999,104.349998,104.93,1088900,102.788078
"435",104.489998,105.75,104.370003,105.620003,727500,103.463989
"436",106.32,107.099998,105.989998,106.730003,677500,104.551338
"437",106.379997,107.660004,105.900002,106.669998,1075500,104.492554
"438",106.690002,108.260002,106.029999,106.889999,780000,104.708069
"439",106.730003,107.279999,104.849998,104.879997,585600,102.739113
"440",105.75,107.019997,103.400002,103.980003,637300,101.857475
"441",103.769997,105.080002,102.760002,103.690002,497100,101.573387
