"","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"194",185.384613,185.769226,178.846161,180.230774,18239364,172.099655
"195",182.307693,183.538467,179.384613,179.692307,10474243,171.58551
"196",177.92308,179,176.153839,177.461533,10552477,169.455353
"197",177.307693,177.615387,175.615387,177.307693,7793331,169.308472
"198",178.07692,178.692307,176.615387,176.769226,5250934,168.794281
"199",176.846161,180.615387,176.384613,179.692307,6468514,171.58551
"200",178.615387,178.846161,176.92308,178.384613,7623083,170.336792
"201",178.461533,179.07692,177.461533,177.846161,4546191,169.822632
"202",178,182.92308,177.307693,181.384613,9824633,173.201447
"203",170.307693,183.384613,170,183.307693,25012572,175.037735
"204",180.307693,180.307693,170.615387,171.692307,24354317,163.946365
"205",170.153839,171.615387,167.307693,168.384613,17370067,160.787964
"206",168,168.384613,163.846161,165.384613,14367366,157.923294
"207",165.92308,166.538467,163.07692,164,11216881,156.60112
"208",163.538467,163.846161,158.769226,159.92308,12809498,152.708145
"209",158.615387,159.384613,155.846161,157,12790115,149.916946
"210",155.846161,156.92308,154.230774,155.07692,12740923,148.080627
"211",154.384613,157.846161,153.538467,154,11922872,147.052277
"212",154.230774,154.461533,151,153.384613,10599121,146.464645
"213",153.230774,156.384613,152.769226,154.92308,8821930,147.933716
"214",157.846161,157.92308,154.461533,154.846161,7888335,147.86026
"215",155.153839,155.769226,154.769226,155.461533,5415956,148.447891
"216",155.461533,156.307693,154.384613,154.769226,5158725,147.786819
"217",154.153839,154.384613,152.692307,153.769226,6610565,146.831924
"218",153.692307,159.07692,153.07692,157.615387,13095277,150.504547
"219",155.846161,159.615387,144.230774,146.307693,34002462,139.706985
"220",144.538467,145.230774,134.307693,137.692307,40632384,131.480301
"221",134.692307,141.384613,134.615387,140.461533,18767840,134.124588
"222",142.153839,142.153839,138.846161,140.384613,11618958,134.051163
"223",141.07692,142.07692,140.07692,140.07692,7859436,133.757324
"224",138.07692,139.461533,137.153839,138.307693,8311433,132.067947
"225",138.07692,139,136.153839,137.153839,10129457,130.966125
"226",139.615387,140.384613,137.230774,139.615387,7130084,133.31662
"227",141.384613,141.384613,139.615387,139.92308,3236701,133.610443
"228",141.07692,142.307693,139.153839,139.384613,10250812,133.096283
"229",139.769226,141.846161,138.92308,141.615387,7295002,135.226425
"230",141.92308,142.615387,140.846161,142.153839,7170735,135.740585
"231",142.769226,143,139.846161,140.692307,8847202,134.344971
"232",140.615387,140.615387,137.384613,137.538467,10663588,131.33342
"233",138.461533,138.92308,137.538467,138.07692,8885227,131.847565
"234",136.769226,138.538467,135.92308,136.615387,8555937,130.451965
"235",135.461533,137.230774,135.384613,135.846161,5708768,129.717453
"236",137,138.92308,135.615387,136.230774,7226011,130.084717
"237",136.307693,137.07692,135.846161,136.230774,7077655,130.084717
"238",135.461533,136.846161,134.846161,135.769226,7562256,129.643982
"239",138.07692,138.769226,135.769226,137.769226,8688212,131.553741
"240",137.846161,138.384613,136.615387,136.615387,5473585,130.451965
"241",136.692307,137.07692,135.692307,135.692307,6310954,129.570526
"242",136.769226,137.153839,135.846161,137.07692,11489647,130.8927
"243",137.461533,138.846161,136.538467,136.615387,7008742,130.451965
"244",136.692307,136.92308,135,135.307693,8514493,129.203278
"245",135.615387,135.769226,133.538467,134.230774,9797450,128.174942
"246",134.307693,136.07692,134.153839,134.384613,8824101,128.321854
"247",134.692307,135.07692,133.846161,134.615387,6028152,128.542206
"248",134.230774,135.846161,133.846161,134.07692,7193927,128.911987
"249",134.307693,135.615387,133.153839,133.692307,7816471,128.542221
"250",133.461533,133.846161,132.692307,133.538467,7921537,128.394287
"251",132.846161,134.846161,132.846161,134.230774,9899435,129.059921
"252",135.230774,138.384613,134.846161,138.307693,10084139,132.979813
"253",140.769226,141.07692,138.692307,139.615387,10591399,134.237106
"254",141.384613,143.230774,140.769226,142.538467,10732085,137.047607
"255",145.07692,145.153839,142.307693,142.615387,10384361,137.121536
"256",143.615387,143.846161,139.230774,140.615387,10672688,135.198578
"257",141,143.538467,139.307693,142.769226,8632026,137.26944
"258",143,146.615387,142.92308,145.615387,10701886,140.005997
"259",147.92308,149.153839,146.153839,146.307693,12964328,140.671616
"260",147.07692,147.307693,143.846161,144.307693,11319971,138.748703
"261",140.92308,142.384613,138.153839,140.07692,26735410,134.680847
"262",135.769226,136.153839,132.769226,133.461533,24379836,128.320297
"263",133.846161,134.461533,128.92308,129,22394242,124.03064
"264",128.07692,128.692307,123.230766,125.07692,27943136,120.258698
"265",122.307693,125.615387,121.53846,124.384613,17447599,119.593063
"266",125.384613,131,125.153847,129.92308,16020745,124.918175
"267",130.769226,133.538467,125,126.46154,21712301,121.589973
"268",126.92308,127.846153,124.07692,124.46154,12357423,119.667046
"269",124.07692,124.307693,122.53846,124.07692,11815518,119.297234
"270",123.230766,126.384613,122.846153,125.230766,9637485,120.406624
