"","CBOE.Open","CBOE.High","CBOE.Low","CBOE.Close","CBOE.Volume","CBOE.Adjusted"
"868",98.260002,101.550003,97.260002,101.099998,569600,101.099998
"869",102.82,103.279999,100.160004,101.449997,598000,101.449997
"870",102.32,102.870003,99.910004,101.040001,583900,101.040001
"871",100.32,102.269997,99.949997,100.25,395500,100.25
"872",102.480003,102.489998,98.699997,98.75,873800,98.75
"873",98.620003,100.290001,98.099998,100.050003,583800,100.050003
"874",97.900002,98.510002,95.68,95.760002,1040300,95.760002
"875",94.779999,96.239998,93.650002,93.760002,889800,93.760002
"876",93.82,95.239998,93.019997,95.089996,770500,95.089996
"877",94.019997,94.129997,91.25,91.510002,1363000,91.510002
"878",92.809998,93.900002,91.260002,92.809998,862300,92.809998
"879",91.959999,93.379997,90.860001,93.279999,1048400,93.279999
"880",93.449997,97.389999,93.089996,96.459999,1077900,96.459999
"881",97.790001,97.790001,94.220001,95.089996,658100,95.089996
"882",96.489998,96.620003,94.839996,95,540900,95
"883",93.120003,94.480003,92.589996,93.709999,590800,93.709999
"884",93.360001,93.82,92.290001,93.010002,779000,93.010002
"885",92.980003,93.080002,89.669998,90.190002,1097600,90.190002
"886",90.349998,91.839996,90.120003,91.550003,828800,91.550003
"887",92.489998,93.779999,91.029999,91.489998,507300,91.489998
"888",91.760002,92.099998,89.980003,90.610001,706000,90.610001
"889",91.879997,94.129997,91.330002,94.040001,615500,94.040001
"890",94.480003,94.480003,91.82,92.910004,378300,92.910004
"891",93.279999,93.790001,92.080002,92.660004,410100,92.660004
"892",92.68,94.93,92.010002,93.32,674100,93.32
"893",95,95.019997,92.739998,93.120003,684300,93.120003
"894",93.550003,93.550003,90.910004,91.650002,836800,91.650002
"895",91.489998,92.790001,90.580002,91.209999,868000,91.209999
"896",90.449997,91.139999,88.959999,89.459999,722500,89.459999
"897",89.339996,90,87.220001,87.330002,771800,87.330002
"898",87.779999,89.459999,87.300003,87.43,698800,87.43
"899",87.639999,89.5,86.739998,89.139999,569900,89.139999
"900",87.800003,89.330002,86.889999,86.889999,911600,86.889999
"901",87.389999,87.879997,85.540001,87.699997,1113800,87.699997
"902",86.919998,88.290001,85.150002,86.330002,862900,86.330002
"903",87.139999,88.199997,85.580002,85.580002,872400,85.580002
"904",86.349998,87.959999,85.25,86.669998,1061400,86.669998
"905",86.540001,88.260002,85,85,931900,85
"906",85.160004,88.389999,85,88.059998,883500,88.059998
"907",87.910004,87.940002,85.540001,85.540001,1063800,85.540001
"908",86.470001,88.910004,86.349998,88.82,878000,88.82
"909",88.519997,89.57,86.82,86.82,751700,86.82
"910",87.059998,87.519997,86.139999,86.239998,397100,86.239998
"911",86.110001,88.260002,86.07,88.260002,616900,88.260002
"912",88.599998,90.260002,88.010002,89.82,774000,89.82
"913",89.970001,90.699997,89.160004,90.18,719700,90.18
"914",90.760002,91,88.910004,89.019997,780700,89.019997
"915",88.660004,90.309998,88.580002,89.620003,554700,89.620003
"916",89.050003,92.379997,89.010002,91.639999,1147400,91.639999
"917",92.489998,93.300003,91.540001,92.690002,717400,92.690002
"918",92.879997,92.959999,90.120003,90.599998,1066400,90.599998
"919",90.059998,94.269997,89.599998,91.230003,896800,91.230003
"920",90.580002,92.910004,90.580002,92.410004,687000,92.410004
"921",93.330002,93.330002,91.43,91.75,639100,91.75
"922",92.519997,92.68,89.949997,91.790001,886500,91.790001
"923",91.199997,91.199997,88.220001,90.07,736900,90.07
"924",89.720001,91.139999,88.010002,88.470001,823700,88.470001
"925",88.959999,90.470001,88.599998,89.800003,868200,89.800003
"926",89.610001,92.160004,89.07,91.029999,970100,91.029999
"927",90.349998,90.730003,87.669998,89.669998,1034300,89.669998
"928",90.019997,91.480003,89.18,89.949997,741300,89.949997
"929",90.029999,90.800003,87.07,87.089996,1037200,87.089996
"930",87.650002,88.900002,87.290001,88.849998,949000,88.849998
"931",89.43,90.529999,88.629997,89.940002,639800,89.940002
"932",89.43,90.879997,89.010002,89.610001,546500,89.610001
"933",89.699997,91.099998,89.650002,90.559998,748600,90.559998
"934",90.059998,91.459999,88.739998,88.940002,587300,88.940002
"935",88.709999,90.849998,87.629997,90.849998,1647600,90.849998
"936",90.300003,90.849998,89.139999,90,1124600,90
"937",89.629997,90.610001,88.959999,89.839996,898100,89.839996
"938",89.080002,91.650002,88.010002,89.07,1672700,89.07
"939",88.43,90.080002,88.040001,89.300003,574100,89.300003
"940",88.629997,89.730003,88.339996,89.699997,452100,89.699997
"941",90.480003,91.57,88.839996,89,519800,89
"942",89.260002,90.57,83.790001,86.889999,1329300,86.889999
"943",87.68,88.919998,86.660004,87.739998,879200,87.739998
"944",88.5,88.949997,87.160004,88.589996,613200,88.589996
"945",87.290001,88.239998,86.779999,87.489998,547900,87.489998
"946",89.230003,89.370003,87.730003,87.830002,753000,87.830002
"947",88.150002,88.699997,86.32,86.839996,658900,86.839996
"948",87.760002,88,84.349998,84.889999,915000,84.889999
"949",85.879997,86.379997,84.849998,85.029999,1007100,85.029999
"950",85.889999,85.889999,84.779999,85.360001,770100,85.360001
"951",85.400002,85.610001,84.029999,84.480003,719400,84.480003
"952",84.220001,84.459999,83.699997,84.209999,862900,84.209999
"953",84.370003,84.849998,83.830002,84.580002,1235100,84.580002
"954",83.580002,84.489998,83.580002,83.75,1117100,83.75
"955",85.300003,85.300003,83.580002,83.900002,1334000,83.900002
"956",84.349998,84.349998,81.970001,81.989998,732200,81.989998
"957",82.019997,82.150002,81,81.730003,1431200,81.730003
"958",81.279999,81.769997,80.099998,80.099998,1045100,80.099998
"959",80.440002,81.519997,79.900002,80.739998,1279900,80.739998
"960",81.220001,82.099998,80.5,81.720001,1947800,81.720001
"961",81,81.699997,79.800003,80.629997,670000,80.629997
"962",80.470001,81.980003,80.260002,81.300003,730600,81.300003
"963",80.120003,80.720001,78.040001,78.470001,1000900,78.470001
"964",78.230003,79.720001,77.629997,79.220001,681600,79.220001
"965",80,83.169998,79.809998,81.290001,1162200,81.290001
"966",82,84.879997,82,83.370003,827900,83.370003
"967",85,86.809998,84.599998,86.739998,1033500,86.739998
"968",85.940002,88.440002,85.940002,87,1048900,87
"969",87.480003,88.160004,82.5,83.050003,1064700,83.050003
"970",83.300003,85.040001,82.550003,84.650002,638500,84.650002
"971",87.699997,89.660004,86.760002,87.199997,1024000,87.199997
"972",87.099998,87.980003,85.400002,86.040001,891500,86.040001
"973",86.519997,88.25,85.269997,88.07,770700,88.07
"974",87.650002,87.959999,85.160004,86.18,454800,86.18
"975",87.129997,87.970001,86.699997,87.650002,459900,87.650002
"976",88.330002,89.540001,87.25,88.230003,632500,88.230003
"977",87.919998,87.919998,86.470001,86.800003,536200,86.800003
"978",87.199997,88.790001,86.529999,88.660004,696900,88.660004
"979",88.900002,90.849998,87.459999,89.910004,729900,89.910004
"980",89.620003,90.730003,88.699997,89.940002,892000,89.940002
"981",90.089996,92.589996,89.540001,92.589996,768200,92.589996
"982",92.739998,94.519997,91.139999,92.019997,1452900,92.019997
"983",91.540001,91.940002,89.470001,91.809998,918500,91.809998
"984",91.800003,92.68,91.169998,91.709999,453800,91.709999
"985",91.620003,91.739998,88.910004,91.32,992900,91.32
"986",91.709999,93.449997,91.370003,93.449997,847700,93.449997
"987",92.790001,93.760002,92.209999,93.730003,860200,93.730003
"988",93.43,93.559998,91.099998,93.190002,866200,93.190002
"989",93.209999,94,91.769997,93.160004,1035300,93.160004
"990",92.300003,93.769997,92.089996,93.519997,541300,93.519997
"991",92.910004,93.330002,91.360001,91.360001,646100,91.360001
"992",91.779999,92.360001,87.889999,88.879997,1109500,88.879997
"993",87.93,89.059998,86.620003,86.940002,891800,86.940002
"994",86.269997,86.900002,84.650002,85.970001,990600,85.970001
