"","FANG.Open","FANG.High","FANG.Low","FANG.Close","FANG.Volume","FANG.Adjusted"
"158",87.5,88.769997,85.809998,86.099998,1396900,80.548424
"159",86.459999,88.360001,85.730003,87.260002,1345700,81.633629
"160",87,87.690002,86.43,87.080002,761000,81.465248
"161",87.790001,88.160004,87.129997,87.43,634100,81.792679
"162",87.230003,89.790001,86.860001,88.860001,773400,83.13047
"163",88.739998,89.349998,87.699997,89.120003,728000,83.373718
"164",89.379997,89.550003,88.480003,88.739998,413600,83.018211
"165",88.639999,88.639999,86.519997,88.029999,614000,82.353996
"166",87.870003,88.669998,86.620003,88.169998,758300,82.484962
"167",88.089996,89.300003,87.010002,88.470001,595000,82.765625
"168",89.089996,91.120003,88.470001,90.790001,1300400,84.936028
"169",91.07,92.07,90.260002,91.919998,1434900,85.993164
"170",92.68,93.919998,91.18,91.739998,808900,85.824783
"171",92.650002,93.519997,92.040001,92.660004,1025300,86.685463
"172",92.25,92.25,90.010002,91.620003,779200,85.712509
"173",91.050003,91.050003,87.839996,88.900002,1123500,83.167908
"174",88.919998,89.830002,88.339996,89.449997,993100,83.682426
"175",89.379997,91.650002,89.379997,90.410004,1058400,84.580544
"176",90.879997,94,90.879997,93.489998,1131400,87.461945
"177",93.709999,95.75,93.43,93.809998,1431300,87.761322
"178",93.809998,94.639999,93.160004,93.970001,1054200,87.910988
"179",93.239998,95.669998,93.239998,95.150002,1282900,89.014915
"180",95.25,95.889999,94.040001,94.279999,1150700,88.200996
"181",94.739998,97.629997,94.349998,97.32,1396800,91.045006
"182",96.910004,97.800003,96.139999,97.360001,1014100,91.082413
"183",96.5,96.889999,95.260002,95.739998,1343800,89.566872
"184",96.400002,97.449997,96.160004,96.779999,1406900,90.539803
"185",96.419998,97.790001,96.050003,97.150002,896200,90.885956
"186",96.779999,97.519997,96.080002,96.879997,1230700,90.633377
"187",96.860001,98.360001,96.589996,97.139999,1559400,90.876602
"188",96.769997,98.330002,96.459999,97.959999,1443400,91.643707
"189",96.980003,100.349998,95.690002,100,1429900,93.552185
"190",100.150002,102.5,99.910004,100.080002,1807300,93.627052
"191",100.760002,101.480003,99.459999,100.75,1367700,94.25383
"192",100.760002,101.050003,99.650002,99.75,1060000,93.318298
"193",99.269997,99.290001,97.809998,99.089996,701400,92.700859
"194",99.68,99.989998,98.870003,99.940002,486500,93.496063
"195",101,101.639999,100.519997,100.760002,529600,94.263184
"196",101.260002,101.709999,100.139999,101.519997,922000,94.974174
"197",100.93,101.739998,99.610001,101.120003,934800,94.599968
"198",101.989998,102.489998,100.940002,101.370003,834600,94.833862
"199",102.400002,103.43,101.989998,102.599998,1040500,95.98455
"200",102.540001,103.019997,101.480003,102.610001,755300,95.993896
"201",102.269997,103.599998,101.959999,102.190002,784500,95.600983
"202",101.790001,102.209999,100.830002,101.589996,816000,95.039658
"203",101.599998,102.709999,101.160004,102.529999,577100,95.91906
"204",102.57,102.75,100.18,100.349998,646100,93.879601
"205",100.410004,101.330002,98.57,99.669998,1083500,93.243462
"206",100,100.949997,99.040001,100.889999,707100,94.384804
"207",101,101.970001,99.639999,100.879997,764100,94.375443
"208",100.620003,105.029999,100.5,104.57,1115400,97.827522
"209",105.150002,106.779999,104.75,106.199997,966500,99.352402
"210",106.029999,107.559998,105.559998,107.160004,1041000,100.250534
"211",108.230003,111.709999,108.139999,109.779999,1350900,102.701569
"212",109.370003,109.940002,108.349998,108.970001,617400,101.943802
"213",109.309998,111.720001,108.699997,111.150002,786900,103.983261
"214",111.559998,113.75,110.559998,113.690002,1623100,106.359482
"215",114.82,114.93,111.150002,111.800003,2018200,104.591347
"216",111.260002,111.279999,107.900002,110.040001,2246300,102.944832
"217",108.860001,111.169998,108.739998,111.029999,1418100,103.870979
"218",110.489998,112.57,110.489998,111.860001,1001800,104.647469
"219",111.349998,112.410004,110.169998,110.970001,1041400,103.814865
"220",110.110001,110.889999,108.110001,108.269997,1149600,101.288948
"221",107.019997,107.510002,105.790001,106.620003,1501200,99.745346
"222",106.989998,107.940002,106.050003,106.529999,878700,99.661156
"223",106.389999,107.739998,106.019997,107.540001,1148500,100.606033
"224",107.580002,108.830002,106.260002,107.970001,881400,101.008308
"225",108.830002,109.529999,108,109.150002,1076600,102.112221
"226",110.010002,110.440002,109.029999,109.25,846700,102.20578
"227",109.870003,110.910004,109.620003,110.300003,262100,103.188072
"228",110.239998,110.330002,106.919998,107.260002,974500,100.344078
"229",107.43,108.470001,106.910004,108.230003,567900,101.251518
"230",108.489998,109.400002,107.019997,108.150002,528100,101.176697
"231",108.75,111.309998,108.150002,109.309998,905700,102.261909
"232",110.160004,113.120003,109.5,110.910004,995300,103.758743
"233",111.260002,112.099998,108.849998,109.019997,643000,101.990593
"234",108.379997,110.25,108.089996,109.059998,670500,102.028008
"235",108.470001,108.93,105.970001,106.330002,1027600,99.47406
"236",106.5,109.040001,106.110001,108.949997,727500,101.925102
"237",110,110.940002,109.68,110.769997,715900,103.627747
"238",110.889999,112.57,110.5,111.300003,905700,104.123581
"239",111.550003,112.25,110.599998,111.529999,604800,104.338768
"240",111.949997,112.540001,111.010002,111.589996,782100,104.394897
"241",111.190002,112.599998,110.660004,111.029999,827200,103.870979
"242",111.32,111.889999,109.339996,109.519997,1045300,102.458359
"243",110.010002,111,108.919998,109.650002,858300,102.579979
"244",109.790001,112,109.470001,111.809998,983100,104.6007
