"","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted"
"307",179.919998,180.75,176,176.080002,3553000,157.877243
"308",176.570007,179.179993,169.350006,169.429993,4529600,151.914688
"309",172.779999,175.869995,170.110001,175.190002,4217100,157.079224
"310",176.160004,176.360001,169.820007,171.149994,3963100,153.456894
"311",171.350006,172.5,168.020004,170.460007,4545900,152.838226
"312",170.990005,172.240005,169.639999,170.479996,3769800,152.85614
"313",169.919998,170.580002,163.309998,166.050003,4759800,148.884109
"314",166.970001,169.220001,165.080002,168.220001,3374000,150.829773
"315",166.169998,174.270004,165.880005,173.520004,3796700,155.581848
"316",174,174.429993,170.990005,172,2766600,154.218994
"317",170.860001,171.720001,166.199997,168.139999,3747800,150.758011
"318",169.199997,172.949997,167.990005,169.619995,3856800,152.085052
"319",170.889999,173.880005,170.110001,173.130005,2872300,155.232162
"320",171.800003,174.070007,171.600006,172.410004,2575900,154.586639
"321",172.679993,174.110001,170.960007,171.020004,3471400,153.340347
"322",172.110001,172.429993,170.789993,171.479996,2656400,153.752762
"323",172.75,173.130005,171.070007,171.380005,2656400,153.663116
"324",173,175.630005,171.580002,174.880005,3283900,156.8013
"325",174.610001,176.160004,174.440002,175.110001,2205600,157.007492
"326",174.470001,175.399994,171.789993,172.929993,2269400,155.052872
"327",173.100006,173.470001,170.570007,171.559998,2958600,153.824509
"328",171.619995,176.970001,171.25,174.660004,3568700,156.604019
"329",175.550003,175.759995,170.529999,171.940002,4389400,154.165222
"330",173.660004,175.440002,170.339996,174.830002,4693800,156.75647
"331",175.419998,176.679993,171.789993,175.369995,3682400,157.240646
"332",174.919998,177.919998,174.860001,177.460007,2424800,159.114563
"333",177.910004,178.740005,174.350006,174.479996,3608700,156.442657
"334",172.149994,173.990005,167.979996,169.279999,4799400,151.780197
"335",169.300003,171.070007,168.300003,169.429993,4085700,151.914688
"336",169.279999,170.339996,166.050003,166.389999,4152900,149.18898
"337",165.960007,169.5,165.220001,167.979996,3430000,150.614578
"338",168.580002,169.929993,167.5,168.059998,3175800,150.686325
"339",168.809998,170.5,167.5,168.490005,3937700,151.071899
"340",168.699997,170.529999,167.089996,169.639999,2861400,152.102982
"341",170.259995,171.490005,169.360001,170.770004,2947100,153.116196
"342",170.380005,174.350006,170.029999,173.889999,3740500,155.913605
"343",174.100006,177.800003,173.039993,175.960007,3370600,157.769653
"344",174.809998,175.309998,171.100006,172.339996,4491700,154.523865
"345",171.350006,174.580002,170.619995,173.800003,2494200,157.035721
"346",173.309998,175.429993,172.529999,174.649994,2268400,157.803726
"347",176.509995,177.339996,174.690002,176.300003,3377200,159.294571
"348",177.119995,177.940002,175.899994,176.470001,2557200,159.448166
"349",176.710007,179.570007,176.509995,178.360001,2742700,161.155869
"350",177.119995,179.990005,176.660004,179.940002,2242000,162.583466
"351",180,180.259995,176.990005,177.960007,2386100,160.794449
"352",177.960007,179.080002,177.600006,178.240005,1812000,161.04744
"353",176.990005,178.380005,175.770004,177.440002,2382000,160.3246
"354",178.289993,181.779999,178.009995,180.240005,3419200,162.854553
"355",180.309998,180.949997,178.380005,179.619995,5247200,162.294327
"356",180.75,184.770004,180.360001,183.570007,2892800,165.863312
"357",183.179993,185.970001,182.830002,185.440002,2298800,167.552948
"358",182.800003,184.710007,179.789993,181.729996,3980800,164.200821
"359",182.009995,184.149994,180.869995,183.550003,2213100,165.84523
"360",183.470001,184.050003,182.509995,183.300003,2729600,165.61937
"361",183.889999,185.649994,183.600006,184.300003,2865000,166.522919
"362",184.139999,184.820007,182.929993,184.610001,2409400,166.803024
"363",184.270004,185.119995,183.410004,185.070007,2045300,167.218658
"364",185.360001,186.570007,183.449997,183.679993,2243900,165.962708
"365",184.089996,186.070007,182.699997,185.789993,2289600,167.869202
"366",186.470001,186.740005,184.020004,185.009995,6474500,167.164459
"367",184.130005,184.5,182.380005,183.949997,2370700,166.20668
"368",182.830002,186.339996,182.830002,186.190002,2538500,168.230591
"369",186.25,187.509995,184.740005,186.509995,2415200,168.519714
"370",186.509995,186.509995,184.419998,185.990005,2206400,168.049927
"371",186.309998,188.089996,184.830002,185.149994,11153100,167.290909
"372",185.009995,186.690002,184.070007,185.360001,2678200,167.480667
"373",185.339996,185.949997,183.979996,184.589996,2070600,166.784912
"374",184.919998,187.360001,183.470001,183.529999,2354800,165.827164
"375",183.160004,184.580002,181.699997,183.339996,2286300,165.655518
"376",183.589996,186.050003,183.589996,184.589996,2606200,166.784912
"377",184.089996,185.460007,182.699997,185.289993,2069800,167.417404
"378",186.449997,187.399994,185.570007,185.710007,1348000,167.796951
"379",186.139999,188.169998,185.610001,187.360001,1801000,169.28775
"380",188.570007,191.490005,188.009995,191.009995,2751600,172.585648
"381",191.5,194.389999,191.169998,194.169998,3065500,175.440887
"382",194.169998,196.149994,192.539993,195.690002,2757000,176.81427
"383",194.600006,195.190002,192.520004,193.149994,2431400,174.519302
"384",194.190002,194.259995,192.559998,194.080002,2251900,175.359573
"385",194.990005,196.75,193.380005,195.910004,2232000,177.013062
"386",195.710007,196.570007,194.110001,194.880005,1824800,176.082397
"387",192.369995,194.899994,192.110001,193.919998,2567300,175.214996
"388",193.25,194,192.050003,192.800003,2215800,174.203018
"389",191.860001,192.850006,190.289993,191.759995,2539200,173.263367
"390",191.479996,191.479996,189.490005,190.490005,2252200,172.11586
"391",190.110001,190.970001,189.160004,189.970001,1767000,171.646011
"392",191.25,193.199997,190.5,191.399994,2440400,172.938065
"393",191.619995,193.460007,190.770004,193.039993,2009300,174.419861
"394",195.029999,195.589996,192.679993,194.050003,2835800,175.332443
"395",196,196.220001,189.570007,192.440002,4100200,173.877747
"396",191.5,192.210007,189.940002,190.630005,2984700,172.24234
"397",191,197.490005,190.869995,196.550003,4429300,177.591263
"398",196.330002,196.979996,194.699997,195.839996,2632800,176.949799
"399",194.639999,197.419998,192.729996,196.380005,2500400,177.437729
"400",196.270004,198.410004,196.100006,197.990005,2176200,178.89241
"401",197.440002,199.830002,196.520004,197.610001,1913800,178.549072
