"","CTXS.Open","CTXS.High","CTXS.Low","CTXS.Close","CTXS.Volume","CTXS.Adjusted"
"863",136.410004,140.539993,136.100006,139.889999,1765300,137.864014
"864",141.360001,142.369995,139.110001,140.220001,1311300,138.18924
"865",141.720001,143.589996,140.220001,141.369995,2056200,139.322586
"866",140.729996,143.369995,137.5,137.880005,1713200,135.883118
"867",139.490005,142.660004,138.830002,140.740005,1863600,138.701691
"868",140.059998,143.330002,139.130005,143.229996,1491400,141.15564
"869",143.669998,146.990005,143.600006,145.460007,1254100,143.353348
"870",145.419998,146.979996,144.509995,145.369995,964600,143.264648
"871",145.919998,146.990005,144.240005,146.729996,1364400,144.60495
"872",148,148.75,144.520004,144.600006,2929600,142.505798
"873",145.029999,145.479996,143.089996,144.839996,1019100,142.742325
"874",145.059998,145.479996,142.570007,142.720001,1121300,140.653015
"875",142.940002,144.929993,141.589996,142.169998,1285600,140.110992
"876",142.660004,143.639999,140.110001,140.889999,1298400,138.849533
"877",140.889999,144.139999,139.899994,142.770004,2984500,140.702316
"878",142.460007,145.399994,141.029999,144.820007,1492600,142.72261
"879",146.570007,148.360001,145.570007,147.910004,1145100,145.767853
"880",147.009995,149.839996,145.660004,149.380005,1058900,147.216583
"881",150,151.619995,149.270004,150.059998,1115000,147.886719
"882",151.490005,152.210007,148.910004,150.380005,1267700,148.202072
"883",150.130005,152.600006,149.820007,150.080002,984500,147.906433
"884",151.039993,151.660004,148.75,149.690002,1097500,147.522079
"885",151.289993,153.289993,150.050003,152.679993,1016500,150.468765
"886",152.869995,153.389999,150.820007,152.279999,880800,150.074554
"887",153.059998,154.5,148.990005,149.080002,1697400,146.920929
"888",147.960007,153.880005,146.75,153.669998,1852300,151.444427
"889",152.080002,154.289993,150.389999,150.820007,1556400,148.635727
"890",150.410004,152.559998,149.369995,151.869995,1246600,149.670486
"891",152.809998,156.300003,152.110001,155.830002,1267700,153.573151
"892",159.440002,167.949997,158.460007,167.729996,2306600,165.300797
"893",167,169.320007,164.100006,165.809998,2164900,163.4086
"894",168.710007,173.559998,167.050003,167.149994,2168000,164.729202
"895",153.429993,160.699997,143.919998,145.539993,7656200,143.43219
"896",145.479996,147.589996,141.169998,142.490005,3391200,140.426361
"897",143.5,144.389999,140.100006,142,2010500,139.943451
"898",142.080002,142.080002,137.529999,138.029999,2114800,136.030945
"899",138.929993,140.770004,137.669998,139.289993,1540200,137.27269
"900",138.399994,142.009995,136.929993,141.690002,1844100,139.637939
"901",142.539993,144.149994,138.179993,142.759995,2194500,140.692429
"902",142.910004,143.440002,139.309998,139.850006,2254000,137.824615
"903",138.850006,142.75,137.800003,142.639999,1467100,140.574173
"904",142.75,142.779999,140.149994,142.639999,1342100,140.574173
"905",142.289993,142.979996,140.149994,140.789993,1186300,138.750961
"906",141.029999,143.309998,140.320007,141.139999,1141100,139.095917
"907",141,141,136.009995,137.570007,1241800,135.577606
"908",138.130005,138.380005,135.360001,135.729996,1490800,133.764267
"909",135.710007,137.889999,135.449997,136.490005,860500,134.513245
"910",137,138.479996,136.419998,137.399994,972800,135.410065
"911",137.320007,138.460007,135.960007,136.350006,706300,134.37529
"912",137.100006,138.740005,136.910004,138.080002,904000,136.080215
"913",138.960007,141.119995,138.369995,140.389999,962600,138.356766
"914",139.899994,141.979996,139.070007,140.490005,898800,138.455322
"915",140.199997,141.990005,139.669998,141.509995,804000,139.460541
"916",141.300003,143.729996,140.270004,143.229996,1364800,141.15564
