"","ALB.Open","ALB.High","ALB.Low","ALB.Close","ALB.Volume","ALB.Adjusted"
"359",94.800003,95.68,93.949997,95.669998,1738000,90.614883
"360",95.639999,96.43,94.690002,95.220001,887500,90.188675
"361",95.199997,95.800003,94.639999,95.370003,1044200,90.330757
"362",95.449997,96.379997,94.629997,95.370003,815800,90.330757
"363",97.110001,97.75,95.360001,95.739998,1584600,90.681213
"364",95.830002,96.029999,94.099998,94.18,1598200,89.203636
"365",94.190002,94.970001,93.349998,93.660004,1148200,89.027794
"366",93.129997,93.620003,92.199997,93.330002,1698900,88.714111
"367",93.110001,93.139999,92.279999,92.870003,1675600,88.276855
"368",91.809998,91.870003,90.239998,91.400002,1841100,86.879562
"369",92.080002,92.629997,91.309998,91.610001,1333700,87.079178
"370",91.410004,92.559998,91.25,91.970001,1319600,87.421371
"371",92.379997,93.620003,92.160004,93.459999,1380200,88.837669
"372",93.650002,94.970001,91.290001,91.959999,1414900,87.411873
"373",92.330002,93.099998,91.889999,92.519997,1070700,87.944168
"374",93.739998,96.330002,93.269997,93.410004,1967800,88.790154
"375",93.25,93.760002,92.5,93.639999,943700,89.008781
"376",94.129997,96.949997,93.800003,94.330002,1768400,89.664658
"377",93.940002,94.790001,92.980003,93.480003,1182400,88.856689
"378",96.660004,97.82,95.879997,96.620003,1726500,91.841393
"379",96.879997,97.370003,93.300003,94.779999,1850900,90.092384
"380",94.379997,96.269997,93.839996,95.540001,1171900,90.814812
"381",95.75,96.519997,95.480003,95.980003,1003600,91.233047
"382",95.980003,96.839996,95.040001,95.809998,1124600,91.071457
"383",95,95.209999,94.099998,94.68,1173300,89.997345
"384",95.970001,96.290001,94.870003,95.349998,996500,90.634209
"385",95.5,96,94.860001,95.57,847300,90.843315
"386",95.489998,95.709999,94.669998,94.959999,2343000,90.263496
"387",94.849998,97.290001,94.5,96.970001,1103900,92.174088
"388",96.910004,97.860001,96.059998,96.739998,1394600,91.955444
"389",95.989998,96.550003,95.040001,96.209999,976000,91.451653
"390",95.660004,95.709999,93.559998,93.900002,1803800,89.25592
"391",93.739998,93.739998,90.019997,90.919998,2490600,86.423302
"392",91.839996,92.43,90.660004,90.900002,1318400,86.404297
"393",90.540001,91.93,90.309998,91.790001,1115600,87.250282
"394",91.900002,93.43,91.129997,93.059998,1209000,88.457466
"395",93.269997,94.139999,92.010002,93.260002,889900,88.647575
"396",93.260002,93.260002,91.620003,92.419998,1272200,87.849121
"397",92.629997,94.529999,92.309998,94.199997,989500,89.541084
"398",94,94.160004,90.089996,91.010002,1763100,86.50885
"399",90.650002,92.360001,90.080002,92.019997,1494900,87.468895
"400",92.260002,92.910004,91.809998,92.610001,786700,88.029724
"401",92.300003,92.93,91.879997,92.660004,1110100,88.077263
"402",93,93.730003,92.599998,92.809998,1603600,88.219826
"403",97.410004,100.489998,96.519997,98.769997,5215100,93.885056
"404",99.150002,103.110001,98.620003,100.760002,3463900,95.776634
"405",100.050003,100.800003,98.209999,98.5,1340100,93.62841
"406",98.129997,98.419998,95.550003,95.629997,2108700,90.900368
"407",95.75,97.419998,95.599998,97.330002,1152900,92.516273
"408",96.169998,96.699997,93.540001,95.540001,1930600,90.814812
"409",96.489998,98.150002,96.489998,97.059998,1116900,92.259628
"410",96.610001,96.720001,94.279999,95.440002,1334900,90.719757
"411",95.599998,96.330002,95.32,95.540001,1129700,90.814812
"412",95.470001,95.610001,94.440002,94.839996,1384300,90.149437
"413",95,95.349998,94.300003,94.529999,1236100,89.854767
"414",94.5,94.599998,92.410004,93.769997,3337400,89.132355
"415",94.260002,96.980003,94,96,1612700,91.25206
"416",96.300003,97.989998,96.099998,96.889999,883900,92.098038
"417",96.940002,98.110001,96.379997,96.940002,1058300,92.145569
"418",96.800003,97.220001,95.580002,96.720001,753800,91.936455
"419",96.190002,96.459999,94.559998,95.050003,985200,90.34906
"420",94.709999,96.43,94.449997,95.519997,762900,90.795799
"421",97,97.580002,95.010002,96.57,1488400,91.793854
"422",96.57,96.860001,95.059998,96.449997,1333800,91.679787
"423",96.690002,98.489998,96.639999,97.660004,1355700,92.829948
"424",96.900002,97.970001,95.779999,97.190002,1280100,92.383217
"425",97.419998,97.919998,96.830002,97.389999,1227000,92.573311
"426",97.080002,99.459999,96.389999,98.839996,1536400,93.951584
"427",98.82,100.080002,98.150002,99.459999,1221000,94.540932
"428",99.860001,101.239998,99.599998,100.610001,1415100,95.95726
"429",100.870003,101.550003,99.470001,100.900002,1250400,96.233849
"430",100.900002,103.489998,100.629997,102.449997,1769500,97.712166
"431",102.449997,103.18,101.230003,103.059998,1301500,98.293938
"432",103.349998,106.349998,103.339996,105.489998,1644800,100.611588
"433",105.599998,107,105.410004,106.599998,1523400,101.670258
"434",106.970001,107.419998,104.540001,105.419998,2066900,100.544823
"435",105.139999,106.099998,104.459999,104.940002,1230600,100.087013
"436",105.300003,105.449997,102.32,102.529999,1454700,97.788467
"437",102.080002,102.580002,101.129997,101.32,1491500,96.63443
"438",101.410004,101.760002,99.730003,100.949997,1079100,96.281525
"439",100.739998,101.160004,99.720001,99.779999,1421000,95.165649
"440",100.669998,101.129997,100.099998,100.839996,758200,96.17662
"441",101.139999,102.010002,100.57,101.849998,1035500,97.139908
"442",102.029999,105,101.769997,104.040001,1352400,99.228638
"443",104,104.709999,102.610001,104.220001,1168100,99.400314
"444",104.160004,105.25,101.970001,103.059998,1521000,98.293938
"445",102.129997,102.519997,100.529999,102.25,2145400,97.521416
"446",101.199997,101.199997,96.970001,97.279999,2716200,92.781265
"447",97.239998,97.349998,95.480003,95.669998,1833300,91.245712
"448",94.599998,96.400002,94.029999,94.360001,1614000,89.9963
"449",95.580002,96.120003,94.110001,95.089996,1048200,90.692528
"450",95.160004,96.709999,95.099998,96.050003,759200,91.608154
"451",96.470001,97.419998,95.400002,97.139999,993400,92.647728
"452",96.480003,97.360001,96.089996,96.32,1183100,91.865646
"453",96.239998,96.849998,94.550003,95.669998,1202400,91.245712
"454",95.559998,96.290001,95.07,95.629997,880100,91.207565
"455",96.269997,98.019997,95.379997,97.260002,1317800,92.762184
"456",95.629997,96.779999,93.760002,96.160004,1497800,91.713051
"457",96.269997,96.410004,93.480003,93.639999,1538100,89.309593
"458",94.370003,95.57,93.68,95.410004,1135900,90.997742
"459",94.010002,95.769997,92.650002,95.239998,1621200,90.835594
"460",96.5,97.900002,93.959999,95.160004,1448600,90.759293
"461",95,97.370003,93.68,97.120003,1305700,92.62867
"462",98.089996,100.25,97.879997,99.220001,2166800,94.631531
"463",100.379997,105.839996,100,105.419998,2981900,100.544823
"464",105.809998,108.470001,105.589996,106.440002,1710800,101.517654
"465",106.120003,106.849998,104.989998,106.209999,829800,101.298302
"466",106.25,107.889999,106.099998,107.790001,1222100,102.805214
"467",108,108.739998,106.660004,107.989998,1751800,102.995964
"468",104.300003,107,101.599998,105.870003,2643900,100.974014
"469",104,104.5,100.489998,102.379997,1455000,97.645393
"470",102.260002,102.279999,97.949997,98.07,1241600,93.534714
"471",98.379997,100.93,98.330002,99.199997,1453900,94.61245
"472",100,101.019997,99.470001,99.940002,785700,95.318245
"473",99.730003,103.370003,99.07,102.699997,1139600,97.950607
"474",102.099998,102.790001,99.860001,100.980003,1379700,96.310165
"475",100.639999,102.199997,99.309998,99.610001,981100,95.00351
"476",97.860001,98.139999,95.040001,95.739998,1643800,91.312477
"477",96.010002,96.669998,93.290001,95.519997,1202700,91.102654
"478",94.949997,98.080002,94.620003,96.769997,482900,92.294846
"479",97.339996,98.010002,95.889999,96.610001,977600,92.142242
"480",95.660004,96.949997,94.620003,95.43,1014200,91.016808
"481",95.150002,96.690002,94.029999,96.620003,1093400,92.151779
"482",96.699997,96.870003,94.389999,96.419998,894300,91.961021
"483",96,97.290001,95.220001,96.32,1037800,91.865646
"484",98.589996,100.360001,97.599998,98.459999,1698000,93.906685
"485",98.18,99.82,93.010002,93.190002,2421500,88.880409
"486",92.040001,92.040001,88.019997,91.190002,2034900,86.9729
"487",91.32,92.230003,88.080002,88.650002,1523500,84.550362
"488",88.980003,89.809998,87.25,89.040001,1088000,84.922318
"489",91.029999,92.089996,88.709999,89.080002,1060200,84.960464
"490",90.269997,90.540001,88.709999,88.779999,973000,84.674347
"491",88.599998,89.099998,87.220001,87.940002,955700,84.190887
"492",87.07,87.639999,84.010002,84.970001,1719900,81.347496
"493",84.529999,84.610001,79.699997,80.510002,2762400,77.077644
"494",81.220001,82.669998,80.639999,81.029999,1690000,77.57547
"495",81.330002,82.639999,79.07,79.800003,1764700,76.397903
"496",77.559998,78.139999,73.669998,76.160004,4684500,72.913078
"497",76.330002,77.660004,74.599998,74.839996,2776000,71.649345
"498",73.959999,74.830002,72.440002,73.129997,870200,70.012276
"499",73.43,76.309998,71.889999,76.279999,1500300,73.027962
"500",75.279999,77.309998,74,77.220001,1657000,73.92791
"501",77.580002,78.389999,76.110001,76.739998,1202500,73.468361
"502",77,77.75,76.029999,77.07,1040100,73.784286
"503",75.800003,79.029999,75.129997,78.110001,1052300,74.779945
"504",76.849998,76.879997,72.580002,72.690002,1968100,69.591019
"505",74.57,77.279999,74.370003,76.239998,2089500,72.989677
"506",76.290001,77.139999,75.349998,76.580002,1413300,73.315186
"507",77.279999,77.709999,76.599998,77.330002,1622800,74.033218
"508",77.779999,78.080002,75.93,76.839996,1113900,73.564102
"509",76.230003,77.980003,75.540001,77.269997,1929400,73.975761
"510",76.720001,77.849998,75.370003,77.410004,1526200,74.109795
"511",76.599998,77.480003,76.089996,76.970001,1374900,73.688553
"512",74.970001,76.019997,73.129997,73.639999,2128200,70.500511
"513",73.919998,74.93,73.5,73.93,2634300,70.77816
"514",73.839996,75.730003,73.550003,75.290001,2020800,72.080177
"515",75.830002,77.25,75.769997,76.629997,1457300,73.363068
"516",75.489998,75.709999,74.099998,75.370003,1435800,72.156769
"517",75.639999,75.839996,73.480003,73.919998,1271100,70.768585
"518",73.970001,75.190002,73.650002,74.019997,1660300,70.864311
"519",75.779999,77.360001,75.589996,76.580002,2234900,73.315186
"520",76.230003,77.540001,76.019997,77.089996,1273500,73.803421
"521",77.489998,78.779999,77.489998,78.32,1815100,74.98101
"522",79.089996,80.470001,78.349998,80.209999,1592500,76.790436
"523",80.739998,81.550003,79.599998,80.730003,1971400,77.288254
"524",80.889999,81.889999,80.510002,81.300003,969200,77.833954
"525",81.300003,82,80.970001,81.940002,885100,78.446671
"526",81.25,81.940002,80.139999,81.32,1410600,77.853096
"527",80.93,82.879997,80.849998,82.190002,1154500,78.68602
"528",81.370003,81.779999,79.290001,80.639999,1222800,77.202087
"529",79.830002,81.029999,79.519997,81.010002,712500,77.556313
"530",81.57,81.889999,80.309998,80.860001,659900,77.41272
"531",80.339996,80.889999,78.419998,80.449997,1947500,77.020203
"532",81.019997,82.160004,80.959999,81.730003,886600,78.245621
"533",81.410004,81.860001,80.400002,80.419998,1362500,76.991463
"534",81.800003,81.800003,80.330002,81.370003,1549800,77.900978
"535",81.050003,83.470001,80.419998,83.129997,1616100,79.585938
"536",83.32,84.169998,82.739998,82.809998,1770900,79.279579
"537",88.589996,92,85.830002,89.260002,5503500,85.454597
"538",89.830002,89.900002,88.010002,89.18,1511000,85.378029
"539",89.989998,92,89.940002,91.57,1607600,87.666107
"540",91.220001,92.290001,90.860001,91,1265400,87.120422
"541",91.010002,93.139999,90.650002,92.279999,1128300,88.34584
"542",92.18,92.18,90.910004,91.290001,1338800,87.398056
"543",92,92.480003,90.610001,90.790001,1320900,86.919373
"544",91,91,87.099998,88.489998,1691500,84.717422
"545",88.349998,88.660004,87.370003,87.93,960800,84.181297
"546",87.949997,88.230003,86.160004,86.370003,754600,82.687813
"547",85.730003,86,83.959999,84.599998,1296800,80.993271
"548",83.139999,83.239998,80.800003,82.970001,1779500,79.432755
"549",83.370003,85.519997,83.099998,85.510002,1016000,81.864464
"550",85.860001,86.129997,85.040001,85.470001,850400,81.82618
"551",86.029999,86.860001,85.620003,86.209999,1013400,82.53463
"552",85.830002,86.199997,84.580002,84.730003,787300,81.465477
"553",85.07,86,85.07,85.419998,1498800,82.128876
"554",85.589996,86.440002,85,86.43,759800,83.099983
"555",87.349998,87.349998,84.879997,85.230003,891600,81.946213
"556",85.25,85.339996,83.910004,84.440002,734500,81.186638
"557",84.440002,86.110001,84.260002,85.510002,916900,82.215416
"558",85,85.389999,82.510002,82.720001,890500,79.532913
"559",82.139999,82.25,80.849998,81.580002,1013400,78.436836
"560",81.82,82.870003,80.389999,81.040001,1568200,77.917648
"561",81.050003,81.349998,79.800003,80.150002,1091900,77.061928
"562",80,81.419998,79.800003,81.169998,975000,78.042618
"563",81.32,82.370003,80.809998,81.980003,1794400,78.821419
"564",82.43,84.559998,82.43,84.199997,1439100,80.955887
"565",84.370003,84.5,82.019997,82.900002,1782900,79.705994
"566",83.720001,84.550003,83.389999,84.209999,1976500,80.965515
"567",84.449997,85.980003,84.120003,85.550003,1544500,82.253883
"568",85.860001,86.629997,85.419998,86.139999,1424500,82.821144
"569",86.199997,86.949997,85.779999,86.940002,964300,83.590332
"570",86.709999,86.889999,84.669998,84.779999,1484000,81.513527
"571",84.879997,85.800003,84.139999,85.550003,821500,82.253883
"572",85.199997,85.300003,82.629997,82.709999,1404700,79.523285
"573",83.080002,84.25,82.739998,83.660004,1090200,80.436707
"574",83.580002,83.629997,81.989998,82.260002,1352400,79.090637
"575",82.529999,83.449997,82.110001,83.209999,1399300,80.004036
"576",83.860001,85.209999,82.099998,82.099998,1357500,78.936798
"577",82.18,82.650002,81.190002,82.57,790800,79.388702
"578",82.459999,82.57,81.559998,82.169998,576400,79.004097
"579",81.639999,81.639999,77.639999,79.050003,2307300,76.004326
"580",79.099998,79.68,76.68,76.800003,1653900,73.841003
"581",76.599998,76.75,74.800003,74.870003,1545300,71.985374
"582",74.699997,75.860001,73.57,75.559998,1622300,72.648781
"583",75.5,76.110001,74.709999,75.709999,1191800,72.792999
"584",75.849998,76.309998,74.93,75.059998,1239900,72.168037
"585",75,75.400002,73.959999,74.07,1045500,71.216179
"586",73.879997,76.169998,73.25,76.089996,2306400,73.158348
"587",76.769997,77.400002,76.309998,77.050003,1515800,74.08136
"588",75.660004,77.220001,75.089996,77.050003,1968300,74.08136
"589",76.519997,76.849998,75.099998,75.849998,2447500,72.927605
"590",72.029999,73.480003,71.230003,72.580002,3919100,69.7836
"591",71.540001,73.110001,69.010002,72.610001,3164500,69.812439
