"","MKC.Open","MKC.High","MKC.Low","MKC.Close","MKC.Volume","MKC.Adjusted"
"768",85.809998,86.760002,85.699997,86.264999,1690400,84.018921
"769",85.370003,86.574997,85.355003,86.385002,1590600,84.135803
"770",87.135002,87.290001,86.010002,86.334999,1396200,84.087105
"771",86.165001,86.885002,85.974998,86.355003,1698000,84.106583
"772",82.150002,84.974998,81.800003,83.029999,4551400,80.868156
"773",82.5,84.285004,81.595001,83.705002,1872800,81.525574
"774",83.870003,84.285004,82.25,82.754997,1848200,80.600311
"775",82.889999,83.790001,81.620003,81.684998,2006400,79.558159
"776",82.074997,82.394997,81.245003,81.580002,1793800,79.455902
"777",81.699997,82.110001,80.224998,80.349998,1756600,78.257935
"778",80.824997,81.279999,80.370003,81.004997,1354000,78.895874
"779",81.004997,81.940002,80.900002,81.059998,1164800,78.949432
"780",81.245003,81.855003,81.055,81.555,1080400,79.431564
"781",82.07,82.294998,81.480003,81.805,891600,79.675049
"782",81.805,82.375,81.510002,81.625,879200,79.499733
"783",81.605003,82.68,81.209999,82.519997,1113600,80.371422
"784",82.43,83.779999,82.135002,83.540001,916000,81.364868
"785",83.809998,84.434998,83.305,83.419998,924800,81.247993
"786",83.114998,83.32,82.175003,82.455002,1286600,80.308136
"787",82.455002,82.809998,81.845001,82.014999,962400,79.87957
"788",82.074997,82.175003,81.084999,81.915001,1135400,79.782188
"789",81.639999,81.989998,81.025002,81.099998,936800,78.988403
"790",80.449997,81.160004,79.709999,80.495003,1442400,78.399155
"791",80.349998,80.769997,79.029999,79.184998,2959600,77.123268
"792",79,79.644997,76.470001,76.555,2354600,74.561752
"793",76.434998,77.165001,75.010002,75.129997,2253000,73.173836
"794",74.175003,74.440002,71.195,73.095001,3578800,71.191833
"795",73.404999,76.290001,72.910004,76.235001,2245400,74.250069
"796",76.25,77.269997,74.385002,74.949997,1972800,72.998528
"797",76.044998,76.964996,75.239998,76.940002,2873400,74.936722
"798",76.029999,77.644997,75.764999,76.769997,2189600,74.771133
"799",74.800003,75.650002,73.474998,75.32,2346200,73.358887
"800",72.5,73.915001,71.440002,72.014999,2872600,70.139946
"801",73.309998,75.889999,72.294998,75.764999,2818000,73.792313
"802",74.169998,74.565002,72.735001,73.305,3015000,71.396355
"803",69.410004,70.599998,65.544998,65.589996,4330000,63.882233
"804",67.815002,68.760002,64.074997,67.5,3300400,65.742516
"805",61.755001,64.254997,59.599998,60.185001,4148400,58.61797
"806",61.25,69.775002,60.224998,69.349998,4872600,67.544342
"807",65.720001,74.654999,65.184998,70.514999,4908200,68.679001
"808",67.739998,69.410004,62,62.814999,3857800,61.179485
"809",62.514999,68.510002,61.560001,62.27,3332000,60.648682
"810",62.355,62.98,56.115002,56.915001,3428600,55.433109
"811",58.584999,62.764999,58.450001,62.465,2856000,60.838604
"812",61.755001,63.189999,59.595001,62.095001,2830000,60.478241
"813",62.02,66.389999,61.974998,65.82,2022800,64.106247
"814",64.544998,67.32,64,66.144997,1992200,64.422783
"815",67.5,72.199997,67,71.574997,3329600,69.711403
"816",69.93,71.5,69.675003,70.605003,2925400,68.766663
"817",68.584999,71.760002,68.275002,69.309998,2426400,67.505379
"818",69.175003,73.120003,69.175003,72.605003,2932400,70.714584
"819",71.824997,73.875,71.635002,73.440002,1489000,71.527847
"820",74.449997,76.595001,71.300003,76.004997,1944800,74.026054
"821",76.290001,76.5,73.470001,75.150002,1759600,73.193321
"822",74.839996,75.419998,73.279999,74.550003,1623600,72.608955
"823",74.264999,77.474998,74.264999,77.150002,1558600,75.455017
"824",76.480003,76.480003,72.785004,74.345001,1777200,72.711639
"825",76.330002,76.985001,75.684998,76.595001,1725000,74.912209
"826",76,76.57,75.275002,76.279999,1061400,74.604118
"827",76.875,78.449997,75.644997,77.709999,1449200,76.002708
"828",78.839996,78.875,77.025002,78.445,1627400,76.72155
"829",78.105003,79.610001,77.464996,78.059998,1114000,76.345024
"830",77.800003,78.029999,74.724998,75.589996,1328400,73.929276
"831",75.949997,77.269997,75.014999,76.684998,1005400,75.000229
"832",75.934998,76.720001,75.135002,75.809998,1109400,74.144455
"833",75.995003,77.345001,75.485001,77.129997,775800,75.435455
"834",77.504997,78.625,77.055,78.434998,986000,76.711784
"835",78.375,79.245003,77.730003,78.349998,1292600,76.628639
"836",78.260002,79.25,77.275002,78.230003,1613800,76.511292
