"","ESS.Open","ESS.High","ESS.Low","ESS.Close","ESS.Volume","ESS.Adjusted"
"594",283.589996,285.040009,281.829987,282.579987,210200,261.52771
"595",281.850006,285.359985,281.679993,284.170013,183400,262.999268
"596",283.829987,287.019989,283.700012,285.940002,208200,264.63739
"597",285.179993,286.140015,283.779999,286.019989,335900,264.711426
"598",286.5,287.190002,282.670013,284.049988,165800,262.888153
"599",285.170013,287.73999,285.170013,286.679993,218400,265.322266
"600",287.26001,288.769989,285.23999,287.940002,180200,266.488373
"601",287.570007,289.690002,287.26001,289.410004,208700,267.848877
"602",289.899994,292.709991,289.899994,290.970001,293500,269.292694
"603",292.359985,293.399994,289.190002,289.25,422800,267.700775
"604",289.640015,289.640015,283.820007,285.350006,339500,264.09137
"605",285.380005,287.149994,284.769989,285.459991,250400,264.193146
"606",285.350006,293.540009,284.869995,291.73999,499600,270.00528
"607",292.75,294.559998,286.140015,289.630005,337000,268.05249
"608",289.709991,289.709991,283.720001,287.940002,268200,266.488373
"609",289.220001,295.649994,287.73999,295.600006,237000,273.577698
"610",295.540009,297.859985,294.26001,296.5,151800,274.410675
"611",297.76001,299.660004,296.170013,296.670013,114700,274.568054
"612",296.809998,298.01001,293.51001,296.01001,104700,273.957184
"613",296.540009,299.279999,294.230011,299.019989,286700,276.74292
"614",299.230011,300.959991,297.820007,298.829987,213300,276.567078
"615",299.410004,299.630005,296.700012,298.209991,219800,275.993256
"616",298.140015,299.709991,297.589996,299.190002,144600,276.900299
"617",299.940002,303.079987,299.940002,302.320007,194800,279.797058
"618",302.839996,303.630005,299.049988,301.109985,244500,278.677185
"619",299.73999,303.679993,298.339996,301.649994,285500,279.177002
"620",302.640015,305.230011,302.309998,302.910004,373700,280.343109
"621",302.160004,302.160004,297.730011,299.980011,599500,277.631439
"622",300.609985,300.609985,297.25,298,263700,275.79892
"623",298.890015,300.179993,293.940002,294.179993,212500,272.263519
"624",294.5,294.559998,287.269989,288.299988,319900,266.821564
"625",289.220001,291.769989,287.420013,288.369995,313600,268.703857
"626",288.890015,293.149994,288.420013,291.929993,666900,272.021057
"627",293.149994,294.48999,287.829987,294.029999,274300,273.977814
"628",294.350006,299.519989,294.279999,298.570007,215300,278.208221
"629",299.640015,302.049988,299.589996,301.679993,101900,281.106079
"630",299.679993,301.880005,294.869995,301.100006,138900,280.565643
"631",300.890015,305,300.890015,303.940002,166200,283.211945
"632",303.899994,305.98999,302.48999,305.380005,204100,284.553802
"633",308.040009,308.730011,303.700012,308.179993,175000,287.162811
"634",308.279999,308.290009,303.920013,305.970001,159200,285.103546
"635",306.040009,306.769989,303.190002,303.950012,344500,283.221313
"636",304.279999,306.670013,302.660004,304.869995,177900,284.078583
"637",304.609985,304.839996,302.709991,304.290009,167300,283.538116
"638",304.779999,305.799988,301.25,303.600006,163900,282.895203
"639",303.26001,303.709991,299.559998,303.01001,181500,282.345398
"640",303.049988,303.5,294.48999,294.899994,266100,274.788513
"641",295,296.390015,292,292.049988,363400,272.132843
"642",292.470001,295.660004,291.109985,295.609985,354000,275.450073
"643",296.160004,296.160004,292.649994,293.75,364400,273.716949
"644",296.519989,299.76001,293.690002,298.600006,546000,278.236176
"645",299.399994,304.269989,299.399994,304.070007,319500,283.33313
"646",305.140015,308.920013,303.980011,307.829987,336100,286.83667
"647",307.850006,310.540009,305,306.679993,327400,285.765106
"648",306.529999,309.089996,300.309998,302.220001,347700,281.609253
"649",302.220001,306.709991,296.5,304.880005,338000,284.08786
"650",305.220001,307.230011,304.130005,305.390015,364600,284.56311
"651",304.73999,304.73999,291.190002,294.420013,353800,274.341248
"652",294.230011,300.980011,293.529999,299.429993,339600,279.009583
"653",298.209991,303.559998,294.850006,300.660004,368500,280.155701
"654",300.230011,304.75,299.23999,304.209991,267300,283.463531
"655",302.730011,307.75,302.329987,307.519989,237200,286.547821
"656",307.48999,312.899994,306.399994,312.279999,392600,290.983215
"657",311,313.429993,306.799988,313.309998,467200,291.942963
"658",312.660004,313.399994,306.630005,307.279999,353000,286.324219
"659",308.450012,313.309998,307.380005,312.630005,287100,291.309357
"660",313.589996,316.880005,313.410004,314.720001,399300,293.256866
"661",315.709991,318.190002,313.869995,317.769989,324000,296.098816
"662",319.149994,319.149994,314.850006,315.73999,206300,294.207245
"663",316.23999,318.390015,315.01001,318.320007,304300,296.611328
"664",318.799988,321.209991,317.059998,320.98999,372100,299.099182
"665",321.019989,322.429993,314.309998,315.190002,329600,293.694794
"666",316.730011,319.720001,314.399994,319.709991,284000,297.906525
"667",321.059998,322.679993,318.839996,318.839996,410200,297.095795
"668",319.570007,320.660004,317.630005,319.73999,187600,297.934479
"669",321.73999,322.079987,319.200012,321.549988,190800,299.620972
"670",321.98999,322.329987,319.420013,321.26001,541700,299.350769
"671",320.23999,322.890015,319.940002,322.619995,333500,300.618011
"672",324.070007,326.420013,322.709991,325.410004,301700,303.217773
"673",324.380005,324.980011,320.899994,324.720001,226400,302.574799
"674",325.160004,327.429993,325.160004,327.059998,279600,304.755249
"675",327.429993,327.429993,324.589996,325.670013,279200,303.460022
"676",324.25,324.25,315.540009,321.179993,352600,299.276245
"677",320.369995,322.26001,318.480011,322.179993,226300,300.208038
"678",324.720001,326.619995,321.540009,324.019989,365900,301.922546
"679",322.850006,324.700012,319,322.630005,299900,300.627411
"680",323.109985,324.5,321.950012,324.299988,250100,302.183441
"681",326.410004,330.799988,324.779999,328.820007,356900,306.395233
"682",329.450012,330,325.700012,328.410004,275500,306.013214
"683",328.839996,329.600006,326.399994,326.929993,223700,304.634125
"684",328.01001,328.079987,322.100006,322.820007,656300,300.804413
"685",320.779999,327.420013,320.619995,325.149994,298500,302.975494
"686",326.429993,328.869995,323.779999,325.160004,397700,302.984802
"687",324.549988,328.890015,324.549988,327.320007,217600,304.997498
"688",329,331.619995,328.369995,330.209991,251100,307.69043
"689",328.5,330.589996,324.450012,326.350006,206700,305.900085
"690",325.959991,328.100006,325.73999,326.649994,271700,306.181274
"691",326.190002,327.410004,322.100006,325.630005,323400,305.22522
"692",325.5,326.910004,323.369995,325.929993,430700,305.506378
"693",325.660004,331.100006,325.01001,328.140015,304600,307.577911
"694",328.559998,331.450012,328.559998,330.399994,266300,309.69632
"695",329,330.929993,327.679993,329.570007,226000,308.918304
"696",329.950012,330.769989,326.309998,327.709991,285900,307.174927
"697",330.109985,333.320007,328,329.23999,166100,308.609039
"698",328.339996,333.299988,327.23999,330.980011,259700,310.23999
"699",331.140015,331.390015,325.920013,326.959991,365700,306.471832
"700",327.320007,327.890015,325.529999,327.519989,131900,306.996796
"701",327.529999,328.98999,325.850006,328.339996,286400,307.765381
"702",326.98999,329.660004,324.410004,329.309998,173600,308.674591
"703",329.309998,330.549988,327.859985,328.660004,230800,308.065338
"704",329.269989,331.660004,328.540009,331.299988,232000,310.539978
"705",330.660004,332.630005,329.450012,332.540009,178600,311.70224
"706",333.26001,334.170013,330.709991,330.98999,238400,310.249359
"707",329.839996,333.920013,326.130005,328.339996,394900,307.765381
"708",324.190002,328.5,322.019989,326.279999,551000,305.834503
"709",325.660004,327.070007,322.209991,325.089996,291800,304.719055
"710",324.26001,324.26001,320.809998,323.390015,234900,303.12561
"711",322.709991,325.600006,321.769989,323.220001,622400,302.966217
"712",324.600006,327.829987,322.429993,327.649994,374500,307.118591
"713",328.640015,330.519989,326.359985,327.130005,534800,306.631226
"714",327.769989,329.869995,322.130005,324.709991,309600,304.362885
"715",324.359985,324.359985,320.529999,322.100006,197700,301.916443
"716",320.600006,320.600006,312.940002,318.329987,661600,298.382629
"717",318.48999,321.350006,315.529999,317.950012,389300,298.026489
"718",316.75,316.829987,312.059998,314.829987,347000,295.101959
"719",314.609985,317.269989,313.890015,314.920013,196100,295.186371
"720",314.359985,317.100006,312.119995,313.410004,226300,293.770935
"721",313.410004,316.070007,308.619995,309.029999,439800,289.665436
"722",310.130005,314.98999,310.109985,313.170013,338400,293.546021
"723",313.899994,316.399994,312.329987,314.25,303500,294.558319
"724",314.25,319.019989,313.420013,319,361900,299.010651
"725",321.540009,324.149994,319.769989,320.899994,303000,300.791626
"726",321.98999,323.630005,318.950012,322.48999,346300,302.281952
"727",322.690002,323.980011,318.709991,318.709991,441200,298.738861
"728",317.390015,318.839996,313.76001,315.25,352400,295.495667
"729",315.679993,316.059998,310,310.76001,620300,291.286987
"730",311.929993,313.540009,309.380005,310.23999,475800,290.799561
"731",310.859985,313.950012,310.220001,312.25,912800,292.683655
"732",313.100006,313.279999,310.170013,312.959991,549900,293.349121
"733",313.950012,314.559998,311.51001,312.179993,185500,292.618011
"734",311.820007,311.869995,304.25,304.720001,469900,285.625488
"735",304.320007,307.679993,304.320007,306.200012,666700,287.012756
"736",304.769989,312.980011,304.329987,311.429993,531500,291.914978
"737",310.700012,312.279999,309.01001,311.170013,325800,291.671326
"738",311.269989,313.230011,309.899994,311.929993,279200,292.383667
"739",312.070007,312.200012,309.369995,311.209991,213800,291.708832
"740",310.98999,313.429993,308.130005,309.570007,224600,290.171631
"741",310.380005,310.579987,303.75,304.76001,296300,285.662964
"742",304.790009,306.279999,299.279999,300.299988,362300,281.482483
"743",300.880005,302.299988,296.829987,300.51001,412600,281.679291
"744",301.25,301.700012,297.630005,300.98999,440800,282.129242
"745",301.019989,301.98999,295.450012,296.190002,430700,277.630035
"746",296.230011,298.299988,294.5,296.420013,633100,277.845612
"747",297.359985,298.73999,295.25,298.679993,575600,279.963959
"748",298.170013,300.079987,296.100006,297.350006,798100,278.717346
"749",299.01001,299.01001,295.480011,296.820007,257800,278.22052
"750",297.480011,299.190002,296.5,298.440002,96100,279.738983
"751",299.200012,300.450012,297.380005,299.640015,175400,280.8638
"752",300.839996,301.01001,298.649994,299.730011,199500,280.948212
"753",298.540009,300.850006,298.049988,299.709991,260100,280.929413
"754",297.670013,300.859985,297.399994,300.859985,311800,283.854187
"755",302.230011,303.309998,295.859985,298.279999,412400,281.420013
"756",297.160004,301.589996,296.5,301.200012,400700,284.174988
"757",300.619995,301.940002,298.75,300,369200,283.042816
"758",298.309998,299.690002,294.540009,296.329987,327200,279.580231
"759",296.829987,299.589996,295.890015,298.040009,450500,281.193634
"760",298.079987,299.809998,297.149994,299.459991,505900,282.533356
"761",300.209991,303.279999,299.200012,302.399994,736400,285.307159
"762",302.089996,306.079987,302.089996,305.5,420300,288.231934
"763",304.399994,305,300.190002,301.820007,335100,284.759888
"764",302.5,305.339996,301.279999,302.829987,428600,285.71286
"765",303.619995,306.25,302.51001,306.029999,292100,288.731964
"766",305.459991,308.929993,304.329987,308.869995,383700,291.411407
"767",309.98999,312.609985,308.950012,311.5,410600,293.892792
"768",312.890015,314.329987,307.380005,309.850006,429300,292.33606
"769",309.429993,313.5,307.410004,312.51001,487300,294.845734
"770",312.899994,313.350006,308.390015,309.470001,279800,291.977509
"771",309.160004,312.040009,308.170013,308.940002,560800,291.477509
"772",305.75,310.359985,303.98999,308.410004,516500,290.977448
"773",309.230011,309.399994,303.5,303.5,584200,286.345001
"774",304.429993,314.679993,303.970001,312.130005,1170700,294.487183
"775",311.600006,313.690002,307.839996,309.76001,1736600,292.251129
"776",311.01001,313.410004,309.019989,311.390015,515800,293.789032
"777",311.899994,321.299988,309.98999,311.579987,395100,293.968262
"778",311.380005,313.640015,309.019989,310.019989,409000,292.496399
"779",310.799988,315.820007,310.059998,314.73999,440600,296.949615
"780",315.730011,316.359985,313.790009,314.790009,328200,296.996857
