"","PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume","PEP.Adjusted"
"897",135.529999,137.759995,134.850006,137.669998,3607700,132.758591
"898",137.979996,138.589996,137.089996,137.380005,3787500,132.478958
"899",137.380005,139,137.039993,137.929993,3179000,133.009293
"900",137.240005,138.220001,136.479996,137.690002,2817600,132.777878
"901",137.259995,137.699997,135.199997,137.660004,4304100,132.748962
"902",137.110001,137.5,136,136.699997,2819200,131.823196
"903",137.520004,137.589996,136.020004,137.470001,2553500,132.56575
"904",138.149994,138.149994,135.770004,136.25,2924000,131.389236
"905",135.270004,136.289993,135.270004,135.860001,2692900,131.013168
"906",135.940002,136.759995,135.369995,136.740005,3692100,131.861771
"907",136.320007,136.880005,135.380005,135.979996,3052000,131.128876
"908",136.970001,137.449997,134.619995,135.119995,3301200,130.299561
"909",135.339996,138.679993,135.25,137.800003,4424600,132.883957
"910",137.100006,138.610001,137.100006,138.100006,2393500,133.173264
"911",138.110001,138.169998,137.199997,137.559998,2461700,132.652527
"912",137.5,138.889999,137.050003,137.919998,2862500,132.99968
"913",138.610001,138.610001,137.039993,138.110001,2638600,133.182892
"914",138.690002,138.789993,136.100006,136.449997,3682200,131.582092
"915",135.660004,137.149994,135.630005,136.720001,2263000,131.842484
"916",136.369995,136.660004,135.25,136.460007,4295600,131.591766
"917",136.460007,137.679993,136.110001,137.639999,3177800,132.72966
"918",138.259995,138.380005,136.699997,137.300003,2597400,132.401779
"919",136.580002,138.660004,136.380005,138.470001,6019700,133.530045
"920",138.710007,139.929993,137.910004,138.399994,4159300,133.462524
"921",138.520004,139.960007,137.240005,139.940002,3355400,134.947601
"922",139.320007,141.020004,139,140.059998,3828700,135.063339
"923",140.25,140.479996,138.509995,139.190002,3421700,134.224365
"924",139.520004,143.820007,139.350006,143.289993,4918200,138.178101
"925",142.770004,144.039993,138.119995,139.369995,6642400,135.364349
"926",139.660004,140.309998,136.940002,138.759995,4836400,134.771896
"927",138.309998,138.630005,134.410004,135.550003,4901500,131.654144
"928",135.5,138.460007,135.399994,137.110001,4282300,133.169312
"929",136.600006,137.550003,133.880005,134.759995,6050500,130.886856
"930",135.220001,136.380005,134.229996,135.809998,3411900,131.906693
"931",136.529999,137.5,135.800003,136.669998,2779000,132.741943
"932",136.479996,137.240005,135.410004,135.619995,4080800,131.722137
"933",136.279999,136.600006,134.779999,134.979996,3353500,131.10054
"934",133.389999,134.550003,131.690002,133.199997,5186400,129.371674
"935",133.710007,134.789993,130.009995,131.470001,8473000,127.691406
"936",130.369995,131.309998,129.360001,131.240005,4402700,127.468025
"937",131,132.889999,130.449997,132.149994,3951000,128.351883
"938",132.699997,132.820007,129.850006,131,5909900,127.234924
"939",131.440002,132.309998,129.919998,131.580002,4316600,127.798248
"940",130.889999,133.830002,130.509995,133.550003,4576000,129.711639
"941",136.039993,138.580002,135.669998,137.970001,7487500,134.004593
"942",138.660004,139.539993,137.130005,137.160004,4330500,133.21788
"943",137.990005,139.190002,136.899994,138.600006,7060700,134.616486
"944",139.440002,140.850006,137.490005,140.800003,6483900,136.753265
"945",139.279999,139.910004,136.199997,138.059998,5130200,134.09201
"946",138.110001,138.380005,136.979996,137.929993,4519800,133.965744
"947",138,138.820007,135.149994,135.699997,5031000,131.79985
"948",135.940002,137.520004,135.759995,137.009995,4347300,133.072189
"949",137.279999,138.130005,136.759995,137.850006,2977400,133.888062
"950",138.699997,139.259995,137.899994,138.440002,3194000,134.46109
"951",141.119995,143.490005,139.779999,142.130005,6167200,138.045029
"952",142.220001,144,141.910004,143.539993,4293200,139.414505
"953",143.550003,144.110001,141.630005,142.520004,3641000,138.423828
"954",141.160004,141.970001,140.619995,141.429993,3306800,137.365158
"955",141.75,142.820007,141.130005,141.729996,5076000,137.65654
"956",141.339996,142.529999,139.25,139.679993,3223200,135.665451
"957",141,141.220001,139.410004,139.710007,2750900,135.694595
"958",139.679993,140.479996,139.100006,139.600006,2560100,135.587738
"959",139.800003,140.199997,139.009995,139.610001,2909000,135.597473
"960",140.220001,140.529999,139.039993,139.559998,2758400,135.548904
"961",138.740005,139.080002,136.410004,138.059998,3431100,134.09201
"962",138.570007,139.889999,138.300003,139.119995,3390800,135.121552
"963",137.149994,137.710007,133.940002,134.169998,5196000,130.313797
"964",133.759995,135.630005,132.259995,133.990005,3856500,130.139008
"965",132.929993,133.839996,131.710007,133.289993,4303900,129.459091
"966",135.610001,136.229996,133.779999,135.149994,3126400,131.265656
"967",136.619995,138.600006,136.279999,137.039993,3293900,133.101318
"968",139,141.699997,137.660004,137.860001,4576300,133.897766
"969",139.350006,140.270004,137.470001,138.050003,3667800,134.082291
"970",138.559998,139.770004,137.330002,138.380005,2867000,134.402817
"971",142,143.649994,138.169998,138.449997,6111300,134.470795
"972",136.990005,142.440002,136.190002,141.720001,5284500,137.64682
"973",142.860001,144.240005,141.610001,143.899994,4389800,139.76416
"974",144.25,144.740005,142.759995,143.839996,2570100,139.705872
"975",143.770004,144.889999,143.270004,144.710007,2580400,140.550888
"976",145,146.259995,144.690002,145.759995,3399000,141.570709
"977",144.270004,146.100006,144.110001,145.240005,2924000,141.065643
"978",145.490005,146.570007,143.300003,143.380005,4335200,139.259109
"979",142.880005,143.699997,142.339996,143.320007,4263500,139.200836
"980",143.649994,144.639999,143,143.419998,3469100,139.297943
"981",143.309998,143.649994,141.880005,143.020004,3443300,138.90947
"982",143.190002,144.360001,142.820007,144.029999,4472300,139.890411
"983",144.449997,144.919998,143.699997,144.160004,2278300,140.016693
"984",144.619995,145.279999,144.179993,144.600006,1596000,140.444061
"985",144.460007,144.630005,142.880005,144.229996,4906900,140.084671
"986",145.029999,146.630005,144.5,146.070007,3999200,141.871796
"987",145.880005,146.940002,143.889999,144.619995,4432900,140.463455
"988",143.020004,144.960007,143.020004,144.449997,4757900,141.297836
"989",143.869995,145.979996,143.850006,145.850006,3592600,142.667313
"990",145.679993,146.559998,144.619995,145.369995,4217300,142.197784
"991",145.330002,146.160004,144.289993,145.520004,3623800,142.344513
"992",145.559998,146.100006,144.279999,145.690002,3842000,142.510803
"993",146.039993,146.289993,144.419998,144.669998,3985000,141.513046
"994",143.630005,145.100006,143.410004,144.970001,2975500,141.806503
"995",145.25,146.470001,144.050003,144.229996,3952400,141.082657
"996",144.559998,145.270004,143.889999,144.770004,3183300,141.61087
"997",143.979996,145.470001,143.899994,144.889999,4915800,141.728256
"998",145.25,146.199997,145.179993,145.710007,3312500,142.53035
"999",146.330002,147.100006,145.5,146.929993,8980400,143.723724
"1000",145,145.660004,143.470001,145.399994,3946900,142.227112
"1001",144.600006,145,143.479996,144.020004,2653700,140.877243
"1002",144.490005,145.600006,144.070007,144.410004,2645100,141.258728
"1003",144.830002,145.110001,144.139999,145.059998,883300,141.894547
"1004",145.779999,147.600006,145.539993,146.910004,2493500,143.704163
"1005",147.679993,148.770004,146.839996,147.419998,3186700,144.203049
"1006",147.470001,147.990005,147.009995,147.309998,2224900,144.095444
"1007",147.479996,148.460007,146.639999,148.300003,2076800,145.063843
