"","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume","EMN.Adjusted"
"902",74.989998,75.989998,74.190002,75.169998,1032200,72.751404
"903",72.849998,72.949997,69.639999,71.080002,1991700,68.793007
"904",71.25,73.620003,71.25,72.559998,1475400,70.225395
"905",72.199997,72.529999,71.550003,71.919998,881000,69.60598
"906",71.550003,73.059998,71,73.059998,655100,70.709297
"907",72.769997,74.540001,72.769997,74.25,953900,71.861008
"908",75.489998,76.470001,74.940002,75.18,724300,72.761086
"909",75.5,75.940002,73.489998,73.580002,1099500,71.21257
"910",73.309998,74.029999,72.870003,73.370003,612900,71.009323
"911",72.720001,73.550003,72.519997,73.290001,370900,70.931892
"912",73.120003,73.949997,71.68,72.400002,1138200,70.070526
"913",72.309998,73.080002,71.860001,71.900002,517600,69.586617
"914",72.199997,72.440002,71.519997,71.879997,494800,69.567253
"915",71.059998,71.919998,71.059998,71.449997,482300,69.151093
"916",71.260002,71.639999,70.5,70.800003,681400,68.522018
"917",71.459999,73.43,71.349998,73.339996,634200,70.980286
"918",73.580002,74.550003,73.010002,73.459999,1404700,71.09642
"919",73.370003,74.099998,73.110001,73.279999,534500,70.922211
"920",73.43,74.190002,72.550003,73.889999,718300,71.512589
"921",74.169998,74.589996,72.599998,74.43,565300,72.035217
"922",74.5,74.580002,72.989998,73.110001,983300,70.75769
"923",72.690002,76.639999,72.019997,76.610001,1228500,74.145081
"924",76.989998,79.269997,76.110001,79.089996,1326200,76.545288
"925",78.68,78.980003,76.480003,77.639999,1425300,75.14193
"926",78.650002,79.43,77.540001,78.93,1438800,76.390442
"927",77.919998,78.459999,76.440002,77.540001,1383500,75.045151
"928",78.279999,80.169998,78.07,79.800003,945000,77.232445
"929",79.809998,80.190002,78.190002,78.5,1039800,75.974266
"930",79.050003,80.050003,78.239998,80,989800,77.425995
"931",80.199997,81.010002,79.330002,81,1300100,79.045952
"932",80.940002,81.32,79.599998,80.150002,1354500,78.216461
"933",80.620003,83.57,80.230003,82.75,1518800,80.753738
"934",82.279999,86.32,80.989998,85.480003,1739000,83.417885
"935",84.410004,85.440002,83.029999,83.830002,1794800,81.807693
"936",82.389999,82.510002,79.800003,80.57,1426300,78.626335
"937",80.470001,81.010002,77.879997,79.010002,1002900,77.103958
"938",78.900002,79.650002,76.860001,77.010002,977200,75.152214
"939",76.919998,77.660004,75.720001,77.040001,781500,75.181488
"940",76.279999,77.559998,76.010002,77.300003,607700,75.435226
"941",78.440002,79.43,78.110001,78.510002,1035000,76.616028
"942",78.440002,78.959999,76.919998,77.150002,535800,75.288841
"943",77.449997,79.129997,77.449997,78.120003,1046800,76.235435
"944",78.080002,78.760002,76.010002,76.309998,893400,74.469093
"945",75.010002,78.989998,74.839996,78.169998,881400,76.284233
"946",78.889999,81.010002,78.82,80.510002,886600,78.56778
"947",81.239998,82.900002,79.93,80.25,1288200,78.314041
"948",81.849998,84.239998,81.849998,83.519997,858600,81.505165
"949",84,85.440002,83.709999,85.400002,807000,83.339821
"950",86.07,86.720001,85.459999,86.160004,723100,84.081482
"951",86.660004,86.660004,85.18,85.849998,725400,83.778961
"952",84.900002,85.120003,83.349998,84.519997,616100,82.481041
"953",84.82,85.940002,84.669998,85.610001,384200,83.544746
"954",84.5,86.150002,83.959999,86.129997,603100,84.052193
"955",86.540001,87.209999,85.980003,86.489998,471600,84.403511
"956",86.910004,88.040001,85.620003,85.779999,744600,83.71064
"957",86.489998,87.910004,86.349998,86.639999,386900,84.549896
"958",86.080002,87.349998,85.139999,85.349998,487300,83.291016
"959",85.839996,86.260002,83.239998,86.099998,662200,84.022926
"960",86.779999,87.629997,86.139999,87.32,764900,85.213493
"961",85.68,85.949997,83.650002,84.82,648400,82.773804
"962",84.540001,84.709999,82.160004,82.449997,783300,80.460968
"963",80.160004,81.050003,78.879997,80.269997,900500,78.333565
"964",80.150002,82.639999,79.379997,81.889999,943000,79.91449
"965",80.410004,83.290001,79.309998,80.839996,940000,78.889816
"966",82.300003,84.279999,81.370003,83.32,934300,81.309982
"967",84.790001,85.25,83.129997,84.629997,590800,82.588379
"968",84.18,84.559998,81.290001,82.910004,772900,80.909882
"969",83.82,87.449997,83.82,86.419998,519200,84.335205
"970",86.779999,86.900002,84.739998,85.029999,506200,82.978737
"971",90.099998,93.099998,89.269997,90.339996,1084100,88.160637
"972",90.360001,93.839996,90.309998,93.400002,1135700,91.14682
"973",93.150002,93.699997,90.809998,91.760002,714800,89.546387
"974",90.730003,91.739998,90.089996,90.75,905800,88.560753
"975",91.099998,94.32,91.099998,94,737900,91.732346
"976",95.059998,98.519997,94.879997,98,1102300,95.635849
"977",97,97.019997,95.410004,97.010002,1197300,94.669731
"978",97.339996,97.910004,96.120003,96.730003,643400,94.396492
"979",96.010002,96.540001,94.330002,96.510002,845600,94.181801
"980",96.32,96.989998,95.440002,96.550003,761400,94.220833
"981",97,100.07,96.720001,100,1114100,97.587601
"982",100.900002,103.730003,99.800003,103.220001,1237000,100.729927
"983",102,102.540001,99.410004,99.839996,855500,97.431458
"984",100.5,100.900002,98.739998,99.900002,353300,97.490013
"985",99.610001,99.830002,97.209999,97.400002,1454000,95.050323
"986",99.190002,100.589996,97.879997,98.779999,707700,96.397026
"987",99.139999,99.639999,97.830002,98.18,793200,95.811508
"988",98.440002,99.050003,96.849998,98.150002,1063100,95.782227
"989",99.489998,102.440002,98.93,102.389999,1167700,99.919945
"990",101.769997,102.32,101,101.720001,1431000,99.266106
"991",101.300003,103.650002,100.709999,103.169998,811800,100.681122
"992",103.43,104.830002,103.139999,104.150002,1247200,101.637489
"993",103,104.32,102.559998,102.980003,1247800,100.495712
"994",101.970001,102.989998,101.389999,102.5,949200,100.02729
"995",102.889999,103.389999,99.75,100.190002,1200400,98.435661
"996",101.269997,102.010002,100.269997,101.480003,973300,99.703064
"997",101.849998,101.849998,100.580002,101.699997,868400,99.919212
"998",102.330002,103.07,101.370003,102.5,1028700,100.705208
"999",102.400002,103.900002,101.68,103.68,2835800,101.864548
"1000",102.540001,102.919998,100.550003,102.580002,785100,100.783806
"1001",102.82,102.82,100.860001,100.970001,919200,99.201996
"1002",101.620003,102.540001,100.809998,100.919998,511200,99.152878
"1003",100.800003,101.410004,100.199997,101.309998,154100,99.536041
"1004",102.019997,102.080002,99.519997,99.550003,330200,97.806862
"1005",100.230003,100.690002,97.879997,98.93,459500,97.197716
"1006",99.300003,100.519997,99.220001,100.269997,391200,98.514252
"1007",100.639999,100.830002,99.379997,100.279999,513700,98.524078
