"","VRSN.Open","VRSN.High","VRSN.Low","VRSN.Close","VRSN.Volume","VRSN.Adjusted"
"682",190.479996,191,187.300003,189.899994,785000,189.899994
"683",190.699997,192.75,190.470001,191.089996,677900,191.089996
"684",190.529999,192.630005,189.669998,190.690002,824900,190.690002
"685",189.649994,190.619995,188.509995,189.820007,409600,189.820007
"686",190.699997,191.490005,186.089996,186.779999,535700,186.779999
"687",186.119995,190.929993,185.389999,189.929993,560600,189.929993
"688",189.380005,192,189.139999,191.190002,481900,191.190002
"689",192.009995,193.199997,185.960007,187.25,506700,187.25
"690",187.839996,189.960007,186.949997,188.630005,532800,188.630005
"691",187.580002,189,183.789993,183.949997,744000,183.949997
"692",182.589996,182.830002,177.330002,177.949997,869900,177.949997
"693",177.869995,181.789993,177.029999,181.410004,902200,181.410004
"694",181.820007,184.800003,181.509995,184.339996,560100,184.339996
"695",184.350006,184.889999,183.110001,183.440002,625600,183.440002
"696",182.139999,183.589996,179.789993,180.960007,611300,180.960007
"697",182.740005,184.839996,182.300003,184.029999,439300,184.029999
"698",184.020004,185.919998,182.350006,185.550003,483000,185.550003
"699",187.410004,188.75,186,186.490005,511900,186.490005
"700",185.860001,187.080002,184.839996,185.75,398400,185.75
"701",185.529999,187.600006,181.259995,186.660004,362300,186.660004
"702",186.559998,186.559998,184.059998,185.339996,399300,185.339996
"703",185.570007,187.100006,184.869995,186.550003,473700,186.550003
"704",186.779999,186.779999,184.720001,185.509995,938600,185.509995
"705",186.679993,188.199997,185.550003,187.440002,386500,187.440002
"706",187.429993,188.509995,181.279999,181.610001,512100,181.610001
"707",181.139999,183.360001,181.139999,182.759995,348300,182.759995
"708",182.600006,186.550003,181.059998,185.729996,526800,185.729996
"709",198.570007,198.570007,188.220001,190.160004,1151700,190.160004
"710",190.070007,194.679993,190.070007,190.919998,531800,190.919998
"711",190.570007,190.949997,188.600006,189.449997,549600,189.449997
"712",190.199997,191.880005,189.270004,191.710007,538200,191.710007
"713",191.770004,191.949997,189.029999,190.020004,588900,190.020004
"714",191.350006,191.75,187.399994,188.070007,646400,188.070007
"715",189.830002,190.080002,186.360001,186.600006,573600,186.600006
"716",186.869995,188.039993,183.75,186.559998,691400,186.559998
"717",186.960007,187.779999,185.039993,185.660004,625700,185.660004
"718",186.850006,188.850006,185,185.889999,937700,185.889999
"719",185.089996,186.429993,183.179993,183.789993,598000,183.789993
"720",182.75,186.759995,182.720001,185.740005,463000,185.740005
"721",185.539993,186.059998,184,184.389999,424800,184.389999
"722",184.279999,186.289993,184.279999,185.960007,529900,185.960007
"723",185.949997,187.539993,184.389999,187.25,379700,187.25
"724",188.649994,188.649994,186.080002,186.809998,563600,186.809998
"725",186,189.559998,186,189.559998,609100,189.559998
"726",190.360001,194.880005,190.089996,193.460007,1028100,193.460007
"727",192.610001,194.899994,191.190002,192.5,754900,192.5
"728",192.339996,193.210007,188.850006,189.149994,606000,189.149994
"729",189.440002,189.440002,186.720001,188.440002,381500,188.440002
"730",188.979996,193.509995,187.910004,188.130005,768500,188.130005
"731",189.009995,193.389999,188.679993,191.669998,1167500,191.669998
"732",191.720001,192.509995,190.139999,191.839996,563000,191.839996
"733",191.740005,191.740005,190.119995,190.740005,422700,190.740005
"734",190.399994,190.880005,182.830002,184.949997,910500,184.949997
"735",182.240005,187.330002,182.240005,186.529999,1044800,186.529999
"736",187.690002,188.610001,186.5,186.800003,639200,186.800003
"737",186.880005,186.880005,184.110001,185.570007,604300,185.570007
"738",187.070007,188.539993,184.990005,188.259995,484300,188.259995
"739",188.5,190.669998,188.270004,188.559998,579200,188.559998
"740",188.679993,189.139999,187.690002,188.139999,394000,188.139999
"741",188.990005,190.330002,188.070007,189.919998,463600,189.919998
"742",189.679993,191.5,188.600006,189.970001,547500,189.970001
"743",189.009995,191.960007,188.330002,191.490005,510000,191.490005
"744",192.380005,194.399994,192.130005,192.660004,703300,192.660004
"745",192.779999,193.309998,190.580002,190.929993,732000,190.929993
"746",191.559998,192.470001,190.149994,190.149994,835500,190.149994
"747",190.339996,191.149994,189.550003,190.199997,698900,190.199997
"748",191.860001,192.630005,189.779999,192.449997,1396100,192.449997
"749",192.970001,193.740005,191.699997,192.429993,435900,192.429993
"750",192.639999,193.479996,191.529999,192.75,145100,192.75
"751",193.289993,194.520004,193.119995,193.710007,256100,193.710007
"752",194.229996,194.5,192.809998,194.050003,248500,194.050003
"753",194.050003,194.050003,190.740005,192.330002,310500,192.330002
"754",191.660004,192.860001,191.490005,192.679993,460400,192.679993
"755",194.910004,197.199997,194.199997,196.729996,369400,196.729996
"756",193.199997,201.460007,193.199997,200.880005,912100,200.880005
"757",199.990005,202.889999,198.589996,202.740005,615700,202.740005
"758",203.339996,204.100006,202.190002,203.210007,418600,203.210007
"759",203.229996,206.630005,201.220001,204.149994,705200,204.149994
"760",205.550003,208.990005,205.360001,208.880005,760800,208.880005
"761",210,210.300003,207.889999,209.119995,656800,209.119995
"762",210.169998,212.320007,209.869995,211.75,431000,211.75
"763",211.220001,211.570007,209,209.369995,656200,209.369995
"764",209.630005,212.619995,209.630005,211.740005,349700,211.740005
"765",213.509995,214.039993,211.979996,213.539993,365900,213.539993
"766",214.039993,214.199997,212.169998,214,510500,214
"767",213.389999,215.800003,213.050003,214.440002,613200,214.440002
"768",215.610001,216.919998,214,214.089996,510500,214.089996
"769",214.660004,215.070007,213.589996,215.020004,298700,215.020004
"770",216.210007,216.339996,212.350006,212.75,409200,212.75
"771",209.270004,210.929993,208.059998,209.770004,373600,209.770004
"772",210.580002,211.570007,209.320007,210.970001,407500,210.970001
"773",211.639999,212.589996,209.770004,212.130005,431000,212.130005
"774",209.990005,213.479996,209.649994,213.339996,349900,213.339996
"775",212.910004,213.570007,207.929993,208.139999,642700,208.139999
"776",208.630005,211.179993,208.630005,210.559998,360100,210.559998
"777",213.350006,214.860001,211.429993,214.479996,472000,214.479996
"778",215.75,216.220001,211.800003,213.259995,556400,213.259995
"779",214.449997,217.229996,213.149994,216.940002,549800,216.940002
