"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"921",67.379997,67.739998,67.010002,67.690002,1536900,66.846321
"922",67.389999,67.540001,66.720001,66.860001,2653700,66.026657
"923",66.260002,67.029999,65.879997,66.970001,1704600,66.135292
"924",67.449997,68.989998,67.089996,68.82,2710900,67.962234
"925",68.669998,68.889999,66.330002,67.120003,3366700,66.283424
"926",67.400002,68.120003,65.839996,66.809998,2544900,65.977287
"927",65.449997,66.669998,65.040001,65.599998,3102600,64.782364
"928",66.040001,66.940002,65.290001,66.410004,2275400,65.582275
"929",66.309998,67.669998,65.360001,65.559998,2679200,64.742859
"930",67.769997,69.169998,67.059998,68.18,4935500,67.330215
"931",68.360001,69.580002,68.349998,69.290001,3411900,68.426376
"932",69.239998,70.989998,69.239998,70.129997,3436500,69.255905
"933",70.900002,71.809998,70.050003,70.720001,3160300,69.838562
"934",68.110001,70.860001,67.910004,70.120003,3819500,69.246033
"935",70.080002,70.400002,67.970001,68.860001,5525500,68.001732
"936",67.860001,68.169998,67.07,67.389999,3190000,66.550056
"937",67.629997,68.5,66.709999,68.25,2838700,67.399345
"938",68.459999,69.190002,66.809998,67.089996,3086100,66.253792
"939",65.949997,67.599998,65.580002,66.900002,2855000,66.066162
"940",66.870003,68.32,66.5,68.080002,2758100,67.231461
"941",68.970001,69.650002,68.730003,69.32,3971000,68.456001
"942",69.440002,70.080002,68.629997,69,2571100,68.139992
"943",69.279999,70.110001,68.860001,69.419998,3912200,68.554764
"944",70.220001,70.599998,68.970001,69.330002,3426400,68.465874
"945",67.919998,69.349998,67.790001,68.860001,2460500,68.001732
"946",69.620003,71.260002,69.5,70.93,4117400,70.045937
"947",70.900002,71.599998,69.690002,69.830002,3111000,68.959641
"948",70.730003,72.480003,70.599998,72.239998,3180300,71.339607
"949",72.5,73.449997,72.230003,72.910004,2312700,72.001266
"950",73.650002,74.059998,72.75,73.080002,3584300,72.169136
"951",74.089996,74.919998,73.269997,74.629997,4748800,73.699821
"952",74.989998,75.32,73.040001,73.220001,3322100,72.307396
"953",73.220001,74.400002,73.099998,73.959999,3273400,73.03817
"954",73.25,73.889999,72.760002,73.720001,2637200,72.801155
"955",74.339996,74.629997,73.309998,73.360001,2533200,72.445648
