"","MPWR.Open","MPWR.High","MPWR.Low","MPWR.Close","MPWR.Volume","MPWR.Adjusted"
"717",161.910004,161.910004,159.509995,160.149994,455100,157.704636
"718",162.610001,164.139999,161.029999,163.360001,282200,160.865601
"719",162.289993,165.080002,161.229996,165.039993,310800,162.519958
"720",163.410004,164.940002,162.419998,163.899994,228700,161.397369
"721",164.809998,166.240005,161.929993,162.550003,263800,160.067993
"722",160.619995,162.679993,159.649994,160.270004,302800,157.8228
"723",159.179993,160.410004,158.25,160.130005,262300,157.684937
"724",161.899994,163.899994,160.779999,162.5,221600,160.018768
"725",161.740005,162.919998,160.639999,161.130005,317800,158.669693
"726",161.839996,162.759995,160.220001,161.759995,218100,159.290054
"727",160.589996,162.350006,158.630005,159.149994,292400,156.719894
"728",158.669998,158.990005,157.119995,158.460007,250800,156.040436
"729",159.449997,159.990005,157.759995,157.979996,183100,155.567795
"730",158.830002,164.289993,158.830002,164.110001,239000,161.604202
"731",164.050003,164.589996,162.429993,162.779999,167300,160.294495
"732",163.490005,164.179993,162.419998,163.190002,164400,160.698227
"733",162.869995,164,160.600006,160.679993,90900,158.226563
"734",161.649994,161.649994,157.649994,158,239500,155.587479
"735",154.729996,157.639999,153.979996,157.440002,291400,155.036011
"736",159.070007,162.479996,159.070007,161.820007,220800,159.349152
"737",163.009995,163.970001,161.669998,162.309998,183100,159.831665
"738",164.720001,166.740005,161.710007,165.990005,219500,163.45546
"739",165.669998,166.360001,164.279999,164.309998,278200,161.801132
"740",164.410004,165.929993,164.410004,165.119995,192200,162.59877
"741",165.399994,169.25,165.399994,169.050003,216400,166.46875
"742",169.740005,174.020004,168.869995,173.75,317400,171.09697
"743",173.940002,176.130005,172.970001,174.600006,196200,171.93399
"744",176.149994,178.729996,175.410004,177.229996,295700,174.523849
"745",178.020004,178.740005,177.229996,178.649994,227000,175.922165
"746",178.289993,179.960007,177.089996,178.839996,339400,176.109253
"747",178.940002,180.229996,177.190002,179.929993,277800,177.182587
"748",180.850006,183.039993,179.619995,182.889999,448000,180.097412
"749",183.460007,183.460007,178.75,179.070007,466600,176.335739
"750",179.809998,179.949997,177.630005,178.339996,227100,175.616882
"751",178.369995,179.179993,177.600006,179.160004,259700,176.424362
"752",178.850006,180,177.210007,178.410004,152200,175.685822
"753",177.580002,178.850006,175.080002,178.389999,165400,176.060837
"754",178.059998,179.529999,177.059998,178.020004,272000,175.695709
"755",180.119995,180.869995,176.089996,180.009995,333700,177.659714
"756",176.740005,178.5,176.119995,176.75,233300,174.442276
"757",174.130005,175.789993,172.979996,174.940002,339900,172.655914
"758",176.029999,177.910004,174.619995,176.570007,645300,174.264633
"759",176.699997,177.589996,175.080002,176.339996,297500,174.037628
"760",177.449997,179.100006,176.869995,178.720001,180600,176.386536
"761",178.649994,179.460007,176.399994,176.869995,275000,174.560699
"762",178.179993,179.949997,177.160004,179.309998,272400,176.968842
"763",179.300003,181,178.009995,178.929993,212200,176.593796
